Symbole,accPrediction(1),accPrediction(30)
AZO,0.5417789757412399,0.8342696629213483
HCP,0.518005540166205,0.6475644699140402
KIM,0.5177514792899408,0.6866840731070496
TMK,0.4891304347826087,0.7696793002915452
L,0.5415472779369628,0.6897506925207756
DUK,0.4907161803713528,0.7408450704225352
CSRA,0.47540983606557374,0.765625
CBOE,0.481994459833795,0.781437125748503
AMZN,0.5245901639344263,0.807799442896936
INTU,0.543010752688172,0.7815126050420168
ACN,0.5098039215686274,0.8448753462603878
VRSN,0.5377906976744186,0.7914438502673797
BHI,0.4653179190751445,0.7112299465240641
SRE,0.510989010989011,0.7915492957746478
RL,0.46296296296296297,0.6628895184135978
LUV,0.510989010989011,0.8015463917525774
FL,0.5341246290801187,0.7842565597667639
VAR,0.5157068062827225,0.7252747252747253
GOOG,0.5426829268292683,0.7961783439490446
FE,0.4792243767313019,0.6914285714285714
MPC,0.5287769784172662,0.7474048442906575
BSX,0.49382716049382713,0.7602339181286549
UAL,0.4774011299435028,0.7580174927113703
TIF,0.554089709762533,0.7569060773480663
COST,0.4732620320855615,0.7603305785123967
DFS,0.4891891891891892,0.7750759878419453
AME,0.4857142857142857,0.7443820224719101
UDR,0.44329896907216493,0.7768361581920904
EIX,0.5042016806722689,0.7950138504155124
USB,0.4621409921671018,0.7565982404692082
FISV,0.5161290322580645,0.7915492957746478
CPB,0.48360655737704916,0.7557251908396947
PFG,0.5,0.773109243697479
DISH,0.5487465181058496,0.8053333333333333
AMD,0.45161290322580644,0.6927374301675978
PYPL,0.47058823529411764,0.7922077922077922
GE,0.5117493472584856,0.7906976744186046
AAP,0.7058823529411765,0.5686274509803921
CBS,0.5,1.0
NDAQ,0.5230352303523035,0.7454068241469817
MET,0.4654255319148936,0.6675603217158177
BAX,0.5284552845528455,0.7700831024930748
BA,0.5498652291105122,0.6913265306122449
ROK,0.48554913294797686,0.7455919395465995
CTSH,0.47411444141689374,0.7355163727959698
HST,0.4699140401146132,0.6547945205479452
UA,0.5555555555555556,0.7580645161290323
ECL,0.5461741424802111,0.7394736842105263
NFX,0.4613259668508287,0.7018072289156626
WM,0.5388888888888889,0.7771428571428571
JEC,0.46321525885558584,0.7556675062972292
WYNN,0.48,0.6864406779661016
SO,0.4676056338028169,0.7189873417721518
VRTX,0.47593582887700536,0.7213114754098361
URI,0.4581151832460733,0.7493036211699164
CA,0.4903047091412742,0.706199460916442
TSO,0.5229885057471264,0.7914285714285715
ORLY,0.5108108108108108,0.817629179331307
HRS,0.5130208333333334,0.7284263959390863
IT,0.544973544973545,0.7460732984293194
EMN,0.5773809523809523,0.6864406779661016
EXPD,0.4986449864498645,0.6648351648351648
CHK,0.4623376623376623,0.6914893617021277
LOW,0.498567335243553,0.7418478260869565
HSIC,0.5114285714285715,0.7903225806451613
SCG,0.4474327628361858,0.7433862433862434
BIIB,0.4714285714285714,0.7566844919786097
CNC,0.3225806451612903,0.8787878787878788
XRAY,0.4940828402366864,0.6742209631728046
SLB,0.49870801033591733,0.7084548104956269
AON,0.4672897196261682,0.7905982905982906
JCI,0.4722222222222222,0.7388059701492538
BLL,0.47398843930635837,0.7906976744186046
SYMC,0.5117493472584856,0.6596385542168675
VLO,0.49868073878627966,0.708994708994709
FB,0.5527426160337553,0.8046511627906977
FIS,0.5068119891008175,0.8046647230320699
ETR,0.49421965317919075,0.6674641148325359
SHW,0.5012853470437018,0.7740963855421686
KMB,0.48687350835322196,0.7611111111111111
SPLS,0.45738636363636365,0.7134986225895317
LRCX,0.4827586206896552,0.7350427350427351
EQR,0.4606413994169096,0.6809651474530831
MTD,0.4877384196185286,0.8179487179487179
ROST,0.5252808988764045,0.8076923076923077
NKE,0.5452127659574468,0.8144927536231884
NLSN,0.5316455696202531,0.6436781609195402
PWR,0.5212464589235127,0.7386666666666667
OXY,0.47129909365558914,0.671604938271605
CXO,0.489010989010989,0.7086834733893558
FRT,0.5,0.7513089005235603
CINF,0.48501362397820164,0.8126649076517151
BLK,0.5191740412979351,0.7486033519553073
ITW,0.47293447293447294,0.7821782178217822
EQT,0.5142857142857142,0.8292682926829268
AES,0.5027932960893855,0.6604774535809018
KSS,0.5194805194805194,0.7151335311572701
HOLX,0.4959785522788204,0.7589041095890411
WMB,0.5370370370370371,0.7158176943699732
SNPS,0.5527777777777778,0.7472222222222222
DRI,0.5195530726256983,0.6955307262569832
CVX,0.5352112676056338,0.8028169014084507
HPQ,0.478134110787172,0.7262872628726287
PPL,0.38636363636363635,0.8857142857142857
PPG,0.5039164490861618,0.7853260869565217
MSI,0.47540983606557374,0.7254901960784313
DLPH,0.5811320754716981,0.7857142857142857
LNC,0.4786885245901639,0.7643835616438356
SYK,0.5203252032520326,0.7393767705382436
AXP,0.4495677233429395,0.7628032345013477
LH,0.5014084507042254,0.7554179566563467
BEN,0.5418994413407822,0.7297297297297297
MCHP,0.5128205128205128,0.7329842931937173
CAT,0.5028089887640449,0.7054263565891473
COF,0.476878612716763,0.7083333333333334
TRV,0.5142118863049095,0.7091412742382271
IDXX,0.4961038961038961,0.7479224376731302
RCL,0.48320413436692505,0.7590673575129534
MLM,0.4673913043478261,0.7369791666666666
NTAP,0.5290858725761773,0.7178770949720671
BF.B,0.49859943977591037,0.7628032345013477
CNP,0.5753424657534246,0.7866666666666666
ISRG,0.518918918918919,0.7645429362880887
ABBV,0.5,0.7381974248927039
MDLZ,0.5454545454545454,0.7710843373493976
UNH,0.5501432664756447,0.8091168091168092
LNT,0.5145348837209303,0.7355371900826446
HD,0.4869109947643979,0.8010335917312662
PDCO,0.49736842105263157,0.7183098591549296
BWA,0.5075075075075075,0.7088235294117647
GPN,0.5248618784530387,0.752411575562701
DOV,0.5318066157760815,0.7368421052631579
MON,0.5152354570637119,0.6690997566909975
QCOM,0.5027322404371585,0.7551622418879056
KMI,0.4774193548387097,0.7295597484276729
WFC,0.5735294117647058,0.825
RIG,0.4837837837837838,0.7662337662337663
DVN,0.4708860759493671,0.7307692307692307
INTC,0.46981627296587924,0.6759259259259259
YUM,0.537467700258398,0.7295081967213115
PSA,0.5014084507042254,0.7678100263852242
ARNC,0.4955223880597015,0.7461538461538462
RHT,0.4864864864864865,0.7547169811320755
INFO,0.417910447761194,0.8129496402877698
FCX,0.5230352303523035,0.7630057803468208
BRK.B,0.5203836930455635,0.791005291005291
REGN,0.5561097256857855,0.7684478371501272
TAP,0.48257372654155495,0.6825396825396826
HRB,0.48695652173913045,0.728494623655914
KMX,0.5437665782493368,0.732620320855615
NFLX,0.4905149051490515,0.7837837837837838
