,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
2758,0.05,-0.0030162921134894017,-1.0,-1.0,-1.0,-1.0
2759,0.04,-0.01301639867518762,0.0,1.0,0.0,1.0
2760,0.04,-0.013016505236885828,0.0,1.0,0.0,1.0
2761,0.04,-0.013016611798584043,1.0,1.0,1.0,1.0
2762,0.05,-0.003016718360282257,0.0,0.0,0.0,0.0
2763,0.05,-0.003016824921980465,1.0,0.0,1.0,-1.0
2764,0.06,0.006983068516321314,-1.0,-1.0,1.0,-1.0
2765,0.05,-0.0030170380453768963,0.0,0.0,0.0,-1.0
2766,0.05,-0.0030171446070751122,-1.0,1.0,0.0,1.0
2767,0.04,-0.013017251168773322,0.0,1.0,0.0,1.0
2768,0.04,-0.013017357730471538,0.0,1.0,0.0,1.0
2769,0.04,-0.013017464292169751,0.0,1.0,0.0,1.0
2770,0.04,-0.013017570853867963,0.0,1.0,0.0,1.0
2771,0.04,-0.013017677415566177,0.0,1.0,0.0,1.0
2772,0.04,-0.013017783977264392,0.0,1.0,0.0,1.0
2774,0.05,-0.0030179971006608144,0.0,0.0,0.0,0.0
2775,0.05,-0.00301810366235903,0.0,0.0,0.0,0.0
2776,0.05,-0.003018210224057245,1.0,0.0,1.0,0.0
2777,0.06,0.00698168321424454,-1.0,-1.0,0.0,-1.0
2778,0.05,-0.0030184233474536692,0.0,0.0,0.0,1.0
2779,0.05,-0.003018529909151885,-1.0,0.0,-1.0,0.0
2780,0.04,-0.013018636470850102,0.0,1.0,0.0,1.0
2781,0.04,-0.013018743032548309,0.0,1.0,0.0,1.0
2783,0.04,-0.013018956155944741,0.0,1.0,0.0,1.0
2784,0.04,-0.013019062717642957,0.0,1.0,0.0,1.0
2785,0.04,-0.013019169279341164,0.0,1.0,0.0,1.0
2786,0.04,-0.013019275841039379,0.0,1.0,0.0,1.0
2787,0.04,-0.013019382402737594,0.0,1.0,0.0,1.0
2788,0.04,-0.013019488964435805,1.0,1.0,1.0,1.0
2790,0.05,-0.0030197020878322337,0.0,0.0,0.0,0.0
2791,0.05,-0.0030198086495304487,0.0,0.0,0.0,-1.0
2794,0.05,-0.003020128334625089,0.0,-1.0,0.0,-1.0
2795,0.05,-0.003020234896323297,1.0,-1.0,0.0,-1.0
2796,0.06,0.006979658541978483,-1.0,-1.0,-1.0,-1.0
2797,0.05,-0.0030204480197197283,0.0,-1.0,0.0,-1.0
2798,0.05,-0.0030205545814179433,0.0,-1.0,0.0,-1.0
2799,0.05,-0.0030206611431161517,0.0,-1.0,0.0,-1.0
2800,0.05,-0.003020767704814367,0.0,-1.0,0.0,-1.0
2802,0.05,-0.003020980828210791,1.0,-1.0,1.0,-1.0
2803,0.06,0.006978912610090989,-1.0,-1.0,-1.0,-1.0
2804,0.05,-0.003021193951607222,0.0,-1.0,0.0,-1.0
2805,0.05,-0.003021300513305437,0.0,0.0,0.0,0.0
2806,0.05,-0.003021407075003646,0.0,-1.0,0.0,-1.0
2807,0.05,-0.003021513636701861,0.0,-1.0,0.0,-1.0
2808,0.05,-0.003021620198400077,0.0,-1.0,0.0,-1.0
2809,0.05,-0.0030217267600982922,1.0,-1.0,0.0,-1.0
2810,0.06,0.006978166678203493,-1.0,-1.0,-1.0,-1.0
2811,0.05,-0.003021939883494716,1.0,-1.0,0.0,-1.0
2812,0.06,0.006977953554807063,0.0,-1.0,0.0,-1.0
2813,0.06,0.006977846993108855,0.0,-1.0,1.0,-1.0
2814,0.06,0.0069777404314106395,-1.0,-1.0,0.0,-1.0
2816,0.05,-0.0030224726919857864,0.0,-1.0,0.0,-1.0
2817,0.05,-0.003022579253683995,0.0,-1.0,0.0,-1.0
2818,0.05,-0.0030226858153822108,0.0,-1.0,0.0,-1.0
2819,0.05,-0.0030227923770804253,0.0,0.0,0.0,0.0
2820,0.05,-0.0030228989387786342,0.0,0.0,0.0,0.0
2823,0.04,-0.01302321862387328,0.0,0.0,0.0,0.0
2824,0.04,-0.013023325185571493,0.0,0.0,0.0,0.0
2825,0.04,-0.013023431747269706,0.0,0.0,0.0,0.0
2826,0.04,-0.013023538308967922,0.0,0.0,0.0,0.0
2827,0.04,-0.013023644870666136,0.0,0.0,0.0,0.0
2828,0.04,-0.013023751432364346,0.0,0.0,0.0,0.0
2829,0.04,-0.01302385799406256,0.0,0.0,0.0,0.0
2830,0.04,-0.013023964555760777,1.0,0.0,0.0,0.0
2831,0.05,-0.0030240711174589828,-1.0,1.0,-1.0,1.0
2833,0.05,-0.003024284240855414,-1.0,-1.0,-1.0,-1.0
2834,0.04,-0.013024390802553631,1.0,0.0,0.0,0.0
2835,0.05,-0.003024497364251838,-1.0,-1.0,-1.0,-1.0
2836,0.04,-0.013024603925950055,0.0,0.0,0.0,0.0
2837,0.04,-0.01302471048764827,0.0,0.0,0.0,0.0
2838,0.04,-0.01302481704934648,0.0,0.0,0.0,0.0
2839,0.04,-0.013024923611044695,0.0,0.0,0.0,0.0
2840,0.04,-0.01302503017274291,0.0,0.0,0.0,0.0
2842,0.04,-0.013025243296139334,0.0,0.0,0.0,0.0
2843,0.04,-0.01302534985783755,0.0,0.0,0.0,0.0
2844,0.04,-0.013025456419535763,0.0,0.0,0.0,0.0
2845,0.04,-0.013025562981233972,0.0,0.0,0.0,0.0
2846,0.04,-0.013025669542932187,0.0,0.0,0.0,-1.0
2848,0.04,-0.01302588266632862,1.0,0.0,0.0,-1.0
2849,0.05,-0.0030259892280268263,0.0,-1.0,-1.0,1.0
2852,0.04,-0.013026308913121476,0.0,0.0,0.0,0.0
2853,0.04,-0.013026415474819685,0.0,0.0,0.0,0.0
2855,0.04,-0.013026628598216114,0.0,0.0,0.0,0.0
2856,0.04,-0.013026735159914322,0.0,0.0,0.0,0.0
2857,0.04,-0.013026841721612538,0.0,0.0,0.0,0.0
2858,0.04,-0.013026948283310752,0.0,1.0,0.0,1.0
2859,0.04,-0.013027054845008969,0.0,1.0,0.0,1.0
2860,0.04,-0.013027161406707177,1.0,1.0,1.0,-1.0
2861,0.06,0.006972732031594604,-1.0,-1.0,-1.0,-1.0
2863,0.04,-0.013027481091801815,0.0,0.0,0.0,0.0
2866,0.04,-0.013027800776896465,0.0,0.0,0.0,0.0
2869,0.04,-0.013028120461991102,0.0,-1.0,0.0,-1.0
2870,0.04,-0.013028227023689309,0.0,0.0,0.0,0.0
2871,0.04,-0.013028333585387526,0.0,-1.0,0.0,-1.0
2872,0.04,-0.013028440147085742,0.0,-1.0,0.0,-1.0
2873,0.04,-0.013028546708783957,0.0,-1.0,0.0,-1.0
2889,0.05,-0.0030302516959553674,0.0,-1.0,0.0,-1.0
2890,0.05,-0.003030358257653583,0.0,-1.0,0.0,-1.0
2891,0.05,-0.0030304648193517983,0.0,1.0,0.0,-1.0
2892,0.05,-0.0030305713810500072,-1.0,-1.0,-1.0,-1.0
2893,0.04,-0.013030677942748224,1.0,-1.0,1.0,-1.0
2895,0.04,-0.013030891066144648,0.0,0.0,0.0,0.0
2896,0.04,-0.013030997627842864,0.0,0.0,0.0,0.0
2897,0.04,-0.013031104189541079,0.0,0.0,0.0,0.0
2899,0.02,-0.0330313173129375,1.0,1.0,1.0,0.0
2900,0.04,-0.013031423874635718,-1.0,0.0,-1.0,0.0
2901,0.03,-0.02303153043633394,0.0,1.0,0.0,1.0
2902,0.03,-0.02303163699803215,0.0,1.0,0.0,1.0
2903,0.03,-0.02303174355973036,0.0,1.0,0.0,1.0
2905,0.03,-0.02303195668312679,1.0,1.0,0.0,1.0
2906,0.05,-0.003032063244824995,-1.0,-1.0,-1.0,-1.0
2907,0.03,-0.02303216980652321,0.0,-1.0,0.0,-1.0
2909,0.03,-0.023032382929919645,0.0,-1.0,0.0,-1.0
2912,0.03,-0.023032702615014285,0.0,0.0,0.0,0.0
2913,0.03,-0.02303280917671249,0.0,0.0,0.0,0.0
2917,0.03,-0.023033235423505348,0.0,1.0,0.0,1.0
2919,0.03,-0.023033448546901782,1.0,0.0,1.0,0.0
2921,0.06,0.006966338329701796,-1.0,-1.0,0.0,1.0
2923,0.03,-0.023033874793694637,1.0,0.0,1.0,0.0
2924,0.04,-0.01303398135539284,0.0,-1.0,0.0,-1.0
2925,0.04,-0.013034087917091056,0.0,-1.0,0.0,-1.0
2927,0.04,-0.013034301040487488,0.0,-1.0,0.0,-1.0
2928,0.04,-0.013034407602185695,0.0,-1.0,0.0,-1.0
2930,0.04,-0.013034620725582126,0.0,-1.0,0.0,-1.0
2936,0.04,-0.013035260095771405,-1.0,-1.0,-1.0,-1.0
2938,0.02,-0.03303547321916783,0.0,1.0,0.0,1.0
2939,0.02,-0.03303557978086605,0.0,1.0,0.0,1.0
2941,0.02,-0.03303579290426248,1.0,1.0,1.0,1.0
2942,0.03,-0.023035899465960685,0.0,1.0,0.0,1.0
2943,0.03,-0.0230360060276589,-1.0,0.0,0.0,0.0
2944,0.02,-0.03303611258935711,0.0,1.0,0.0,1.0
2945,0.02,-0.033036219151055334,1.0,1.0,1.0,1.0
2946,0.04,-0.013036325712753538,0.0,-1.0,0.0,-1.0
2948,0.04,-0.013036538836149969,-1.0,-1.0,0.0,-1.0
2949,0.03,-0.023036645397848183,0.0,0.0,0.0,0.0
2950,0.03,-0.0230367519595464,0.0,0.0,0.0,0.0
2951,0.03,-0.02303685852124461,0.0,0.0,0.0,0.0
2952,0.03,-0.023036965082942826,0.0,0.0,0.0,0.0
2954,0.03,-0.02303717820633925,0.0,0.0,0.0,0.0
