,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
9153,41.88,5.842235288151477,-1.0,1.0,-1.0,1.0
9154,41.83,5.746885662482478,1.0,1.0,-1.0,1.0
9155,41.93,5.801536036813474,-1.0,1.0,-1.0,1.0
9156,41.29,5.116186411144477,-1.0,1.0,-1.0,1.0
9157,40.99,4.770836785475473,1.0,1.0,-1.0,1.0
9158,41.19,4.925487159806472,1.0,1.0,1.0,1.0
9159,41.62,5.310137534137468,-1.0,1.0,-1.0,1.0
9160,41.6,5.244787908468473,-1.0,1.0,-1.0,1.0
9161,40.61,4.209438282799468,-1.0,1.0,-1.0,1.0
9162,40.54,4.09408865713047,-1.0,1.0,-1.0,1.0
9163,40.17,3.678739031461468,1.0,1.0,-1.0,1.0
9164,40.24,3.7033894057924712,-1.0,1.0,-1.0,1.0
9165,40.02,3.438039780123468,1.0,1.0,1.0,1.0
9166,40.27,3.6426901544544714,1.0,1.0,1.0,1.0
9167,40.49,3.817340528785465,1.0,1.0,1.0,1.0
9168,40.84,4.121990903116469,-1.0,1.0,-1.0,1.0
9169,40.79,4.026641277447459,1.0,1.0,1.0,1.0
9170,41.31,4.501291651778466,-1.0,1.0,-1.0,1.0
9171,40.87,4.015942026109457,-1.0,1.0,-1.0,1.0
9172,40.7,3.8005924004404648,-1.0,1.0,-1.0,1.0
9173,40.26,3.3152427747714555,1.0,1.0,-1.0,1.0
9174,40.28,3.289893149102461,-1.0,1.0,-1.0,1.0
9175,39.75,2.714543523433456,1.0,1.0,1.0,1.0
9176,39.97,2.8891938977644567,1.0,1.0,1.0,1.0
9177,40.09,2.963844272095457,1.0,1.0,1.0,1.0
9178,40.6,3.428494646426458,1.0,1.0,1.0,1.0
9179,40.64,3.4231450207574525,1.0,1.0,1.0,1.0
9180,40.91,3.6477953950884507,1.0,1.0,1.0,1.0
9181,41.18,3.8724457694194503,1.0,1.0,-1.0,1.0
9182,41.46,4.107096143750454,1.0,1.0,1.0,1.0
9183,42.06,4.6617465180814515,0.0,1.0,0.0,1.0
9184,42.06,4.616396892412453,-1.0,1.0,-1.0,1.0
9185,42.0,4.511047266743447,1.0,1.0,1.0,1.0
9186,42.12,4.585697641074447,1.0,1.0,1.0,1.0
9187,42.5,4.9203480154054455,-1.0,1.0,-1.0,1.0
9188,42.0,4.374998389736446,1.0,1.0,1.0,1.0
9189,42.24,4.569648764067446,1.0,1.0,1.0,1.0
9190,42.28,4.5642991383984475,-1.0,1.0,-1.0,1.0
9191,42.06,4.298949512729443,1.0,1.0,-1.0,-1.0
9192,42.43,4.623599887060443,-1.0,1.0,-1.0,1.0
9193,42.4,4.548250261391439,-1.0,-1.0,-1.0,-1.0
9194,41.79,3.892900635722442,-1.0,-1.0,-1.0,-1.0
9195,41.52,3.5775510100534405,1.0,-1.0,1.0,-1.0
9196,42.4,4.412201384384439,-1.0,-1.0,-1.0,-1.0
9197,42.3,4.266851758715433,-1.0,-1.0,-1.0,-1.0
9198,42.21,4.131502133046439,-1.0,-1.0,-1.0,-1.0
9199,41.95,3.826152507377437,-1.0,-1.0,-1.0,-1.0
9200,41.84,3.67080288170844,1.0,-1.0,1.0,-1.0
9201,41.96,3.7454532560394327,-1.0,-1.0,-1.0,-1.0
9202,41.52,3.2601036303704376,1.0,-1.0,1.0,-1.0
9203,41.56,3.2547540047014323,1.0,-1.0,1.0,-1.0
9204,41.9,3.5494043790324312,1.0,-1.0,1.0,-1.0
9205,42.83,4.4340547533634265,1.0,-1.0,1.0,-1.0
9206,43.07,4.628705127694432,1.0,-1.0,1.0,-1.0
9207,43.1,4.613355502025428,-1.0,-1.0,1.0,-1.0
9208,43.04,4.508005876356427,1.0,-1.0,1.0,-1.0
9209,43.24,4.6626562506874265,-1.0,-1.0,-1.0,-1.0
9210,43.15,4.527306625018426,-1.0,-1.0,-1.0,-1.0
9211,42.83,4.161956999349421,1.0,-1.0,1.0,-1.0
9212,43.67,4.956607373680426,1.0,-1.0,1.0,-1.0
9213,43.98,5.221257748011418,-1.0,-1.0,-1.0,-1.0
9214,43.92,5.115908122342425,1.0,-1.0,1.0,-1.0
9215,44.67,5.820558496673421,-1.0,-1.0,-1.0,-1.0
