,Close,Target(1),Target(30),Prediction(1),Prediction(30)
11020,34.16,-1.0,1.0,-1.0,1.0
11021,33.94,-1.0,1.0,-1.0,1.0
11022,33.14,-1.0,1.0,-1.0,1.0
11023,32.89,-1.0,1.0,-1.0,1.0
11024,32.3,1.0,1.0,1.0,1.0
11025,32.48,1.0,1.0,1.0,1.0
11026,32.98,0.0,1.0,-1.0,1.0
11027,32.98,-1.0,1.0,-1.0,1.0
11028,32.24,1.0,1.0,1.0,1.0
11029,32.77,-1.0,1.0,-1.0,1.0
11030,32.05,1.0,1.0,1.0,1.0
11031,32.31,1.0,1.0,1.0,1.0
11032,32.76,-1.0,1.0,-1.0,1.0
11033,32.64,-1.0,1.0,-1.0,1.0
11034,31.45,1.0,1.0,1.0,1.0
11035,31.81,1.0,1.0,1.0,1.0
11036,32.33,1.0,1.0,1.0,1.0
11037,33.24,1.0,1.0,-1.0,1.0
11038,33.88,-1.0,1.0,-1.0,1.0
11039,33.7,-1.0,1.0,-1.0,1.0
11040,33.44,1.0,1.0,1.0,1.0
11041,34.55,1.0,1.0,-1.0,1.0
11042,34.56,1.0,1.0,1.0,1.0
11043,34.65,1.0,1.0,1.0,1.0
11044,34.89,-1.0,1.0,-1.0,1.0
11045,34.74,1.0,-1.0,1.0,-1.0
11046,34.82,1.0,-1.0,1.0,-1.0
11047,34.94,1.0,-1.0,1.0,-1.0
11048,35.16,-1.0,-1.0,-1.0,-1.0
11049,35.06,1.0,-1.0,1.0,-1.0
11050,35.12,1.0,1.0,1.0,1.0
11051,35.15,1.0,1.0,1.0,1.0
11052,35.22,-1.0,1.0,-1.0,1.0
11053,35.16,1.0,1.0,1.0,1.0
11054,35.49,-1.0,-1.0,-1.0,-1.0
11055,35.02,1.0,-1.0,1.0,-1.0
11056,35.49,1.0,-1.0,1.0,-1.0
11057,35.75,-1.0,-1.0,-1.0,-1.0
11058,34.67,1.0,-1.0,1.0,-1.0
11059,34.95,1.0,-1.0,1.0,-1.0
11060,35.22,1.0,-1.0,1.0,-1.0
11061,36.51,-1.0,-1.0,-1.0,-1.0
11062,35.87,-1.0,-1.0,-1.0,-1.0
11063,35.51,1.0,-1.0,1.0,-1.0
11064,35.74,-1.0,-1.0,-1.0,-1.0
11065,35.68,-1.0,-1.0,-1.0,-1.0
11066,35.37,1.0,-1.0,1.0,-1.0
11067,35.99,-1.0,-1.0,-1.0,-1.0
11068,35.7,-1.0,-1.0,-1.0,-1.0
11069,35.06,-1.0,-1.0,-1.0,-1.0
11070,34.94,1.0,-1.0,1.0,-1.0
11071,35.47,-1.0,-1.0,-1.0,-1.0
11072,35.02,-1.0,-1.0,-1.0,-1.0
11073,34.75,1.0,-1.0,-1.0,-1.0
11074,35.02,-1.0,-1.0,1.0,-1.0
11075,34.39,-1.0,-1.0,-1.0,-1.0
11076,34.0,-1.0,-1.0,-1.0,-1.0
11077,33.82,1.0,-1.0,1.0,-1.0
11078,34.93,-1.0,-1.0,-1.0,-1.0
11079,34.92,1.0,-1.0,1.0,-1.0
11080,35.97,1.0,-1.0,-1.0,-1.0
11081,36.25,-1.0,-1.0,-1.0,-1.0
11082,36.15,-1.0,-1.0,-1.0,-1.0
11083,35.34,1.0,-1.0,1.0,-1.0
11084,35.47,-1.0,-1.0,1.0,-1.0
11085,34.96,-1.0,-1.0,-1.0,-1.0
11086,33.6,-1.0,-1.0,-1.0,-1.0
11087,33.59,-1.0,-1.0,-1.0,-1.0
11088,33.14,-1.0,-1.0,-1.0,-1.0
11089,32.96,-1.0,1.0,-1.0,1.0
11090,32.49,-1.0,1.0,1.0,1.0
11091,32.42,1.0,1.0,1.0,1.0
11092,34.28,-1.0,-1.0,-1.0,-1.0
11093,33.8,1.0,-1.0,1.0,-1.0
11094,34.8,-1.0,-1.0,-1.0,-1.0
11095,34.41,-1.0,-1.0,-1.0,-1.0
11096,33.72,1.0,-1.0,1.0,-1.0
11097,33.81,-1.0,-1.0,-1.0,-1.0
11098,33.28,-1.0,-1.0,-1.0,-1.0
11099,32.88,-1.0,-1.0,-1.0,-1.0
11100,31.74,1.0,-1.0,1.0,-1.0
11101,32.18,-1.0,-1.0,-1.0,-1.0
11102,31.63,-1.0,-1.0,-1.0,-1.0
11103,31.55,-1.0,-1.0,-1.0,-1.0
11104,30.94,1.0,-1.0,1.0,-1.0
11105,32.2,-1.0,-1.0,-1.0,-1.0
11106,32.08,1.0,-1.0,1.0,-1.0
11107,32.13,1.0,-1.0,-1.0,-1.0
11108,32.94,-1.0,-1.0,-1.0,-1.0
11109,32.9,-1.0,-1.0,-1.0,-1.0
11110,31.59,-1.0,-1.0,-1.0,-1.0
11111,31.06,-1.0,-1.0,-1.0,-1.0
11112,31.0,-1.0,-1.0,-1.0,-1.0
