,Close,Target(1),Target(30),Prediction(1),Prediction(30)
19786,25.91,1.0,-1.0,-1.0,-1.0
19787,25.98,1.0,-1.0,1.0,1.0
19788,25.99,-1.0,-1.0,-1.0,-1.0
19789,25.73,-1.0,-1.0,-1.0,-1.0
19790,25.55,-1.0,-1.0,-1.0,-1.0
19791,25.49,1.0,1.0,1.0,1.0
19792,25.77,-1.0,-1.0,-1.0,-1.0
19793,25.61,-1.0,1.0,-1.0,1.0
19794,24.98,-1.0,1.0,-1.0,1.0
19795,24.86,-1.0,1.0,-1.0,1.0
19796,24.42,1.0,1.0,1.0,1.0
19797,24.63,-1.0,1.0,-1.0,1.0
19798,24.41,1.0,1.0,-1.0,1.0
19799,24.63,-1.0,1.0,-1.0,1.0
19800,24.56,1.0,1.0,1.0,1.0
19801,25.09,1.0,1.0,1.0,1.0
19802,25.4,1.0,1.0,-1.0,1.0
19803,25.64,1.0,1.0,-1.0,1.0
19804,25.65,-1.0,1.0,-1.0,1.0
19805,25.41,-1.0,1.0,-1.0,1.0
19806,25.29,-1.0,1.0,-1.0,1.0
19807,25.14,-1.0,1.0,-1.0,1.0
19808,25.07,-1.0,1.0,-1.0,1.0
19809,24.71,1.0,1.0,1.0,1.0
19810,25.04,1.0,1.0,1.0,1.0
19811,25.33,1.0,1.0,1.0,1.0
19812,25.43,1.0,1.0,1.0,1.0
19813,25.59,1.0,1.0,1.0,1.0
19814,25.94,-1.0,1.0,-1.0,1.0
19815,25.5,1.0,1.0,1.0,1.0
19816,25.57,0.0,1.0,0.0,1.0
19817,25.57,1.0,1.0,1.0,1.0
19818,25.76,-1.0,1.0,-1.0,1.0
19819,25.51,-1.0,1.0,-1.0,1.0
19820,25.49,1.0,1.0,-1.0,1.0
19821,25.5,1.0,1.0,1.0,1.0
19822,25.67,1.0,1.0,1.0,1.0
19823,26.0,1.0,-1.0,1.0,-1.0
19824,26.04,-1.0,-1.0,-1.0,-1.0
19825,25.82,1.0,-1.0,1.0,1.0
19826,25.88,-1.0,-1.0,-1.0,-1.0
19827,25.5,-1.0,-1.0,1.0,-1.0
19828,25.29,1.0,-1.0,1.0,-1.0
19829,25.63,1.0,-1.0,1.0,-1.0
19830,25.93,1.0,-1.0,1.0,1.0
19831,26.09,-1.0,-1.0,-1.0,-1.0
19832,26.08,1.0,-1.0,1.0,-1.0
19833,26.45,1.0,-1.0,-1.0,-1.0
19834,26.48,1.0,-1.0,1.0,-1.0
19835,26.65,-1.0,-1.0,-1.0,-1.0
19836,26.46,-1.0,-1.0,-1.0,-1.0
19837,26.27,1.0,-1.0,1.0,-1.0
19838,26.51,1.0,-1.0,1.0,-1.0
19839,26.73,-1.0,-1.0,-1.0,-1.0
19840,26.59,1.0,-1.0,1.0,-1.0
19841,26.65,0.0,-1.0,0.0,-1.0
19842,26.65,-1.0,-1.0,-1.0,-1.0
19843,26.35,-1.0,-1.0,-1.0,-1.0
19844,26.3,1.0,-1.0,1.0,-1.0
19845,26.7,1.0,-1.0,1.0,-1.0
19846,26.91,-1.0,-1.0,-1.0,-1.0
19847,26.64,1.0,-1.0,1.0,-1.0
19848,26.82,-1.0,-1.0,-1.0,-1.0
19849,26.68,-1.0,-1.0,1.0,-1.0
19850,26.16,1.0,-1.0,1.0,-1.0
19851,26.47,-1.0,-1.0,-1.0,-1.0
19852,26.36,-1.0,-1.0,-1.0,-1.0
19853,25.96,-1.0,-1.0,-1.0,-1.0
19854,25.77,-1.0,-1.0,-1.0,-1.0
19855,25.64,-1.0,-1.0,-1.0,-1.0
19856,25.49,-1.0,1.0,-1.0,1.0
19857,24.66,-1.0,1.0,-1.0,1.0
19858,24.2,1.0,1.0,-1.0,1.0
19859,25.2,1.0,-1.0,1.0,-1.0
19860,25.24,1.0,-1.0,1.0,-1.0
