,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
21658,26.62,4.484579449432888,-1.0,-1.0,-1.0,-1.0
21660,26.08,3.895475605370319,-1.0,-1.0,-1.0,-1.0
21664,26.14,3.857267917245185,1.0,-1.0,1.0,-1.0
21672,26.49,4.010852540994907,-1.0,-1.0,-1.0,-1.0
21676,25.7,3.122644852869769,-1.0,-1.0,-1.0,-1.0
21679,25.71,3.0589890867759166,1.0,-1.0,1.0,-1.0
21683,25.54,2.790781398650779,-1.0,-1.0,1.0,-1.0
21692,23.86,0.8898141003692182,1.0,1.0,1.0,1.0
21699,24.8,1.6579506461502298,-1.0,1.0,-1.0,1.0
21704,24.98,1.7151910359938043,-1.0,1.0,-1.0,1.0
21705,24.79,1.5006391139625208,-1.0,1.0,-1.0,1.0
21719,24.65,1.0169122055245374,-1.0,1.0,-1.0,1.0
21722,24.65,0.9432564394306836,-1.0,1.0,-1.0,1.0
21726,24.88,1.075048751305545,1.0,1.0,1.0,1.0
21732,26.44,2.487737219117843,1.0,-1.0,1.0,-1.0
21735,27.1,3.074081453023989,-1.0,-1.0,-1.0,-1.0
21738,27.32,3.220425686930134,1.0,-1.0,1.0,-1.0
21740,26.93,2.7813218428675626,-1.0,-1.0,1.0,-1.0
21747,25.52,1.1994583886485728,1.0,1.0,1.0,1.0
21753,25.78,1.312146856460867,1.0,1.0,1.0,1.0
21754,25.97,1.4775949344295825,1.0,1.0,1.0,1.0
21755,26.25,1.7330430123982978,1.0,-1.0,1.0,-1.0
21759,26.24,1.6248353242731604,-1.0,-1.0,-1.0,-1.0
21778,26.22,1.1383488056787527,1.0,1.0,1.0,1.0
21784,26.14,0.9110372734910506,1.0,1.0,1.0,1.0
21786,25.84,0.5619334294284819,1.0,1.0,1.0,1.0
21793,23.88,-1.569930024790512,1.0,1.0,1.0,1.0
21798,25.84,0.26731036505306704,-1.0,1.0,-1.0,1.0
21805,26.56,0.8154469108340727,-1.0,1.0,-1.0,1.0
21806,26.09,0.3208949888027917,-1.0,1.0,-1.0,1.0
21808,26.5,0.6817911447402238,1.0,1.0,1.0,1.0
21813,26.32,0.3790315345838025,1.0,1.0,1.0,1.0
21815,27.01,1.0199276905212322,1.0,1.0,1.0,1.0
21819,27.12,1.0317200023960955,1.0,1.0,1.0,1.0
21826,27.29,1.0298565481771007,1.0,1.0,1.0,1.0
21828,28.1,1.7907527041145348,-1.0,1.0,-1.0,1.0
21830,27.76,1.4016488600519672,1.0,1.0,1.0,1.0
21837,28.37,1.8397854058329732,-1.0,-1.0,-1.0,-1.0
21839,27.95,1.3706815617704038,-1.0,-1.0,-1.0,-1.0
21840,27.82,1.2161296397391226,-1.0,0.0,-1.0,1.0
21844,27.87,1.1679219516139838,1.0,1.0,1.0,1.0
21845,27.96,1.2333700295826981,1.0,1.0,1.0,1.0
21862,28.87,1.725987355050865,-1.0,1.0,-1.0,1.0
21864,29.0,1.8068835109882928,-1.0,1.0,-1.0,1.0
21865,28.76,1.542331588957012,-1.0,1.0,-1.0,-1.0
21867,28.16,0.8932277448944391,1.0,1.0,1.0,1.0
21879,29.85,2.288604680519029,-1.0,1.0,-1.0,1.0
21880,29.69,2.104052758487743,-1.0,1.0,-1.0,1.0
21884,30.42,2.735845070362608,-1.0,1.0,-1.0,1.0
21887,30.7,2.9421893042687515,-1.0,-1.0,-1.0,-1.0
21897,32.21,4.206670083955906,-1.0,-1.0,-1.0,-1.0
21899,31.6,3.5475662398933387,1.0,-1.0,1.0,-1.0
21904,32.47,4.2948066297369145,1.0,-1.0,-1.0,-1.0
21905,32.5,4.30025470770563,1.0,-1.0,1.0,-1.0
21907,32.68,4.431150863643062,-1.0,-1.0,-1.0,-1.0
21909,32.2,3.9020470195804973,-1.0,-1.0,-1.0,-1.0
21911,31.56,3.2129431755179247,-1.0,-1.0,-1.0,-1.0
21914,31.32,2.8992874094240726,1.0,-1.0,1.0,-1.0
21915,31.43,2.9847354873927863,-1.0,-1.0,-1.0,-1.0
21916,30.0,1.5301835653615043,-1.0,-1.0,-1.0,-1.0
21920,29.95,1.3819758772363642,1.0,-1.0,1.0,-1.0
21922,30.05,1.4328720331737976,-1.0,-1.0,-1.0,-1.0
21926,29.89,1.174664345048658,1.0,-1.0,1.0,1.0
21928,30.25,1.4855605009860895,1.0,-1.0,1.0,-1.0
21935,28.19,-0.7463029532329024,1.0,1.0,1.0,1.0
21936,28.28,-0.6808548752641848,1.0,1.0,1.0,1.0
21938,28.18,-0.8299587193267541,-1.0,1.0,-1.0,1.0
21940,28.43,-0.6290625633893256,1.0,1.0,1.0,1.0
21941,28.68,-0.4036144854206079,1.0,1.0,-1.0,1.0
21948,29.72,0.4645220603603981,-1.0,-1.0,1.0,-1.0
21957,28.85,-0.6264452379211605,1.0,1.0,1.0,1.0
21960,28.7,-0.8501010040150128,1.0,1.0,1.0,1.0
21968,28.32,-1.4265163802652907,1.0,1.0,1.0,1.0
21975,29.03,-0.8883798344842795,1.0,1.0,1.0,1.0
21979,29.31,-0.7065875226094214,1.0,1.0,-1.0,1.0
21980,29.4,-0.6411394446407037,1.0,1.0,1.0,1.0
21982,29.55,-0.5402432887032695,-1.0,1.0,-1.0,1.0
21987,29.64,-0.5730028988596914,1.0,1.0,-1.0,1.0
21993,29.78,-0.5803144310473982,-1.0,1.0,1.0,1.0
22001,30.95,0.39327019270232455,1.0,1.0,1.0,1.0
22003,30.75,0.1441663486397573,1.0,1.0,-1.0,1.0
22007,31.7,0.9959586605146172,1.0,1.0,1.0,1.0
22023,31.7,0.6031279080140663,1.0,1.0,1.0,1.0
22024,32.27,1.148575985982788,1.0,1.0,1.0,1.0
22027,33.06,1.8649202198889296,1.0,1.0,1.0,1.0
22028,33.14,1.9203682978576424,-1.0,1.0,-1.0,1.0
22033,34.11,2.76760868770122,-1.0,1.0,1.0,-1.0
22035,34.2,2.8085048436386586,1.0,-1.0,1.0,-1.0
22036,34.58,3.1639529216073683,-1.0,-1.0,-1.0,-1.0
22037,34.43,2.989400999576084,-1.0,-1.0,-1.0,-1.0
22046,34.23,2.56843370129452,1.0,-1.0,1.0,-1.0
22047,34.39,2.703881779263241,-1.0,-1.0,-1.0,-1.0
22048,34.34,2.6293298572319586,-1.0,-1.0,-1.0,-1.0
22055,35.05,3.1674664030129587,-1.0,-1.0,-1.0,-1.0
22058,34.5,2.543810636919112,-1.0,-1.0,-1.0,-1.0
22061,33.96,1.9301548708252556,1.0,1.0,1.0,1.0
22071,34.35,2.0746356505124126,-1.0,1.0,-1.0,1.0
22073,33.95,1.6255318064498496,-1.0,1.0,-1.0,-1.0
22076,33.76,1.3618760403559875,-1.0,-1.0,1.0,-1.0
22083,34.63,2.0600125861369993,-1.0,-1.0,-1.0,-1.0
22085,34.36,1.7409087420744314,-1.0,-1.0,-1.0,-1.0
22090,34.39,1.6481491319180108,-1.0,-1.0,-1.0,-1.0
22095,34.42,1.5553895217615905,-1.0,-1.0,-1.0,-1.0
22097,34.18,1.2662856776990168,1.0,-1.0,1.0,-1.0
22100,34.45,1.4626299116051698,1.0,-1.0,1.0,-1.0
22109,34.0,0.7916626133236022,1.0,-1.0,1.0,-1.0
22116,32.93,-0.45020084089538415,-1.0,-1.0,1.0,-1.0
22122,32.31,-1.217512373083096,-1.0,1.0,-1.0,1.0
22123,32.27,-1.282064295114374,-1.0,1.0,-1.0,1.0
22124,32.06,-1.5166162171456603,-1.0,1.0,-1.0,1.0
22138,33.34,-0.5803431255836387,-1.0,-1.0,-1.0,1.0
22143,33.25,-0.7931027357400637,-1.0,-1.0,-1.0,-1.0
22145,32.76,-1.3322065798026372,-1.0,1.0,-1.0,1.0
22155,32.68,-1.6577258001154789,1.0,1.0,1.0,1.0
22159,32.48,-1.9559334882406247,-1.0,1.0,-1.0,1.0
22169,33.26,-1.4214527085534667,-1.0,1.0,-1.0,1.0
22171,33.1,-1.6305565526160282,-1.0,1.0,-1.0,1.0
22173,33.22,-1.5596603966786018,-1.0,1.0,-1.0,1.0
22184,34.15,-0.8997315390227314,1.0,1.0,1.0,1.0
22186,34.62,-0.478835383085304,1.0,1.0,1.0,1.0
22190,35.43,0.2329569287895623,1.0,1.0,1.0,1.0
22191,35.81,0.5884050067582791,-1.0,1.0,-1.0,1.0
22192,35.73,0.4838530847269951,1.0,1.0,1.0,1.0
22193,36.32,1.0493011626957127,1.0,1.0,1.0,1.0
22194,36.8,1.5047492406644238,-1.0,1.0,-1.0,1.0
22195,36.58,1.2601973186331392,-1.0,1.0,-1.0,1.0
22196,36.13,0.7856453966018577,1.0,1.0,1.0,1.0
22197,36.4,1.0310934745705749,-1.0,1.0,-1.0,1.0
22198,36.27,0.8765415525392868,-1.0,1.0,1.0,1.0
22199,36.17,0.7519896305080067,1.0,1.0,1.0,1.0
22200,36.52,1.0774377084767224,1.0,1.0,1.0,1.0
22201,36.55,1.0828857864454309,1.0,1.0,1.0,1.0
22202,36.68,1.1883338644141546,1.0,1.0,-1.0,1.0
22203,37.0,1.483781942382869,-1.0,1.0,1.0,1.0
22204,36.91,1.3692300203515801,1.0,1.0,-1.0,1.0
22205,37.04,1.4746780983202967,-1.0,1.0,-1.0,1.0
22206,36.79,1.200126176289011,-1.0,1.0,-1.0,1.0
22207,36.72,1.105574254257725,1.0,1.0,1.0,1.0
22208,37.29,1.6510223322264466,1.0,1.0,1.0,1.0
22209,37.31,1.6464704101951642,1.0,-1.0,1.0,-1.0
22210,37.79,2.101918488163875,-1.0,-1.0,-1.0,1.0
22211,37.62,1.907366566132588,1.0,1.0,1.0,-1.0
22212,37.66,1.9228146441013012,1.0,1.0,-1.0,1.0
22213,37.73,1.9682627220700155,-1.0,1.0,-1.0,1.0
22214,37.55,1.7637108000387371,-1.0,1.0,1.0,1.0
22215,37.44,1.629158878007452,1.0,1.0,-1.0,1.0
22216,37.93,2.094606955976168,-1.0,1.0,-1.0,1.0
22217,37.36,1.5000550339448822,1.0,-1.0,1.0,-1.0
22218,37.88,1.9955031119135995,1.0,-1.0,-1.0,-1.0
22219,38.21,2.300951189882319,-1.0,-1.0,-1.0,1.0
22220,38.04,2.106399267851032,-1.0,-1.0,-1.0,-1.0
22221,37.55,1.5918473458197442,-1.0,-1.0,-1.0,-1.0
22222,37.45,1.4672954237884641,1.0,-1.0,1.0,-1.0
22223,37.74,1.7327435017571773,1.0,-1.0,1.0,-1.0
22224,37.88,1.8481915797258992,1.0,-1.0,1.0,-1.0
22225,38.49,2.4336396576946058,-1.0,-1.0,-1.0,-1.0
22226,38.45,2.369087735663328,1.0,-1.0,-1.0,-1.0
22227,38.89,2.78453581363204,1.0,-1.0,1.0,-1.0
22228,38.93,2.7999838916007533,1.0,-1.0,1.0,-1.0
22229,39.03,2.875431969569476,-1.0,-1.0,-1.0,-1.0
22230,38.64,2.4608800475381827,1.0,-1.0,-1.0,-1.0
22231,39.04,2.8363281255069026,0.0,-1.0,-1.0,-1.0
22232,39.04,2.8117762034756164,-1.0,-1.0,-1.0,-1.0
22233,39.03,2.777224281444333,-1.0,-1.0,-1.0,-1.0
22234,38.97,2.6926723594130517,-1.0,-1.0,-1.0,-1.0
22235,38.43,2.1281204373817597,1.0,-1.0,-1.0,-1.0
22236,38.6,2.2735685153504828,-1.0,-1.0,-1.0,-1.0
22237,37.99,1.6390165933191982,-1.0,-1.0,-1.0,-1.0
22238,37.36,0.9844646712879096,-1.0,-1.0,-1.0,-1.0
22239,37.28,0.8799127492566257,1.0,-1.0,1.0,-1.0
22240,37.34,0.9153608272253422,1.0,-1.0,1.0,-1.0
22241,37.73,1.280808905194057,1.0,-1.0,1.0,-1.0
22242,38.28,1.8062569831627755,-1.0,-1.0,-1.0,-1.0
22243,38.09,1.591705061131492,1.0,-1.0,1.0,-1.0
22244,38.64,2.1171531391002034,-1.0,-1.0,-1.0,-1.0
22245,38.26,1.712601217068915,1.0,-1.0,1.0,-1.0
22246,38.36,1.788049295037638,-1.0,-1.0,-1.0,-1.0
22247,37.22,0.6234973730063516,1.0,-1.0,1.0,-1.0
22248,37.26,0.6389454509750649,-1.0,-1.0,1.0,-1.0
22249,36.82,0.17439352894378146,-1.0,-1.0,-1.0,-1.0
22250,36.3,-0.3701583930875074,-1.0,-1.0,1.0,-1.0
22251,36.1,-0.5947103151187889,-1.0,-1.0,-1.0,-1.0
22252,35.46,-1.259262237150068,-1.0,-1.0,-1.0,-1.0
22253,35.27,-1.4738141591813516,-1.0,-1.0,-1.0,-1.0
22254,35.25,-1.5183660812126405,-1.0,1.0,-1.0,1.0
22255,35.21,-1.5829180032439254,-1.0,1.0,-1.0,1.0
22256,35.0,-1.817469925275212,-1.0,1.0,-1.0,1.0
22257,34.76,-2.0820218473065,-1.0,1.0,-1.0,1.0
22258,34.35,-2.516573769337775,1.0,1.0,1.0,1.0
22259,34.91,-1.9811256913690656,-1.0,1.0,-1.0,1.0
22260,34.47,-2.445677613400349,-1.0,1.0,-1.0,1.0
22261,34.07,-2.8702295354316263,1.0,1.0,1.0,1.0
22262,34.14,-2.824781457462919,-1.0,1.0,-1.0,1.0
22263,34.09,-2.8993333794941947,1.0,1.0,1.0,1.0
22264,34.18,-2.8338853015254837,-1.0,1.0,-1.0,1.0
22265,34.08,-2.9584372235567717,1.0,1.0,-1.0,1.0
22266,34.19,-2.8729891455880576,-1.0,1.0,-1.0,1.0
22267,33.14,-3.947541067619341,-1.0,1.0,-1.0,1.0
22268,32.9,-4.212092989650621,1.0,1.0,1.0,1.0
22269,33.16,-3.976644911681909,-1.0,1.0,-1.0,1.0
22270,33.1,-4.06119683371319,1.0,1.0,1.0,1.0
22271,33.41,-3.77574875574448,1.0,1.0,-1.0,1.0
22272,34.48,-2.7303006777757663,-1.0,-1.0,-1.0,-1.0
22273,33.99,-3.2448525998070394,1.0,-1.0,1.0,-1.0
22274,34.28,-2.9794045218383265,-1.0,-1.0,-1.0,-1.0
22275,34.01,-3.2739564438696154,1.0,-1.0,1.0,-1.0
22276,34.16,-3.148508365900902,0.0,-1.0,0.0,-1.0
22277,34.16,-3.173060287932188,1.0,-1.0,1.0,-1.0
22278,34.68,-2.6776122099634634,-1.0,-1.0,-1.0,-1.0
22279,34.49,-2.892164131994747,1.0,-1.0,1.0,-1.0
22280,34.61,-2.796716054026035,1.0,-1.0,1.0,-1.0
22281,34.71,-2.7212679760573195,1.0,-1.0,1.0,-1.0
22282,34.86,-2.5958198980886067,1.0,-1.0,1.0,-1.0
22283,35.25,-2.230371820119892,1.0,-1.0,1.0,-1.0
22284,36.15,-1.3549237421511722,1.0,-1.0,1.0,-1.0
22285,36.19,-1.3394756641824586,0.0,-1.0,0.0,-1.0
22286,36.19,-1.3640275862137443,-1.0,-1.0,1.0,1.0
22287,35.82,-1.7585795082450275,1.0,-1.0,1.0,-1.0
22288,35.85,-1.753131430276312,-1.0,-1.0,-1.0,-1.0
22289,35.79,-1.8376833523076,1.0,-1.0,1.0,-1.0
22290,35.83,-1.82223527433888,-1.0,-1.0,-1.0,-1.0
22291,35.58,-2.0967871963701654,-1.0,-1.0,-1.0,-1.0
22292,34.86,-2.84133911840145,-1.0,-1.0,-1.0,-1.0
22293,34.42,-3.3058910404327264,1.0,-1.0,1.0,-1.0
