,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
25148,30.97,16.356927556034695,-1.0,1.0,-1.0,1.0
25149,30.5,15.825395871046581,-1.0,1.0,-1.0,1.0
25150,30.43,15.693864186058464,-1.0,1.0,-1.0,1.0
25151,30.36,15.562332501070347,-1.0,1.0,-1.0,1.0
25152,29.97,15.110800816082227,-1.0,1.0,-1.0,1.0
25153,29.77,14.849269131094113,1.0,1.0,-1.0,1.0
25154,30.28,15.297737446105995,1.0,1.0,1.0,1.0
25155,30.33,15.286205761117875,-1.0,1.0,-1.0,1.0
25156,29.23,14.124674076129761,1.0,1.0,1.0,1.0
25157,29.61,14.443142391141643,-1.0,1.0,-1.0,1.0
25158,29.2,13.971610706153527,-1.0,1.0,-1.0,1.0
25159,28.97,13.68007902116541,-1.0,1.0,1.0,1.0
25160,28.65,13.29854733617729,1.0,1.0,1.0,1.0
25161,28.85,13.437015651189174,-1.0,1.0,-1.0,1.0
25162,28.63,13.155483966201055,1.0,1.0,1.0,1.0
25163,28.75,13.21395228121294,1.0,1.0,1.0,1.0
25164,29.61,14.012420596224825,1.0,1.0,1.0,1.0
25165,29.74,14.080888911236705,-1.0,1.0,-1.0,1.0
25166,28.93,13.209357226248589,1.0,1.0,1.0,1.0
25167,29.35,13.567825541260474,-1.0,1.0,-1.0,1.0
25168,28.98,13.136293856272356,1.0,1.0,-1.0,1.0
25169,29.56,13.654762171284235,1.0,1.0,1.0,1.0
25170,29.97,14.003230486296117,1.0,1.0,1.0,1.0
25171,29.99,13.961698801308005,1.0,1.0,1.0,1.0
25172,30.32,14.230167116319887,1.0,1.0,1.0,1.0
25173,31.03,14.878635431331771,1.0,1.0,1.0,1.0
25174,31.28,15.067103746343653,-1.0,1.0,-1.0,1.0
25175,30.65,14.375572061355536,1.0,1.0,1.0,1.0
25176,31.38,15.044040376367414,-1.0,1.0,1.0,1.0
25177,31.22,14.822508691379296,1.0,1.0,1.0,1.0
25178,31.23,14.770977006391186,1.0,-1.0,1.0,-1.0
25179,31.65,15.129445321403065,1.0,-1.0,1.0,-1.0
25180,32.69,16.107913636414946,-1.0,-1.0,1.0,-1.0
25181,31.84,15.196381951426833,-1.0,-1.0,-1.0,-1.0
25182,31.62,14.914850266438716,1.0,-1.0,1.0,-1.0
25183,31.95,15.183318581450596,-1.0,-1.0,-1.0,-1.0
25184,31.74,14.911786896462473,1.0,-1.0,1.0,-1.0
25185,33.24,16.350255211474366,1.0,-1.0,1.0,-1.0
25186,34.46,17.508723526486243,1.0,-1.0,1.0,-1.0
25187,34.64,17.627191841498128,1.0,-1.0,-1.0,-1.0
25188,34.99,17.915660156510015,-1.0,-1.0,-1.0,-1.0
25189,34.41,17.27412847152189,1.0,-1.0,1.0,-1.0
25190,34.79,17.592596786533772,-1.0,-1.0,-1.0,-1.0
25191,34.32,17.061065101545662,1.0,-1.0,1.0,-1.0
25192,34.92,17.59953341655755,1.0,-1.0,1.0,-1.0
25193,35.38,17.998001731569428,-1.0,-1.0,-1.0,-1.0
25194,35.11,17.66647004658131,-1.0,-1.0,-1.0,-1.0
25195,34.93,17.424938361593195,1.0,-1.0,1.0,-1.0
25196,35.17,17.603406676605076,-1.0,-1.0,-1.0,-1.0
25197,35.11,17.481874991616962,-1.0,-1.0,-1.0,-1.0
25198,34.3,16.610343306628838,-1.0,-1.0,1.0,-1.0
25199,33.67,15.918811621640724,-1.0,-1.0,-1.0,-1.0
25200,33.03,15.217279936652611,-1.0,-1.0,-1.0,-1.0
25201,32.92,15.045748251664493,-1.0,-1.0,-1.0,-1.0
25202,32.35,14.414216566676373,-1.0,-1.0,-1.0,-1.0
25203,31.89,13.892684881688256,-1.0,-1.0,-1.0,-1.0
25204,31.42,13.361153196700142,-1.0,-1.0,-1.0,-1.0
25205,31.4,13.279621511712019,1.0,-1.0,-1.0,-1.0
25206,31.94,13.758089826723905,1.0,-1.0,1.0,-1.0
25207,31.97,13.726558141735785,-1.0,-1.0,-1.0,-1.0
25208,31.08,12.775026456747668,-1.0,-1.0,-1.0,-1.0
25209,30.75,12.383494771759553,1.0,-1.0,-1.0,-1.0
25210,30.96,12.531963086771436,-1.0,-1.0,-1.0,-1.0
25211,30.13,11.640431401783314,-1.0,-1.0,-1.0,-1.0
