,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
27015,50.18,6.1419304067397595,-1.0,1.0,-1.0,-1.0
27016,49.72,5.667772750645753,1.0,1.0,-1.0,-1.0
27017,49.81,5.743615094551751,-1.0,1.0,-1.0,1.0
27018,49.19,5.1094574384577385,-1.0,1.0,-1.0,1.0
27019,48.43,4.335299782363727,1.0,1.0,1.0,1.0
27020,49.18,5.071142126269719,1.0,1.0,1.0,1.0
27021,49.7,5.5769844701757165,1.0,1.0,-1.0,1.0
27022,50.94,6.802826814081705,-1.0,1.0,-1.0,1.0
27023,48.3,4.1486691579876975,-1.0,1.0,-1.0,1.0
27024,47.65,3.4845115018936923,-1.0,1.0,-1.0,1.0
27025,45.95,1.77035384579969,1.0,1.0,1.0,1.0
27026,47.06,2.8661961897056827,1.0,1.0,1.0,1.0
27027,47.11,2.902038533611673,1.0,1.0,1.0,1.0
27028,47.36,3.1378808775176665,-1.0,1.0,-1.0,1.0
27029,47.14,2.903723221423661,1.0,1.0,1.0,1.0
27030,48.25,3.999565565329654,1.0,1.0,1.0,1.0
27031,48.74,4.475407909235641,1.0,1.0,1.0,1.0
27032,48.85,4.571250253141635,1.0,1.0,1.0,1.0
27033,49.04,4.747092597047626,1.0,1.0,1.0,1.0
27034,49.12,4.8129349409536175,-1.0,1.0,-1.0,1.0
27035,48.13,3.808777284859616,1.0,1.0,1.0,1.0
27036,49.07,4.734619628765606,1.0,1.0,1.0,1.0
27037,49.19,4.840461972671598,1.0,1.0,-1.0,1.0
27038,49.45,5.086304316577596,1.0,1.0,1.0,1.0
27039,50.02,5.64214666048359,-1.0,1.0,-1.0,1.0
27040,49.94,5.547989004389578,1.0,1.0,1.0,1.0
27041,50.17,5.763831348295575,1.0,1.0,1.0,1.0
27042,50.57,6.149673692201568,1.0,1.0,1.0,1.0
27043,51.51,7.075516036107551,1.0,1.0,-1.0,1.0
27044,51.7,7.251358380013549,-1.0,1.0,-1.0,1.0
27045,51.25,6.78720072391954,1.0,1.0,1.0,1.0
27046,52.47,7.993043067825532,1.0,1.0,1.0,1.0
27047,52.63,8.138885411731527,1.0,1.0,1.0,1.0
27048,52.69,8.184727755637518,1.0,1.0,1.0,1.0
27049,52.77,8.250570099543516,1.0,-1.0,1.0,-1.0
27050,53.7,9.166412443449511,1.0,-1.0,-1.0,-1.0
27051,54.64,10.0922547873555,1.0,-1.0,1.0,-1.0
27052,54.82,10.258097131261492,-1.0,-1.0,-1.0,-1.0
27053,54.1,9.523939475167488,-1.0,-1.0,-1.0,-1.0
27054,53.86,9.269781819073481,-1.0,-1.0,-1.0,-1.0
27055,53.5,8.895624162979466,1.0,-1.0,-1.0,-1.0
27056,53.65,9.031466506885456,-1.0,-1.0,-1.0,-1.0
27057,53.21,8.577308850791454,1.0,-1.0,-1.0,-1.0
27058,53.47,8.823151194697445,1.0,-1.0,1.0,-1.0
27059,53.65,8.988993538603436,1.0,-1.0,-1.0,-1.0
27060,53.79,9.114835882509432,1.0,-1.0,1.0,-1.0
27061,54.29,9.600678226415424,1.0,-1.0,1.0,-1.0
27062,54.74,10.036520570321422,1.0,-1.0,1.0,-1.0
27063,55.52,10.802362914227416,1.0,-1.0,1.0,-1.0
27064,55.96,11.228205258133409,-1.0,-1.0,-1.0,-1.0
27065,55.28,10.5340476020394,1.0,-1.0,1.0,-1.0
27066,55.4,10.639889945945393,1.0,-1.0,1.0,-1.0
27067,55.76,10.985732289851377,-1.0,-1.0,-1.0,-1.0
27068,55.56,10.771574633757377,-1.0,-1.0,-1.0,-1.0
27069,55.47,10.667416977663363,1.0,-1.0,-1.0,-1.0
27070,56.56,11.74325932156936,-1.0,-1.0,-1.0,-1.0
27071,55.47,10.639101665475351,-1.0,-1.0,-1.0,-1.0
27072,54.42,9.574944009381348,1.0,-1.0,1.0,-1.0
27073,54.59,9.730786353287344,1.0,-1.0,1.0,-1.0
27074,55.32,10.446628697193331,-1.0,-1.0,-1.0,-1.0
27075,54.75,9.862471041099326,-1.0,-1.0,-1.0,-1.0
27076,54.6,9.69831338500532,1.0,-1.0,1.0,-1.0
27077,55.47,10.554155728911313,-1.0,-1.0,1.0,-1.0
27078,54.73,9.799998072817298,-1.0,-1.0,-1.0,-1.0
27079,52.41,7.46584041672329,-1.0,-1.0,-1.0,-1.0
27080,49.63,4.671682760629288,1.0,-1.0,1.0,-1.0
27081,52.33,7.357525104535277,-1.0,-1.0,-1.0,-1.0
27082,50.96,5.973367448441273,1.0,-1.0,1.0,-1.0
27083,51.43,6.429209792347264,-1.0,-1.0,1.0,-1.0
27084,48.82,3.8050521362532588,-1.0,-1.0,-1.0,-1.0
27085,48.14,3.110894480159253,-1.0,-1.0,-1.0,-1.0
27086,46.28,1.2367368240652468,-1.0,-1.0,-1.0,-1.0
27087,44.27,-0.7874208320287579,1.0,1.0,1.0,-1.0
27088,49.75,4.678421511877231,-1.0,-1.0,-1.0,-1.0
27089,48.94,3.854263855783224,1.0,-1.0,1.0,-1.0
