,Close,Target(1),Target(30),Prediction(1),Prediction(30)
28882,146.6,1.0,1.0,1.0,1.0
28883,146.89,-1.0,1.0,-1.0,1.0
28884,145.75,1.0,1.0,1.0,1.0
28885,146.42,1.0,1.0,1.0,1.0
28886,148.15,-1.0,1.0,-1.0,1.0
28887,145.86,1.0,1.0,1.0,1.0
28888,154.27,1.0,1.0,1.0,1.0
28889,156.63,-1.0,1.0,1.0,1.0
28890,154.58,1.0,1.0,1.0,1.0
28891,158.12,-1.0,1.0,-1.0,1.0
28892,157.4,-1.0,1.0,-1.0,1.0
28893,156.53,-1.0,1.0,1.0,1.0
28894,156.09,-1.0,1.0,1.0,1.0
28895,154.41,1.0,1.0,1.0,1.0
28896,156.73,1.0,1.0,1.0,1.0
28897,160.28,1.0,1.0,1.0,1.0
28898,161.66,1.0,1.0,1.0,1.0
28899,162.88,1.0,1.0,1.0,1.0
28900,163.43,1.0,1.0,1.0,1.0
28901,165.27,-1.0,1.0,-1.0,1.0
28902,162.95,-1.0,1.0,-1.0,1.0
28903,160.85,1.0,1.0,1.0,1.0
28904,163.2,-1.0,1.0,-1.0,1.0
28905,162.95,1.0,1.0,1.0,1.0
28906,164.83,-1.0,1.0,-1.0,1.0
28907,162.92,-1.0,1.0,-1.0,1.0
28908,162.53,1.0,1.0,1.0,1.0
28909,163.7,-1.0,1.0,-1.0,1.0
28910,163.07,1.0,1.0,1.0,1.0
28911,163.38,-1.0,1.0,-1.0,1.0
28912,162.62,-1.0,1.0,-1.0,1.0
28913,161.05,1.0,1.0,1.0,1.0
28914,162.9,1.0,1.0,1.0,1.0
28915,166.73,-1.0,1.0,-1.0,1.0
28916,166.16,-1.0,1.0,-1.0,1.0
28917,163.55,-1.0,1.0,-1.0,1.0
28918,160.38,-1.0,1.0,-1.0,1.0
28919,159.38,1.0,1.0,1.0,1.0
28920,159.82,-1.0,1.0,-1.0,1.0
28921,159.66,1.0,1.0,1.0,1.0
28922,159.89,1.0,1.0,1.0,1.0
28923,164.9,1.0,1.0,1.0,1.0
28924,165.29,-1.0,1.0,-1.0,1.0
28925,162.51,1.0,1.0,1.0,1.0
28926,165.96,-1.0,1.0,-1.0,1.0
28927,164.9,1.0,1.0,1.0,1.0
28928,165.63,-1.0,1.0,-1.0,1.0
28929,165.14,1.0,1.0,1.0,1.0
28930,165.64,1.0,1.0,1.0,1.0
28931,168.0,1.0,1.0,1.0,1.0
28932,168.05,-1.0,1.0,-1.0,1.0
28933,168.02,-1.0,1.0,-1.0,1.0
28934,167.93,1.0,1.0,1.0,1.0
28935,169.9,1.0,1.0,1.0,1.0
28936,177.11,1.0,1.0,1.0,1.0
28937,179.94,1.0,1.0,1.0,1.0
28938,183.32,-1.0,1.0,-1.0,1.0
28939,181.29,1.0,1.0,1.0,1.0
28940,186.0,-1.0,1.0,-1.0,1.0
28941,181.8,-1.0,1.0,-1.0,1.0
28942,180.72,1.0,1.0,1.0,1.0
28943,183.28,1.0,1.0,1.0,1.0
28944,185.84,-1.0,1.0,-1.0,1.0
28945,185.4,-1.0,1.0,-1.0,1.0
28946,183.17,-1.0,1.0,-1.0,1.0
28947,177.19,1.0,1.0,1.0,1.0
28948,178.7,1.0,1.0,1.0,1.0
28949,184.16,-1.0,1.0,1.0,1.0
28950,180.76,1.0,1.0,1.0,1.0
28951,186.69,1.0,1.0,1.0,1.0
28952,188.98,-1.0,1.0,-1.0,1.0
28953,182.07,1.0,1.0,1.0,1.0
28954,185.06,-1.0,1.0,-1.0,1.0
28955,183.82,-1.0,1.0,-1.0,1.0
28956,182.86,1.0,1.0,1.0,1.0
28957,188.21,1.0,1.0,-1.0,1.0
28958,188.76,1.0,1.0,1.0,1.0
28959,191.25,-1.0,1.0,-1.0,1.0
28960,189.97,1.0,1.0,1.0,1.0
28961,191.63,1.0,1.0,1.0,1.0
