,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
29807,26.09,-1.3884537982999952,-1.0,1.0,-1.0,1.0
29808,24.4,-3.098237823785052,1.0,1.0,-1.0,1.0
29809,24.91,-2.6080218492701093,-1.0,1.0,-1.0,1.0
29810,24.16,-3.3778058747551647,1.0,1.0,1.0,1.0
29811,24.23,-3.3275899002402234,-1.0,1.0,-1.0,1.0
29812,23.96,-3.617373925725282,1.0,1.0,1.0,1.0
29813,23.97,-3.6271579512103393,-1.0,1.0,-1.0,1.0
29814,23.79,-3.826941976695398,-1.0,1.0,-1.0,1.0
29815,22.59,-5.046726002180456,-1.0,1.0,-1.0,1.0
29816,22.41,-5.246510027665512,-1.0,1.0,-1.0,1.0
29817,22.16,-5.51629405315057,1.0,1.0,1.0,1.0
29818,23.14,-4.556078078635629,1.0,1.0,1.0,1.0
29819,26.92,-0.7958621041206833,-1.0,1.0,-1.0,1.0
29820,26.3,-1.4356461296057432,1.0,1.0,1.0,1.0
29821,26.82,-0.9354301550908026,1.0,1.0,1.0,1.0
29822,27.43,-0.3452141805758586,-1.0,1.0,-1.0,1.0
29823,26.9,-0.8949982060609187,-1.0,1.0,-1.0,1.0
29824,26.71,-1.104782231545972,-1.0,1.0,-1.0,1.0
29825,26.53,-1.3045662570310306,1.0,1.0,-1.0,1.0
29826,28.43,0.5756497174839089,-1.0,1.0,-1.0,1.0
29827,26.76,-1.1141343080011443,1.0,1.0,-1.0,1.0
29828,27.99,0.09608166651379337,-1.0,1.0,-1.0,1.0
29829,27.51,-0.4037023589712625,-1.0,1.0,1.0,1.0
29830,24.77,-3.16348638445632,1.0,1.0,1.0,1.0
29831,25.78,-2.1732704099413773,-1.0,1.0,-1.0,1.0
29832,25.03,-2.9430544354264363,-1.0,1.0,-1.0,1.0
29833,24.88,-3.112838460911494,1.0,1.0,1.0,1.0
29834,26.71,-1.302622486396551,1.0,1.0,1.0,1.0
29835,28.08,0.04759348811838749,1.0,1.0,1.0,1.0
29836,29.1,1.0478094626333352,1.0,1.0,1.0,1.0
29837,32.77,4.698025437148278,1.0,1.0,1.0,1.0
29838,36.24,8.148241411663221,-1.0,1.0,-1.0,1.0
29839,35.11,6.99845738617816,-1.0,1.0,-1.0,1.0
29840,34.23,6.098673360693097,1.0,1.0,1.0,1.0
29841,34.32,6.168889335208046,-1.0,1.0,-1.0,1.0
29842,33.61,5.439105309722986,1.0,1.0,1.0,1.0
29843,34.41,6.219321284237925,1.0,1.0,1.0,1.0
29844,34.64,6.429537258752871,1.0,1.0,1.0,1.0
29845,34.8,6.569753233267812,-1.0,1.0,1.0,1.0
29846,33.39,5.139969207782755,-1.0,1.0,-1.0,1.0
29847,33.28,5.0101851822977,-1.0,1.0,-1.0,1.0
29848,33.17,4.880401156812642,1.0,1.0,1.0,1.0
29849,34.51,6.200617131327583,-1.0,1.0,-1.0,1.0
29850,34.21,5.880833105842527,1.0,1.0,1.0,1.0
29851,34.45,6.10104908035747,-1.0,1.0,-1.0,1.0
29852,34.19,5.821265054872409,-1.0,1.0,-1.0,1.0
29853,34.14,5.751481029387352,-1.0,1.0,-1.0,1.0
29854,34.11,5.701697003902294,1.0,1.0,1.0,1.0
29855,35.06,6.63191297841724,1.0,1.0,1.0,1.0
29856,35.91,7.462128952932176,1.0,1.0,1.0,1.0
29857,39.69,11.222344927447116,-1.0,-1.0,-1.0,-1.0
29858,37.59,9.102560901962068,1.0,-1.0,1.0,-1.0
29859,38.14,9.632776876477006,1.0,-1.0,1.0,-1.0
29860,41.22,12.69299285099195,-1.0,-1.0,-1.0,-1.0
29861,40.15,11.60320882550689,-1.0,-1.0,-1.0,-1.0
29862,39.74,11.173424800021834,1.0,-1.0,1.0,-1.0
