,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
33541,32.12,8.135153600815862,-1.0,1.0,1.0,1.0
33542,31.49,7.46908420132495,1.0,1.0,1.0,1.0
33543,31.85,7.7930148018340395,-1.0,1.0,-1.0,1.0
33544,31.58,7.4869454023431254,-1.0,1.0,-1.0,1.0
33545,31.43,7.300876002852213,1.0,1.0,1.0,1.0
33546,31.67,7.504806603361299,1.0,1.0,-1.0,1.0
33547,32.11,7.908737203870383,-1.0,1.0,1.0,1.0
33548,31.66,7.422667804379473,1.0,1.0,1.0,1.0
33549,31.73,7.45659840488856,-1.0,1.0,-1.0,1.0
33550,30.92,6.610529005397644,-1.0,1.0,-1.0,1.0
33551,30.16,5.814459605906731,1.0,1.0,1.0,1.0
33552,30.37,5.9883902064158185,-1.0,1.0,-1.0,1.0
33553,30.13,5.712320806924903,-1.0,1.0,-1.0,1.0
33554,29.76,5.30625140743399,1.0,1.0,1.0,1.0
33555,29.86,5.370182007943074,1.0,1.0,-1.0,1.0
33556,30.81,6.284112608452162,-1.0,1.0,-1.0,1.0
33557,30.71,6.1480432089612504,-1.0,1.0,-1.0,1.0
33558,30.65,6.051973809470332,1.0,1.0,1.0,1.0
33559,30.91,6.2759044099794234,-1.0,1.0,1.0,1.0
33560,30.81,6.139835010488508,-1.0,1.0,1.0,1.0
33561,30.43,5.723765610997597,1.0,1.0,-1.0,1.0
33562,30.95,6.207696211506679,-1.0,1.0,-1.0,1.0
33563,30.56,5.781626812015767,-1.0,1.0,-1.0,1.0
33564,30.52,5.705557412524854,1.0,1.0,1.0,1.0
33565,30.65,5.799488013033941,1.0,1.0,1.0,1.0
33566,30.73,5.843418613543027,1.0,1.0,1.0,1.0
33567,30.77,5.847349214052112,1.0,1.0,1.0,1.0
33568,30.97,6.011279814561199,1.0,1.0,1.0,1.0
33569,31.68,6.685210415070287,1.0,1.0,1.0,1.0
33570,32.22,7.189141015579374,1.0,1.0,1.0,1.0
33571,32.34,7.273071616088463,1.0,1.0,1.0,1.0
33572,32.61,7.507002216597545,1.0,1.0,1.0,1.0
33573,32.98,7.84093281710663,-1.0,1.0,-1.0,1.0
33574,32.9,7.724863417615719,-1.0,1.0,-1.0,1.0
33575,32.62,7.4087940181248015,1.0,1.0,1.0,1.0
33576,33.14,7.892724618633893,1.0,1.0,1.0,1.0
33577,33.5,8.216655219142979,-1.0,1.0,-1.0,1.0
33578,33.3,7.980585819652062,-1.0,1.0,-1.0,1.0
33579,33.2,7.844516420161152,1.0,1.0,1.0,1.0
33580,33.35,7.9584470206702385,-1.0,1.0,-1.0,1.0
33581,33.17,7.742377621179325,1.0,1.0,1.0,1.0
33582,33.48,8.016308221688409,1.0,1.0,1.0,1.0
33583,33.67,8.170238822197497,1.0,1.0,1.0,1.0
33584,33.97,8.434169422706583,1.0,1.0,1.0,1.0
33585,34.37,8.798100023215667,-1.0,1.0,-1.0,1.0
33586,34.34,8.73203062372476,1.0,1.0,1.0,1.0
33587,34.38,8.735961224233847,1.0,1.0,1.0,1.0
33588,34.89,9.209891824742927,1.0,1.0,1.0,1.0
33589,35.63,9.913822425252018,-1.0,1.0,-1.0,1.0
33590,35.47,9.717753025761102,-1.0,-1.0,-1.0,-1.0
33591,34.9,9.111683626270189,-1.0,1.0,-1.0,1.0
33592,34.76,8.935614226779274,-1.0,-1.0,-1.0,1.0
33593,34.63,8.769544827288364,1.0,-1.0,1.0,1.0
33594,34.96,9.06347542779745,1.0,-1.0,1.0,-1.0
33595,35.02,9.087406028306539,1.0,-1.0,1.0,-1.0
33596,35.79,9.821336628815619,-1.0,-1.0,-1.0,-1.0
33597,35.69,9.685267229324703,-1.0,-1.0,-1.0,-1.0
33598,34.44,8.399197829833792,1.0,1.0,1.0,1.0
33599,34.89,8.813128430342882,1.0,-1.0,1.0,1.0
33600,35.0,8.887059030851965,-1.0,1.0,-1.0,1.0
33601,34.94,8.79098963136105,-1.0,1.0,-1.0,1.0
33602,34.92,8.734920231870142,-1.0,-1.0,-1.0,-1.0
33603,34.89,8.668850832379228,1.0,-1.0,1.0,-1.0
33604,34.94,8.682781432888309,-1.0,-1.0,-1.0,1.0
33605,33.79,7.496712033397398,-1.0,1.0,-1.0,1.0
33606,33.69,7.360642633906482,1.0,1.0,1.0,1.0
33607,36.36,9.994573234415572,1.0,-1.0,-1.0,-1.0
33608,36.43,10.028503834924656,1.0,-1.0,1.0,-1.0
33609,36.57,10.132434435433744,-1.0,1.0,-1.0,-1.0
33610,35.6,9.126365035942833,1.0,1.0,1.0,1.0
33611,36.45,9.94029563645192,-1.0,1.0,-1.0,1.0
33612,35.27,8.724226236961009,-1.0,1.0,-1.0,1.0
33613,34.65,8.068156837470088,1.0,1.0,1.0,1.0
33614,36.54,9.922087437979176,-1.0,1.0,-1.0,1.0
33615,36.26,9.606018038488262,1.0,1.0,1.0,1.0
33616,37.18,10.489948638997348,-1.0,-1.0,-1.0,-1.0
33617,37.02,10.293879239506438,-1.0,-1.0,-1.0,-1.0
33618,35.87,9.10780984001552,1.0,1.0,1.0,1.0
33619,36.24,9.441740440524613,-1.0,-1.0,-1.0,1.0
33620,35.29,8.455671041033696,1.0,-1.0,1.0,-1.0
33621,35.42,8.549601641542782,-1.0,-1.0,1.0,-1.0
33622,33.83,6.923532242051866,1.0,1.0,1.0,1.0
33623,34.3,7.357462842560952,-1.0,1.0,-1.0,1.0
33624,33.54,6.561393443070044,1.0,1.0,1.0,1.0
33625,34.37,7.355324043579124,-1.0,1.0,-1.0,1.0
33626,34.19,7.139254644088211,1.0,1.0,1.0,1.0
33627,35.3,8.213185244597298,-1.0,-1.0,-1.0,1.0
33628,34.7,7.577115845106392,-1.0,1.0,-1.0,1.0
33629,34.62,7.461046445615473,1.0,1.0,-1.0,1.0
33630,35.72,8.524977046124556,1.0,1.0,-1.0,1.0
33631,35.78,8.548907646633648,-1.0,1.0,-1.0,1.0
33632,34.31,7.042838247142737,-1.0,1.0,-1.0,1.0
33633,33.77,6.466768847651822,1.0,1.0,1.0,1.0
33634,34.12,6.780699448160902,-1.0,1.0,-1.0,1.0
33635,34.0,6.624630048669992,1.0,1.0,1.0,1.0
33636,35.34,7.928560649179082,1.0,1.0,1.0,1.0
33637,35.85,8.402491249688168,-1.0,1.0,-1.0,1.0
33638,35.75,8.266421850197254,1.0,1.0,-1.0,1.0
33639,36.91,9.390352450706336,-1.0,-1.0,-1.0,-1.0
33640,36.87,9.314283051215423,1.0,1.0,-1.0,1.0
33641,37.24,9.648213651724516,-1.0,1.0,-1.0,1.0
33642,37.05,9.422144252233592,-1.0,1.0,-1.0,1.0
33643,37.0,9.336074852742684,-1.0,1.0,-1.0,1.0
33644,36.68,8.980005453251769,-1.0,1.0,-1.0,1.0
33645,36.42,8.68393605376086,-1.0,1.0,-1.0,1.0
33646,35.94,8.167866654269941,1.0,1.0,1.0,1.0
33647,36.04,8.231797254779028,1.0,1.0,-1.0,1.0
33648,36.6,8.755727855288116,-1.0,1.0,-1.0,1.0
33649,34.89,7.0096584557972035,-1.0,1.0,1.0,1.0
33650,34.7,6.78358905630629,-1.0,1.0,-1.0,1.0
33651,34.51,6.557519656815371,-1.0,1.0,1.0,1.0
33652,34.19,6.20145025732446,1.0,1.0,1.0,1.0
33653,34.39,6.36538085783355,1.0,1.0,-1.0,1.0
33654,35.81,7.749311458342639,1.0,1.0,1.0,1.0
33655,35.85,7.753242058851725,1.0,1.0,1.0,1.0
33656,35.88,7.7471726593608095,-1.0,1.0,-1.0,1.0
33657,35.24,7.071103259869897,1.0,1.0,-1.0,1.0
33658,36.47,8.265033860378978,1.0,-1.0,1.0,-1.0
33659,36.73,8.488964460888063,1.0,-1.0,1.0,-1.0
33660,36.96,8.682895061397153,-1.0,-1.0,-1.0,-1.0
33661,36.58,8.266825661906239,1.0,1.0,1.0,1.0
33662,36.75,8.400756262415326,1.0,-1.0,1.0,-1.0
33663,37.51,9.124686862924413,-1.0,-1.0,-1.0,-1.0
33664,36.38,7.9586174634335025,1.0,1.0,-1.0,1.0
33665,36.93,8.472548063942586,-1.0,1.0,-1.0,1.0
33666,36.81,8.316478664451672,1.0,1.0,1.0,1.0
