,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
35408,22.82,-2.6506437652047983,-1.0,1.0,-1.0,1.0
35409,22.66,-2.8262096344021583,-1.0,1.0,-1.0,1.0
35410,22.48,-3.021775503599517,1.0,1.0,1.0,1.0
35411,22.6,-2.9173413727968764,-1.0,1.0,-1.0,1.0
35412,22.55,-2.9829072419942366,1.0,1.0,1.0,1.0
35413,22.78,-2.7684731111916,-1.0,1.0,-1.0,1.0
35414,22.7,-2.864038980388962,1.0,1.0,1.0,1.0
35415,23.74,-1.8396048495863224,-1.0,1.0,-1.0,1.0
35416,23.56,-2.0351707187836823,-1.0,1.0,-1.0,1.0
35417,23.1,-2.5107365879810395,-1.0,1.0,-1.0,1.0
35418,22.77,-2.8563024571784013,1.0,1.0,1.0,1.0
35419,22.86,-2.7818683263757613,1.0,1.0,1.0,1.0
35420,22.88,-2.7774341955731248,1.0,1.0,1.0,1.0
35421,22.94,-2.733000064770483,1.0,1.0,1.0,1.0
35422,22.98,-2.708565933967844,1.0,1.0,1.0,1.0
35423,23.04,-2.6641318031652053,1.0,1.0,1.0,1.0
35424,23.27,-2.4496976723625643,1.0,1.0,-1.0,1.0
35425,23.34,-2.395263541559924,1.0,1.0,1.0,1.0
35426,23.54,-2.210829410757285,1.0,1.0,1.0,1.0
35427,23.61,-2.156395279954644,1.0,1.0,1.0,1.0
35428,23.72,-2.061961149152008,1.0,1.0,1.0,1.0
35429,23.87,-1.9275270183493658,-1.0,1.0,-1.0,1.0
35430,23.77,-2.043092887546728,-1.0,1.0,-1.0,1.0
35431,23.73,-2.0986587567440864,1.0,1.0,1.0,1.0
35432,24.02,-1.8242246259414472,1.0,1.0,-1.0,1.0
35433,24.13,-1.7297904951388077,1.0,1.0,1.0,1.0
35434,24.29,-1.5853563643361674,-1.0,1.0,1.0,1.0
35435,24.17,-1.7209222335335284,1.0,1.0,1.0,1.0
35436,24.43,-1.4764881027308905,-1.0,1.0,-1.0,1.0
35437,24.39,-1.532053971928249,1.0,1.0,1.0,1.0
