,Close,Target(1),Target(30),Prediction(1),Prediction(30)
37275,25.67,0.0,1.0,0.0,1.0
37276,25.67,1.0,1.0,1.0,1.0
37277,25.83,-1.0,1.0,-1.0,1.0
37278,25.31,-1.0,1.0,-1.0,1.0
37279,24.7,1.0,1.0,1.0,1.0
37280,26.18,1.0,1.0,1.0,1.0
37281,26.37,1.0,1.0,1.0,1.0
37282,26.5,-1.0,1.0,-1.0,1.0
37283,25.51,-1.0,1.0,-1.0,1.0
37284,25.32,-1.0,1.0,1.0,1.0
37285,25.04,1.0,1.0,1.0,1.0
37286,25.27,-1.0,1.0,1.0,1.0
37287,24.96,1.0,1.0,1.0,1.0
37288,25.37,-1.0,1.0,-1.0,1.0
37289,25.33,1.0,1.0,1.0,1.0
37290,25.65,1.0,1.0,1.0,1.0
37291,25.69,1.0,1.0,1.0,1.0
37292,25.73,1.0,1.0,1.0,1.0
37293,25.89,-1.0,1.0,-1.0,1.0
37294,25.88,-1.0,1.0,-1.0,1.0
37295,25.63,1.0,1.0,1.0,1.0
37296,25.76,-1.0,1.0,-1.0,1.0
37297,25.66,1.0,1.0,1.0,1.0
37298,26.3,1.0,1.0,1.0,1.0
37299,27.19,1.0,1.0,-1.0,1.0
37300,27.45,1.0,1.0,1.0,1.0
37301,28.12,1.0,1.0,1.0,1.0
37302,28.27,1.0,1.0,1.0,1.0
37303,29.2,1.0,1.0,1.0,1.0
37304,29.45,1.0,1.0,1.0,1.0
37305,30.41,1.0,1.0,1.0,1.0
37306,31.27,1.0,1.0,1.0,1.0
37307,31.41,1.0,1.0,1.0,1.0
37308,31.94,-1.0,1.0,-1.0,1.0
37309,31.28,1.0,1.0,1.0,1.0
37310,31.65,1.0,1.0,1.0,1.0
37311,32.08,-1.0,1.0,-1.0,1.0
37312,31.94,-1.0,1.0,-1.0,1.0
37313,31.39,-1.0,1.0,-1.0,1.0
37314,31.26,1.0,1.0,1.0,1.0
37315,31.52,1.0,1.0,1.0,1.0
37316,31.56,-1.0,1.0,-1.0,1.0
37317,31.51,1.0,1.0,1.0,1.0
37318,31.68,0.0,1.0,0.0,1.0
37319,31.68,-1.0,1.0,-1.0,1.0
37320,31.61,-1.0,1.0,-1.0,1.0
37321,31.42,1.0,1.0,1.0,1.0
37322,32.45,1.0,1.0,1.0,1.0
37323,32.83,-1.0,1.0,-1.0,1.0
37324,32.66,-1.0,1.0,-1.0,1.0
