,Close,Target(1),Target(30),Prediction(1),Prediction(30)
39141,36.5,1.0,1.0,1.0,1.0
39142,37.37,-1.0,1.0,-1.0,1.0
39143,36.86,-1.0,1.0,-1.0,1.0
39144,36.44,-1.0,1.0,-1.0,1.0
39145,35.72,1.0,1.0,1.0,1.0
39146,36.25,1.0,1.0,1.0,1.0
39147,36.9,-1.0,1.0,-1.0,1.0
39148,36.63,-1.0,1.0,-1.0,1.0
39149,35.39,-1.0,1.0,1.0,1.0
39150,35.16,-1.0,1.0,-1.0,1.0
39151,34.86,1.0,1.0,-1.0,1.0
39152,35.32,1.0,1.0,1.0,1.0
39153,35.38,1.0,1.0,1.0,1.0
39154,35.87,1.0,1.0,1.0,1.0
39155,36.6,1.0,1.0,1.0,1.0
39156,37.71,1.0,1.0,-1.0,1.0
39157,37.77,1.0,1.0,1.0,1.0
39158,37.87,1.0,1.0,1.0,1.0
39159,38.13,1.0,1.0,1.0,1.0
39160,38.14,-1.0,1.0,-1.0,1.0
39161,36.97,-1.0,1.0,-1.0,1.0
39162,36.88,1.0,1.0,1.0,1.0
39163,36.91,1.0,1.0,1.0,1.0
39164,37.49,1.0,1.0,1.0,1.0
39165,39.44,1.0,1.0,1.0,1.0
39166,40.33,1.0,1.0,1.0,1.0
39167,40.35,-1.0,1.0,-1.0,1.0
39168,40.29,1.0,1.0,1.0,1.0
39169,41.17,1.0,1.0,1.0,1.0
39170,41.25,-1.0,1.0,-1.0,1.0
39171,41.0,1.0,1.0,1.0,1.0
39172,41.33,1.0,1.0,1.0,1.0
39173,41.4,1.0,1.0,1.0,1.0
39174,41.94,1.0,1.0,1.0,1.0
39175,42.2,1.0,1.0,1.0,1.0
39176,42.6,1.0,1.0,1.0,1.0
39177,42.83,1.0,1.0,1.0,1.0
39178,42.85,-1.0,1.0,-1.0,1.0
39179,42.24,1.0,1.0,1.0,1.0
39180,43.05,1.0,1.0,1.0,1.0
39181,43.2,-1.0,-1.0,-1.0,1.0
39182,42.51,-1.0,-1.0,1.0,-1.0
39183,41.83,-1.0,-1.0,-1.0,-1.0
39184,41.47,1.0,1.0,1.0,1.0
39185,42.15,1.0,1.0,1.0,1.0
39186,42.53,1.0,1.0,1.0,1.0
39187,42.63,1.0,1.0,1.0,1.0
39188,42.87,1.0,-1.0,1.0,1.0
39189,43.16,1.0,-1.0,1.0,-1.0
39190,43.62,-1.0,-1.0,-1.0,1.0
39191,43.61,1.0,-1.0,1.0,1.0
39192,43.68,1.0,-1.0,1.0,-1.0
39193,44.31,-1.0,-1.0,-1.0,-1.0
39194,43.51,-1.0,-1.0,-1.0,-1.0
39195,43.14,1.0,-1.0,1.0,-1.0
39196,44.52,-1.0,-1.0,-1.0,-1.0
39197,44.51,-1.0,-1.0,-1.0,1.0
39198,43.9,-1.0,-1.0,-1.0,-1.0
39199,43.73,1.0,-1.0,-1.0,-1.0
39200,44.2,-1.0,-1.0,-1.0,-1.0
39201,43.82,1.0,-1.0,1.0,-1.0
39202,43.92,1.0,-1.0,1.0,-1.0
39203,44.66,1.0,-1.0,1.0,-1.0
39204,44.79,-1.0,-1.0,-1.0,-1.0
39205,44.25,1.0,-1.0,1.0,-1.0
39206,45.24,1.0,-1.0,1.0,-1.0
39207,46.49,-1.0,-1.0,-1.0,-1.0
39208,45.66,1.0,-1.0,1.0,-1.0
39209,46.0,-1.0,-1.0,1.0,-1.0
39210,44.43,-1.0,-1.0,-1.0,-1.0
39211,43.13,-1.0,-1.0,-1.0,1.0
39212,40.79,-1.0,1.0,-1.0,1.0
39213,39.23,1.0,1.0,1.0,1.0
39214,42.65,-1.0,-1.0,-1.0,1.0
39215,42.26,1.0,-1.0,1.0,-1.0
39216,43.47,-1.0,-1.0,-1.0,1.0
39217,43.12,-1.0,-1.0,1.0,-1.0
39218,41.99,-1.0,-1.0,-1.0,-1.0
39219,41.71,1.0,-1.0,-1.0,1.0
39220,41.97,-1.0,-1.0,1.0,1.0
39221,41.57,-1.0,-1.0,-1.0,1.0
39222,39.92,1.0,-1.0,1.0,-1.0
39223,40.82,-1.0,-1.0,-1.0,-1.0
39224,40.53,-1.0,1.0,1.0,1.0
39225,40.43,1.0,1.0,1.0,1.0
39226,41.45,1.0,1.0,1.0,1.0
39227,43.27,-1.0,-1.0,-1.0,-1.0
39228,43.06,-1.0,-1.0,1.0,-1.0
39229,41.54,1.0,1.0,1.0,1.0
39230,42.85,1.0,-1.0,1.0,-1.0
39231,43.0,-1.0,-1.0,-1.0,-1.0
39232,41.05,-1.0,-1.0,-1.0,-1.0
39233,39.87,-1.0,1.0,-1.0,1.0
39234,39.33,1.0,1.0,1.0,1.0
39235,39.88,1.0,1.0,1.0,1.0
39236,41.83,1.0,1.0,1.0,1.0
39237,42.17,-1.0,1.0,-1.0,1.0
39238,42.04,1.0,1.0,1.0,1.0
39239,43.22,-1.0,1.0,1.0,1.0
39240,42.86,-1.0,1.0,-1.0,1.0
39241,42.54,1.0,1.0,1.0,1.0
39242,42.73,1.0,1.0,1.0,1.0
39243,42.97,-1.0,1.0,-1.0,1.0
39244,41.66,-1.0,1.0,1.0,1.0
39245,41.41,-1.0,1.0,-1.0,1.0
39246,40.52,1.0,1.0,1.0,1.0
39247,40.57,1.0,1.0,1.0,1.0
39248,41.16,-1.0,1.0,-1.0,1.0
39249,40.0,-1.0,1.0,-1.0,1.0
39250,39.71,-1.0,1.0,-1.0,1.0
39251,39.58,-1.0,1.0,1.0,1.0
39252,39.2,-1.0,1.0,-1.0,1.0
39253,39.1,1.0,1.0,1.0,1.0
39254,40.87,1.0,1.0,1.0,1.0
39255,41.46,1.0,1.0,-1.0,1.0
39256,41.53,-1.0,-1.0,-1.0,1.0
39257,40.74,1.0,1.0,1.0,1.0
39258,42.25,-1.0,-1.0,-1.0,-1.0
39259,41.79,1.0,-1.0,1.0,-1.0
39260,41.94,-1.0,-1.0,-1.0,-1.0
39261,40.31,1.0,1.0,1.0,1.0
39262,40.77,1.0,-1.0,1.0,-1.0
39263,41.65,-1.0,-1.0,-1.0,-1.0
39264,41.3,1.0,1.0,1.0,1.0
39265,43.26,1.0,-1.0,1.0,-1.0
39266,44.22,1.0,-1.0,1.0,-1.0
39267,45.25,-1.0,-1.0,-1.0,-1.0
39268,44.5,-1.0,-1.0,-1.0,-1.0
39269,43.3,1.0,-1.0,1.0,-1.0
39270,43.4,1.0,-1.0,1.0,-1.0
39271,43.62,1.0,-1.0,1.0,-1.0
39272,44.65,-1.0,-1.0,-1.0,-1.0
39273,44.29,1.0,-1.0,1.0,-1.0
39274,45.39,-1.0,-1.0,-1.0,1.0
39275,45.27,1.0,-1.0,1.0,-1.0
39276,45.41,1.0,-1.0,1.0,-1.0
39277,45.87,-1.0,-1.0,-1.0,-1.0
39278,44.99,-1.0,-1.0,-1.0,-1.0
39279,43.28,-1.0,1.0,1.0,-1.0
39280,42.16,-1.0,1.0,-1.0,1.0
39281,41.73,1.0,1.0,1.0,1.0
39282,41.81,1.0,1.0,1.0,1.0
39283,42.86,1.0,1.0,1.0,1.0
39284,42.93,-1.0,1.0,-1.0,1.0
39285,41.87,-1.0,1.0,-1.0,1.0
39286,41.23,-1.0,1.0,1.0,1.0
39287,40.81,-1.0,1.0,-1.0,1.0
39288,40.03,-1.0,1.0,-1.0,1.0
39289,39.92,-1.0,1.0,-1.0,1.0
39290,39.69,1.0,1.0,1.0,1.0
39291,40.64,-1.0,1.0,-1.0,1.0
39292,39.89,1.0,1.0,1.0,1.0
39293,40.09,1.0,1.0,-1.0,1.0
39294,41.94,1.0,1.0,1.0,1.0
39295,42.39,1.0,1.0,1.0,1.0
39296,43.32,-1.0,1.0,-1.0,-1.0
39297,42.35,1.0,1.0,1.0,1.0
39298,42.46,-1.0,1.0,1.0,-1.0
39299,41.66,-1.0,1.0,1.0,1.0
39300,41.04,1.0,1.0,1.0,1.0
39301,42.13,1.0,1.0,1.0,1.0
