,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
41014,10.96,12.368806110453573,-1.0,-1.0,1.0,-1.0
41114,11.78,8.156232145094796,-1.0,-1.0,1.0,-1.0
41127,12.1,7.821997529598157,-1.0,-1.0,-1.0,-1.0
41223,11.8,2.690726522853735,-1.0,1.0,-1.0,1.0
41229,12.19,2.778772084932207,1.0,1.0,-1.0,1.0
41230,12.86,3.39844634527862,1.0,1.0,1.0,1.0
41231,12.96,3.448120605625036,1.0,1.0,1.0,1.0
41244,14.61,4.443885990128392,-1.0,1.0,-1.0,1.0
41261,14.31,3.288348416017401,-1.0,-1.0,-1.0,-1.0
41262,14.25,3.1780226763638133,-1.0,-1.0,-1.0,-1.0
41269,14.0,2.5757424987887014,-1.0,-1.0,-1.0,-1.0
41278,14.25,2.3728108419064107,-1.0,-1.0,-1.0,-1.0
41306,13.29,0.00369013160595344,-1.0,-1.0,1.0,-1.0
41319,13.88,-0.0605444838906859,-1.0,-1.0,-1.0,1.0
41406,13.75,-4.568883833752821,1.0,-1.0,1.0,1.0
41447,14.07,-6.312239159549918,1.0,1.0,1.0,1.0
41456,14.64,-6.195170816432206,-1.0,1.0,-1.0,1.0
41472,16.09,-5.55038265088961,1.0,1.0,1.0,1.0
41478,16.15,-5.792337088811138,1.0,1.0,1.0,1.0
41479,16.28,-5.7126628284647225,-1.0,1.0,-1.0,1.0
41504,16.63,-6.620806319804416,-1.0,1.0,-1.0,1.0
41520,17.52,-6.536018154261821,-1.0,1.0,1.0,1.0
41521,17.01,-7.09634389391541,1.0,1.0,1.0,1.0
41532,18.23,-6.429927030104874,-1.0,1.0,-1.0,1.0
41540,18.73,-6.3325329473335765,1.0,1.0,-1.0,1.0
41542,19.19,-5.973184426640753,-1.0,1.0,-1.0,1.0
41545,19.54,-5.774161645601512,1.0,1.0,1.0,1.0
41546,19.83,-5.5344873852551055,1.0,1.0,1.0,1.0
41547,20.04,-5.3748131249086954,1.0,1.0,1.0,1.0
41548,21.4,-4.065138864562279,-1.0,1.0,-1.0,1.0
41549,21.36,-4.155464604215865,1.0,1.0,1.0,1.0
41550,21.37,-4.1957903438694535,0.0,1.0,0.0,1.0
41551,21.37,-4.246116083523038,1.0,1.0,1.0,1.0
41552,22.04,-3.626441823176631,-1.0,1.0,-1.0,1.0
41553,21.87,-3.84676756283022,-1.0,1.0,-1.0,1.0
41554,21.82,-3.9470933024838035,1.0,1.0,1.0,1.0
41555,22.9,-2.9174190421373933,-1.0,1.0,-1.0,1.0
41556,22.66,-3.207744781790982,1.0,1.0,-1.0,1.0
41557,22.78,-3.1380705214445648,1.0,-1.0,1.0,-1.0
