,Close,Target(1),Target(30),Prediction(1),Prediction(30)
42636,30.35,-1.0,1.0,-1.0,1.0
42637,30.28,0.0,1.0,0.0,1.0
42638,30.28,-1.0,1.0,-1.0,1.0
42639,29.95,-1.0,1.0,-1.0,1.0
42640,29.93,1.0,1.0,-1.0,1.0
42641,29.95,1.0,1.0,1.0,1.0
42642,30.52,-1.0,1.0,-1.0,1.0
42643,29.83,-1.0,1.0,-1.0,1.0
42644,28.69,1.0,1.0,1.0,1.0
42645,28.91,-1.0,1.0,-1.0,1.0
42646,28.36,1.0,1.0,1.0,1.0
42647,28.73,-1.0,1.0,-1.0,1.0
42648,28.6,1.0,1.0,1.0,-1.0
42649,29.41,1.0,1.0,1.0,1.0
42650,29.53,1.0,1.0,1.0,1.0
42651,30.52,1.0,1.0,-1.0,1.0
42652,30.69,1.0,1.0,1.0,1.0
42653,31.25,-1.0,1.0,-1.0,1.0
42654,31.22,1.0,1.0,1.0,1.0
42655,31.41,-1.0,1.0,-1.0,1.0
42656,31.18,1.0,1.0,1.0,1.0
42657,31.28,1.0,1.0,1.0,1.0
42658,31.3,-1.0,1.0,1.0,1.0
42659,31.25,1.0,1.0,1.0,1.0
42660,31.57,1.0,1.0,1.0,1.0
42661,32.02,-1.0,1.0,-1.0,1.0
42662,31.99,-1.0,1.0,-1.0,1.0
42663,31.94,1.0,1.0,1.0,1.0
42664,32.14,-1.0,1.0,-1.0,1.0
42665,31.99,-1.0,1.0,-1.0,1.0
42666,31.87,-1.0,1.0,-1.0,1.0
42667,31.6,1.0,1.0,1.0,1.0
42668,31.78,-1.0,1.0,1.0,1.0
42669,31.47,-1.0,1.0,-1.0,1.0
42670,30.93,1.0,1.0,1.0,1.0
42671,31.02,1.0,1.0,1.0,1.0
42672,31.27,1.0,1.0,1.0,1.0
42673,31.38,-1.0,1.0,-1.0,1.0
42674,31.26,-1.0,1.0,-1.0,1.0
42675,31.08,1.0,1.0,1.0,1.0
42676,31.44,-1.0,1.0,-1.0,1.0
42677,31.33,1.0,1.0,1.0,1.0
42678,31.56,1.0,1.0,-1.0,1.0
42679,32.2,1.0,1.0,-1.0,1.0
42680,32.26,-1.0,1.0,-1.0,1.0
42681,32.06,1.0,1.0,1.0,1.0
42682,32.31,1.0,1.0,1.0,1.0
42683,32.49,1.0,-1.0,1.0,-1.0
42684,32.63,-1.0,-1.0,-1.0,-1.0
42685,32.62,1.0,-1.0,1.0,-1.0
42686,32.77,1.0,-1.0,1.0,-1.0
42687,33.1,-1.0,-1.0,-1.0,-1.0
42688,32.97,1.0,-1.0,1.0,-1.0
42689,33.04,1.0,-1.0,1.0,-1.0
42690,33.06,1.0,-1.0,1.0,-1.0
42691,34.33,-1.0,-1.0,-1.0,-1.0
42692,34.3,-1.0,-1.0,-1.0,-1.0
42693,33.85,1.0,-1.0,1.0,-1.0
42694,34.19,1.0,-1.0,1.0,-1.0
42695,35.43,-1.0,-1.0,-1.0,-1.0
42696,34.89,1.0,-1.0,1.0,-1.0
42697,35.17,1.0,-1.0,1.0,-1.0
42698,35.19,-1.0,-1.0,-1.0,-1.0
42699,34.8,-1.0,-1.0,-1.0,-1.0
42700,33.27,1.0,-1.0,1.0,-1.0
42701,33.77,-1.0,-1.0,-1.0,-1.0
42702,33.27,-1.0,-1.0,-1.0,-1.0
42703,32.67,1.0,-1.0,1.0,-1.0
42704,33.04,-1.0,-1.0,-1.0,-1.0
42705,32.08,1.0,-1.0,1.0,-1.0
42706,32.69,-1.0,-1.0,-1.0,-1.0
42707,32.06,-1.0,-1.0,1.0,-1.0
42708,31.8,1.0,-1.0,1.0,-1.0
42709,33.32,-1.0,-1.0,-1.0,-1.0
42710,32.75,1.0,-1.0,1.0,-1.0
42711,33.11,-1.0,-1.0,-1.0,-1.0
42712,32.56,-1.0,-1.0,-1.0,-1.0
42713,31.87,1.0,-1.0,1.0,-1.0
42714,31.99,-1.0,-1.0,-1.0,-1.0
42715,31.38,0.0,-1.0,-1.0,-1.0
42716,31.38,-1.0,-1.0,-1.0,-1.0
42717,30.07,1.0,-1.0,1.0,1.0
42718,30.54,-1.0,-1.0,1.0,-1.0
42719,29.84,1.0,-1.0,1.0,-1.0
42720,30.04,-1.0,-1.0,-1.0,-1.0
42721,29.53,1.0,-1.0,1.0,-1.0
42722,30.77,-1.0,-1.0,-1.0,-1.0
42723,30.63,-1.0,-1.0,-1.0,-1.0
42724,29.66,1.0,-1.0,1.0,-1.0
42725,30.22,-1.0,-1.0,1.0,-1.0
42726,30.17,-1.0,-1.0,1.0,-1.0
42727,28.94,-1.0,-1.0,-1.0,-1.0
42728,28.67,1.0,-1.0,1.0,-1.0
42729,29.25,-1.0,-1.0,-1.0,-1.0
42730,28.85,1.0,-1.0,1.0,-1.0
42731,29.8,1.0,-1.0,1.0,-1.0
42732,29.98,-1.0,-1.0,-1.0,-1.0
42733,29.95,1.0,-1.0,1.0,-1.0
42734,30.67,-1.0,-1.0,-1.0,-1.0
42735,30.22,-1.0,-1.0,-1.0,-1.0
42736,30.06,1.0,-1.0,1.0,-1.0
42737,30.54,-1.0,-1.0,-1.0,-1.0
42738,30.27,1.0,-1.0,1.0,-1.0
42739,30.55,-1.0,-1.0,-1.0,-1.0
42740,30.45,-1.0,-1.0,-1.0,1.0
42741,29.57,1.0,-1.0,-1.0,-1.0
42742,30.83,-1.0,-1.0,-1.0,-1.0
