,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
45394,23.1,-14.981992689902725,-1.0,1.0,-1.0,1.0
45395,22.75,-15.409972084309262,1.0,1.0,1.0,1.0
45396,22.87,-15.367951478715794,1.0,1.0,1.0,1.0
45397,22.9,-15.415930873122337,1.0,1.0,1.0,1.0
45398,23.18,-15.213910267528867,1.0,1.0,1.0,1.0
45399,23.68,-14.7918896619354,1.0,1.0,-1.0,1.0
45400,24.32,-14.229869056341931,1.0,1.0,-1.0,1.0
45401,24.56,-14.067848450748468,-1.0,1.0,-1.0,1.0
45402,24.01,-14.695827845154998,-1.0,1.0,-1.0,1.0
45403,23.39,-15.393807239561534,-1.0,1.0,-1.0,1.0
45404,22.98,-15.881786633968073,1.0,1.0,1.0,1.0
45405,23.46,-15.479766028374605,1.0,1.0,1.0,1.0
45406,23.74,-15.277745422781141,-1.0,1.0,-1.0,1.0
45407,23.18,-15.915724817187671,1.0,1.0,1.0,1.0
45408,23.34,-15.833704211594204,1.0,1.0,1.0,1.0
45409,23.96,-15.291683606000738,1.0,1.0,1.0,1.0
45410,24.36,-14.969663000407273,1.0,1.0,1.0,1.0
45411,24.76,-14.647642394813804,1.0,1.0,1.0,1.0
45412,24.88,-14.605621789220347,1.0,1.0,-1.0,1.0
45413,24.98,-14.58360118362688,-1.0,1.0,-1.0,1.0
45414,24.36,-15.281580578033411,1.0,1.0,1.0,1.0
45415,24.58,-15.139559972439947,-1.0,1.0,-1.0,1.0
45416,24.47,-15.32753936684648,1.0,1.0,-1.0,1.0
45417,24.76,-15.115518761253009,1.0,1.0,1.0,1.0
45418,25.54,-14.413498155659545,1.0,1.0,1.0,1.0
45419,25.88,-14.151477550066087,1.0,1.0,1.0,1.0
45420,25.96,-14.149456944472618,1.0,1.0,1.0,1.0
45421,26.24,-13.947436338879154,1.0,1.0,1.0,1.0
45422,26.86,-13.405415733285684,-1.0,1.0,1.0,1.0
45423,26.84,-13.50339512769222,-1.0,1.0,-1.0,1.0
45424,26.74,-13.681374522098752,1.0,1.0,-1.0,1.0
45425,26.88,-13.619353916505284,-1.0,1.0,-1.0,1.0
45426,26.78,-13.797333310911824,-1.0,1.0,-1.0,1.0
45427,26.42,-14.235312705318355,0.0,1.0,0.0,1.0
45428,26.42,-14.313292099724892,1.0,1.0,1.0,1.0
45429,26.92,-13.891271494131427,-1.0,1.0,-1.0,1.0
45430,26.73,-14.159250888537958,-1.0,1.0,-1.0,1.0
45431,26.62,-14.34723028294449,1.0,1.0,1.0,1.0
45432,27.13,-13.915209677351026,-1.0,1.0,-1.0,1.0
45433,27.0,-14.123189071757565,1.0,1.0,1.0,1.0
45434,27.3,-13.901168466164098,-1.0,-1.0,-1.0,-1.0
45435,26.88,-14.399147860570633,1.0,-1.0,1.0,-1.0
45436,27.7,-13.657127254977164,-1.0,-1.0,-1.0,-1.0
45437,27.46,-13.975106649383696,1.0,-1.0,1.0,-1.0
45438,27.6,-13.91308604379023,-1.0,-1.0,-1.0,-1.0
45439,27.45,-14.141065438196767,-1.0,-1.0,-1.0,1.0
45440,27.18,-14.489044832603305,1.0,-1.0,1.0,-1.0
45441,27.25,-14.497024227009838,1.0,-1.0,1.0,-1.0
45442,27.26,-14.565003621416368,1.0,-1.0,-1.0,-1.0
45443,27.29,-14.612983015822904,-1.0,-1.0,-1.0,-1.0
45444,27.0,-14.980962410229438,1.0,-1.0,1.0,-1.0
45445,27.48,-14.57894180463597,1.0,-1.0,1.0,-1.0
45446,27.55,-14.586921199042505,-1.0,-1.0,-1.0,-1.0
45447,27.14,-15.074900593449044,1.0,-1.0,-1.0,-1.0
45448,27.74,-14.55287998785558,-1.0,-1.0,-1.0,-1.0
45449,27.47,-14.900859382262112,-1.0,-1.0,-1.0,-1.0
45450,27.44,-15.008838776668643,-1.0,-1.0,-1.0,-1.0
45451,27.34,-15.186818171075178,1.0,-1.0,1.0,-1.0
45452,28.34,-14.264797565481713,-1.0,-1.0,-1.0,-1.0
45453,27.92,-14.76277695988824,1.0,-1.0,1.0,-1.0
45454,28.14,-14.620756354294784,0.0,-1.0,0.0,1.0
45455,28.14,-14.698735748701315,-1.0,-1.0,-1.0,-1.0
45456,27.84,-15.076715143107851,-1.0,-1.0,-1.0,-1.0
45457,27.26,-15.734694537514384,-1.0,-1.0,-1.0,-1.0
45458,27.2,-15.872673931920916,1.0,-1.0,1.0,-1.0
45459,27.42,-15.730653326327447,1.0,-1.0,1.0,-1.0
45460,27.44,-15.788632720733984,1.0,-1.0,1.0,-1.0
45461,27.48,-15.826612115140525,-1.0,-1.0,-1.0,-1.0
45462,27.21,-16.174591509547056,-1.0,-1.0,-1.0,1.0
45463,27.06,-16.402570903953592,-1.0,1.0,-1.0,1.0
45464,26.06,-17.480550298360125,-1.0,1.0,-1.0,1.0
45465,25.12,-18.498529692766656,1.0,1.0,-1.0,1.0
45466,26.16,-17.53650908717319,1.0,1.0,1.0,1.0
45467,26.46,-17.314488481579726,1.0,1.0,1.0,1.0
