,Close,Target(1),Target(30),Prediction(1),Prediction(30)
49125,8.07,1.0,1.0,1.0,1.0
49126,8.09,1.0,1.0,1.0,1.0
49127,8.19,-1.0,1.0,1.0,1.0
49128,7.88,-1.0,1.0,-1.0,1.0
49129,7.46,1.0,1.0,1.0,1.0
49130,7.98,-1.0,1.0,-1.0,1.0
49131,7.91,-1.0,1.0,1.0,1.0
49132,7.81,-1.0,1.0,-1.0,1.0
49133,7.19,1.0,1.0,1.0,-1.0
49134,7.35,1.0,1.0,1.0,1.0
49135,7.42,1.0,1.0,1.0,1.0
49136,7.54,1.0,1.0,1.0,1.0
49137,7.64,1.0,1.0,1.0,-1.0
49138,7.84,1.0,1.0,1.0,-1.0
49139,7.87,1.0,1.0,1.0,1.0
49140,8.06,-1.0,1.0,-1.0,1.0
49141,8.03,-1.0,1.0,-1.0,1.0
49142,7.95,-1.0,1.0,-1.0,1.0
49143,7.93,-1.0,1.0,-1.0,1.0
49144,7.9,-1.0,1.0,-1.0,1.0
49145,7.79,1.0,1.0,1.0,1.0
49146,8.05,-1.0,1.0,-1.0,1.0
49147,7.89,1.0,1.0,1.0,1.0
49148,7.91,1.0,1.0,1.0,1.0
49149,8.21,1.0,1.0,1.0,1.0
49150,8.38,-1.0,1.0,-1.0,1.0
49151,8.35,1.0,1.0,1.0,1.0
49152,8.5,1.0,1.0,1.0,1.0
49153,8.61,1.0,1.0,1.0,1.0
49154,8.64,-1.0,1.0,-1.0,1.0
49155,8.63,1.0,1.0,1.0,1.0
49156,8.92,1.0,1.0,1.0,1.0
49157,8.95,-1.0,1.0,1.0,1.0
49158,8.93,-1.0,1.0,-1.0,1.0
49159,8.92,1.0,1.0,1.0,1.0
49160,9.4,1.0,1.0,1.0,1.0
49161,9.67,-1.0,-1.0,-1.0,-1.0
49162,9.39,-1.0,-1.0,-1.0,-1.0
49163,9.11,1.0,-1.0,1.0,-1.0
49164,9.31,1.0,-1.0,1.0,-1.0
49165,9.45,-1.0,-1.0,-1.0,-1.0
49166,9.23,-1.0,-1.0,-1.0,-1.0
49167,9.03,-1.0,-1.0,-1.0,-1.0
49168,9.02,1.0,1.0,1.0,1.0
