,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
50990,16.5,-5.0060893892954335,-1.0,1.0,-1.0,1.0
50991,16.29,-5.236835193728876,-1.0,1.0,-1.0,1.0
50992,16.09,-5.457580998162321,1.0,1.0,1.0,1.0
50993,16.2,-5.3683268025957664,0.0,1.0,0.0,1.0
50994,16.2,-5.389072607029212,1.0,1.0,1.0,1.0
50995,16.34,-5.2698184114626585,1.0,1.0,1.0,1.0
50996,16.57,-5.0605642158960995,-1.0,1.0,-1.0,1.0
50997,16.53,-5.121310020329545,-1.0,1.0,1.0,1.0
50998,16.07,-5.602055824762991,1.0,1.0,1.0,1.0
50999,16.13,-5.562801629196438,-1.0,1.0,-1.0,1.0
51000,16.12,-5.59354743362988,1.0,1.0,1.0,1.0
51001,16.34,-5.3942932380633275,-1.0,1.0,-1.0,1.0
51002,16.31,-5.445039042496773,1.0,1.0,1.0,1.0
51003,16.56,-5.21578484693022,1.0,1.0,1.0,1.0
51004,16.73,-5.0665306513636645,1.0,1.0,1.0,1.0
51005,16.9,-4.917276455797109,-1.0,1.0,-1.0,1.0
51006,16.87,-4.96802226023055,1.0,1.0,1.0,1.0
51007,17.05,-4.808768064663997,1.0,1.0,1.0,1.0
51008,17.25,-4.629513869097443,1.0,1.0,1.0,1.0
51009,17.28,-4.620259673530885,-1.0,1.0,-1.0,1.0
51010,16.96,-4.961005477964331,1.0,1.0,1.0,1.0
51011,16.98,-4.961751282397778,1.0,1.0,1.0,1.0
51012,17.24,-4.7224970868312255,1.0,1.0,1.0,1.0
51013,17.35,-4.633242891264668,1.0,1.0,1.0,1.0
51014,17.58,-4.423988695698114,1.0,1.0,1.0,1.0
51015,17.68,-4.344734500131558,1.0,1.0,1.0,1.0
51016,17.84,-4.205480304565004,-1.0,1.0,1.0,1.0
51017,17.72,-4.346226108998451,1.0,1.0,1.0,1.0
51018,17.76,-4.3269719134318905,-1.0,1.0,-1.0,1.0
51019,17.66,-4.447717717865338,1.0,1.0,1.0,1.0
51020,17.68,-4.448463522298784,1.0,1.0,1.0,1.0
51021,17.76,-4.389209326732228,1.0,1.0,1.0,1.0
51022,17.8,-4.369955131165675,1.0,1.0,1.0,1.0
51023,17.84,-4.350700935599118,-1.0,1.0,-1.0,1.0
51024,17.75,-4.461446740032563,-1.0,1.0,-1.0,1.0
51025,17.68,-4.55219254446601,-1.0,1.0,-1.0,1.0
51026,17.65,-4.602938348899457,-1.0,1.0,-1.0,1.0
51027,17.61,-4.663684153332898,-1.0,1.0,-1.0,1.0
51028,17.56,-4.734429957766345,1.0,1.0,1.0,1.0
