,Close,Target(1),Target(30),Prediction(1),Prediction(30)
52857,55.71,1.0,1.0,1.0,1.0
52858,56.58,1.0,1.0,1.0,1.0
52859,57.74,1.0,-1.0,1.0,-1.0
52860,58.08,1.0,-1.0,1.0,-1.0
52861,58.48,1.0,-1.0,1.0,-1.0
52862,58.72,1.0,-1.0,1.0,-1.0
52863,59.23,-1.0,-1.0,-1.0,-1.0
52864,59.07,-1.0,-1.0,-1.0,-1.0
52865,57.53,1.0,1.0,1.0,1.0
52866,57.68,-1.0,1.0,-1.0,1.0
52867,57.46,-1.0,1.0,-1.0,1.0
52868,57.21,-1.0,1.0,-1.0,1.0
52869,56.84,-1.0,1.0,-1.0,1.0
52870,56.5,-1.0,1.0,-1.0,1.0
52871,56.48,1.0,1.0,1.0,1.0
52872,56.99,1.0,1.0,1.0,-1.0
52873,57.2,1.0,1.0,1.0,1.0
52874,57.27,1.0,1.0,1.0,1.0
52875,57.38,-1.0,1.0,-1.0,1.0
52876,57.1,-1.0,1.0,-1.0,1.0
52877,56.38,1.0,1.0,1.0,1.0
52878,56.74,-1.0,1.0,-1.0,1.0
52879,56.25,1.0,1.0,1.0,1.0
52880,56.61,1.0,1.0,1.0,1.0
52881,56.9,-1.0,1.0,-1.0,-1.0
52882,56.87,1.0,1.0,-1.0,1.0
52883,56.9,-1.0,1.0,-1.0,1.0
52884,56.77,1.0,1.0,1.0,1.0
52885,57.24,1.0,1.0,1.0,1.0
52886,57.61,1.0,1.0,1.0,-1.0
52887,57.76,1.0,1.0,1.0,1.0
52888,57.78,-1.0,1.0,-1.0,1.0
52889,57.49,-1.0,1.0,-1.0,1.0
52890,57.43,-1.0,1.0,-1.0,1.0
52891,56.89,1.0,1.0,1.0,1.0
52892,57.42,1.0,1.0,1.0,1.0
52893,57.43,1.0,-1.0,1.0,-1.0
52894,58.31,1.0,-1.0,1.0,-1.0
52895,60.0,1.0,-1.0,1.0,-1.0
52896,60.09,-1.0,-1.0,-1.0,-1.0
52897,60.06,-1.0,-1.0,-1.0,-1.0
