,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
56351,43.2,0.8881167380441397,-1.0,-1.0,-1.0,-1.0
56352,42.54,0.19721063248044146,1.0,1.0,1.0,1.0
56353,42.66,0.28630452691674435,-1.0,1.0,-1.0,1.0
56354,42.32,-0.08460157864694651,1.0,1.0,1.0,1.0
56355,42.45,0.014492315789361497,1.0,1.0,1.0,1.0
56356,43.08,0.6135862102256624,-1.0,1.0,-1.0,-1.0
56357,43.03,0.5326801046619707,-1.0,1.0,-1.0,1.0
56358,42.79,0.2617739990982741,-1.0,1.0,-1.0,1.0
56359,41.02,-1.5391321064654164,-1.0,1.0,-1.0,1.0
56360,40.1,-2.4900382120291127,1.0,1.0,1.0,1.0
56361,40.67,-1.9509443175928067,1.0,1.0,1.0,1.0
56362,41.45,-1.2018504231565004,1.0,1.0,1.0,1.0
56363,41.59,-1.0927565287201944,1.0,1.0,1.0,1.0
56364,42.52,-0.1936626342838892,1.0,-1.0,1.0,-1.0
56366,43.36,0.584525154588718,1.0,-1.0,1.0,-1.0
56367,43.71,0.9036190490250248,-1.0,-1.0,-1.0,-1.0
56368,43.39,0.5527129434613299,1.0,-1.0,1.0,-1.0
56369,43.92,1.0518068378976366,-1.0,-1.0,-1.0,-1.0
56370,43.78,0.8809007323339415,-1.0,-1.0,-1.0,-1.0
56371,42.81,-0.12000537322975192,-1.0,-1.0,-1.0,-1.0
56372,42.62,-0.3409114787934513,1.0,-1.0,1.0,-1.0
56373,42.8,-0.19181758435714613,-1.0,-1.0,-1.0,-1.0
56374,42.66,-0.3627236899208413,1.0,-1.0,1.0,-1.0
56375,42.93,-0.12362979548453268,-1.0,-1.0,1.0,-1.0
56376,42.78,-0.3045359010482258,1.0,-1.0,1.0,-1.0
56377,42.98,-0.13544200661192465,-1.0,-1.0,-1.0,-1.0
56378,42.96,-0.1863481121756152,1.0,-1.0,1.0,-1.0
56379,43.41,0.232745782260686,-1.0,-1.0,-1.0,1.0
56380,42.45,-0.7581603233030023,1.0,-1.0,1.0,-1.0
56381,42.89,-0.34906642886669914,1.0,-1.0,1.0,-1.0
56382,43.11,-0.15997253443039486,1.0,-1.0,1.0,-1.0
56383,43.5,0.1991213600059112,-1.0,-1.0,-1.0,-1.0
56384,43.38,0.04821525444221919,-1.0,-1.0,-1.0,-1.0
56385,43.34,-0.02269085112147451,1.0,-1.0,1.0,-1.0
56386,44.26,0.8664030433148255,-1.0,-1.0,-1.0,-1.0
56387,44.25,0.825496937751133,-1.0,-1.0,-1.0,-1.0
56388,44.01,0.5545908321874364,1.0,-1.0,1.0,-1.0
56389,44.29,0.8036847266237429,-1.0,-1.0,-1.0,-1.0
56390,44.25,0.7327786210600493,1.0,-1.0,1.0,-1.0
56391,44.57,1.021872515496355,-1.0,-1.0,-1.0,-1.0
56392,44.47,0.8909664099326591,-1.0,-1.0,-1.0,-1.0
56393,42.46,-1.1499396956310337,-1.0,-1.0,-1.0,-1.0
56394,41.65,-1.9908458011947303,1.0,-1.0,1.0,-1.0
56395,42.77,-0.9017519067584204,1.0,-1.0,-1.0,-1.0
56396,42.78,-0.9226580123221167,-1.0,-1.0,-1.0,-1.0
56397,42.61,-1.1235641178858131,1.0,-1.0,1.0,-1.0
56399,43.32,-0.4753763290132014,-1.0,-1.0,-1.0,-1.0
56400,42.81,-1.0162824345768942,-1.0,-1.0,-1.0,-1.0
56401,41.83,-2.0271885401405925,1.0,-1.0,-1.0,-1.0
56402,42.03,-1.858094645704284,1.0,-1.0,1.0,-1.0
56403,42.62,-1.2990007512679824,-1.0,-1.0,1.0,-1.0
56404,42.35,-1.599906856831673,-1.0,-1.0,-1.0,-1.0
56405,42.15,-1.8308129623953704,-1.0,-1.0,-1.0,-1.0
56406,42.11,-1.9017190679590639,-1.0,-1.0,-1.0,-1.0
56407,42.03,-2.0126251735227565,-1.0,-1.0,-1.0,-1.0
56408,41.97,-2.1035312790864538,-1.0,-1.0,-1.0,-1.0
56409,41.54,-2.564437384650148,1.0,-1.0,1.0,-1.0
56410,42.18,-1.9553434902138418,-1.0,-1.0,-1.0,-1.0
56411,42.02,-2.146249595777533,1.0,1.0,1.0,1.0
56412,42.17,-2.027155701341229,1.0,-1.0,1.0,-1.0
56413,42.37,-1.8580618069049348,-1.0,-1.0,-1.0,-1.0
56414,41.86,-2.3989679124686205,-1.0,1.0,-1.0,1.0
56415,41.14,-3.1498740180323144,-1.0,1.0,1.0,1.0
56416,40.79,-3.5307801235960095,1.0,1.0,1.0,1.0
56417,41.05,-3.301686229159713,-1.0,1.0,1.0,1.0
56418,40.81,-3.5725923347233963,1.0,1.0,1.0,1.0
56419,41.28,-3.1334984402870987,-1.0,1.0,-1.0,1.0
56420,41.01,-3.434404545850789,-1.0,1.0,-1.0,1.0
56421,40.88,-3.5953106514144864,-1.0,1.0,1.0,1.0
56422,40.03,-4.476216756978175,-1.0,1.0,-1.0,1.0
56423,38.86,-5.6771228625418795,1.0,1.0,1.0,1.0
56424,40.86,-3.7080289681055665,1.0,1.0,1.0,1.0
56425,40.97,-3.628935073669268,1.0,1.0,1.0,1.0
56426,41.72,-2.909841179232963,1.0,1.0,1.0,1.0
56427,41.75,-2.910747284796656,-1.0,1.0,1.0,1.0
56428,41.18,-3.5116533903603435,1.0,1.0,1.0,1.0
56429,41.52,-3.2025594959240418,-1.0,1.0,1.0,1.0
56430,41.13,-3.623465601487737,-1.0,1.0,-1.0,1.0
56431,40.49,-4.2943717070514325,-1.0,1.0,-1.0,1.0
56432,39.05,-5.765277812615133,1.0,1.0,1.0,1.0
56433,40.38,-4.466183918178821,-1.0,1.0,-1.0,1.0
56434,39.51,-5.367090023742519,1.0,1.0,1.0,1.0
56435,39.63,-5.27799612930621,1.0,1.0,1.0,1.0
56436,39.75,-5.188902234869907,1.0,1.0,1.0,1.0
56437,40.99,-3.9798083404336,-1.0,1.0,-1.0,1.0
56439,39.84,-5.191620551560988,1.0,1.0,1.0,1.0
56440,41.45,-3.6125266571246826,1.0,1.0,1.0,1.0
56441,42.48,-2.613432762688383,-1.0,1.0,-1.0,1.0
56442,41.51,-3.614338868252077,1.0,1.0,-1.0,1.0
56443,41.9,-3.2552449738157705,1.0,1.0,1.0,1.0
56444,42.25,-2.936151079379464,-1.0,1.0,-1.0,1.0
56445,41.97,-3.2470571849431598,1.0,1.0,1.0,1.0
56446,43.19,-2.057963290506855,1.0,1.0,1.0,-1.0
56447,44.22,-1.0588693960705484,-1.0,1.0,1.0,1.0
56448,43.67,-1.63977550163424,1.0,1.0,1.0,1.0
56449,44.39,-0.9506816071979358,1.0,1.0,1.0,-1.0
56450,44.7,-0.6715877127616281,1.0,1.0,1.0,1.0
56451,44.97,-0.4324938183253266,1.0,1.0,1.0,1.0
