,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
63597,104.0,-9.595131698432796,-1.0,1.0,-1.0,-1.0
63598,102.36,-11.199481521584817,-1.0,1.0,-1.0,1.0
63599,101.4,-12.123831344736846,1.0,1.0,1.0,1.0
63600,101.69,-11.798181167888885,-1.0,1.0,-1.0,1.0
63601,98.77,-14.682530991040904,1.0,1.0,1.0,1.0
63602,102.4,-11.016880814192929,1.0,1.0,1.0,1.0
63603,104.63,-8.75123063734496,-1.0,1.0,-1.0,1.0
63604,103.32,-10.025580460496997,-1.0,1.0,-1.0,1.0
63605,98.88,-14.429930283649027,-1.0,1.0,-1.0,1.0
63606,98.4,-14.874280106801038,-1.0,1.0,-1.0,1.0
63607,97.19,-16.04862992995308,1.0,1.0,1.0,1.0
63608,98.51,-14.692979753105107,1.0,1.0,1.0,1.0
63609,98.55,-14.617329576257136,1.0,1.0,1.0,1.0
63610,99.82,-13.311679399409172,-1.0,-1.0,-1.0,-1.0
63611,99.58,-13.5160292225612,1.0,1.0,1.0,1.0
63612,103.68,-9.380379045713212,-1.0,-1.0,-1.0,1.0
63613,103.57,-9.45472886886526,1.0,-1.0,1.0,1.0
63614,103.59,-9.39907869201727,1.0,1.0,1.0,1.0
63615,105.01,-7.943428515169302,-1.0,1.0,-1.0,1.0
63616,104.02,-8.897778338321347,-1.0,1.0,-1.0,1.0
63617,102.46,-10.422128161473367,-1.0,1.0,-1.0,1.0
63618,102.27,-10.5764779846254,1.0,1.0,-1.0,1.0
63619,103.14,-9.670827807777428,1.0,1.0,1.0,1.0
63620,103.64,-9.135177630929448,1.0,1.0,1.0,1.0
63621,105.03,-7.709527454081481,1.0,1.0,1.0,1.0
63622,106.18,-6.52387727723351,-1.0,1.0,-1.0,1.0
63623,106.01,-6.658227100385531,-1.0,1.0,-1.0,1.0
63624,104.8,-7.832576923537573,1.0,1.0,1.0,1.0
63625,107.41,-5.1869267466896085,-1.0,-1.0,-1.0,1.0
63626,106.02,-6.541276569841628,1.0,1.0,1.0,1.0
63627,106.21,-6.315626392993663,1.0,1.0,-1.0,1.0
63628,106.59,-5.899976216145674,1.0,1.0,-1.0,1.0
63629,106.94,-5.514326039297714,-1.0,1.0,-1.0,1.0
63630,106.85,-5.5686758624497505,-1.0,1.0,-1.0,1.0
63631,104.32,-8.063025685601772,1.0,1.0,1.0,1.0
63632,104.65,-7.697375508753795,1.0,1.0,1.0,-1.0
63633,106.18,-6.131725331905828,-1.0,-1.0,1.0,-1.0
63634,103.45,-8.82607515505785,-1.0,-1.0,1.0,-1.0
63635,101.68,-10.56042497820988,-1.0,1.0,-1.0,-1.0
63636,101.6,-10.604774801361929,1.0,-1.0,1.0,-1.0
63637,103.26,-8.909124624513936,-1.0,-1.0,-1.0,-1.0
63638,102.32,-9.813474447665982,-1.0,-1.0,-1.0,1.0
63639,99.07,-13.027824270818002,-1.0,-1.0,-1.0,-1.0
63640,98.31,-13.752174093970027,1.0,-1.0,1.0,-1.0
63641,99.8,-12.226523917122064,-1.0,-1.0,-1.0,-1.0
63642,99.72,-12.270873740274086,1.0,-1.0,1.0,-1.0
63643,101.5,-10.455223563426117,1.0,-1.0,1.0,-1.0
63644,103.87,-8.049573386578146,1.0,-1.0,1.0,-1.0
63645,106.21,-5.673923209730178,1.0,-1.0,1.0,-1.0
63646,106.54,-5.308273032882198,-1.0,-1.0,-1.0,-1.0
63647,105.47,-6.34262285603424,1.0,-1.0,1.0,-1.0
63648,106.29,-5.486972679186253,1.0,-1.0,1.0,-1.0
63649,106.76,-4.981322502338287,1.0,-1.0,1.0,-1.0
63650,107.11,-4.595672325490327,-1.0,-1.0,1.0,-1.0
63651,106.79,-4.88002214864234,1.0,-1.0,-1.0,-1.0
63652,108.06,-3.5743719717943776,-1.0,-1.0,-1.0,-1.0
63653,106.67,-4.928721794946399,-1.0,-1.0,-1.0,-1.0
63654,105.44,-6.123071618098437,-1.0,-1.0,-1.0,-1.0
63655,105.18,-6.347421441250462,1.0,-1.0,1.0,-1.0
63656,107.81,-3.6817712644024847,1.0,-1.0,1.0,-1.0
63657,108.06,-3.3961210875545187,1.0,-1.0,1.0,-1.0
63658,108.24,-3.1804709107065605,1.0,-1.0,1.0,-1.0
63659,109.87,-1.5148207338585706,-1.0,-1.0,-1.0,-1.0
63660,109.49,-1.8591705570106145,-1.0,-1.0,-1.0,-1.0
63661,105.86,-5.453520380162643,1.0,-1.0,1.0,-1.0
63662,106.58,-4.697870203314665,-1.0,-1.0,1.0,-1.0
63663,102.92,-8.322220026466695,-1.0,-1.0,-1.0,-1.0
63664,101.76,-9.446569849618713,1.0,-1.0,-1.0,-1.0
63665,104.55,-6.6209196727707536,-1.0,-1.0,-1.0,-1.0
63666,100.92,-10.215269495922783,-1.0,-1.0,-1.0,-1.0
63667,99.3,-11.799619319074807,-1.0,-1.0,-1.0,-1.0
63668,95.96,-15.103969142226847,-1.0,1.0,-1.0,1.0
63669,93.53,-17.498318965378868,1.0,1.0,1.0,1.0
63670,98.27,-12.722668788530896,-1.0,-1.0,-1.0,-1.0
63671,96.66,-14.29701861168293,1.0,-1.0,1.0,-1.0
63672,98.44,-12.481368434834962,-1.0,-1.0,-1.0,-1.0
63673,96.46,-14.425718257986984,-1.0,-1.0,-1.0,-1.0
63674,94.28,-16.570068081139013,1.0,-1.0,-1.0,-1.0
63675,95.19,-15.62441790429105,-1.0,-1.0,-1.0,-1.0
63676,94.04,-16.73876772744306,-1.0,-1.0,-1.0,-1.0
63677,93.26,-17.483117550595097,-1.0,-1.0,-1.0,-1.0
63678,87.97,-22.737467373747126,1.0,-1.0,1.0,-1.0
63679,89.58,-21.09181719689916,-1.0,-1.0,-1.0,-1.0
63680,87.35,-23.28616702005119,1.0,-1.0,-1.0,-1.0
63681,88.04,-22.560516843203203,-1.0,-1.0,1.0,-1.0
63682,87.81,-22.754866666355237,1.0,1.0,1.0,1.0
63683,91.84,-18.689216489507274,-1.0,-1.0,-1.0,1.0
63684,89.54,-20.95356631265929,-1.0,-1.0,-1.0,-1.0
63685,85.42,-25.03791613581133,1.0,1.0,1.0,1.0
63686,89.04,-21.38226595896336,1.0,-1.0,1.0,-1.0
63687,89.6,-20.78661578211539,-1.0,-1.0,-1.0,-1.0
63688,87.57,-22.780965605267426,-1.0,-1.0,-1.0,-1.0
63689,86.03,-24.28531542841944,1.0,1.0,1.0,1.0
63690,88.89,-21.389665251571472,-1.0,-1.0,-1.0,-1.0
63691,88.84,-21.404015074723503,1.0,1.0,1.0,1.0
63692,93.26,-16.948364897875518,1.0,-1.0,-1.0,-1.0
63693,93.64,-16.53271472102756,1.0,1.0,1.0,1.0
63694,95.34,-14.797064544179593,1.0,-1.0,-1.0,-1.0
63695,98.2,-11.901414367331611,-1.0,-1.0,-1.0,-1.0
63696,97.62,-12.445764190483644,-1.0,-1.0,-1.0,-1.0
63697,97.19,-12.840114013635686,1.0,-1.0,1.0,-1.0
63698,97.57,-12.424463836787707,-1.0,1.0,-1.0,-1.0
63699,95.55,-14.40881365993974,-1.0,1.0,-1.0,1.0
63700,93.33,-16.593163483091754,-1.0,1.0,-1.0,1.0
63701,92.21,-17.677513306243796,-1.0,1.0,-1.0,1.0
63702,89.67,-20.181863129395822,1.0,1.0,1.0,1.0
63703,89.92,-19.896212952547838,-1.0,1.0,-1.0,1.0
63704,87.71,-22.070562775699887,-1.0,1.0,-1.0,1.0
63705,84.51,-25.234912598851906,-1.0,1.0,-1.0,1.0
63706,84.19,-25.519262422003933,-1.0,1.0,-1.0,1.0
