,Close,Target(1),Target(30),Prediction(1),Prediction(30)
70263,40.17,1.0,1.0,-1.0,1.0
70264,40.62,-1.0,1.0,-1.0,1.0
70265,39.9,-1.0,1.0,-1.0,1.0
70266,38.76,-1.0,1.0,-1.0,1.0
70267,38.19,1.0,1.0,1.0,1.0
70268,40.08,1.0,1.0,1.0,1.0
70269,41.01,-1.0,1.0,-1.0,1.0
70270,40.47,-1.0,1.0,1.0,1.0
70271,38.73,1.0,1.0,-1.0,1.0
70272,39.54,-1.0,1.0,-1.0,1.0
70273,39.18,1.0,1.0,1.0,1.0
70274,39.84,-1.0,1.0,-1.0,1.0
70275,39.48,1.0,1.0,1.0,1.0
70276,40.74,-1.0,1.0,-1.0,1.0
70277,39.84,1.0,1.0,1.0,1.0
70278,41.22,-1.0,1.0,-1.0,1.0
70279,40.8,1.0,1.0,1.0,1.0
70280,40.83,-1.0,1.0,-1.0,1.0
70281,40.59,1.0,1.0,1.0,1.0
70282,40.62,-1.0,1.0,-1.0,1.0
70283,39.54,-1.0,1.0,-1.0,1.0
70284,39.18,1.0,1.0,1.0,1.0
70285,39.93,-1.0,1.0,1.0,1.0
70286,39.9,1.0,1.0,1.0,1.0
70287,39.93,-1.0,1.0,1.0,1.0
70288,39.72,1.0,1.0,1.0,1.0
70289,40.02,1.0,1.0,1.0,1.0
70290,40.29,1.0,1.0,1.0,1.0
70291,41.52,-1.0,-1.0,-1.0,-1.0
70292,41.34,-1.0,-1.0,-1.0,-1.0
70293,41.01,-1.0,1.0,-1.0,1.0
70294,40.71,1.0,1.0,1.0,1.0
70295,40.92,-1.0,1.0,-1.0,1.0
70296,40.8,-1.0,1.0,-1.0,1.0
70297,40.53,1.0,-1.0,1.0,-1.0
70298,41.4,1.0,-1.0,1.0,-1.0
70299,43.38,-1.0,-1.0,-1.0,-1.0
70300,42.9,-1.0,-1.0,-1.0,-1.0
70301,42.78,1.0,-1.0,1.0,-1.0
70302,43.02,1.0,-1.0,1.0,-1.0
70303,43.5,-1.0,-1.0,-1.0,-1.0
70304,42.96,-1.0,-1.0,-1.0,-1.0
70305,42.33,1.0,-1.0,1.0,-1.0
70306,42.81,1.0,-1.0,1.0,-1.0
70307,43.32,-1.0,-1.0,-1.0,-1.0
70308,43.2,-1.0,-1.0,-1.0,-1.0
70309,42.72,1.0,-1.0,1.0,-1.0
70310,44.1,1.0,-1.0,1.0,-1.0
70311,44.19,1.0,-1.0,1.0,-1.0
70312,45.09,-1.0,-1.0,-1.0,-1.0
70313,44.22,1.0,-1.0,1.0,-1.0
70314,44.61,-1.0,-1.0,1.0,-1.0
70315,43.17,1.0,-1.0,1.0,-1.0
70316,43.71,-1.0,-1.0,-1.0,-1.0
70317,43.02,1.0,-1.0,1.0,-1.0
70318,43.29,-1.0,-1.0,-1.0,-1.0
70319,42.93,-1.0,-1.0,1.0,-1.0
70320,41.73,-1.0,-1.0,-1.0,-1.0
70321,41.16,1.0,-1.0,1.0,-1.0
70322,41.25,-1.0,-1.0,-1.0,-1.0
70323,41.13,1.0,-1.0,1.0,-1.0
70324,41.55,1.0,-1.0,1.0,-1.0
70325,42.33,-1.0,-1.0,-1.0,-1.0
70326,42.15,-1.0,-1.0,-1.0,-1.0
70327,40.32,1.0,-1.0,1.0,1.0
70328,40.71,1.0,-1.0,1.0,-1.0
70329,41.16,-1.0,-1.0,-1.0,-1.0
70330,40.29,-1.0,-1.0,-1.0,1.0
70331,39.45,-1.0,-1.0,-1.0,-1.0
70332,37.74,-1.0,-1.0,-1.0,-1.0
70333,37.38,-1.0,-1.0,-1.0,-1.0
70334,35.82,1.0,-1.0,-1.0,-1.0
70335,36.0,1.0,-1.0,1.0,-1.0
70336,37.77,-1.0,-1.0,-1.0,-1.0
70337,36.39,1.0,-1.0,1.0,-1.0
70338,37.38,1.0,-1.0,1.0,-1.0
70339,38.4,-1.0,-1.0,-1.0,-1.0
70340,37.08,-1.0,-1.0,-1.0,-1.0
70341,36.3,-1.0,-1.0,-1.0,-1.0
70342,35.46,-1.0,-1.0,-1.0,-1.0
70343,35.34,-1.0,-1.0,-1.0,-1.0
70344,33.21,1.0,-1.0,1.0,-1.0
70345,34.05,-1.0,-1.0,-1.0,-1.0
70346,33.27,1.0,-1.0,1.0,-1.0
70347,33.9,-1.0,-1.0,-1.0,-1.0
70348,33.75,1.0,-1.0,1.0,-1.0
70349,35.46,-1.0,-1.0,-1.0,-1.0
70350,34.92,-1.0,-1.0,1.0,-1.0
70351,33.57,1.0,-1.0,1.0,-1.0
70352,34.44,-1.0,-1.0,1.0,-1.0
70353,34.11,-1.0,-1.0,1.0,-1.0
70354,32.52,-1.0,-1.0,-1.0,-1.0
70355,31.53,1.0,1.0,1.0,1.0
70356,32.28,1.0,-1.0,1.0,-1.0
70357,32.4,1.0,1.0,1.0,1.0
70358,33.75,1.0,-1.0,1.0,-1.0
70359,34.08,-1.0,-1.0,-1.0,-1.0
70360,34.02,1.0,-1.0,1.0,-1.0
70361,34.77,-1.0,-1.0,-1.0,-1.0
70362,34.23,-1.0,-1.0,-1.0,-1.0
70363,33.54,-1.0,-1.0,-1.0,-1.0
70364,33.33,1.0,1.0,1.0,1.0
70365,35.16,-1.0,-1.0,-1.0,-1.0
70366,33.87,1.0,1.0,1.0,1.0
70367,34.29,-1.0,1.0,-1.0,1.0
70368,33.33,1.0,1.0,1.0,1.0
70369,33.69,-1.0,1.0,1.0,1.0
70370,33.09,-1.0,1.0,-1.0,-1.0
70371,31.02,-1.0,1.0,1.0,1.0
70372,30.18,-1.0,1.0,-1.0,-1.0
70373,30.15,-1.0,1.0,-1.0,1.0
70374,30.0,1.0,1.0,1.0,1.0
70375,30.63,1.0,1.0,1.0,1.0
70376,31.65,1.0,1.0,1.0,1.0
70377,32.16,1.0,-1.0,1.0,-1.0
70378,32.82,-1.0,-1.0,1.0,-1.0
70379,32.61,1.0,-1.0,-1.0,-1.0
70380,33.0,-1.0,-1.0,-1.0,-1.0
70381,32.73,-1.0,-1.0,-1.0,-1.0
70382,32.52,-1.0,-1.0,-1.0,-1.0
70383,31.23,1.0,-1.0,1.0,-1.0
70384,31.74,1.0,-1.0,1.0,-1.0
70385,32.55,-1.0,-1.0,-1.0,-1.0
70386,31.77,1.0,-1.0,1.0,-1.0
70387,32.46,1.0,1.0,-1.0,1.0
70388,33.15,1.0,-1.0,1.0,-1.0
70389,33.69,-1.0,-1.0,-1.0,-1.0
70390,33.63,-1.0,-1.0,-1.0,-1.0
70391,33.12,-1.0,1.0,-1.0,1.0
70392,33.06,1.0,1.0,1.0,1.0
70393,33.51,1.0,1.0,1.0,-1.0
70394,35.13,-1.0,-1.0,-1.0,-1.0
70395,34.68,-1.0,-1.0,-1.0,-1.0
70396,34.56,1.0,-1.0,1.0,-1.0
70397,34.74,1.0,-1.0,1.0,-1.0
70398,34.77,1.0,-1.0,1.0,-1.0
70399,34.98,-1.0,-1.0,-1.0,-1.0
70400,34.05,-1.0,1.0,-1.0,1.0
70401,31.98,1.0,1.0,1.0,1.0
70402,32.19,-1.0,1.0,-1.0,1.0
70403,31.92,-1.0,1.0,-1.0,1.0
70404,31.8,1.0,1.0,1.0,1.0
70405,32.85,-1.0,1.0,-1.0,1.0
70406,32.79,-1.0,1.0,-1.0,1.0
70407,31.98,-1.0,1.0,-1.0,1.0
70408,31.71,-1.0,1.0,-1.0,1.0
70409,31.11,-1.0,1.0,-1.0,1.0
70410,30.18,1.0,1.0,1.0,1.0
70411,30.33,-1.0,1.0,-1.0,1.0
70412,30.03,1.0,1.0,-1.0,1.0
70413,30.96,-1.0,1.0,-1.0,1.0
70414,30.75,-1.0,1.0,1.0,-1.0
70415,30.65,1.0,1.0,1.0,1.0
70416,31.56,1.0,1.0,1.0,-1.0
70417,32.49,1.0,1.0,1.0,-1.0
70418,32.64,-1.0,1.0,-1.0,1.0
70419,32.58,1.0,1.0,-1.0,-1.0
70420,33.21,1.0,1.0,1.0,1.0
70421,33.69,-1.0,1.0,-1.0,1.0
70422,33.51,1.0,1.0,1.0,1.0
70423,34.56,-1.0,1.0,-1.0,1.0
70424,34.47,-1.0,1.0,-1.0,1.0
70425,34.29,-1.0,1.0,-1.0,1.0
70426,33.78,-1.0,1.0,-1.0,1.0
70427,33.51,1.0,1.0,1.0,1.0
70428,34.14,-1.0,1.0,-1.0,1.0
70429,33.51,1.0,1.0,1.0,1.0
70430,35.1,1.0,1.0,1.0,1.0
70431,35.22,1.0,1.0,1.0,1.0
70432,36.6,-1.0,1.0,-1.0,1.0
70433,36.21,1.0,1.0,1.0,1.0
70434,36.66,-1.0,1.0,1.0,1.0
70435,36.24,1.0,1.0,1.0,1.0
70436,36.33,1.0,1.0,1.0,1.0
70437,36.69,-1.0,1.0,-1.0,1.0
70438,35.76,1.0,1.0,1.0,1.0
70439,36.42,1.0,1.0,1.0,1.0
70440,37.11,-1.0,1.0,-1.0,1.0
70441,36.6,1.0,1.0,1.0,1.0
70442,38.67,1.0,1.0,1.0,1.0
70443,38.79,1.0,1.0,1.0,1.0
70444,39.6,1.0,-1.0,1.0,1.0
70445,40.11,-1.0,-1.0,-1.0,-1.0
70446,39.39,0.0,1.0,0.0,1.0
70447,39.39,1.0,1.0,1.0,1.0
70448,39.42,-1.0,-1.0,1.0,-1.0
70449,38.01,1.0,1.0,1.0,1.0
70450,38.85,-1.0,1.0,-1.0,1.0
70451,38.34,-1.0,1.0,-1.0,1.0
70452,38.16,1.0,1.0,1.0,1.0
70453,38.64,-1.0,1.0,-1.0,1.0
70454,38.61,-1.0,1.0,-1.0,1.0
70455,38.1,-1.0,1.0,-1.0,1.0
70456,37.95,1.0,1.0,1.0,1.0
70457,39.42,-1.0,1.0,-1.0,1.0
70458,39.15,1.0,1.0,1.0,1.0
70459,39.72,-1.0,1.0,-1.0,1.0
70460,39.42,1.0,1.0,1.0,1.0
70461,40.8,1.0,1.0,1.0,1.0
70462,42.0,-1.0,1.0,-1.0,1.0
70463,41.88,-1.0,1.0,-1.0,1.0
70464,41.25,1.0,1.0,1.0,1.0
70465,41.64,-1.0,1.0,-1.0,-1.0
70466,41.43,-1.0,1.0,-1.0,1.0
70467,40.47,-1.0,1.0,-1.0,1.0
70468,40.2,-1.0,1.0,-1.0,1.0
70469,39.09,-1.0,1.0,-1.0,1.0
70470,38.82,1.0,1.0,1.0,1.0
70471,40.14,0.0,1.0,0.0,1.0
70472,40.14,-1.0,1.0,-1.0,1.0
70473,39.87,-1.0,1.0,-1.0,1.0
70474,39.39,1.0,1.0,1.0,1.0
70475,39.93,-1.0,1.0,-1.0,1.0
70476,39.51,1.0,1.0,1.0,1.0
70477,39.87,-1.0,1.0,1.0,1.0
70478,39.38,1.0,1.0,1.0,1.0
70479,40.71,1.0,1.0,1.0,1.0
70480,42.27,1.0,1.0,1.0,1.0
70481,42.69,1.0,1.0,-1.0,1.0
70482,42.7,-1.0,1.0,1.0,1.0
