,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
75863,130.64,-1.7691500008779713,-1.0,1.0,-1.0,1.0
75864,128.16,-4.53558548276655,1.0,1.0,1.0,1.0
75865,130.34,-2.642020964655132,1.0,1.0,1.0,1.0
75866,132.47,-0.7984564465436961,1.0,1.0,-1.0,1.0
75867,133.11,-0.4448919284322699,1.0,1.0,1.0,1.0
75868,133.97,0.12867258967915518,1.0,1.0,1.0,1.0
75869,138.43,4.302237107790575,-1.0,1.0,1.0,1.0
75870,136.97,2.5558016259020064,1.0,1.0,1.0,1.0
75871,137.33,2.6293661440134315,1.0,1.0,1.0,1.0
75872,146.06,11.072930662124861,-1.0,1.0,1.0,1.0
75873,143.51,8.236495180236263,-1.0,1.0,1.0,1.0
75874,139.63,4.0700596983477055,1.0,1.0,1.0,1.0
75875,141.96,6.1136242164591295,1.0,1.0,1.0,1.0
75876,144.42,8.287188734570549,1.0,1.0,1.0,1.0
75877,148.82,12.400753252681966,-1.0,1.0,1.0,1.0
75878,148.14,11.434317770793399,1.0,1.0,1.0,1.0
75879,148.47,11.477882288904825,1.0,1.0,1.0,1.0
75880,148.63,11.351446807016261,1.0,-1.0,1.0,-1.0
75881,151.55,13.985011325127687,1.0,-1.0,1.0,-1.0
75882,152.49,14.638575843239124,1.0,-1.0,1.0,-1.0
75883,152.89,14.752140361350513,1.0,-1.0,1.0,-1.0
75884,154.76,16.335704879461957,-1.0,-1.0,-1.0,-1.0
75885,152.99,14.279269397573387,1.0,-1.0,1.0,-1.0
75886,153.0,14.00283391568482,1.0,-1.0,1.0,-1.0
75887,153.1,13.816398433796225,1.0,-1.0,1.0,-1.0
75888,154.13,14.559962951907663,1.0,-1.0,1.0,-1.0
75889,156.93,17.073527470019087,-1.0,-1.0,1.0,-1.0
75890,154.5,14.35709198813052,1.0,-1.0,1.0,-1.0
75891,157.8,17.370656506241946,-1.0,-1.0,-1.0,-1.0
75892,156.01,15.294221024353364,-1.0,-1.0,-1.0,-1.0
75893,155.03,14.027785542464786,1.0,-1.0,1.0,-1.0
75894,157.54,16.251350060576215,-1.0,-1.0,-1.0,-1.0
