,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
76201,38.58,14.547335778409396,-1.0,-1.0,-1.0,-1.0
76202,38.38,14.321033565996515,1.0,-1.0,-1.0,-1.0
76203,38.44,14.354731353583627,-1.0,-1.0,-1.0,-1.0
76204,38.1,13.988429141170748,-1.0,-1.0,-1.0,-1.0
76205,32.51,8.372126928757861,1.0,1.0,1.0,1.0
76206,33.34,9.175824716344986,1.0,1.0,1.0,1.0
76207,33.54,9.349522503932096,-1.0,1.0,-1.0,1.0
76208,33.14,8.923220291519215,-1.0,1.0,-1.0,1.0
76209,32.71,8.466918079106327,1.0,1.0,1.0,1.0
76210,32.77,8.500615866693447,-1.0,1.0,-1.0,1.0
76211,32.51,8.21431365428056,1.0,1.0,1.0,1.0
76212,32.54,8.218011441867677,-1.0,1.0,-1.0,1.0
76213,32.17,7.821709229454798,1.0,1.0,1.0,1.0
76214,32.34,7.9654070170419145,-1.0,1.0,-1.0,1.0
76215,32.09,7.689104804629032,1.0,1.0,1.0,1.0
76216,32.6,8.172802592216147,-1.0,1.0,-1.0,1.0
76217,32.1,7.646500379803264,-1.0,1.0,-1.0,1.0
76218,32.05,7.570198167390371,-1.0,1.0,-1.0,1.0
76219,31.8,7.293895954977493,1.0,1.0,1.0,1.0
76220,32.04,7.507593742564608,-1.0,1.0,-1.0,1.0
76221,31.52,6.961291530151726,1.0,1.0,1.0,1.0
76222,31.73,7.144989317738844,-1.0,1.0,-1.0,1.0
76223,31.51,6.898687105325962,1.0,1.0,1.0,1.0
76224,31.6,6.96238489291308,1.0,1.0,1.0,1.0
76225,31.84,7.176082680500194,-1.0,1.0,-1.0,1.0
76226,31.67,6.979780468087312,-1.0,1.0,-1.0,1.0
76227,31.43,6.713478255674424,-1.0,1.0,-1.0,1.0
76228,30.79,6.0471760432615405,1.0,1.0,1.0,1.0
76229,31.15,6.380873830848657,1.0,1.0,1.0,1.0
76230,31.38,6.584571618435774,1.0,1.0,1.0,1.0
76231,32.07,7.248269406022892,1.0,1.0,1.0,1.0
76232,32.36,7.511967193610007,1.0,1.0,1.0,-1.0
76233,33.04,8.165664981197125,1.0,1.0,1.0,1.0
76234,33.31,8.409362768784245,1.0,1.0,1.0,1.0
76235,33.61,8.683060556371359,1.0,1.0,1.0,1.0
76236,34.05,9.09675834395847,1.0,1.0,1.0,1.0
76237,34.63,9.65045613154559,1.0,1.0,1.0,1.0
76238,34.79,9.784153919132708,1.0,1.0,1.0,1.0
76239,35.03,9.997851706719825,1.0,1.0,1.0,1.0
76240,35.39,10.33154949430694,1.0,1.0,1.0,1.0
76241,35.74,10.655247281894061,-1.0,1.0,-1.0,1.0
76242,35.06,9.948945069481177,-1.0,1.0,-1.0,1.0
76243,34.98,9.842642857068288,1.0,1.0,1.0,1.0
76244,35.45,10.28634064465541,1.0,1.0,1.0,1.0
76245,36.08,10.89003843224252,1.0,1.0,1.0,1.0
76246,36.17,10.95373621982964,1.0,1.0,1.0,1.0
76247,36.41,11.167434007416752,-1.0,1.0,-1.0,1.0
76248,36.4,11.131131795003869,1.0,-1.0,1.0,-1.0
76249,36.55,11.254829582590986,1.0,-1.0,1.0,-1.0
76250,37.13,11.808527370178108,1.0,-1.0,1.0,-1.0
76251,37.31,11.962225157765223,-1.0,-1.0,-1.0,-1.0
76252,37.22,11.845922945352337,1.0,-1.0,-1.0,-1.0
76253,37.39,11.989620732939455,-1.0,-1.0,-1.0,-1.0
76254,37.38,11.95331852052657,1.0,-1.0,1.0,-1.0
