,Close,Target(1),Target(30),Prediction(1),Prediction(30)
78068,22.15,-1.0,-1.0,-1.0,-1.0
78069,22.02,0.0,-1.0,1.0,-1.0
78070,22.02,-1.0,-1.0,-1.0,-1.0
78071,21.66,1.0,-1.0,1.0,-1.0
78072,21.8,1.0,-1.0,1.0,-1.0
78073,22.14,-1.0,-1.0,-1.0,-1.0
78074,22.1,1.0,-1.0,1.0,-1.0
78075,22.36,-1.0,-1.0,-1.0,-1.0
78076,21.75,-1.0,-1.0,-1.0,-1.0
78077,21.68,-1.0,-1.0,-1.0,-1.0
78078,21.61,-1.0,0.0,-1.0,0.0
78079,21.4,1.0,1.0,1.0,1.0
78080,21.57,1.0,-1.0,1.0,-1.0
78081,21.82,1.0,-1.0,1.0,-1.0
78082,22.16,-1.0,-1.0,1.0,-1.0
78083,22.12,1.0,-1.0,1.0,-1.0
78084,22.21,1.0,-1.0,1.0,-1.0
78085,22.51,1.0,-1.0,1.0,1.0
78086,22.88,-1.0,-1.0,-1.0,-1.0
78087,22.69,-1.0,-1.0,-1.0,-1.0
78088,22.45,-1.0,-1.0,-1.0,-1.0
78089,22.26,1.0,-1.0,1.0,-1.0
78090,22.31,-1.0,-1.0,-1.0,-1.0
78091,22.26,-1.0,-1.0,-1.0,-1.0
78092,21.08,-1.0,1.0,-1.0,1.0
78093,20.75,1.0,1.0,1.0,1.0
78094,20.92,1.0,1.0,1.0,1.0
78095,21.25,1.0,1.0,1.0,1.0
78096,21.41,-1.0,-1.0,-1.0,-1.0
78097,21.35,-1.0,1.0,-1.0,1.0
78098,21.22,-1.0,1.0,-1.0,1.0
78099,21.07,-1.0,1.0,-1.0,1.0
78100,21.02,-1.0,1.0,-1.0,1.0
78101,20.96,1.0,1.0,1.0,1.0
78102,21.1,-1.0,-1.0,-1.0,-1.0
78103,21.07,1.0,1.0,1.0,1.0
78104,21.27,1.0,1.0,1.0,1.0
78105,21.4,-1.0,1.0,-1.0,1.0
78106,21.25,-1.0,1.0,-1.0,1.0
78107,21.11,1.0,1.0,-1.0,1.0
78108,21.61,1.0,1.0,1.0,1.0
78109,21.7,-1.0,-1.0,-1.0,-1.0
78110,21.51,-1.0,-1.0,-1.0,-1.0
78111,21.25,1.0,1.0,1.0,1.0
78112,21.43,-1.0,1.0,-1.0,1.0
78113,21.37,1.0,1.0,1.0,1.0
78114,21.76,1.0,-1.0,1.0,-1.0
78115,21.81,1.0,-1.0,1.0,-1.0
78116,22.15,-1.0,-1.0,-1.0,-1.0
78117,22.14,-1.0,-1.0,-1.0,-1.0
78118,21.71,-1.0,-1.0,-1.0,-1.0
78119,21.35,1.0,-1.0,1.0,-1.0
78120,21.62,-1.0,-1.0,-1.0,-1.0
78121,21.55,-1.0,-1.0,-1.0,-1.0
78122,21.48,-1.0,-1.0,-1.0,-1.0
78123,21.44,-1.0,-1.0,1.0,-1.0
78124,21.43,1.0,-1.0,-1.0,-1.0
78125,21.47,-1.0,-1.0,-1.0,-1.0
78126,21.22,1.0,-1.0,1.0,-1.0
78127,21.45,1.0,-1.0,1.0,-1.0
78128,21.64,-1.0,-1.0,-1.0,-1.0
78129,21.43,-1.0,-1.0,-1.0,-1.0
78130,21.36,-1.0,-1.0,-1.0,1.0
78131,21.06,-1.0,-1.0,-1.0,-1.0
78132,20.83,1.0,-1.0,1.0,1.0
78133,21.24,1.0,-1.0,1.0,-1.0
78134,21.69,1.0,-1.0,1.0,-1.0
78135,21.78,1.0,-1.0,1.0,-1.0
78136,21.94,1.0,-1.0,1.0,-1.0
78137,22.0,1.0,-1.0,1.0,-1.0
78138,22.01,-1.0,-1.0,1.0,-1.0
78139,21.4,-1.0,1.0,-1.0,1.0
78140,20.71,1.0,1.0,1.0,1.0
78141,21.93,-1.0,-1.0,-1.0,-1.0
78142,21.65,1.0,-1.0,1.0,-1.0
78143,21.7,1.0,-1.0,1.0,-1.0
78144,21.75,-1.0,-1.0,-1.0,-1.0
78145,21.38,-1.0,-1.0,-1.0,-1.0
78146,21.29,-1.0,-1.0,-1.0,-1.0
