,Close,Target(1),Target(30),Prediction(1),Prediction(30)
79935,37.79,1.0,1.0,1.0,1.0
79936,38.1,1.0,1.0,1.0,1.0
79937,38.67,-1.0,1.0,1.0,1.0
79938,37.43,1.0,1.0,1.0,1.0
79939,37.66,1.0,1.0,1.0,1.0
79940,38.21,1.0,1.0,1.0,1.0
79941,39.02,-1.0,1.0,-1.0,1.0
79942,38.33,-1.0,1.0,-1.0,1.0
79943,37.53,1.0,1.0,1.0,1.0
79944,37.85,-1.0,1.0,-1.0,1.0
79945,36.79,1.0,1.0,1.0,1.0
79946,37.54,1.0,1.0,1.0,1.0
79947,37.75,1.0,1.0,1.0,1.0
79948,38.29,1.0,1.0,1.0,1.0
79949,38.42,1.0,1.0,1.0,1.0
79950,39.62,-1.0,1.0,-1.0,1.0
79951,39.05,1.0,1.0,-1.0,1.0
79952,39.15,-1.0,1.0,-1.0,1.0
79953,39.06,-1.0,1.0,-1.0,1.0
79954,38.93,-1.0,1.0,-1.0,1.0
79955,37.93,1.0,1.0,1.0,1.0
79956,38.41,-1.0,1.0,-1.0,1.0
79957,38.04,1.0,1.0,1.0,1.0
79958,38.19,-1.0,1.0,-1.0,1.0
79959,38.13,1.0,1.0,1.0,1.0
79960,38.39,-1.0,1.0,-1.0,1.0
79961,38.28,1.0,1.0,1.0,1.0
79962,38.89,1.0,1.0,1.0,1.0
79963,40.2,-1.0,1.0,-1.0,1.0
79964,39.71,-1.0,1.0,-1.0,1.0
79965,39.7,1.0,1.0,1.0,1.0
79966,39.72,1.0,1.0,1.0,1.0
79967,40.11,1.0,1.0,1.0,1.0
79968,40.76,-1.0,1.0,-1.0,1.0
79969,40.7,1.0,1.0,1.0,1.0
79970,40.92,1.0,1.0,1.0,1.0
79971,41.01,-1.0,1.0,-1.0,1.0
79972,41.0,-1.0,1.0,-1.0,1.0
79973,40.33,1.0,1.0,1.0,1.0
79974,41.08,1.0,1.0,1.0,1.0
79975,41.24,-1.0,1.0,-1.0,1.0
79976,41.01,1.0,1.0,1.0,1.0
79977,41.42,-1.0,-1.0,-1.0,1.0
79978,41.12,1.0,1.0,1.0,1.0
79979,41.48,-1.0,1.0,-1.0,1.0
79980,41.29,-1.0,1.0,-1.0,1.0
79981,41.26,1.0,1.0,1.0,1.0
79982,41.7,1.0,-1.0,-1.0,-1.0
79983,42.67,1.0,-1.0,1.0,1.0
79984,43.12,-1.0,-1.0,1.0,-1.0
79985,42.37,1.0,-1.0,1.0,-1.0
79986,43.69,1.0,-1.0,1.0,-1.0
79987,43.88,1.0,-1.0,1.0,-1.0
79988,44.54,1.0,-1.0,1.0,-1.0
79989,44.99,1.0,-1.0,1.0,-1.0
79990,46.46,1.0,-1.0,-1.0,-1.0
79991,46.67,-1.0,-1.0,-1.0,-1.0
79992,45.1,1.0,-1.0,1.0,-1.0
79993,45.76,1.0,-1.0,1.0,-1.0
79994,46.2,-1.0,-1.0,-1.0,-1.0
79995,45.99,1.0,-1.0,1.0,-1.0
79996,46.77,1.0,-1.0,-1.0,-1.0
79997,48.05,-1.0,-1.0,1.0,-1.0
79998,47.14,-1.0,-1.0,-1.0,-1.0
79999,45.79,1.0,-1.0,-1.0,-1.0
80000,46.08,1.0,-1.0,1.0,-1.0
80001,47.6,-1.0,-1.0,-1.0,-1.0
80002,46.12,1.0,-1.0,1.0,-1.0
80003,47.2,-1.0,-1.0,1.0,1.0
80004,45.86,-1.0,-1.0,-1.0,-1.0
80005,44.43,-1.0,-1.0,-1.0,-1.0
80006,42.5,-1.0,-1.0,-1.0,-1.0
80007,40.6,1.0,1.0,1.0,1.0
80008,43.09,1.0,-1.0,1.0,1.0
80009,43.33,1.0,-1.0,1.0,-1.0
80010,44.1,-1.0,-1.0,-1.0,1.0
80011,42.81,-1.0,-1.0,-1.0,-1.0
80012,40.64,1.0,1.0,1.0,1.0
80013,41.22,-1.0,-1.0,-1.0,-1.0
80014,39.84,1.0,-1.0,1.0,-1.0
80015,40.17,-1.0,-1.0,-1.0,-1.0
80016,38.62,1.0,1.0,1.0,1.0
80017,39.82,-1.0,-1.0,-1.0,-1.0
80018,39.04,-1.0,1.0,-1.0,1.0
80019,39.0,-1.0,1.0,1.0,1.0
80020,38.17,1.0,1.0,1.0,1.0
80021,40.33,-1.0,1.0,-1.0,1.0
80022,39.87,-1.0,1.0,-1.0,1.0
80023,39.19,1.0,1.0,-1.0,1.0
80024,40.97,-1.0,1.0,-1.0,1.0
80025,40.54,-1.0,1.0,1.0,1.0
80026,38.41,-1.0,1.0,-1.0,1.0
80027,37.71,1.0,1.0,1.0,1.0
80028,38.43,-1.0,1.0,1.0,1.0
80029,38.11,1.0,1.0,1.0,1.0
80030,40.03,1.0,1.0,1.0,1.0
80031,40.13,-1.0,1.0,-1.0,1.0
80032,39.89,1.0,1.0,1.0,1.0
80033,41.59,1.0,1.0,1.0,1.0
80034,42.34,-1.0,1.0,-1.0,1.0
80035,42.06,-1.0,1.0,-1.0,1.0
80036,42.03,1.0,1.0,1.0,1.0
80037,42.6,-1.0,1.0,-1.0,1.0
80038,41.94,1.0,1.0,1.0,1.0
80039,42.17,-1.0,1.0,-1.0,1.0
80040,41.06,1.0,1.0,1.0,1.0
80041,42.67,-1.0,1.0,-1.0,1.0
80042,42.11,-1.0,1.0,-1.0,1.0
80043,40.09,-1.0,1.0,1.0,1.0
80044,39.7,-1.0,1.0,-1.0,1.0
80045,39.48,-1.0,1.0,-1.0,1.0
80046,39.42,-1.0,1.0,-1.0,1.0
80047,39.21,1.0,1.0,1.0,1.0
80048,41.15,1.0,1.0,1.0,1.0
80049,42.12,1.0,-1.0,1.0,-1.0
80050,42.58,1.0,-1.0,1.0,-1.0
80051,42.83,1.0,-1.0,1.0,-1.0
80052,44.17,-1.0,-1.0,-1.0,-1.0
80053,43.7,-1.0,-1.0,-1.0,-1.0
80054,43.43,-1.0,-1.0,-1.0,-1.0
80055,41.38,1.0,-1.0,1.0,-1.0
80056,41.58,1.0,-1.0,1.0,-1.0
80057,42.06,-1.0,-1.0,1.0,1.0
80058,41.15,1.0,-1.0,1.0,-1.0
80059,43.19,1.0,-1.0,-1.0,-1.0
80060,44.79,1.0,-1.0,1.0,-1.0
80061,45.43,-1.0,-1.0,-1.0,-1.0
80062,44.55,1.0,-1.0,1.0,-1.0
80063,44.58,-1.0,-1.0,-1.0,-1.0
80064,44.56,1.0,-1.0,1.0,-1.0
80065,44.64,1.0,-1.0,1.0,-1.0
80066,44.99,-1.0,-1.0,1.0,-1.0
80067,44.6,-1.0,-1.0,-1.0,-1.0
80068,44.11,-1.0,-1.0,-1.0,-1.0
80069,43.22,1.0,-1.0,1.0,-1.0
80070,43.5,1.0,-1.0,1.0,-1.0
80071,43.75,1.0,-1.0,1.0,-1.0
80072,44.09,-1.0,-1.0,1.0,-1.0
80073,42.96,-1.0,-1.0,-1.0,-1.0
80074,42.15,-1.0,1.0,-1.0,1.0
80075,41.73,-1.0,1.0,-1.0,1.0
80076,41.54,1.0,1.0,1.0,1.0
80077,41.74,-1.0,1.0,-1.0,1.0
80078,41.69,-1.0,1.0,-1.0,1.0
80079,40.96,-1.0,1.0,-1.0,1.0
80080,40.76,-1.0,-1.0,-1.0,-1.0
80081,40.2,-1.0,-1.0,-1.0,-1.0
80082,39.57,1.0,-1.0,1.0,-1.0
