,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
81802,36.83,32.859226713307855,-1.0,1.0,-1.0,1.0
81803,36.47,32.374713303740414,1.0,1.0,1.0,1.0
81804,36.51,32.29019989417298,-1.0,1.0,-1.0,1.0
81805,36.06,31.715686484605552,-1.0,1.0,1.0,1.0
81806,35.78,31.311173075038123,1.0,1.0,1.0,1.0
81807,36.5,31.90665966547068,1.0,1.0,1.0,1.0
81808,36.89,32.172146255903236,1.0,1.0,1.0,1.0
81809,36.95,32.10763284633582,-1.0,1.0,-1.0,1.0
81810,35.41,30.44311943676837,1.0,1.0,1.0,1.0
81811,35.67,30.578606027200948,-1.0,1.0,-1.0,1.0
81812,35.25,30.034092617633508,1.0,1.0,1.0,1.0
81813,35.8,30.45957920806607,1.0,1.0,1.0,1.0
81814,35.87,30.40506579849864,1.0,1.0,1.0,1.0
81815,36.37,30.7805523889312,1.0,1.0,1.0,1.0
81816,36.72,31.00603897936377,1.0,1.0,1.0,1.0
81817,36.93,31.091525569796328,1.0,1.0,1.0,1.0
81818,37.47,31.507012160228896,1.0,1.0,1.0,1.0
81819,38.39,32.30249875066147,1.0,1.0,1.0,1.0
81820,39.0,32.78798534109403,-1.0,1.0,-1.0,1.0
81821,38.93,32.593471931526594,-1.0,1.0,-1.0,1.0
81822,38.44,31.97895852195916,1.0,1.0,1.0,1.0
81823,38.83,32.24444511239173,1.0,1.0,1.0,1.0
81824,39.28,32.569931702824285,-1.0,1.0,-1.0,1.0
81825,38.98,32.14541829325686,1.0,1.0,1.0,1.0
81826,39.48,32.520904883689425,1.0,1.0,1.0,1.0
81827,40.4,33.31639147412199,1.0,1.0,1.0,1.0
81828,40.85,33.64187806455456,-1.0,1.0,-1.0,1.0
81829,40.62,33.28736465498712,1.0,1.0,1.0,1.0
81830,41.05,33.592851245419695,-1.0,1.0,-1.0,1.0
81831,40.87,33.28833783585225,1.0,1.0,-1.0,1.0
81832,41.55,33.84382442628482,-1.0,1.0,-1.0,1.0
81833,41.54,33.709311016717386,1.0,1.0,1.0,1.0
81834,41.75,33.79479760714995,1.0,1.0,1.0,1.0
81835,41.93,33.850284197582525,-1.0,1.0,1.0,1.0
81836,41.66,33.45577078801508,1.0,1.0,-1.0,1.0
81837,42.1,33.77125737844765,1.0,1.0,1.0,1.0
81838,42.37,33.91674396888021,-1.0,1.0,-1.0,1.0
81839,42.07,33.49223055931278,-1.0,1.0,-1.0,1.0
81840,41.43,32.727717149745345,1.0,1.0,1.0,1.0
81841,41.83,33.00320374017791,1.0,1.0,1.0,1.0
81842,42.49,33.53869033061048,-1.0,1.0,-1.0,1.0
81843,41.59,32.514176921043045,-1.0,1.0,-1.0,1.0
81844,41.12,31.919663511475605,1.0,-1.0,1.0,-1.0
81845,41.56,32.235150101908175,1.0,1.0,-1.0,1.0
81846,42.0,32.55063669234074,1.0,1.0,1.0,1.0
81847,42.24,32.666123282773306,-1.0,1.0,-1.0,1.0
81848,42.21,32.51160987320587,1.0,1.0,1.0,-1.0
81849,44.9,35.077096463638426,1.0,-1.0,1.0,-1.0
81850,46.99,37.042583054071,-1.0,-1.0,-1.0,-1.0
81851,46.76,36.68806964450357,-1.0,-1.0,-1.0,-1.0
81852,45.82,35.62355623493613,-1.0,-1.0,-1.0,-1.0
81853,45.36,35.039042825368696,-1.0,-1.0,-1.0,-1.0
81854,45.19,34.74452941580126,1.0,-1.0,1.0,-1.0
81855,45.35,34.78001600623383,-1.0,-1.0,-1.0,-1.0
81856,45.29,34.595502596666385,1.0,-1.0,1.0,-1.0
81857,45.6,34.78098918709896,-1.0,-1.0,-1.0,-1.0
81858,45.23,34.28647577753152,-1.0,-1.0,-1.0,-1.0
81859,44.98,33.911962367964094,1.0,-1.0,1.0,-1.0
