,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
83669,156.44,3.6774852330553363,1.0,1.0,1.0,1.0
83670,158.34,5.218307238687713,-1.0,1.0,-1.0,1.0
83671,156.38,2.8991292443201075,-1.0,1.0,-1.0,1.0
83672,155.42,1.5799512499524724,-1.0,1.0,-1.0,1.0
83673,155.03,0.8307732555848588,1.0,1.0,1.0,1.0
83674,156.5,1.9415952612172305,1.0,1.0,-1.0,1.0
83675,157.58,2.662417266849644,-1.0,1.0,-1.0,1.0
83676,157.09,1.8132392724820081,-1.0,1.0,-1.0,1.0
83677,154.4,-1.2359387218856168,1.0,1.0,1.0,1.0
83678,155.38,-0.6151167162532545,1.0,1.0,1.0,1.0
83679,156.94,0.5857052893791489,1.0,1.0,1.0,1.0
83680,159.05,2.3365272950115354,-1.0,1.0,-1.0,1.0
83681,158.5,1.4273493006438969,1.0,1.0,1.0,1.0
83682,158.65,1.2181713062762751,1.0,1.0,1.0,1.0
83683,160.85,3.058993311908665,1.0,1.0,1.0,1.0
83684,164.87,6.719815317541047,1.0,1.0,1.0,1.0
83685,165.62,7.11063732317342,-1.0,1.0,-1.0,1.0
83686,163.19,4.321459328805815,1.0,1.0,1.0,1.0
83687,163.67,4.442281334438178,-1.0,1.0,-1.0,1.0
83688,163.07,3.4831033400705564,1.0,1.0,1.0,1.0
83689,164.24,4.293925345702945,1.0,1.0,1.0,1.0
83690,164.96,4.654747351335345,1.0,1.0,1.0,1.0
83691,166.08,5.415569356967723,-1.0,1.0,-1.0,1.0
83692,165.93,4.90639136260009,1.0,1.0,1.0,1.0
83693,166.0,4.617213368232456,-1.0,1.0,-1.0,1.0
83694,164.74,2.9980353738648664,-1.0,1.0,-1.0,1.0
83695,164.57,2.4688573794972233,1.0,1.0,1.0,1.0
83696,167.62,5.159679385129607,1.0,1.0,1.0,1.0
83697,168.79,5.970501390761968,-1.0,1.0,-1.0,1.0
83698,168.15,4.971323396394382,-1.0,1.0,1.0,1.0
83699,167.86,4.322145402026763,1.0,1.0,1.0,1.0
83700,168.09,4.1929674076591255,1.0,1.0,1.0,1.0
83701,168.66,4.403789413291491,1.0,1.0,1.0,1.0
83702,168.89,4.2746114189238815,1.0,1.0,1.0,1.0
83703,169.0,4.025433424556269,1.0,1.0,1.0,1.0
83704,169.17,3.836255430188629,1.0,1.0,1.0,1.0
83705,172.0,6.307077435821043,1.0,1.0,1.0,1.0
83706,172.21,6.157899441453424,1.0,1.0,1.0,1.0
83707,172.28,5.8687214470857905,1.0,1.0,1.0,1.0
83708,174.19,7.419543452718159,1.0,1.0,1.0,1.0
83709,175.05,7.920365458350574,-1.0,1.0,-1.0,1.0
83710,173.57,6.0811874639829275,1.0,1.0,1.0,1.0
83711,173.93,6.082009469615315,1.0,1.0,1.0,1.0
83712,174.22,6.01283147524768,-1.0,1.0,1.0,1.0
83713,173.23,4.663653480880072,1.0,1.0,1.0,1.0
83714,173.58,4.6544754865124665,-1.0,1.0,-1.0,1.0
83715,173.09,3.805297492144831,1.0,1.0,1.0,1.0
83716,174.88,5.236119497777223,-1.0,1.0,-1.0,1.0
83717,173.53,3.5269415034096028,1.0,1.0,1.0,1.0
83718,173.97,3.607763509041973,1.0,1.0,1.0,1.0
83719,176.0,5.278585514674346,-1.0,1.0,-1.0,1.0
83720,175.05,3.9694075203067314,1.0,1.0,1.0,1.0
83721,175.29,3.850229525939113,1.0,1.0,1.0,1.0
83722,175.42,3.6210515315714815,1.0,1.0,1.0,1.0
