,Close,Target(1),Target(30),Prediction(1),Prediction(30)
87403,58.96,1.0,1.0,1.0,1.0
87404,59.06,-1.0,-1.0,-1.0,-1.0
87405,58.91,-1.0,-1.0,-1.0,-1.0
87406,58.2,-1.0,-1.0,-1.0,-1.0
87407,57.59,1.0,1.0,1.0,1.0
87408,57.86,1.0,1.0,1.0,-1.0
87409,58.47,-1.0,-1.0,-1.0,-1.0
87410,57.49,-1.0,1.0,-1.0,1.0
87411,56.34,1.0,1.0,1.0,1.0
87412,56.59,-1.0,1.0,-1.0,1.0
87413,56.36,1.0,1.0,1.0,1.0
87414,56.38,-1.0,1.0,-1.0,1.0
87415,56.13,-1.0,1.0,-1.0,1.0
87416,56.01,-1.0,1.0,-1.0,1.0
87417,55.92,1.0,1.0,1.0,1.0
87418,56.94,1.0,1.0,1.0,1.0
87419,57.65,-1.0,1.0,-1.0,1.0
87420,57.38,1.0,1.0,1.0,1.0
87421,57.54,1.0,1.0,1.0,1.0
87422,57.74,-1.0,1.0,-1.0,1.0
87423,56.96,1.0,1.0,-1.0,1.0
87424,57.6,-1.0,1.0,1.0,1.0
87425,57.09,-1.0,1.0,-1.0,1.0
87426,56.93,1.0,1.0,-1.0,1.0
87427,57.27,1.0,1.0,1.0,1.0
87428,58.45,1.0,1.0,1.0,1.0
87429,59.0,1.0,1.0,1.0,1.0
87430,59.04,1.0,1.0,1.0,1.0
87431,59.48,-1.0,-1.0,-1.0,-1.0
87432,59.13,-1.0,1.0,1.0,1.0
87433,58.98,-1.0,-1.0,-1.0,-1.0
87434,58.48,-1.0,-1.0,-1.0,-1.0
87435,58.16,-1.0,-1.0,-1.0,-1.0
87436,57.81,1.0,-1.0,1.0,-1.0
87437,58.37,-1.0,-1.0,1.0,-1.0
87438,58.05,1.0,-1.0,1.0,-1.0
87439,58.34,1.0,-1.0,1.0,-1.0
87440,58.97,1.0,-1.0,1.0,-1.0
87441,59.25,1.0,-1.0,1.0,-1.0
87442,59.67,-1.0,-1.0,-1.0,-1.0
87443,59.37,-1.0,-1.0,-1.0,-1.0
87444,58.9,-1.0,-1.0,-1.0,1.0
87445,58.72,-1.0,-1.0,-1.0,-1.0
87446,58.43,1.0,-1.0,1.0,-1.0
87447,58.71,-1.0,-1.0,-1.0,-1.0
87448,58.67,-1.0,-1.0,-1.0,-1.0
87449,58.2,1.0,-1.0,1.0,-1.0
87450,58.23,1.0,-1.0,1.0,-1.0
87451,58.26,-1.0,-1.0,-1.0,-1.0
87452,58.2,-1.0,-1.0,-1.0,-1.0
87453,57.97,-1.0,-1.0,-1.0,-1.0
87454,57.7,1.0,-1.0,1.0,-1.0
87455,57.99,1.0,-1.0,1.0,-1.0
87456,58.15,1.0,-1.0,1.0,-1.0
87457,59.06,1.0,-1.0,1.0,-1.0
87458,59.28,1.0,-1.0,1.0,-1.0
87459,59.51,-1.0,-1.0,-1.0,-1.0
87460,59.1,1.0,-1.0,1.0,-1.0
87461,59.33,1.0,-1.0,-1.0,-1.0
87462,59.92,-1.0,-1.0,-1.0,-1.0
87463,58.95,-1.0,-1.0,-1.0,-1.0
87464,51.13,-1.0,-1.0,-1.0,-1.0
87465,49.32,-1.0,-1.0,-1.0,-1.0
87466,47.59,-1.0,-1.0,-1.0,-1.0
87467,47.48,1.0,-1.0,1.0,-1.0
87468,47.89,1.0,-1.0,1.0,-1.0
87469,48.22,-1.0,-1.0,-1.0,-1.0
87470,47.22,1.0,-1.0,-1.0,-1.0
87471,47.5,-1.0,-1.0,-1.0,-1.0
87472,45.08,1.0,-1.0,1.0,-1.0
87473,45.65,1.0,-1.0,1.0,-1.0
87474,46.0,-1.0,-1.0,-1.0,-1.0
87475,45.12,1.0,-1.0,1.0,-1.0
87476,46.29,-1.0,-1.0,-1.0,-1.0
87477,45.5,-1.0,-1.0,-1.0,-1.0
87478,44.88,-1.0,-1.0,-1.0,-1.0
87479,44.16,-1.0,-1.0,-1.0,-1.0
87480,43.53,-1.0,-1.0,-1.0,-1.0
87481,42.45,1.0,-1.0,1.0,-1.0
87482,43.39,-1.0,-1.0,-1.0,-1.0
87483,42.6,-1.0,-1.0,-1.0,-1.0
87484,41.55,-1.0,1.0,-1.0,1.0
87485,40.67,1.0,1.0,-1.0,-1.0
87486,41.82,-1.0,1.0,-1.0,1.0
87487,41.77,-1.0,1.0,-1.0,1.0
87488,41.5,1.0,1.0,1.0,1.0
87489,42.07,1.0,1.0,1.0,1.0
87490,42.23,-1.0,1.0,-1.0,1.0
87491,41.54,1.0,1.0,-1.0,1.0
87492,41.81,1.0,1.0,1.0,1.0
87493,42.19,-1.0,1.0,1.0,1.0
87494,41.37,-1.0,1.0,-1.0,1.0
87495,41.28,-1.0,1.0,-1.0,1.0
