,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
91136,27.57,2.933213187676824,-1.0,1.0,-1.0,1.0
91137,26.8,2.1536411527856143,1.0,1.0,1.0,1.0
91138,28.28,3.624069117894408,1.0,1.0,1.0,1.0
91139,28.32,3.6544970830032004,-1.0,1.0,-1.0,1.0
91140,27.87,3.1949250481119904,1.0,1.0,1.0,1.0
91141,28.22,3.535353013220781,1.0,1.0,1.0,1.0
91142,28.42,3.7257809783295777,-1.0,1.0,-1.0,1.0
91143,27.8,3.0962089434383664,-1.0,1.0,-1.0,1.0
91144,26.93,2.2166369085471587,1.0,1.0,1.0,1.0
91145,27.51,2.7870648736559502,-1.0,1.0,-1.0,1.0
91146,27.13,2.397492838764741,1.0,1.0,1.0,1.0
91147,27.2,2.4579208038735345,1.0,1.0,1.0,1.0
91148,27.37,2.618348768982326,-1.0,1.0,-1.0,1.0
91149,27.19,2.4287767340911195,-1.0,1.0,-1.0,1.0
91150,26.92,2.149204699199913,1.0,1.0,1.0,1.0
91151,27.41,2.6296326643087014,-1.0,1.0,-1.0,1.0
91152,27.22,2.4300606294174933,1.0,1.0,1.0,1.0
91153,27.25,2.450488594526288,1.0,1.0,1.0,1.0
91154,27.31,2.500916559635076,1.0,1.0,1.0,1.0
91155,28.21,3.391344524743872,-1.0,1.0,-1.0,1.0
91156,27.75,2.921772489852663,1.0,1.0,-1.0,1.0
91157,28.48,3.6422004549614537,-1.0,1.0,-1.0,1.0
91158,28.23,3.3826284200702474,1.0,1.0,1.0,1.0
91159,28.53,3.673056385179038,-1.0,1.0,-1.0,1.0
91160,27.8,2.9334843502878307,1.0,1.0,1.0,1.0
91161,27.81,2.933912315396622,-1.0,1.0,-1.0,1.0
91162,27.38,2.494340280505412,1.0,1.0,1.0,1.0
91163,27.81,2.914768245614205,1.0,1.0,1.0,1.0
91164,28.53,3.6251962107230007,1.0,1.0,-1.0,1.0
91165,28.71,3.79562417583179,1.0,1.0,1.0,1.0
91166,28.82,3.896052140940583,1.0,1.0,1.0,1.0
91167,29.63,4.696480106049375,1.0,1.0,1.0,1.0
91168,30.42,5.476908071158167,1.0,1.0,1.0,1.0
91169,30.7,5.747336036266957,1.0,1.0,1.0,1.0
91170,30.78,5.817764001375752,1.0,1.0,1.0,1.0
91171,31.59,6.618191966484543,1.0,1.0,1.0,1.0
91172,32.16,7.178619931593333,-1.0,1.0,1.0,1.0
91173,31.91,6.919047896702125,-1.0,1.0,-1.0,1.0
91174,31.85,6.84947586181092,1.0,1.0,1.0,1.0
91175,32.0,6.9899038269197105,1.0,1.0,1.0,1.0
91176,32.1,7.080331792028503,1.0,1.0,1.0,1.0
91177,32.12,7.090759757137293,1.0,1.0,1.0,1.0
91178,32.29,7.251187722246088,-1.0,-1.0,-1.0,-1.0
91179,32.25,7.201615687354878,-1.0,1.0,-1.0,1.0
91180,32.2,7.1420436524636735,-1.0,1.0,1.0,1.0
91181,31.97,6.902471617572463,1.0,1.0,1.0,1.0
91182,32.39,7.312899582681254,1.0,1.0,1.0,1.0
91183,32.47,7.383327547790046,1.0,1.0,1.0,1.0
91184,32.92,7.823755512898844,1.0,1.0,1.0,-1.0
91185,33.53,8.424183478007631,-1.0,-1.0,1.0,-1.0
91186,33.22,8.104611443116422,1.0,-1.0,1.0,-1.0
91187,33.68,8.555039408225213,1.0,-1.0,1.0,-1.0
91188,33.85,8.715467373334008,1.0,-1.0,1.0,-1.0
91189,34.05,8.905895338442797,-1.0,-1.0,-1.0,-1.0
91190,33.51,8.356323303551589,1.0,-1.0,1.0,-1.0
91191,34.55,9.386751268660381,-1.0,-1.0,-1.0,-1.0
91192,34.18,9.007179233769175,-1.0,-1.0,-1.0,-1.0
91193,33.76,8.577607198877963,1.0,-1.0,-1.0,-1.0
91194,34.01,8.818035163986758,1.0,-1.0,1.0,-1.0
91195,34.56,9.358463129095554,1.0,-1.0,1.0,-1.0
91196,35.11,9.89889109420434,-1.0,-1.0,-1.0,-1.0
91197,34.34,9.119319059313137,-1.0,-1.0,-1.0,-1.0
91198,34.28,9.04974702442193,-1.0,-1.0,1.0,-1.0
91199,33.33,8.090174989530716,-1.0,-1.0,-1.0,-1.0
91200,32.56,7.3106029546395135,1.0,-1.0,1.0,-1.0
91201,32.7,7.441030919748307,1.0,-1.0,1.0,-1.0
91202,33.52,8.251458884857097,-1.0,-1.0,-1.0,-1.0
91203,33.24,7.9618868499658895,1.0,-1.0,1.0,-1.0
91204,34.17,8.88231481507468,-1.0,-1.0,-1.0,-1.0
91205,33.54,8.24274278018347,-1.0,-1.0,-1.0,-1.0
91206,33.2,7.8931707452922675,-1.0,-1.0,1.0,-1.0
91207,32.22,6.903598710401052,1.0,-1.0,1.0,-1.0
91208,32.24,6.914026675509849,1.0,-1.0,1.0,-1.0
91209,34.02,8.684454640618643,1.0,-1.0,1.0,-1.0
91210,34.82,9.47488260572743,1.0,-1.0,1.0,-1.0
91211,35.61,10.255310570836222,-1.0,-1.0,-1.0,-1.0
91212,35.17,9.805738535945018,-1.0,-1.0,-1.0,-1.0
91213,34.05,8.676166501053803,-1.0,-1.0,-1.0,-1.0
91214,33.73,8.346594466162596,-1.0,-1.0,-1.0,-1.0
91215,32.54,7.147022431271387,-1.0,-1.0,-1.0,-1.0
91216,32.29,6.887450396380181,-1.0,-1.0,1.0,-1.0
91217,30.42,5.007878361488976,1.0,-1.0,1.0,-1.0
91218,31.36,5.938306326597765,-1.0,-1.0,-1.0,-1.0
91219,30.1,4.66873429170656,1.0,-1.0,1.0,-1.0
91220,30.52,5.079162256815352,-1.0,-1.0,-1.0,-1.0
91221,30.12,4.669590221924143,1.0,-1.0,-1.0,-1.0
91222,31.08,5.620018187032933,-1.0,-1.0,1.0,-1.0
91223,30.24,4.770446152141727,-1.0,-1.0,-1.0,-1.0
91224,29.77,4.290874117250517,1.0,-1.0,1.0,-1.0
91225,30.73,5.241302082359312,-1.0,-1.0,-1.0,-1.0
91226,30.46,4.961730047468105,-1.0,-1.0,-1.0,-1.0
91227,29.23,3.7221580125768954,-1.0,-1.0,-1.0,-1.0
91228,28.84,3.3225859776856868,1.0,-1.0,1.0,-1.0
91229,28.98,3.4530139427944815,-1.0,-1.0,-1.0,-1.0
91230,28.71,3.173441907903271,1.0,-1.0,1.0,-1.0
91231,30.13,4.5838698730120635,1.0,-1.0,-1.0,-1.0
91232,30.21,4.654297838120853,-1.0,-1.0,-1.0,-1.0
91233,29.8,4.234725803229646,1.0,-1.0,1.0,-1.0
91234,30.35,4.775153768338441,-1.0,-1.0,-1.0,-1.0
91235,30.3,4.71558173344723,-1.0,-1.0,-1.0,-1.0
91236,29.72,4.126009698556022,-1.0,-1.0,-1.0,-1.0
91237,29.57,3.966437663664816,-1.0,-1.0,-1.0,-1.0
91238,29.43,3.8168656287736056,-1.0,-1.0,-1.0,-1.0
91239,29.06,3.437293593882398,-1.0,-1.0,-1.0,-1.0
91240,28.82,3.1877215589911927,-1.0,-1.0,-1.0,-1.0
91241,28.17,2.528149524099984,1.0,-1.0,-1.0,-1.0
91242,28.76,3.108577489208777,-1.0,-1.0,-1.0,-1.0
91243,28.53,2.86900545431757,-1.0,-1.0,-1.0,-1.0
91244,27.28,1.6094334194263595,-1.0,-1.0,1.0,-1.0
91245,26.31,0.6298613845351504,1.0,-1.0,1.0,-1.0
91246,26.43,0.7402893496439411,-1.0,-1.0,-1.0,-1.0
91247,26.02,0.32071731475273424,1.0,-1.0,1.0,-1.0
91248,26.53,0.8211452798615291,1.0,-1.0,1.0,-1.0
91249,27.35,1.631573244970319,1.0,-1.0,1.0,-1.0
91250,27.54,1.8120012100791099,1.0,-1.0,1.0,-1.0
91251,28.18,2.4424291751879044,-1.0,-1.0,-1.0,-1.0
91252,28.12,2.372857140296695,1.0,-1.0,1.0,-1.0
91253,28.59,2.8332851054054866,-1.0,-1.0,-1.0,-1.0
91254,27.92,2.153713070514282,-1.0,-1.0,-1.0,-1.0
91255,27.69,1.9141410356230717,-1.0,-1.0,-1.0,-1.0
91256,26.38,0.5945690007318625,-1.0,-1.0,-1.0,-1.0
91257,26.11,0.3149969658406562,1.0,-1.0,1.0,-1.0
91258,26.55,0.7454249309494472,-1.0,-1.0,-1.0,-1.0
91259,25.91,0.09585289605823988,-1.0,-1.0,1.0,-1.0
91260,25.34,-0.4837191388329707,1.0,-1.0,1.0,-1.0
91261,25.54,-0.2932911737241781,1.0,-1.0,1.0,-1.0
91262,25.99,0.14713679138461444,1.0,-1.0,1.0,-1.0
91263,26.09,0.2375647564934056,-1.0,-1.0,-1.0,-1.0
91264,25.56,-0.3020072783978023,-1.0,-1.0,1.0,-1.0
91265,25.05,-0.8215793132890071,-1.0,-1.0,-1.0,-1.0
91266,24.83,-1.0511513481802195,1.0,-1.0,-1.0,-1.0
