,Close,Target(1),Target(30),Prediction(1),Prediction(30)
93003,35.33,1.0,-1.0,-1.0,-1.0
93008,37.12,-1.0,-1.0,-1.0,-1.0
93026,35.02,-1.0,-1.0,-1.0,1.0
93032,34.62,1.0,1.0,1.0,1.0
93039,32.44,-1.0,1.0,-1.0,1.0
93040,31.9,1.0,1.0,1.0,1.0
93042,32.96,-1.0,1.0,-1.0,1.0
93056,34.39,1.0,1.0,1.0,1.0
93059,37.42,-1.0,1.0,1.0,1.0
93061,37.58,-1.0,1.0,-1.0,1.0
93063,38.3,1.0,-1.0,1.0,-1.0
93066,39.16,-1.0,-1.0,-1.0,-1.0
93068,39.02,1.0,-1.0,-1.0,-1.0
93069,39.36,-1.0,-1.0,0.0,-1.0
93071,38.04,-1.0,-1.0,-1.0,-1.0
93072,37.82,-1.0,-1.0,-1.0,-1.0
93089,38.18,0.0,1.0,0.0,1.0
93096,35.92,-1.0,1.0,-1.0,1.0
93102,37.22,-1.0,1.0,-1.0,1.0
93104,37.44,-1.0,1.0,0.0,1.0
93108,36.62,1.0,1.0,1.0,1.0
93110,40.16,-1.0,-1.0,-1.0,-1.0
93112,39.62,-1.0,-1.0,-1.0,-1.0
93114,40.24,1.0,-1.0,1.0,-1.0
93115,40.3,1.0,-1.0,1.0,-1.0
93116,40.84,-1.0,-1.0,0.0,-1.0
93117,40.72,1.0,-1.0,1.0,-1.0
93121,41.68,1.0,-1.0,1.0,-1.0
93122,42.33,-1.0,-1.0,1.0,-1.0
93125,41.78,-1.0,-1.0,-1.0,-1.0
93129,41.98,-1.0,-1.0,-1.0,-1.0
93131,41.64,-1.0,-1.0,-1.0,-1.0
93133,40.94,0.0,-1.0,0.0,-1.0
93134,40.94,-1.0,-1.0,0.0,-1.0
93135,40.25,-1.0,1.0,-1.0,1.0
93137,39.69,1.0,1.0,1.0,1.0
93142,35.96,-1.0,1.0,-1.0,1.0
93144,36.24,-1.0,1.0,-1.0,1.0
93145,35.4,1.0,1.0,1.0,1.0
93146,37.49,1.0,1.0,1.0,1.0
93151,35.58,-1.0,1.0,-1.0,1.0
93154,37.02,-1.0,1.0,-1.0,1.0
93160,40.22,-1.0,1.0,-1.0,1.0
93161,40.0,-1.0,1.0,-1.0,1.0
93165,41.5,-1.0,1.0,0.0,1.0
93170,42.84,-1.0,1.0,-1.0,1.0
93172,43.8,1.0,-1.0,1.0,-1.0
93173,43.9,-1.0,1.0,-1.0,1.0
93174,43.1,-1.0,1.0,-1.0,1.0
93178,43.71,-1.0,1.0,-1.0,1.0
93182,42.42,-1.0,1.0,1.0,1.0
93184,41.49,-1.0,1.0,-1.0,1.0
93191,43.46,1.0,1.0,-1.0,1.0
93192,44.6,-1.0,-1.0,-1.0,-1.0
93193,44.08,-1.0,1.0,-1.0,1.0
93195,43.76,1.0,1.0,1.0,1.0
93196,44.06,1.0,1.0,1.0,1.0
93200,44.16,-1.0,1.0,1.0,1.0
93202,43.1,1.0,1.0,1.0,1.0
93203,45.41,-1.0,1.0,-1.0,1.0
93206,45.02,-1.0,1.0,1.0,1.0
93208,45.49,1.0,1.0,1.0,1.0
93209,45.64,-1.0,1.0,-1.0,1.0
93210,44.36,-1.0,-1.0,-1.0,-1.0
93214,45.27,-1.0,-1.0,-1.0,-1.0
93217,43.5,1.0,1.0,1.0,1.0
