,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
98365,34.5,-5.177993349042011,-1.0,1.0,-1.0,1.0
98366,33.49,-6.191589661851069,1.0,1.0,1.0,1.0
98367,34.63,-5.0551859746601275,-1.0,1.0,-1.0,1.0
98368,33.44,-6.24878228746919,-1.0,1.0,-1.0,1.0
98369,33.01,-6.682378600278256,1.0,1.0,1.0,1.0
98370,33.82,-5.875974913087312,1.0,1.0,1.0,1.0
98371,33.93,-5.769571225896372,1.0,1.0,1.0,1.0
98372,33.94,-5.763167538705432,-1.0,1.0,-1.0,1.0
98373,32.76,-6.94676385151449,-1.0,1.0,-1.0,1.0
98374,32.67,-7.040360164323545,-1.0,1.0,-1.0,1.0
98375,32.1,-7.613956477132603,1.0,1.0,1.0,1.0
98376,32.41,-7.307552789941669,1.0,1.0,-1.0,1.0
98377,32.43,-7.2911491027507305,1.0,1.0,1.0,1.0
98378,32.66,-7.064745415559791,-1.0,1.0,-1.0,1.0
98379,32.62,-7.108341728368848,1.0,1.0,1.0,1.0
98380,33.33,-6.401938041177907,1.0,1.0,1.0,1.0
98381,33.63,-6.10553435398696,1.0,1.0,1.0,1.0
98382,33.8,-5.939130666796025,1.0,1.0,-1.0,1.0
98383,33.87,-5.8727269796050825,-1.0,1.0,-1.0,1.0
98384,33.79,-5.956323292414148,-1.0,1.0,-1.0,1.0
98385,33.34,-6.409919605223203,1.0,1.0,1.0,1.0
98386,33.88,-5.873515918032261,-1.0,1.0,-1.0,1.0
98387,33.39,-6.367112230841322,1.0,1.0,1.0,1.0
98388,33.91,-5.850708543650384,1.0,1.0,-1.0,1.0
98389,34.28,-5.484304856459439,1.0,1.0,1.0,1.0
98390,34.71,-5.057901169268497,-1.0,1.0,-1.0,1.0
98391,34.64,-5.131497482077563,1.0,1.0,1.0,1.0
98392,35.23,-4.5450937948866255,1.0,1.0,1.0,1.0
98393,36.43,-3.3486901076956808,-1.0,1.0,-1.0,1.0
98394,36.11,-3.6722864205047405,-1.0,1.0,-1.0,1.0
98395,36.05,-3.7358827333138014,-1.0,1.0,-1.0,1.0
98396,35.81,-3.9794790461228544,1.0,1.0,1.0,1.0
98397,35.99,-3.803075358931913,1.0,1.0,1.0,1.0
98398,36.11,-3.6866716717409744,0.0,1.0,0.0,1.0
98399,36.11,-3.6902679845500397,1.0,1.0,1.0,1.0
98400,36.31,-3.4938642973590963,1.0,1.0,1.0,1.0
98401,37.16,-2.64746061016816,1.0,1.0,1.0,1.0
98402,37.2,-2.6110569229772125,-1.0,1.0,-1.0,1.0
98403,36.79,-3.0246532357862748,1.0,1.0,1.0,1.0
98404,37.14,-2.678249548595332,1.0,1.0,1.0,1.0
98405,37.56,-2.2618458614043893,-1.0,-1.0,-1.0,-1.0
98406,36.88,-2.9454421742134542,1.0,-1.0,1.0,-1.0
98407,37.41,-2.4190384870225192,-1.0,-1.0,-1.0,-1.0
98408,36.99,-2.8426347998315715,1.0,0.0,1.0,0.0
98409,37.08,-2.7562311126406343,1.0,-1.0,1.0,1.0
98410,37.23,-2.6098274254496943,-1.0,-1.0,1.0,-1.0
98411,36.97,-2.8734237382587517,1.0,-1.0,1.0,-1.0
98412,37.88,-1.9670200510678055,1.0,-1.0,1.0,-1.0
98413,38.16,-1.6906163638768703,-1.0,-1.0,-1.0,-1.0
98414,38.0,-1.8542126766859328,-1.0,-1.0,-1.0,-1.0
98415,37.61,-2.247808989494992,1.0,-1.0,1.0,-1.0
98416,37.85,-2.0114053023040483,1.0,-1.0,1.0,-1.0
98417,38.27,-1.5950016151131052,1.0,-1.0,1.0,-1.0
98418,38.35,-1.5185979279221655,1.0,-1.0,1.0,-1.0
98419,39.61,-0.2621942407312261,1.0,-1.0,1.0,-1.0
98420,40.44,0.5642094464597136,-1.0,-1.0,-1.0,-1.0
98421,40.42,0.5406131336506519,-1.0,-1.0,-1.0,-1.0
98422,39.48,-0.4029831791584115,1.0,-1.0,1.0,-1.0
98423,39.74,-0.146579491967465,1.0,-1.0,1.0,-1.0
98424,39.8,-0.09017580477652842,-1.0,-1.0,-1.0,-1.0
98425,39.31,-0.5837721175855819,-1.0,-1.0,-1.0,-1.0
98426,39.07,-0.8273684303946425,1.0,-1.0,1.0,-1.0
98427,39.88,-0.020964743203698788,-1.0,-1.0,-1.0,-1.0
98428,38.87,-1.0345610560127625,-1.0,-1.0,-1.0,-1.0
98429,37.66,-2.248157368821829,1.0,-1.0,1.0,-1.0
98430,38.07,-1.8417536816308842,1.0,-1.0,1.0,-1.0
98431,39.45,-0.46534999443994,-1.0,-1.0,-1.0,-1.0
98432,38.55,-1.3689463072490042,1.0,-1.0,1.0,-1.0
98433,39.09,-0.8325426200580566,-1.0,-1.0,-1.0,-1.0
98434,37.78,-2.146138932867117,-1.0,-1.0,-1.0,-1.0
98435,37.48,-2.4497352456761803,-1.0,-1.0,1.0,-1.0
98436,35.73,-4.203331558485246,-1.0,-1.0,-1.0,-1.0
98437,34.84,-5.096927871294297,1.0,-1.0,1.0,-1.0
98438,36.99,-2.9505241841033576,-1.0,-1.0,-1.0,-1.0
98439,36.5,-3.4441204969124186,1.0,-1.0,1.0,-1.0
98440,37.1,-2.847716809721476,-1.0,-1.0,-1.0,-1.0
