,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
102099,44.59,-6.451221278724141,1.0,1.0,-1.0,1.0
102100,46.89,-4.1541919746568965,1.0,1.0,1.0,1.0
102101,47.6,-3.447162670589641,-1.0,1.0,-1.0,1.0
102102,46.47,-4.580133366522396,-1.0,1.0,-1.0,1.0
102103,45.28,-5.773104062455139,1.0,1.0,1.0,1.0
102104,47.33,-3.7260747583878953,-1.0,1.0,-1.0,1.0
102105,47.26,-3.7990454543206478,1.0,1.0,1.0,-1.0
102106,47.32,-3.742016150253392,-1.0,1.0,-1.0,1.0
102107,45.22,-5.8449868461861465,-1.0,1.0,-1.0,1.0
102108,44.73,-6.337957542118892,-1.0,1.0,-1.0,1.0
102109,44.55,-6.520928238051647,1.0,1.0,1.0,-1.0
102110,45.55,-5.523898933984399,-1.0,1.0,-1.0,1.0
102111,45.26,-5.816869629917142,1.0,-1.0,1.0,-1.0
102112,46.68,-4.399840325849894,-1.0,-1.0,1.0,-1.0
102113,46.5,-4.582811021782638,1.0,-1.0,1.0,-1.0
102114,47.94,-3.1457817177153933,1.0,-1.0,1.0,-1.0
102115,48.05,-3.0387524136481474,1.0,-1.0,1.0,-1.0
102116,48.65,-2.441723109580892,1.0,-1.0,1.0,-1.0
102117,48.86,-2.2346938055136434,-1.0,1.0,-1.0,1.0
102118,48.13,-2.967664501446386,-1.0,1.0,-1.0,1.0
102119,47.06,-4.040635197379139,1.0,1.0,1.0,-1.0
102120,47.91,-3.1936058933118967,-1.0,1.0,-1.0,1.0
102121,47.89,-3.2165765892446387,1.0,1.0,1.0,1.0
102122,47.92,-3.1895472851773903,1.0,1.0,1.0,1.0
102123,48.31,-2.8025179811101357,1.0,-1.0,1.0,-1.0
102124,49.23,-1.8854886770428931,1.0,1.0,1.0,1.0
102125,50.0,-1.1184593729756431,-1.0,-1.0,-1.0,-1.0
102126,49.92,-1.2014300689083868,1.0,-1.0,1.0,-1.0
102127,50.89,-0.23440076484114056,-1.0,-1.0,-1.0,1.0
102128,50.34,-0.7873714607738833,-1.0,-1.0,-1.0,-1.0
102129,49.94,-1.1903421567066417,1.0,1.0,1.0,1.0
102130,49.98,-1.1533128526393952,0.0,1.0,-1.0,1.0
102131,49.98,-1.1562835485721408,1.0,1.0,-1.0,1.0
102132,50.04,-1.0992542445048912,-1.0,1.0,-1.0,1.0
102133,49.87,-1.2722249404376385,1.0,1.0,1.0,1.0
102134,51.04,-0.10519563637038942,1.0,1.0,1.0,1.0
102135,51.86,0.7118336676968582,-1.0,-1.0,-1.0,-1.0
102136,49.37,-1.7811370282358894,-1.0,1.0,-1.0,-1.0
102137,47.53,-3.6241077241686384,-1.0,1.0,-1.0,-1.0
102138,47.49,-3.6670784201013835,-1.0,1.0,-1.0,1.0
102139,47.12,-4.04004911603414,-1.0,1.0,-1.0,1.0
102140,46.55,-4.613019811966893,-1.0,-1.0,-1.0,-1.0
102141,44.87,-6.295990507899639,0.0,-1.0,0.0,-1.0
102142,44.87,-6.298961203832391,1.0,1.0,1.0,1.0
102143,45.65,-5.5219318997651365,1.0,1.0,1.0,1.0
102144,45.95,-5.224902595697884,1.0,1.0,1.0,1.0
102145,46.84,-4.337873291630636,1.0,-1.0,1.0,-1.0
102146,48.33,-2.8508439875633864,1.0,-1.0,1.0,-1.0
102147,49.68,-1.503814683496138,1.0,-1.0,1.0,-1.0
102148,49.92,-1.2667853794288817,-1.0,-1.0,-1.0,-1.0
102149,49.0,-2.189756075361636,-1.0,-1.0,-1.0,-1.0
102150,48.74,-2.4527267712943868,1.0,-1.0,-1.0,-1.0
102151,48.84,-2.355697467227131,-1.0,-1.0,-1.0,-1.0
102152,48.83,-2.3686681631598887,-1.0,-1.0,-1.0,-1.0
102153,48.21,-2.991638859092632,1.0,-1.0,1.0,1.0
102154,49.27,-1.934609555025382,-1.0,-1.0,-1.0,-1.0
102155,49.08,-2.12758025095814,-1.0,-1.0,-1.0,-1.0
102156,47.51,-3.7005509468908855,1.0,-1.0,1.0,-1.0
102157,47.63,-3.5835216428236336,1.0,-1.0,1.0,-1.0
102158,50.29,-0.9264923387563826,1.0,-1.0,1.0,-1.0
102159,50.89,-0.32946303468913385,1.0,-1.0,1.0,-1.0
102160,51.8,0.5775662693781101,1.0,-1.0,1.0,-1.0
102161,54.18,2.9545955734453666,-1.0,-1.0,-1.0,-1.0
102162,53.88,2.6516248775126168,-1.0,-1.0,-1.0,-1.0
102163,50.94,-0.2913458184201332,1.0,-1.0,1.0,-1.0
102164,51.24,0.0056834856471184025,1.0,-1.0,1.0,-1.0
102165,51.42,0.18271278971436544,-1.0,-1.0,-1.0,-1.0
102166,49.76,-1.4802579062183838,1.0,-1.0,-1.0,-1.0
102167,50.72,-0.5232286021511356,-1.0,-1.0,-1.0,-1.0
102168,47.94,-3.3061992980838824,-1.0,-1.0,-1.0,-1.0
102169,47.32,-3.929169994016633,-1.0,-1.0,-1.0,-1.0
102170,45.83,-5.422140689949387,-1.0,-1.0,-1.0,-1.0
102171,44.25,-7.005111385882131,1.0,-1.0,1.0,-1.0
102172,47.15,-4.108082081814884,-1.0,-1.0,-1.0,-1.0
102173,46.7,-4.5610527777476255,1.0,-1.0,1.0,-1.0
102174,47.42,-3.8440234736803798,-1.0,-1.0,-1.0,-1.0
102175,46.77,-4.496994169613132,-1.0,-1.0,-1.0,-1.0
102176,45.37,-5.899964865545884,-1.0,-1.0,-1.0,-1.0
102177,45.33,-5.9429355614786346,-1.0,-1.0,-1.0,1.0
102178,44.5,-6.7759062574113775,-1.0,-1.0,-1.0,-1.0
102179,43.73,-7.548876953344134,-1.0,-1.0,-1.0,-1.0
102180,40.71,-10.571847649276883,1.0,1.0,1.0,1.0
102181,41.83,-9.454818345209633,-1.0,1.0,-1.0,-1.0
102182,40.39,-10.89778904114238,1.0,1.0,1.0,1.0
102183,40.63,-10.660759737075123,1.0,1.0,1.0,1.0
102184,40.64,-10.65373043300788,1.0,1.0,1.0,1.0
102185,41.09,-10.206701128940631,-1.0,1.0,-1.0,1.0
102186,38.14,-13.159671824873376,-1.0,1.0,1.0,1.0
102187,35.87,-15.432642520806134,1.0,1.0,1.0,1.0
102188,39.63,-11.675613216738874,-1.0,1.0,-1.0,1.0
102189,39.38,-11.928583912671629,-1.0,1.0,-1.0,1.0
102190,38.47,-12.841554608604385,-1.0,1.0,-1.0,1.0
102191,38.07,-13.244525304537127,1.0,1.0,1.0,1.0
102192,38.18,-13.13749600046988,1.0,1.0,-1.0,1.0
102193,38.35,-12.970466696402626,1.0,1.0,1.0,1.0
102194,42.42,-8.903437392335377,1.0,1.0,1.0,1.0
102195,42.61,-8.716408088268134,-1.0,1.0,-1.0,1.0
102196,41.94,-9.389378784200881,1.0,1.0,1.0,1.0
102197,43.59,-7.742349480133626,1.0,1.0,1.0,1.0
102198,43.98,-7.355320176066378,-1.0,1.0,-1.0,1.0
102199,43.86,-7.4782908719991275,1.0,1.0,1.0,1.0
102200,44.67,-6.671261567931879,-1.0,1.0,-1.0,1.0
102201,44.09,-7.254232263864622,-1.0,-1.0,-1.0,-1.0
102202,42.15,-9.197202959797382,1.0,1.0,1.0,1.0
102203,42.52,-8.830173655730121,-1.0,-1.0,-1.0,-1.0
102204,41.51,-9.84314435166288,1.0,1.0,1.0,1.0
102205,42.75,-8.60611504759563,-1.0,-1.0,-1.0,-1.0
102206,42.0,-9.359085743528377,-1.0,-1.0,-1.0,1.0
102207,40.84,-10.522056439461123,1.0,-1.0,1.0,1.0
102208,41.57,-9.795027135393873,1.0,-1.0,1.0,-1.0
102209,41.73,-9.637997831326631,1.0,-1.0,1.0,-1.0
102210,42.3,-9.070968527259383,1.0,-1.0,1.0,1.0
102211,43.93,-7.4439392231921255,1.0,-1.0,1.0,-1.0
102212,45.14,-6.2369099191248765,1.0,-1.0,1.0,-1.0
102213,46.19,-5.189880615057625,1.0,-1.0,1.0,-1.0
102214,46.26,-5.122851310990377,-1.0,-1.0,-1.0,-1.0
102215,46.01,-5.37582200692313,1.0,-1.0,1.0,1.0
102216,46.69,-4.698792702855876,1.0,-1.0,1.0,1.0
102217,46.95,-4.441763398788623,1.0,-1.0,-1.0,-1.0
102218,47.16,-4.234734094721375,-1.0,-1.0,-1.0,-1.0
102219,46.0,-5.3977047906541245,1.0,-1.0,-1.0,-1.0
102220,47.7,-3.7006754865868734,1.0,-1.0,1.0,-1.0
102221,49.17,-2.233646182519621,-1.0,-1.0,-1.0,-1.0
102222,48.26,-3.1466168784523774,1.0,-1.0,1.0,-1.0
102223,49.41,-1.9995875743851244,-1.0,-1.0,-1.0,-1.0
102224,49.07,-2.3425582703178733,1.0,-1.0,-1.0,-1.0
102225,49.69,-1.7255289662506286,-1.0,-1.0,-1.0,-1.0
102226,48.89,-2.5284996621833717,-1.0,-1.0,-1.0,-1.0
102227,48.88,-2.541470358116122,-1.0,-1.0,-1.0,-1.0
102228,48.38,-3.044441054048868,-1.0,-1.0,1.0,-1.0
102229,48.27,-3.15741174998162,1.0,-1.0,1.0,-1.0
102230,50.23,-1.2003824459143786,-1.0,-1.0,-1.0,-1.0
102231,43.66,-7.773353141847124,-1.0,-1.0,-1.0,-1.0
102232,42.83,-8.606323837779875,-1.0,-1.0,-1.0,-1.0
102233,42.48,-8.959294533712622,-1.0,-1.0,-1.0,-1.0
102234,41.73,-9.712265229645377,1.0,-1.0,-1.0,-1.0
102235,41.83,-9.615235925578126,-1.0,-1.0,-1.0,-1.0
