,Close,Target(1),Target(30),Prediction(1),Prediction(30)
103966,52.67,1.0,1.0,1.0,1.0
103967,53.0,1.0,1.0,1.0,1.0
103968,53.58,-1.0,1.0,1.0,1.0
103969,53.27,1.0,1.0,1.0,1.0
103970,53.74,1.0,1.0,1.0,1.0
103971,53.91,1.0,1.0,1.0,1.0
103972,54.94,-1.0,1.0,-1.0,1.0
103973,54.6,-1.0,1.0,1.0,1.0
103974,53.1,1.0,1.0,1.0,1.0
103975,53.53,-1.0,1.0,1.0,1.0
103976,52.84,1.0,1.0,1.0,1.0
103977,54.09,1.0,1.0,1.0,1.0
103978,54.39,1.0,1.0,1.0,1.0
103979,55.69,-1.0,1.0,1.0,1.0
103980,55.21,-1.0,1.0,-1.0,1.0
103981,55.12,1.0,1.0,1.0,1.0
103982,56.23,-1.0,1.0,-1.0,1.0
103983,55.98,1.0,1.0,1.0,1.0
103984,56.61,-1.0,1.0,-1.0,1.0
103985,55.67,-1.0,1.0,1.0,1.0
103986,55.25,1.0,1.0,1.0,1.0
103987,55.29,-1.0,1.0,1.0,1.0
103988,54.89,1.0,1.0,1.0,1.0
103989,55.01,1.0,1.0,1.0,1.0
103990,56.78,1.0,-1.0,1.0,-1.0
103991,57.31,-1.0,-1.0,-1.0,-1.0
103992,56.79,-1.0,-1.0,-1.0,-1.0
103993,56.66,1.0,-1.0,1.0,-1.0
103994,57.21,1.0,-1.0,1.0,-1.0
103995,57.67,1.0,-1.0,1.0,1.0
103996,57.84,1.0,-1.0,1.0,-1.0
103997,58.71,1.0,-1.0,1.0,1.0
103998,58.78,-1.0,-1.0,-1.0,-1.0
103999,58.76,1.0,-1.0,1.0,-1.0
104000,58.9,1.0,-1.0,1.0,-1.0
104001,59.73,-1.0,-1.0,-1.0,1.0
104002,59.36,-1.0,-1.0,-1.0,-1.0
104003,59.2,1.0,-1.0,-1.0,1.0
104004,59.63,1.0,-1.0,1.0,1.0
104005,59.82,1.0,-1.0,1.0,-1.0
104006,59.84,-1.0,-1.0,-1.0,-1.0
104007,58.85,-1.0,-1.0,-1.0,-1.0
104008,58.27,-1.0,-1.0,-1.0,1.0
104009,58.15,1.0,-1.0,1.0,-1.0
104010,58.42,-1.0,-1.0,-1.0,-1.0
104011,57.71,-1.0,-1.0,-1.0,-1.0
104012,57.39,1.0,-1.0,1.0,-1.0
104013,57.53,-1.0,-1.0,-1.0,-1.0
104014,57.5,-1.0,-1.0,-1.0,-1.0
104015,57.27,-1.0,-1.0,-1.0,-1.0
104016,56.43,1.0,-1.0,-1.0,-1.0
104017,56.52,-1.0,-1.0,-1.0,-1.0
104018,56.0,-1.0,-1.0,-1.0,-1.0
104019,55.07,-1.0,-1.0,1.0,-1.0
104020,54.96,-1.0,-1.0,-1.0,-1.0
104021,54.41,-1.0,-1.0,-1.0,-1.0
104022,53.64,1.0,-1.0,1.0,-1.0
104023,54.79,-1.0,-1.0,-1.0,-1.0
104024,53.91,-1.0,-1.0,-1.0,-1.0
104025,52.72,-1.0,-1.0,-1.0,-1.0
