,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
111452,0.14,0.08897014921369772,-1.0,-1.0,-1.0,-1.0
111569,0.09,0.04683331142827253,1.0,1.0,1.0,-1.0
111570,0.19,0.14690051794292702,-1.0,-1.0,-1.0,-1.0
111597,0.25,0.20871509383859813,-1.0,-1.0,-1.0,-1.0
111642,0.1,0.06173938699805,-1.0,-1.0,-1.0,-1.0
111643,0.05,0.01180659351270448,0.0,-1.0,0.0,-1.0
111658,0.09,0.05281469123252176,-1.0,-1.0,-1.0,-1.0
111659,0.06,0.022881897747176243,1.0,-1.0,-1.0,-1.0
111660,0.08,0.04294910426183073,-1.0,-1.0,-1.0,-1.0
111679,0.06,0.024226028040265957,-1.0,-1.0,-1.0,-1.0
111687,0.1,0.06476368015750185,-1.0,-1.0,-1.0,-1.0
111695,0.04,0.0053013322747377314,-1.0,-1.0,-1.0,-1.0
111700,0.08,0.04563736484801016,-1.0,-1.0,-1.0,-1.0
111701,0.06,0.025704571362664644,0.0,-1.0,-1.0,-1.0
111702,0.06,0.02577177787731913,-1.0,-1.0,-1.0,-1.0
111703,0.01,-0.02416101560802638,0.0,1.0,0.0,-1.0
111716,0.03,-0.0032873309175180665,-1.0,0.0,-1.0,0.0
111719,0.05,0.016914288626445388,1.0,1.0,-1.0,-1.0
111720,0.07,0.03698149514109988,-1.0,-1.0,-1.0,-1.0
111722,0.03,-0.002884091829591158,-1.0,-1.0,-1.0,1.0
111724,0.05,0.017250321199717818,-1.0,1.0,-1.0,1.0
111726,0.06,0.027384734229026785,-1.0,-1.0,-1.0,-1.0
111729,0.05,0.017586353772990247,-1.0,-1.0,-1.0,1.0
111731,0.03,-0.0022792331977007853,-1.0,1.0,-1.0,-1.0
111733,0.04,0.007855179831608189,-1.0,1.0,-1.0,1.0
111735,0.03,-0.002010407139082841,-1.0,-1.0,-1.0,1.0
111741,0.08,0.04839283194884407,-1.0,-1.0,-1.0,-1.0
