,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
111788,68.84,5.657368605754073,-1.0,1.0,-1.0,1.0
111789,68.0,4.763785248755831,1.0,1.0,1.0,1.0
111790,71.36,8.070201891757591,1.0,1.0,1.0,1.0
111791,73.75,10.406618534759346,1.0,1.0,1.0,1.0
111792,76.43,13.033035177761116,-1.0,1.0,-1.0,1.0
111793,75.41,11.959451820762865,1.0,1.0,1.0,1.0
111794,75.51,12.005868463764626,-1.0,1.0,-1.0,1.0
111795,74.36,10.802285106766384,-1.0,1.0,1.0,1.0
111796,72.61,8.998701749768145,1.0,1.0,1.0,1.0
111797,73.57,9.905118392769893,1.0,1.0,1.0,1.0
111798,74.23,10.511535035771665,1.0,1.0,1.0,1.0
111799,74.53,10.757951678773425,-1.0,1.0,1.0,1.0
111800,74.42,10.594368321775184,1.0,1.0,1.0,1.0
111801,76.69,12.810784964776936,1.0,1.0,1.0,1.0
111802,76.9,12.967201607778705,-1.0,1.0,1.0,1.0
111803,76.05,12.063618250780456,1.0,1.0,1.0,-1.0
111804,76.25,12.210034893782222,1.0,1.0,1.0,1.0
111805,76.64,12.546451536783975,1.0,1.0,1.0,1.0
111806,78.74,14.592868179785723,1.0,1.0,1.0,1.0
111807,79.56,15.3592848227875,-1.0,1.0,-1.0,1.0
111808,79.15,14.89570146578926,1.0,1.0,1.0,1.0
111809,79.68,15.372118108791016,-1.0,0.0,-1.0,1.0
111810,79.4,15.03853475179278,1.0,1.0,1.0,1.0
111811,80.13,15.714951394794527,1.0,1.0,1.0,1.0
111812,81.91,17.44136803779628,-1.0,-1.0,-1.0,-1.0
111813,80.77,16.247784680798052,1.0,1.0,1.0,1.0
111814,82.95,18.37420132379981,-1.0,-1.0,-1.0,-1.0
111815,82.68,18.050617966801568,1.0,-1.0,-1.0,1.0
111816,83.36,18.67703460980333,-1.0,-1.0,-1.0,-1.0
111817,82.79,18.05345125280509,-1.0,-1.0,-1.0,-1.0
111818,82.47,17.679867895806836,-1.0,-1.0,-1.0,-1.0
111819,82.07,17.2262845388086,1.0,-1.0,1.0,-1.0
111820,82.36,17.46270118181036,-1.0,-1.0,-1.0,-1.0
111821,82.24,17.289117824812127,-1.0,-1.0,-1.0,-1.0
111822,82.17,17.165534467813885,1.0,-1.0,1.0,-1.0
111823,82.3,17.241951110815634,1.0,-1.0,1.0,-1.0
111824,82.5,17.388367753817402,-1.0,-1.0,-1.0,-1.0
111825,82.35,17.184784396819154,-1.0,-1.0,-1.0,-1.0
111826,82.06,16.841201039820913,1.0,-1.0,1.0,-1.0
111827,82.37,17.097617682822687,-1.0,-1.0,-1.0,-1.0
111828,82.33,17.004034325824435,-1.0,-1.0,-1.0,-1.0
111829,81.44,16.06045096882619,1.0,-1.0,1.0,-1.0
111830,81.7,16.266867611827962,-1.0,-1.0,1.0,-1.0
111831,81.3,15.813284254829712,1.0,-1.0,1.0,-1.0
111832,81.75,16.209700897831468,-1.0,-1.0,1.0,-1.0
111833,81.6,16.00611754083323,-1.0,-1.0,-1.0,-1.0
111834,81.27,15.622534183834984,1.0,-1.0,1.0,-1.0
111835,81.65,15.94895082683675,-1.0,-1.0,-1.0,-1.0
111836,81.16,15.40536746983851,-1.0,-1.0,-1.0,-1.0
111837,80.91,15.101784112840265,-1.0,-1.0,-1.0,-1.0
111838,79.95,14.088200755842026,-1.0,-1.0,1.0,-1.0
111839,79.68,13.764617398843793,1.0,-1.0,1.0,-1.0
111840,80.49,14.521034041845539,-1.0,-1.0,-1.0,-1.0
111841,80.48,14.457450684847302,-1.0,-1.0,1.0,-1.0
111842,80.45,14.373867327849071,1.0,-1.0,1.0,-1.0
111843,80.89,14.760283970850821,-1.0,-1.0,-1.0,-1.0
111844,80.07,13.886700613852568,-1.0,-1.0,-1.0,-1.0
111845,78.72,12.48311725685434,1.0,-1.0,1.0,-1.0
111846,79.48,13.189533899856102,1.0,-1.0,1.0,-1.0
111847,80.01,13.665950542857855,-1.0,-1.0,-1.0,-1.0
111848,78.87,12.472367185859625,-1.0,-1.0,-1.0,-1.0
111849,78.68,12.228783828861381,1.0,-1.0,1.0,-1.0
111850,78.95,12.445200471863144,1.0,-1.0,1.0,-1.0
111851,79.24,12.681617114864894,-1.0,-1.0,1.0,-1.0
111852,76.69,10.078033757866649,1.0,-1.0,1.0,1.0
111853,77.17,10.504450400868409,1.0,-1.0,1.0,-1.0
111854,78.09,11.370867043870176,-1.0,-1.0,1.0,-1.0
111855,77.0,10.227283686871928,1.0,-1.0,1.0,1.0
111856,78.44,11.613700329873696,-1.0,-1.0,-1.0,-1.0
111857,76.61,9.73011697287545,1.0,1.0,1.0,1.0
111858,76.7,9.766533615877208,-1.0,1.0,-1.0,1.0
111859,74.59,7.602950258878978,-1.0,1.0,1.0,1.0
111860,74.41,7.369366901880723,1.0,1.0,1.0,1.0
111861,78.23,11.135783544882486,-1.0,1.0,-1.0,1.0
111862,77.61,10.46220018788425,1.0,1.0,1.0,1.0
111863,78.0,10.798616830886004,-1.0,1.0,-1.0,1.0
111864,77.27,10.015033473887756,-1.0,1.0,-1.0,1.0
111865,76.23,8.921450116889531,1.0,1.0,1.0,1.0
111866,76.31,8.947866759891284,-1.0,1.0,-1.0,1.0
111867,75.47,8.054283402893034,1.0,1.0,1.0,1.0
111868,75.83,8.360700045894802,-1.0,1.0,1.0,1.0
111869,72.28,4.757116688896559,1.0,1.0,1.0,1.0
111870,73.01,5.4335333318983166,-1.0,1.0,-1.0,1.0
111871,70.78,3.149949974900082,-1.0,1.0,1.0,1.0
111872,70.73,3.046366617901839,-1.0,1.0,-1.0,1.0
111873,70.32,2.5827832609035823,1.0,1.0,-1.0,1.0
