,Close,Target(1),Target(30),Prediction(1),Prediction(30)
113655,5.35,-1.0,1.0,-1.0,1.0
113656,5.2,1.0,1.0,1.0,1.0
113657,5.25,-1.0,1.0,-1.0,1.0
113658,5.16,1.0,1.0,-1.0,1.0
113659,5.25,1.0,1.0,1.0,1.0
113660,5.28,-1.0,1.0,-1.0,1.0
113661,5.19,-1.0,1.0,-1.0,1.0
113662,5.15,-1.0,1.0,-1.0,1.0
113663,4.96,1.0,1.0,1.0,1.0
113664,5.06,-1.0,1.0,-1.0,1.0
113667,5.18,-1.0,-1.0,-1.0,-1.0
113668,5.15,-1.0,-1.0,-1.0,-1.0
113670,5.1,0.0,-1.0,0.0,-1.0
113671,5.1,-1.0,-1.0,-1.0,-1.0
113673,5.2,-1.0,-1.0,-1.0,-1.0
113676,5.58,-1.0,-1.0,-1.0,-1.0
113677,5.4,0.0,-1.0,0.0,-1.0
113678,5.4,-1.0,-1.0,-1.0,-1.0
113679,5.12,-1.0,-1.0,-1.0,-1.0
113682,5.44,-1.0,-1.0,-1.0,-1.0
113684,5.27,1.0,-1.0,1.0,-1.0
113685,5.51,-1.0,-1.0,-1.0,-1.0
113687,5.28,1.0,-1.0,1.0,-1.0
113688,5.52,-1.0,-1.0,-1.0,-1.0
113689,5.38,-1.0,-1.0,-1.0,-1.0
113691,5.27,-1.0,-1.0,-1.0,-1.0
113692,5.18,-1.0,-1.0,-1.0,-1.0
113693,4.99,1.0,-1.0,1.0,-1.0
113694,5.14,-1.0,0.0,-1.0,0.0
113696,5.17,-1.0,0.0,-1.0,0.0
113703,5.1,1.0,-1.0,-1.0,-1.0
113705,5.26,-1.0,-1.0,-1.0,-1.0
113706,5.05,-1.0,-1.0,-1.0,-1.0
113708,5.1,-1.0,-1.0,-1.0,-1.0
113714,4.77,1.0,1.0,1.0,1.0
113716,4.87,-1.0,1.0,-1.0,1.0
113720,5.09,-1.0,-1.0,-1.0,-1.0
113721,4.97,-1.0,-1.0,-1.0,-1.0
113722,4.85,1.0,-1.0,1.0,1.0
113724,5.14,1.0,-1.0,1.0,-1.0
113729,5.26,-1.0,-1.0,-1.0,-1.0
113730,4.9,1.0,-1.0,-1.0,-1.0
113731,4.91,-1.0,1.0,-1.0,1.0
113732,4.9,-1.0,1.0,-1.0,1.0
113734,4.92,-1.0,-1.0,-1.0,-1.0
113736,4.88,-1.0,-1.0,-1.0,-1.0
113737,4.78,-1.0,1.0,-1.0,1.0
113740,4.71,1.0,1.0,1.0,1.0
113741,4.8,1.0,1.0,1.0,1.0
113742,4.87,-1.0,1.0,-1.0,1.0
113744,4.9,0.0,1.0,0.0,1.0
113745,4.9,-1.0,1.0,-1.0,1.0
113746,4.89,-1.0,1.0,-1.0,1.0
113749,4.67,-1.0,1.0,-1.0,1.0
113753,4.71,-1.0,1.0,-1.0,1.0
113756,4.93,-1.0,-1.0,-1.0,-1.0
113758,4.76,-1.0,1.0,-1.0,1.0
113761,4.97,-1.0,-1.0,-1.0,-1.0
113762,4.91,-1.0,-1.0,-1.0,-1.0
113763,4.9,-1.0,-1.0,-1.0,-1.0
113764,4.87,-1.0,-1.0,-1.0,-1.0
113765,4.85,-1.0,-1.0,-1.0,-1.0
113767,4.8,1.0,-1.0,1.0,-1.0
113768,4.84,1.0,-1.0,-1.0,-1.0
113770,5.05,-1.0,-1.0,-1.0,-1.0
113771,4.92,1.0,-1.0,-1.0,-1.0
113772,5.03,-1.0,-1.0,-1.0,-1.0
113774,5.15,1.0,-1.0,1.0,-1.0
113779,4.89,-1.0,-1.0,-1.0,-1.0
113780,4.83,1.0,-1.0,1.0,-1.0
113787,5.1,-1.0,-1.0,-1.0,-1.0
113789,4.79,1.0,-1.0,1.0,-1.0
113792,4.68,-1.0,-1.0,-1.0,-1.0
113793,4.47,-1.0,1.0,-1.0,1.0
113794,4.38,-1.0,1.0,-1.0,1.0
113795,4.18,1.0,1.0,-1.0,1.0
113796,4.3,1.0,1.0,1.0,1.0
113797,4.34,1.0,0.0,1.0,0.0
113798,4.5,-1.0,-1.0,-1.0,-1.0
113800,4.5,-1.0,1.0,-1.0,1.0
113802,4.33,-1.0,1.0,-1.0,1.0
113803,4.24,1.0,1.0,1.0,1.0
113804,4.29,-1.0,1.0,-1.0,1.0
113819,4.5,0.0,-1.0,0.0,-1.0
113821,4.61,1.0,-1.0,-1.0,1.0
113822,4.67,1.0,-1.0,1.0,-1.0
113828,4.11,1.0,1.0,1.0,1.0
113830,4.59,-1.0,-1.0,-1.0,-1.0
113831,4.48,-1.0,-1.0,-1.0,-1.0
113835,4.21,1.0,1.0,1.0,1.0
113836,4.25,1.0,-1.0,1.0,1.0
113837,4.32,-1.0,-1.0,-1.0,-1.0
113839,4.2,-1.0,-1.0,-1.0,1.0
113842,4.05,1.0,-1.0,1.0,-1.0
113843,4.08,-1.0,-1.0,-1.0,-1.0
113844,4.06,-1.0,-1.0,-1.0,-1.0
113847,3.99,-1.0,1.0,-1.0,1.0
113849,3.93,-1.0,1.0,-1.0,1.0
113851,3.93,1.0,1.0,1.0,1.0
113852,3.97,1.0,1.0,1.0,1.0
113853,4.11,0.0,-1.0,0.0,1.0
113854,4.11,0.0,-1.0,-1.0,-1.0
113855,4.11,-1.0,-1.0,-1.0,-1.0
113861,4.39,-1.0,-1.0,-1.0,-1.0
113862,4.31,-1.0,-1.0,-1.0,-1.0
113864,4.2,1.0,-1.0,1.0,-1.0
113865,4.22,1.0,-1.0,1.0,-1.0
113867,4.05,-1.0,1.0,-1.0,1.0
113868,4.03,-1.0,1.0,-1.0,1.0
113869,3.87,1.0,1.0,1.0,1.0
113871,4.08,-1.0,1.0,-1.0,1.0
113873,4.01,-1.0,1.0,-1.0,1.0
113875,4.14,0.0,1.0,0.0,1.0
113878,4.3,-1.0,1.0,-1.0,1.0
113880,4.15,-1.0,1.0,-1.0,1.0
113881,4.14,-1.0,1.0,-1.0,1.0
113885,4.05,0.0,1.0,0.0,1.0
113888,3.99,-1.0,1.0,-1.0,1.0
113889,3.91,-1.0,1.0,-1.0,1.0
