,Close,Target(1),Target(30),Prediction(1),Prediction(30)
115283,18.52,-1.0,1.0,1.0,1.0
115284,18.12,-1.0,1.0,-1.0,1.0
115285,17.63,-1.0,1.0,-1.0,1.0
115286,17.2,1.0,1.0,1.0,1.0
115287,17.54,1.0,1.0,1.0,1.0
115288,17.95,1.0,1.0,1.0,1.0
115289,18.11,1.0,1.0,1.0,1.0
115290,18.52,-1.0,-1.0,1.0,1.0
115291,17.66,-1.0,1.0,-1.0,1.0
115292,17.36,1.0,1.0,1.0,1.0
115293,17.68,1.0,1.0,1.0,1.0
115294,17.98,1.0,1.0,1.0,1.0
115295,18.12,-1.0,1.0,-1.0,1.0
115296,17.83,1.0,1.0,1.0,1.0
115297,18.32,1.0,1.0,1.0,1.0
115298,18.51,1.0,1.0,1.0,1.0
115299,18.6,-1.0,1.0,1.0,1.0
115300,18.54,1.0,1.0,1.0,1.0
115301,18.68,1.0,1.0,1.0,1.0
115302,19.13,-1.0,-1.0,-1.0,1.0
115303,18.74,1.0,0.0,1.0,0.0
115304,19.07,-1.0,-1.0,-1.0,1.0
115305,19.01,-1.0,1.0,-1.0,1.0
115306,18.73,1.0,1.0,1.0,1.0
115307,18.98,1.0,1.0,1.0,1.0
115308,19.33,-1.0,1.0,-1.0,1.0
115309,19.29,-1.0,1.0,-1.0,1.0
115310,19.09,-1.0,1.0,-1.0,1.0
115311,18.82,1.0,1.0,1.0,1.0
115312,18.88,-1.0,1.0,-1.0,1.0
115313,18.62,-1.0,1.0,-1.0,1.0
115314,18.36,1.0,1.0,1.0,1.0
115315,18.44,1.0,1.0,1.0,1.0
115316,18.54,-1.0,1.0,-1.0,1.0
115317,18.44,1.0,1.0,-1.0,1.0
115318,18.6,-1.0,1.0,1.0,1.0
115319,18.44,-1.0,1.0,-1.0,1.0
115320,18.33,-1.0,1.0,-1.0,1.0
115321,18.27,1.0,1.0,1.0,1.0
115322,18.96,1.0,1.0,1.0,1.0
115323,19.0,-1.0,1.0,-1.0,1.0
115324,18.92,-1.0,1.0,-1.0,1.0
115325,18.7,-1.0,-1.0,-1.0,-1.0
115326,18.52,1.0,1.0,1.0,1.0
115327,18.54,1.0,1.0,1.0,1.0
115328,18.62,1.0,1.0,1.0,1.0
115329,19.09,1.0,1.0,1.0,1.0
115330,19.61,-1.0,-1.0,-1.0,-1.0
115331,19.18,-1.0,1.0,-1.0,1.0
115332,19.02,-1.0,-1.0,1.0,-1.0
115333,18.74,1.0,-1.0,1.0,-1.0
115334,19.02,1.0,-1.0,1.0,-1.0
115335,19.1,1.0,-1.0,1.0,-1.0
115336,19.37,1.0,-1.0,1.0,1.0
115337,19.44,1.0,-1.0,1.0,-1.0
115338,19.52,0.0,-1.0,0.0,-1.0
115339,19.52,-1.0,-1.0,-1.0,-1.0
115340,19.18,1.0,-1.0,1.0,1.0
115341,19.58,1.0,-1.0,1.0,-1.0
115342,19.92,-1.0,-1.0,-1.0,-1.0
115343,19.83,1.0,1.0,1.0,1.0
115344,20.1,1.0,-1.0,1.0,-1.0
115345,20.58,-1.0,-1.0,-1.0,-1.0
115346,20.56,-1.0,-1.0,-1.0,1.0
115347,19.77,1.0,-1.0,1.0,1.0
115348,19.98,1.0,-1.0,1.0,-1.0
115349,22.04,-1.0,-1.0,-1.0,-1.0
115350,21.67,1.0,-1.0,1.0,1.0
115351,21.68,-1.0,-1.0,-1.0,-1.0
115352,20.92,-1.0,-1.0,-1.0,1.0
115353,20.12,-1.0,1.0,-1.0,1.0
115354,19.79,-1.0,1.0,-1.0,1.0
115355,18.54,1.0,1.0,1.0,1.0
115356,20.22,-1.0,-1.0,-1.0,1.0
115357,19.98,1.0,1.0,1.0,1.0
115358,20.58,-1.0,-1.0,-1.0,-1.0
115359,20.38,-1.0,-1.0,-1.0,-1.0
115360,19.6,-1.0,1.0,-1.0,1.0
115361,19.26,-1.0,-1.0,-1.0,-1.0
115362,18.64,-1.0,1.0,-1.0,1.0
115363,17.87,-1.0,1.0,-1.0,1.0
115364,17.3,1.0,1.0,-1.0,1.0
115365,18.12,-1.0,-1.0,-1.0,-1.0
115366,18.1,-1.0,1.0,-1.0,1.0
115367,17.8,1.0,1.0,1.0,1.0
115368,17.96,1.0,1.0,1.0,1.0
115369,19.03,-1.0,1.0,-1.0,1.0
115370,18.63,-1.0,1.0,-1.0,1.0
115371,18.22,1.0,1.0,1.0,1.0
115372,19.48,1.0,1.0,1.0,1.0
115373,19.98,-1.0,1.0,-1.0,1.0
115374,18.8,-1.0,1.0,-1.0,1.0
115375,18.34,-1.0,1.0,-1.0,1.0
115376,18.26,-1.0,1.0,1.0,1.0
115377,18.18,1.0,1.0,1.0,1.0
115378,18.9,1.0,1.0,1.0,1.0
115379,18.91,1.0,1.0,1.0,1.0
115380,19.37,1.0,1.0,1.0,1.0
115381,20.62,-1.0,1.0,-1.0,1.0
115382,20.48,1.0,1.0,1.0,1.0
115383,20.54,1.0,1.0,1.0,1.0
115384,20.66,1.0,1.0,1.0,1.0
115385,20.91,-1.0,1.0,-1.0,1.0
115386,20.12,1.0,1.0,1.0,1.0
115387,20.26,-1.0,1.0,1.0,1.0
115388,19.84,-1.0,1.0,1.0,1.0
115389,19.65,1.0,1.0,1.0,1.0
115390,19.82,-1.0,1.0,-1.0,-1.0
115391,18.74,-1.0,1.0,1.0,1.0
115392,18.67,1.0,1.0,1.0,1.0
115393,19.06,-1.0,1.0,-1.0,1.0
115394,18.74,-1.0,1.0,-1.0,1.0
115395,18.04,1.0,1.0,-1.0,1.0
115396,19.16,1.0,1.0,1.0,1.0
115397,19.44,1.0,1.0,1.0,1.0
115398,19.96,-1.0,1.0,-1.0,1.0
115399,19.93,1.0,1.0,1.0,1.0
115400,21.01,1.0,1.0,1.0,1.0
115401,21.34,-1.0,1.0,-1.0,1.0
115402,21.29,-1.0,1.0,-1.0,1.0
115403,20.22,1.0,1.0,1.0,1.0
115404,20.48,1.0,1.0,1.0,1.0
115405,21.12,-1.0,1.0,-1.0,1.0
115406,20.22,1.0,1.0,1.0,1.0
115407,21.09,1.0,1.0,1.0,1.0
115408,21.48,1.0,1.0,1.0,1.0
115409,21.89,-1.0,1.0,1.0,1.0
115410,21.19,-1.0,1.0,-1.0,1.0
115411,21.06,1.0,1.0,1.0,1.0
115412,21.24,1.0,1.0,1.0,1.0
115413,21.93,1.0,1.0,1.0,1.0
115414,23.03,-1.0,1.0,1.0,1.0
115415,22.92,1.0,1.0,1.0,1.0
115416,23.14,1.0,1.0,1.0,1.0
115417,23.47,1.0,1.0,1.0,1.0
115418,23.5,1.0,1.0,1.0,1.0
115419,23.75,-1.0,1.0,-1.0,1.0
115420,23.03,-1.0,1.0,-1.0,1.0
115421,22.9,-1.0,1.0,-1.0,1.0
115422,22.75,-1.0,1.0,1.0,1.0
115423,22.66,1.0,1.0,1.0,1.0
115424,22.8,1.0,1.0,1.0,1.0
115425,23.34,1.0,1.0,1.0,1.0
115426,23.54,-1.0,1.0,1.0,1.0
115427,22.63,1.0,1.0,1.0,1.0
115428,22.76,-1.0,1.0,-1.0,1.0
115429,22.43,-1.0,1.0,-1.0,1.0
115430,21.78,1.0,1.0,1.0,1.0
115431,21.8,-1.0,1.0,-1.0,1.0
115432,21.6,1.0,1.0,1.0,1.0
115433,22.04,-1.0,1.0,-1.0,1.0
115434,21.63,1.0,1.0,1.0,1.0
115435,21.82,1.0,1.0,1.0,1.0
115436,22.86,1.0,1.0,1.0,1.0
115437,23.36,1.0,1.0,1.0,1.0
115438,24.21,-1.0,1.0,1.0,1.0
115439,23.81,-1.0,1.0,-1.0,1.0
115440,23.3,-1.0,1.0,-1.0,1.0
115441,23.09,1.0,1.0,1.0,1.0
115442,23.19,1.0,1.0,1.0,1.0
115443,23.84,-1.0,1.0,-1.0,1.0
115444,23.7,1.0,1.0,1.0,1.0
115445,23.84,-1.0,1.0,-1.0,1.0
115446,23.82,0.0,1.0,0.0,1.0
115447,23.82,1.0,1.0,1.0,1.0
115448,24.19,1.0,1.0,1.0,1.0
115449,24.33,1.0,1.0,1.0,1.0
115450,24.4,-1.0,1.0,-1.0,1.0
115451,23.86,1.0,1.0,1.0,1.0
115452,24.84,1.0,1.0,1.0,1.0
115453,25.18,1.0,1.0,1.0,1.0
115454,25.86,-1.0,1.0,-1.0,1.0
115455,25.82,1.0,1.0,1.0,1.0
115456,26.31,-1.0,1.0,-1.0,1.0
115457,26.09,-1.0,1.0,-1.0,1.0
115458,26.04,1.0,1.0,1.0,1.0
115459,26.64,-1.0,1.0,-1.0,1.0
115460,26.1,-1.0,1.0,-1.0,1.0
115461,25.77,1.0,1.0,1.0,1.0
115462,26.41,-1.0,1.0,1.0,1.0
115463,26.26,1.0,1.0,1.0,1.0
115464,26.56,1.0,1.0,1.0,1.0
115465,27.04,-1.0,1.0,-1.0,1.0
115466,26.88,1.0,1.0,-1.0,1.0
115467,27.1,-1.0,1.0,1.0,1.0
115468,27.07,-1.0,1.0,1.0,1.0
115469,26.68,1.0,1.0,1.0,1.0
115470,27.14,-1.0,1.0,1.0,1.0
115471,27.06,-1.0,1.0,-1.0,1.0
115472,27.03,1.0,1.0,1.0,1.0
115473,27.14,-1.0,1.0,-1.0,1.0
115474,26.9,1.0,1.0,1.0,1.0
115475,27.6,1.0,1.0,1.0,1.0
115476,27.92,1.0,1.0,1.0,1.0
115477,28.06,-1.0,1.0,-1.0,1.0
115478,28.02,1.0,1.0,1.0,1.0
115479,28.14,1.0,1.0,1.0,1.0
115480,28.36,1.0,1.0,1.0,1.0
115481,29.26,1.0,1.0,1.0,1.0
115482,29.63,-1.0,1.0,-1.0,1.0
115483,29.56,-1.0,1.0,-1.0,1.0
115484,28.86,1.0,1.0,1.0,1.0
115485,29.33,1.0,1.0,1.0,1.0
115486,29.42,-1.0,1.0,-1.0,1.0
115487,28.82,1.0,1.0,1.0,1.0
115488,28.88,-1.0,1.0,-1.0,1.0
115489,28.24,1.0,1.0,1.0,1.0
115490,29.09,1.0,1.0,1.0,1.0
115491,29.73,1.0,1.0,1.0,1.0
115492,29.94,1.0,1.0,1.0,1.0
115493,30.38,-1.0,1.0,-1.0,1.0
115494,29.96,1.0,1.0,1.0,1.0
115495,30.46,-1.0,1.0,-1.0,1.0
115496,30.31,-1.0,1.0,-1.0,1.0
115497,29.97,1.0,1.0,-1.0,1.0
115498,30.17,1.0,1.0,1.0,1.0
115499,31.63,1.0,1.0,1.0,1.0
115500,32.64,1.0,1.0,1.0,1.0
115501,33.22,-1.0,1.0,-1.0,1.0
115502,33.14,-1.0,1.0,-1.0,1.0
115503,32.86,1.0,1.0,-1.0,1.0
115504,33.5,1.0,1.0,-1.0,1.0
115505,33.58,-1.0,1.0,-1.0,1.0
115506,33.45,-1.0,1.0,-1.0,1.0
115507,33.42,1.0,1.0,1.0,1.0
115508,33.72,1.0,1.0,1.0,1.0
115509,34.08,1.0,-1.0,1.0,1.0
115510,35.38,1.0,-1.0,1.0,-1.0
115511,35.52,1.0,-1.0,1.0,-1.0
115512,35.95,1.0,-1.0,1.0,-1.0
115513,36.28,-1.0,-1.0,-1.0,-1.0
115514,36.14,1.0,-1.0,1.0,-1.0
115515,36.57,-1.0,-1.0,-1.0,-1.0
115516,36.1,-1.0,-1.0,-1.0,-1.0
115517,35.69,1.0,1.0,1.0,1.0
115518,36.24,1.0,1.0,1.0,1.0
115519,36.44,-1.0,1.0,-1.0,1.0
115520,36.18,1.0,1.0,1.0,1.0
115521,36.68,-1.0,1.0,-1.0,1.0
115522,36.26,1.0,1.0,1.0,1.0
115523,36.59,-1.0,1.0,-1.0,1.0
115524,36.24,-1.0,1.0,-1.0,1.0
115525,34.98,1.0,1.0,1.0,1.0
115526,35.56,-1.0,1.0,-1.0,1.0
115527,35.25,-1.0,1.0,1.0,1.0
115528,35.05,-1.0,1.0,-1.0,1.0
115529,34.44,1.0,1.0,1.0,1.0
115530,35.2,1.0,1.0,1.0,1.0
115531,35.72,-1.0,1.0,-1.0,1.0
115532,34.9,-1.0,1.0,-1.0,1.0
115533,34.42,-1.0,1.0,-1.0,1.0
115534,34.0,1.0,1.0,1.0,1.0
115535,34.48,-1.0,1.0,-1.0,1.0
115536,34.06,1.0,1.0,1.0,1.0
115537,35.21,1.0,1.0,1.0,1.0
115538,35.28,-1.0,1.0,-1.0,1.0
115539,33.82,-1.0,1.0,-1.0,1.0
115540,33.7,-1.0,1.0,-1.0,1.0
115541,33.64,-1.0,1.0,-1.0,1.0
115542,32.87,-1.0,1.0,1.0,1.0
115543,32.86,1.0,1.0,1.0,1.0
115544,33.52,1.0,1.0,1.0,1.0
115545,35.24,1.0,1.0,1.0,1.0
115546,35.95,1.0,1.0,1.0,-1.0
115547,36.02,1.0,1.0,1.0,1.0
115548,36.88,1.0,1.0,1.0,1.0
115549,38.66,1.0,-1.0,1.0,-1.0
115550,40.02,-1.0,-1.0,-1.0,-1.0
115551,39.74,1.0,-1.0,1.0,-1.0
115552,40.15,-1.0,-1.0,-1.0,-1.0
115553,40.0,1.0,1.0,1.0,1.0
115554,40.12,-1.0,1.0,-1.0,1.0
115555,38.88,-1.0,1.0,-1.0,1.0
115556,37.98,-1.0,1.0,-1.0,1.0
115557,37.68,1.0,1.0,1.0,1.0
115558,38.48,1.0,-1.0,1.0,-1.0
115559,38.8,-1.0,-1.0,1.0,-1.0
