,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
118778,32.3,-2.510850458876732,-1.0,1.0,-1.0,1.0
118779,31.5,-3.3217504276915264,1.0,1.0,-1.0,1.0
118780,32.0,-2.832650396506331,1.0,1.0,1.0,1.0
118781,32.4,-2.44355036532113,1.0,1.0,1.0,1.0
118782,33.2,-1.6544503341359302,1.0,1.0,1.0,1.0
118783,33.4,-1.4653503029507318,1.0,1.0,1.0,1.0
118784,34.1,-0.7762502717655337,-1.0,1.0,-1.0,1.0
118785,33.7,-1.1871502405803298,-1.0,1.0,-1.0,1.0
118786,31.8,-3.0980502093951365,1.0,1.0,1.0,1.0
118787,32.2,-2.708950178209932,-1.0,1.0,-1.0,1.0
118788,31.5,-3.4198501470247398,1.0,1.0,1.0,1.0
118789,31.8,-3.130750115839536,1.0,1.0,1.0,1.0
118790,32.0,-2.9416500846543343,1.0,1.0,-1.0,1.0
118791,32.1,-2.852550053469137,-1.0,1.0,-1.0,1.0
118792,31.8,-3.163450022283936,1.0,1.0,1.0,1.0
118793,33.1,-1.87434999109874,1.0,1.0,1.0,1.0
118794,34.1,-0.885249959913537,1.0,1.0,1.0,1.0
118795,34.3,-0.6961499287283459,-1.0,1.0,1.0,1.0
118796,34.2,-0.8070498975431377,1.0,1.0,1.0,1.0
118797,34.6,-0.4179498663579437,-1.0,1.0,-1.0,1.0
118798,33.5,-1.5288498351727426,1.0,1.0,1.0,1.0
118799,34.5,-0.5397498039875472,-1.0,1.0,-1.0,1.0
118800,33.9,-1.150649772802346,1.0,1.0,1.0,1.0
118801,34.0,-1.061549741617149,-1.0,1.0,-1.0,1.0
118802,33.9,-1.1724497104319482,1.0,1.0,1.0,1.0
118803,34.0,-1.0833496792467443,0.0,1.0,0.0,1.0
118804,34.0,-1.0942496480615491,1.0,1.0,-1.0,1.0
118805,34.3,-0.8051496168763492,1.0,1.0,1.0,1.0
118806,35.0,-0.11604958569115098,1.0,1.0,1.0,1.0
118807,35.6,0.473050445494053,1.0,1.0,1.0,1.0
118808,38.2,3.0621504766792498,1.0,1.0,1.0,1.0
118809,39.6,4.451250507864452,1.0,1.0,1.0,1.0
118810,41.8,6.640350539049642,-1.0,1.0,-1.0,1.0
118811,39.7,4.529450570234849,-1.0,1.0,-1.0,1.0
118812,38.9,3.718550601420041,1.0,1.0,-1.0,1.0
118813,40.5,5.307650632605245,0.0,1.0,0.0,1.0
118814,40.5,5.296750663790442,-1.0,1.0,-1.0,1.0
118815,40.2,4.985850694975647,-1.0,1.0,-1.0,1.0
118816,39.0,3.7749507261608457,1.0,1.0,-1.0,1.0
118817,40.4,5.16405075734604,1.0,1.0,1.0,1.0
118818,41.3,6.053150788531242,1.0,1.0,1.0,1.0
118819,41.5,6.242250819716438,1.0,-1.0,1.0,-1.0
118820,42.7,7.431350850901643,1.0,-1.0,1.0,-1.0
118821,43.1,7.820450882086838,-1.0,-1.0,1.0,-1.0
118822,41.8,6.5095509132720375,-1.0,-1.0,-1.0,-1.0
118823,40.9,5.5986509444572325,-1.0,1.0,-1.0,1.0
118824,40.5,5.1877509756424365,1.0,1.0,1.0,1.0
118825,41.8,6.47685100682763,1.0,-1.0,-1.0,-1.0
118826,42.6,7.2659510380128385,1.0,-1.0,-1.0,-1.0
118827,42.9,7.5550510691980275,1.0,-1.0,-1.0,-1.0
118828,43.6,8.244151100383235,1.0,-1.0,1.0,-1.0
118829,44.7,9.333251131568439,1.0,-1.0,1.0,-1.0
118830,45.5,10.122351162753633,1.0,-1.0,1.0,-1.0
118831,46.4,11.011451193938832,-1.0,-1.0,-1.0,-1.0
118832,46.2,10.800551225124032,1.0,-1.0,1.0,-1.0
118833,49.3,13.889651256309225,-1.0,-1.0,-1.0,-1.0
118834,48.1,12.678751287494428,-1.0,-1.0,-1.0,-1.0
118835,45.6,10.16785131867963,1.0,-1.0,1.0,-1.0
118836,48.8,13.356951349864822,1.0,-1.0,-1.0,-1.0
118837,49.7,14.246051381050028,-1.0,-1.0,-1.0,-1.0
118838,49.3,13.835151412235222,-1.0,-1.0,-1.0,-1.0
118839,48.7,13.224251443420426,-1.0,-1.0,-1.0,-1.0
118840,48.6,13.113351474605622,-1.0,-1.0,-1.0,-1.0
118841,46.1,10.602451505790823,-1.0,-1.0,-1.0,-1.0
118842,43.4,7.891551536976024,1.0,-1.0,1.0,-1.0
118843,44.5,8.980651568161221,1.0,-1.0,1.0,-1.0
118844,45.6,10.069751599346425,-1.0,-1.0,-1.0,-1.0
118845,43.7,8.158851630531622,1.0,-1.0,1.0,-1.0
118846,44.1,8.547951661716823,-1.0,-1.0,1.0,-1.0
118847,42.6,7.0370516929020175,-1.0,-1.0,-1.0,-1.0
118848,41.8,6.226151724087218,-1.0,-1.0,-1.0,-1.0
118849,40.4,4.815251755272413,-1.0,-1.0,-1.0,1.0
118850,40.0,4.404351786457617,1.0,1.0,1.0,1.0
118851,42.2,6.5934518176428165,-1.0,-1.0,1.0,-1.0
118852,41.7,6.082551848828018,1.0,-1.0,-1.0,-1.0
118853,41.8,6.171651880013207,-1.0,-1.0,-1.0,-1.0
118854,40.9,5.260751911198412,-1.0,-1.0,-1.0,1.0
118855,39.8,4.149851942383613,-1.0,1.0,-1.0,1.0
