,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
120645,22.56,1.3694075966886279,1.0,1.0,1.0,1.0
120646,22.67,1.4728036315260449,1.0,-1.0,1.0,-1.0
120647,22.7,1.4961996663634594,-1.0,-1.0,-1.0,-1.0
120648,22.35,1.1395957012008786,-1.0,1.0,-1.0,1.0
120649,22.04,0.8229917360382899,-1.0,1.0,-1.0,-1.0
120650,22.02,0.7963877708757074,1.0,1.0,1.0,1.0
120651,22.14,0.9097838057131256,-1.0,1.0,-1.0,1.0
120652,22.03,0.7931798405505432,-1.0,1.0,1.0,1.0
120653,21.58,0.336575875387954,1.0,1.0,-1.0,1.0
120654,21.71,0.4599719102253737,-1.0,1.0,-1.0,1.0
120655,21.52,0.2633679450627895,1.0,1.0,1.0,-1.0
120656,21.76,0.496763979900205,-1.0,1.0,-1.0,1.0
120657,21.62,0.3501600147376216,1.0,1.0,1.0,1.0
120658,21.73,0.4535560495750381,-1.0,1.0,-1.0,1.0
120659,21.59,0.3069520844124547,1.0,1.0,1.0,-1.0
120660,22.0,0.7103481192498684,1.0,1.0,-1.0,1.0
120661,22.11,0.8137441540872851,1.0,1.0,-1.0,1.0
120662,22.47,1.1671401889247015,1.0,1.0,1.0,1.0
120663,22.51,1.2005362237621178,-1.0,1.0,-1.0,1.0
120664,22.33,1.0139322585995316,-1.0,1.0,-1.0,1.0
120665,22.12,0.7973282934369514,1.0,1.0,1.0,1.0
120666,22.56,1.2307243282743627,-1.0,1.0,-1.0,1.0
120667,22.5,1.1641203631117811,0.0,1.0,0.0,1.0
120668,22.5,1.1575163979491985,1.0,1.0,1.0,1.0
120669,22.83,1.4809124327866137,-1.0,1.0,-1.0,1.0
120670,22.66,1.304308467624029,1.0,1.0,1.0,1.0
120671,22.7,1.3377045024614451,-1.0,1.0,-1.0,1.0
120672,22.51,1.1411005372988647,1.0,1.0,1.0,1.0
120673,22.84,1.4644965721362766,-1.0,1.0,1.0,1.0
120674,22.81,1.4278926069736926,1.0,1.0,1.0,1.0
120675,22.87,1.481288641811112,-1.0,1.0,-1.0,1.0
120676,22.6,1.2046846766485295,1.0,1.0,1.0,1.0
120677,22.66,1.2580807114859418,1.0,1.0,-1.0,1.0
120678,22.78,1.3714767463233601,1.0,1.0,1.0,1.0
120679,22.99,1.5748727811607743,1.0,1.0,-1.0,1.0
120680,23.24,1.8182688159981883,1.0,1.0,1.0,1.0
120681,23.51,2.081664850835608,0.0,-1.0,0.0,-1.0
120682,23.51,2.0750608856730253,-1.0,-1.0,-1.0,-1.0
120683,23.45,2.008456920510437,1.0,-1.0,1.0,-1.0
120684,23.6,2.151852955347856,1.0,-1.0,-1.0,-1.0
120685,23.8,2.345248990185272,-1.0,-1.0,-1.0,-1.0
120686,23.72,2.2586450250226875,-1.0,-1.0,-1.0,-1.0
120687,23.45,1.9820410598601013,-1.0,-1.0,-1.0,-1.0
120688,23.41,1.9354370946975197,-1.0,-1.0,-1.0,-1.0
120689,23.38,1.8988331295349357,1.0,-1.0,1.0,-1.0
120690,23.43,1.9422291643723495,1.0,-1.0,1.0,-1.0
120691,23.47,1.9756251992097658,1.0,-1.0,1.0,-1.0
120692,23.85,2.3490212340471857,-1.0,-1.0,-1.0,-1.0
120693,23.4,1.8924172688846002,-1.0,-1.0,-1.0,-1.0
120694,22.63,1.1158133037220141,1.0,-1.0,-1.0,-1.0
120695,22.86,1.3392093385594317,1.0,-1.0,1.0,-1.0
120696,22.94,1.4126053733968504,1.0,-1.0,1.0,-1.0
120697,23.06,1.5260014082342614,-1.0,-1.0,-1.0,-1.0
120698,22.93,1.3893974430716796,1.0,-1.0,1.0,-1.0
120699,23.23,1.6827934779090974,-1.0,-1.0,-1.0,-1.0
120700,23.06,1.5061895127465093,-1.0,-1.0,1.0,-1.0
120701,22.84,1.2795855475839275,1.0,-1.0,1.0,-1.0
120702,22.86,1.2929815824213442,1.0,-1.0,1.0,-1.0
120703,23.35,1.7763776172587633,1.0,-1.0,1.0,-1.0
120704,23.52,1.939773652096175,1.0,-1.0,1.0,-1.0
120705,23.72,2.1331696869335914,-1.0,-1.0,-1.0,-1.0
120706,23.54,1.9465657217710088,1.0,-1.0,1.0,-1.0
120707,23.64,2.0399617566084243,-1.0,-1.0,-1.0,-1.0
120708,23.22,1.6133577914458392,1.0,-1.0,1.0,-1.0
120709,23.27,1.6567538262832566,1.0,-1.0,1.0,-1.0
120710,23.42,1.8001498611206763,-1.0,-1.0,-1.0,-1.0
120711,22.82,1.1935458959580885,1.0,-1.0,1.0,-1.0
120712,22.91,1.2769419307955054,-1.0,-1.0,1.0,-1.0
120713,22.16,0.5203379656329226,-1.0,-1.0,-1.0,-1.0
120714,21.98,0.3337340004703364,-1.0,-1.0,-1.0,-1.0
120715,21.08,-0.5728699646922486,-1.0,-1.0,-1.0,-1.0
120716,20.49,-1.1694739298548311,1.0,-1.0,1.0,-1.0
120717,21.14,-0.5260778950174121,1.0,-1.0,1.0,-1.0
120718,21.47,-0.20268186018000026,1.0,-1.0,1.0,-1.0
120719,21.93,0.2507141746574177,-1.0,-1.0,-1.0,-1.0
120720,21.88,0.19411020949483412,-1.0,-1.0,-1.0,-1.0
120721,20.51,-1.1824937556677495,1.0,-1.0,1.0,-1.0
120722,20.68,-1.0190977208303345,-1.0,-1.0,-1.0,-1.0
120723,20.55,-1.1557016859929163,-1.0,-1.0,-1.0,-1.0
120724,20.47,-1.2423056511555046,-1.0,-1.0,1.0,-1.0
120725,19.68,-2.038909616318086,1.0,-1.0,1.0,-1.0
120726,19.89,-1.835513581480669,-1.0,-1.0,1.0,-1.0
120727,19.76,-1.9721175466432503,1.0,-1.0,1.0,-1.0
120728,19.85,-1.8887215118058367,-1.0,-1.0,-1.0,-1.0
120729,19.68,-2.0653254769684217,1.0,-1.0,1.0,-1.0
120730,20.37,-1.381929442131003,-1.0,-1.0,-1.0,-1.0
120731,20.25,-1.5085334072935908,-1.0,-1.0,-1.0,-1.0
120732,19.63,-2.135137372456174,1.0,-1.0,1.0,-1.0
120733,19.91,-1.8617413376187564,1.0,-1.0,1.0,-1.0
120734,20.33,-1.4483453027813409,-1.0,-1.0,-1.0,-1.0
120735,19.41,-2.3749492679439257,-1.0,-1.0,-1.0,-1.0
120736,18.93,-2.861553233106509,1.0,1.0,-1.0,1.0
120737,19.07,-2.7281571982690918,-1.0,-1.0,-1.0,-1.0
120738,18.99,-2.81476116343168,1.0,1.0,-1.0,1.0
