,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
124378,32.21,3.387146020965922,1.0,1.0,1.0,1.0
124379,32.39,3.534338708098108,-1.0,1.0,-1.0,1.0
124380,31.31,2.4215313952302964,1.0,1.0,1.0,1.0
124381,32.91,3.988724082362484,1.0,1.0,1.0,1.0
124382,33.07,4.1159167694946746,1.0,1.0,1.0,1.0
124383,33.66,4.673109456626861,1.0,1.0,1.0,1.0
124384,34.25,5.230302143759051,-1.0,1.0,-1.0,1.0
124385,33.71,4.657494830891242,-1.0,1.0,-1.0,1.0
124386,32.6,3.514687518023429,-1.0,1.0,1.0,1.0
124387,32.47,3.3518802051556165,-1.0,1.0,-1.0,1.0
124388,32.26,3.1090728922878057,1.0,1.0,1.0,1.0
124389,32.64,3.456265579419995,-1.0,1.0,-1.0,1.0
124390,32.16,2.9434582665521813,1.0,1.0,-1.0,1.0
124391,33.25,4.000650953684371,1.0,1.0,1.0,1.0
124392,33.38,4.097843640816564,1.0,1.0,1.0,1.0
124393,33.54,4.22503632794875,1.0,1.0,1.0,1.0
124394,33.75,4.4022290150809384,1.0,1.0,1.0,-1.0
124395,33.77,4.389421702213131,1.0,1.0,1.0,1.0
124396,33.83,4.4166143893453125,-1.0,1.0,1.0,1.0
124397,33.67,4.223807076477506,-1.0,1.0,-1.0,1.0
124398,32.99,3.5109997636096963,1.0,1.0,1.0,1.0
124399,33.26,3.748192450741879,1.0,1.0,1.0,1.0
124400,33.61,4.0653851378740695,1.0,1.0,1.0,1.0
124401,33.97,4.392577825006256,1.0,1.0,-1.0,1.0
124402,35.07,5.459770512138448,1.0,1.0,1.0,1.0
124403,35.55,5.906963199270631,-1.0,1.0,-1.0,1.0
124404,35.16,5.484155886402822,1.0,1.0,1.0,1.0
124405,35.24,5.531348573535017,1.0,-1.0,1.0,-1.0
124406,35.5,5.758541260667201,-1.0,-1.0,1.0,-1.0
124407,35.3,5.525733947799388,-1.0,1.0,-1.0,1.0
124408,35.2,5.392926634931579,-1.0,1.0,-1.0,1.0
124409,35.02,5.180119322063772,-1.0,1.0,-1.0,1.0
124410,34.99,5.1173120091959605,-1.0,1.0,-1.0,1.0
124411,34.91,5.004504696328142,1.0,1.0,1.0,1.0
124412,35.43,5.491697383460335,-1.0,1.0,1.0,1.0
124413,35.32,5.348890070592521,1.0,1.0,-1.0,1.0
124414,35.49,5.486082757724713,1.0,1.0,1.0,1.0
124415,35.55,5.513275444856894,1.0,-1.0,1.0,-1.0
124416,35.85,5.780468131989089,1.0,-1.0,1.0,-1.0
124417,36.19,6.087660819121275,1.0,-1.0,1.0,-1.0
124418,36.26,6.124853506253463,-1.0,-1.0,-1.0,-1.0
124419,35.79,5.622046193385653,-1.0,-1.0,-1.0,-1.0
124420,35.75,5.549238880517841,-1.0,-1.0,1.0,-1.0
124421,35.42,5.1864315676500325,1.0,-1.0,1.0,-1.0
124422,36.07,5.803624254782221,1.0,-1.0,1.0,-1.0
124423,36.45,6.15081694191441,-1.0,-1.0,1.0,-1.0
124424,36.03,5.698009629046599,1.0,-1.0,1.0,-1.0
124425,36.28,5.915202316178785,1.0,-1.0,1.0,-1.0
124426,36.33,5.9323950033109725,-1.0,-1.0,-1.0,-1.0
124427,36.1,5.669587690443167,-1.0,-1.0,-1.0,-1.0
124428,35.68,5.216780377575351,1.0,-1.0,1.0,-1.0
124429,35.92,5.423973064707543,1.0,-1.0,1.0,-1.0
124430,36.45,5.921165751839731,-1.0,-1.0,-1.0,-1.0
124431,35.96,5.3983584389719175,-1.0,-1.0,-1.0,-1.0
124432,35.93,5.335551126104106,-1.0,-1.0,-1.0,-1.0
124433,35.57,4.9427438132362935,1.0,-1.0,1.0,1.0
124434,35.68,5.019936500368484,-1.0,-1.0,1.0,-1.0
124435,35.07,4.377129187500671,1.0,-1.0,1.0,-1.0
124436,35.14,4.414321874632861,1.0,-1.0,1.0,-1.0
124437,35.87,5.111514561765045,-1.0,-1.0,-1.0,-1.0
124438,35.57,4.778707248897239,1.0,1.0,-1.0,-1.0
124439,35.94,5.115899936029424,1.0,-1.0,1.0,-1.0
124440,36.2,5.343092623161617,1.0,-1.0,1.0,-1.0
124441,36.25,5.360285310293804,-1.0,-1.0,-1.0,-1.0
124442,35.7,4.7774779974259935,1.0,-1.0,1.0,-1.0
124443,36.29,5.33467068455818,-1.0,-1.0,-1.0,-1.0
124444,35.65,4.661863371690366,-1.0,-1.0,-1.0,-1.0
124445,34.69,3.669056058822555,1.0,1.0,1.0,1.0
124446,35.34,4.286248745954752,-1.0,1.0,-1.0,-1.0
124447,34.87,3.783441433086932,1.0,1.0,1.0,1.0
124448,35.78,4.660634120219125,-1.0,1.0,-1.0,-1.0
124449,34.42,3.2678268073513124,-1.0,1.0,-1.0,1.0
124450,33.79,2.6050194944835003,1.0,1.0,1.0,1.0
124451,34.96,3.742212181615692,1.0,-1.0,1.0,1.0
124452,35.03,3.7794048687478794,1.0,-1.0,1.0,1.0
124453,35.35,4.066597555880069,-1.0,-1.0,-1.0,-1.0
124454,34.66,3.3437902430122506,-1.0,-1.0,-1.0,1.0
124455,33.82,2.4709829301444444,1.0,1.0,1.0,1.0
124456,34.12,2.738175617276632,1.0,-1.0,1.0,1.0
124457,34.33,2.915368304408819,-1.0,-1.0,-1.0,-1.0
124458,34.14,2.692560991541012,-1.0,-1.0,-1.0,-1.0
124459,32.93,1.4497536786731968,1.0,1.0,1.0,1.0
124460,33.21,1.6969463658053885,-1.0,1.0,1.0,1.0
124461,32.88,1.33413905293758,-1.0,1.0,-1.0,1.0
124462,32.81,1.2313317400697663,-1.0,1.0,-1.0,1.0
124463,32.8,1.1885244272019513,1.0,1.0,1.0,1.0
124464,33.66,2.015717114334137,1.0,1.0,1.0,1.0
124465,34.49,2.8129098014663327,-1.0,1.0,-1.0,1.0
124466,33.91,2.2001024885985143,1.0,1.0,1.0,1.0
124467,35.0,3.257295175730708,1.0,1.0,1.0,1.0
124468,35.7,3.9244878628629,-1.0,-1.0,-1.0,-1.0
124469,34.24,2.431680549995086,-1.0,1.0,-1.0,1.0
124470,33.88,2.0388732371272766,-1.0,1.0,-1.0,1.0
124471,33.76,1.8860659242594584,1.0,1.0,1.0,1.0
124472,33.82,1.9132586113916508,1.0,-1.0,1.0,-1.0
124473,34.78,2.8404512985238384,1.0,-1.0,-1.0,-1.0
124474,35.07,3.097643985656028,-1.0,-1.0,-1.0,-1.0
124475,35.04,3.034836672788217,1.0,-1.0,1.0,-1.0
124476,35.7,3.6620293599204095,1.0,-1.0,1.0,-1.0
124477,35.73,3.6592220470525874,1.0,-1.0,1.0,-1.0
124478,36.18,4.076414734184779,-1.0,-1.0,1.0,-1.0
124479,35.77,3.633607421316974,-1.0,-1.0,1.0,-1.0
124480,35.56,3.390800108449163,-1.0,-1.0,-1.0,-1.0
124481,34.88,2.6779927955813534,-1.0,-1.0,-1.0,-1.0
124482,34.61,2.375185482713533,-1.0,-1.0,-1.0,-1.0
124483,34.14,1.8723781698457245,1.0,-1.0,-1.0,-1.0
124484,34.24,1.939570856977916,1.0,-1.0,1.0,-1.0
124485,34.54,2.2067635441101032,-1.0,-1.0,-1.0,-1.0
124486,33.87,1.5039562312422916,-1.0,-1.0,-1.0,-1.0
124487,33.61,1.2111489183744766,-1.0,-1.0,1.0,-1.0
124488,33.59,1.1583416055066706,1.0,-1.0,1.0,-1.0
124489,34.01,1.5455342926388551,1.0,-1.0,1.0,-1.0
124490,34.2,1.7027269797710505,1.0,-1.0,1.0,-1.0
124491,34.8,2.2699196669032347,-1.0,-1.0,-1.0,-1.0
124492,34.49,1.9271123540354225,1.0,-1.0,1.0,-1.0
124493,34.61,2.01430504116761,-1.0,-1.0,-1.0,-1.0
124494,34.43,1.8014977282998004,1.0,-1.0,1.0,-1.0
124495,35.35,2.6886904154319917,1.0,-1.0,1.0,-1.0
124496,35.69,2.9958831025641786,1.0,-1.0,1.0,-1.0
124497,35.88,3.1530757896963664,-1.0,-1.0,-1.0,-1.0
124498,35.15,2.3902684768285525,1.0,-1.0,1.0,-1.0
124499,35.21,2.417461163960745,1.0,-1.0,1.0,1.0
124500,35.27,2.444653851092937,-1.0,-1.0,1.0,-1.0
124501,34.75,1.891846538225124,-1.0,-1.0,-1.0,-1.0
124502,33.26,0.3690392253573052,1.0,-1.0,1.0,-1.0
124503,33.44,0.516231912489495,1.0,-1.0,1.0,-1.0
124504,33.79,0.8334245996216865,-1.0,-1.0,-1.0,1.0
124505,33.31,0.3206172867538797,-1.0,-1.0,-1.0,-1.0
124506,32.57,-0.4521900261139393,-1.0,-1.0,-1.0,-1.0
124507,32.31,-0.7449973389817472,-1.0,-1.0,-1.0,-1.0
124508,32.27,-0.8178046518495563,1.0,-1.0,1.0,-1.0
124509,32.91,-0.2106119647173728,-1.0,-1.0,-1.0,1.0
124510,32.87,-0.2834192775851889,1.0,1.0,1.0,1.0
124511,33.48,0.2937734095470006,-1.0,-1.0,-1.0,1.0
124512,32.93,-0.2890339033208065,1.0,-1.0,1.0,-1.0
124513,33.1,-0.15184121618861468,-1.0,1.0,-1.0,1.0
124514,33.03,-0.2546485290564249,-1.0,1.0,-1.0,1.0
124515,32.54,-0.7774558419242368,-1.0,1.0,-1.0,1.0
124516,31.38,-1.970263154792054,1.0,1.0,1.0,1.0
124517,31.62,-1.763070467659862,-1.0,1.0,-1.0,1.0
124518,31.36,-2.0558777805276733,-1.0,1.0,-1.0,1.0
124519,30.94,-2.5086850933954814,1.0,1.0,1.0,1.0
124520,31.34,-2.1414924062633003,1.0,1.0,-1.0,1.0
124521,31.47,-2.0442997191311107,-1.0,1.0,-1.0,1.0
124522,31.13,-2.4171070319989205,1.0,1.0,1.0,1.0
124523,31.14,-2.439914344866729,-1.0,1.0,-1.0,1.0
124524,31.09,-2.5227216577345395,-1.0,1.0,-1.0,1.0
124525,30.07,-3.575528970602356,1.0,1.0,1.0,1.0
124526,31.08,-2.598336283470168,-1.0,1.0,1.0,1.0
124527,30.63,-3.081143596337977,1.0,1.0,1.0,1.0
124528,30.82,-2.923950909205786,-1.0,1.0,-1.0,1.0
124529,30.21,-3.5667582220735947,-1.0,1.0,-1.0,1.0
124530,29.96,-3.849565534941412,1.0,1.0,1.0,1.0
124531,30.56,-3.282372847809224,1.0,1.0,1.0,1.0
124532,30.94,-2.935180160677032,1.0,1.0,-1.0,1.0
124533,31.29,-2.617987473544844,-1.0,1.0,-1.0,1.0
124534,31.25,-2.6907947864126527,1.0,1.0,-1.0,1.0
124535,31.58,-2.3936020992804714,1.0,1.0,1.0,1.0
124536,31.8,-2.2064094121482793,-1.0,1.0,-1.0,1.0
124537,31.6,-2.439216725016088,0.0,1.0,0.0,1.0
124538,31.6,-2.472024037883898,1.0,1.0,1.0,1.0
124539,31.79,-2.3148313507517098,1.0,1.0,1.0,1.0
124540,32.98,-1.1576386636195295,-1.0,1.0,-1.0,1.0
124541,32.56,-1.610445976487334,1.0,1.0,1.0,1.0
124542,32.64,-1.5632532893551456,1.0,1.0,1.0,1.0
124543,33.11,-1.126060602222957,0.0,1.0,0.0,1.0
124544,33.11,-1.1588679150907666,-1.0,1.0,-1.0,1.0
124545,32.8,-1.501675227958586,-1.0,1.0,-1.0,1.0
124546,32.53,-1.804482540826392,1.0,1.0,-1.0,1.0
124547,33.45,-0.9172898536941999,-1.0,1.0,-1.0,1.0
124548,32.85,-1.5500971665620114,1.0,1.0,1.0,1.0
124549,33.2,-1.2329044794298198,-1.0,1.0,-1.0,1.0
124550,33.15,-1.3157117922976411,-1.0,1.0,-1.0,1.0
124551,33.04,-1.4585191051654505,-1.0,1.0,1.0,1.0
124552,32.85,-1.681326418033258,-1.0,1.0,-1.0,1.0
124553,32.18,-2.3841337309010697,1.0,1.0,1.0,1.0
124554,32.95,-1.6469410437688763,-1.0,1.0,-1.0,1.0
124555,32.46,-2.1697483566366955,1.0,1.0,1.0,1.0
124556,32.77,-1.8925556695045032,-1.0,1.0,-1.0,1.0
124557,32.61,-2.0853629823723168,1.0,1.0,-1.0,1.0
124558,32.66,-2.068170295240129,1.0,1.0,1.0,1.0
124559,32.84,-1.9209776081079328,1.0,1.0,-1.0,1.0
124560,33.18,-1.613784920975753,1.0,1.0,1.0,1.0
124561,33.31,-1.516592233843561,-1.0,1.0,-1.0,1.0
124562,33.22,-1.639399546711374,1.0,1.0,-1.0,1.0
124563,33.29,-1.6022068595791836,-1.0,1.0,-1.0,1.0
124564,32.17,-2.7550141724469905,0.0,1.0,0.0,1.0
124565,32.17,-2.787821485314808,-1.0,1.0,-1.0,1.0
124566,32.0,-2.99062879818262,-1.0,1.0,-1.0,1.0
124567,31.99,-3.033436111050431,1.0,1.0,1.0,1.0
124568,32.41,-2.646243423918243,1.0,1.0,1.0,1.0
124569,32.98,-2.10905073678606,1.0,1.0,1.0,1.0
124570,33.41,-1.7118580496538698,1.0,1.0,1.0,1.0
124571,34.33,-0.8246653625216779,1.0,1.0,1.0,1.0
124572,34.69,-0.4974726753894885,1.0,1.0,1.0,1.0
124573,34.88,-0.34027998825729355,1.0,1.0,1.0,1.0
124574,35.37,0.11691269887488433,-1.0,1.0,-1.0,1.0
124575,35.34,0.05410538600708037,1.0,1.0,1.0,1.0
124576,35.69,0.3712980731392648,-1.0,1.0,-1.0,1.0
124577,35.21,-0.14150923972854199,1.0,1.0,1.0,1.0
124578,35.22,-0.16431655259636102,1.0,1.0,1.0,1.0
124579,35.62,0.20287613453582765,-1.0,1.0,-1.0,1.0
124580,35.27,-0.17993117833197658,1.0,1.0,1.0,1.0
124581,35.4,-0.08273849119979104,-1.0,1.0,-1.0,1.0
124582,35.02,-0.4955458040675964,-1.0,1.0,-1.0,1.0
124583,34.89,-0.658353116935416,-1.0,1.0,-1.0,1.0
124584,34.41,-1.17116042980323,1.0,1.0,1.0,1.0
124585,34.47,-1.1439677426710375,1.0,1.0,-1.0,1.0
124586,36.56,0.9132249444611559,-1.0,1.0,1.0,1.0
124587,36.2,0.5204176315933466,-1.0,1.0,1.0,1.0
124588,36.18,0.4676103187255265,-1.0,1.0,-1.0,1.0
124589,35.93,0.18480300585771656,1.0,1.0,1.0,1.0
124590,36.16,0.3819956929899036,-1.0,1.0,-1.0,1.0
124591,35.88,0.0691883801220996,-1.0,1.0,-1.0,1.0
124592,35.65,-0.1936189327457143,-1.0,1.0,-1.0,1.0
124593,35.58,-0.2964262456135316,1.0,1.0,1.0,1.0
124594,36.62,0.7107664415186576,1.0,1.0,1.0,1.0
124595,37.36,1.4179591286508495,-1.0,1.0,-1.0,1.0
124596,37.24,1.2651518157830424,-1.0,1.0,-1.0,1.0
124597,37.17,1.1623445029152322,1.0,1.0,1.0,1.0
124598,37.41,1.3695371900474098,-1.0,1.0,1.0,1.0
124599,36.76,0.6867298771796015,-1.0,1.0,1.0,1.0
124600,36.59,0.483922564311797,1.0,1.0,1.0,1.0
124601,37.15,1.0111152514439825,-1.0,1.0,-1.0,1.0
124602,37.0,0.8283079385761738,1.0,1.0,1.0,1.0
124603,37.26,1.0555006257083548,-1.0,1.0,-1.0,1.0
124604,37.08,0.8426933128405452,1.0,1.0,1.0,1.0
124605,37.98,1.7098859999727338,1.0,1.0,1.0,1.0
124606,38.71,2.4070786871049283,-1.0,1.0,-1.0,1.0
124607,38.53,2.1942713742371183,1.0,1.0,-1.0,1.0
124608,38.7,2.331464061369303,1.0,1.0,1.0,1.0
124609,39.11,2.7086567485014896,-1.0,1.0,-1.0,1.0
124610,38.94,2.505849435633678,-1.0,1.0,-1.0,1.0
124611,38.82,2.3530421227658707,-1.0,1.0,1.0,1.0
124612,38.75,2.2502348098980605,-1.0,1.0,-1.0,1.0
124613,38.56,2.0274274970302457,-1.0,1.0,-1.0,1.0
124614,38.51,1.9446201841624315,-1.0,1.0,-1.0,1.0
124615,38.31,1.711812871294626,1.0,1.0,1.0,1.0
124616,38.87,2.239005558426811,-1.0,1.0,-1.0,1.0
124617,38.58,1.9161982455590019,1.0,1.0,1.0,1.0
124618,38.88,2.1833909326911893,1.0,1.0,1.0,1.0
124619,39.35,2.6205836198233783,-1.0,1.0,-1.0,1.0
124620,38.8,2.037776306955564,1.0,1.0,-1.0,1.0
124621,39.24,2.4449689940877595,1.0,1.0,-1.0,1.0
124622,39.9,3.0721616812199457,1.0,1.0,1.0,1.0
124623,40.25,3.38935436835213,1.0,1.0,1.0,1.0
124624,40.63,3.7365470554843223,-1.0,1.0,1.0,1.0
124625,40.59,3.6637397426165137,1.0,1.0,1.0,1.0
124626,41.35,4.390932429748702,-1.0,-1.0,-1.0,1.0
124627,40.83,3.8381251168808816,-1.0,1.0,-1.0,1.0
124628,40.45,3.4253178040130763,1.0,1.0,1.0,1.0
124629,41.3,4.242510491145262,1.0,1.0,1.0,1.0
124630,41.47,4.3797031782774525,-1.0,1.0,1.0,1.0
124631,41.31,4.186895865409639,1.0,1.0,1.0,1.0
124632,41.82,4.664088552541834,1.0,-1.0,1.0,-1.0
