,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
126245,55.14,-30.385962974434506,1.0,1.0,1.0,1.0
126246,55.85,-29.677578384588838,-1.0,1.0,1.0,1.0
126247,53.44,-32.08919379474318,-1.0,1.0,-1.0,1.0
126248,51.86,-33.670809204897516,1.0,1.0,1.0,1.0
126249,52.24,-33.29242461505184,1.0,1.0,1.0,1.0
126250,52.94,-32.59404002520617,1.0,1.0,1.0,1.0
126251,53.55,-31.985655435360517,-1.0,1.0,-1.0,1.0
126252,53.39,-32.14727084551484,-1.0,1.0,-1.0,1.0
126253,51.4,-34.13888625566918,1.0,1.0,1.0,1.0
126254,51.75,-33.79050166582351,-1.0,1.0,1.0,1.0
126255,50.78,-34.76211707597784,1.0,1.0,1.0,1.0
126256,53.53,-32.01373248613217,-1.0,1.0,-1.0,1.0
126257,53.15,-32.3953478962865,1.0,1.0,1.0,1.0
126258,56.15,-29.39696330644085,1.0,1.0,1.0,1.0
126259,56.2,-29.348578716595174,1.0,1.0,1.0,1.0
126260,57.12,-28.430194126749505,1.0,1.0,1.0,1.0
126261,57.5,-28.05180953690383,1.0,1.0,1.0,1.0
126262,57.81,-27.743424947058173,1.0,1.0,1.0,1.0
126263,58.25,-27.305040357212505,-1.0,1.0,-1.0,1.0
126264,58.03,-27.526655767366833,-1.0,1.0,-1.0,1.0
126265,56.66,-28.89827117752118,1.0,1.0,1.0,1.0
126266,56.96,-28.599886587675506,-1.0,1.0,-1.0,1.0
126267,56.79,-28.771501997829837,1.0,1.0,1.0,1.0
126268,57.05,-28.513117407984172,1.0,1.0,1.0,1.0
126269,57.85,-27.714732818138515,1.0,1.0,1.0,1.0
126270,58.15,-27.416348228292843,1.0,1.0,1.0,1.0
126271,58.57,-26.99796363844717,-1.0,1.0,-1.0,1.0
126272,58.45,-27.11957904860149,1.0,1.0,-1.0,1.0
126273,59.23,-26.341194458755847,-1.0,1.0,-1.0,1.0
126274,58.91,-26.66280986891017,1.0,1.0,1.0,1.0
126275,59.18,-26.3944252790645,-1.0,1.0,1.0,1.0
126276,58.78,-26.79604068921884,1.0,1.0,1.0,1.0
126277,58.9,-26.677656099373174,1.0,1.0,1.0,1.0
126278,60.36,-25.219271509527502,-1.0,1.0,-1.0,1.0
126279,59.47,-26.110886919681832,-1.0,1.0,-1.0,1.0
126280,59.45,-26.13250232983617,1.0,1.0,1.0,1.0
126281,60.22,-25.364117739990505,-1.0,1.0,-1.0,1.0
126282,59.77,-25.81573315014483,-1.0,1.0,-1.0,1.0
126283,59.37,-26.21734856029916,1.0,1.0,1.0,1.0
126284,59.95,-25.638963970453506,1.0,1.0,1.0,1.0
126285,62.41,-23.18057938060784,-1.0,1.0,-1.0,1.0
126286,62.06,-23.532194790762162,1.0,1.0,1.0,1.0
126287,62.14,-23.45381020091651,1.0,-1.0,1.0,-1.0
126288,62.44,-23.15542561107084,1.0,1.0,1.0,1.0
126289,63.48,-22.11704102122517,-1.0,1.0,-1.0,1.0
126290,63.16,-22.4386564313795,-1.0,1.0,-1.0,1.0
126291,62.85,-22.75027184153384,1.0,1.0,1.0,1.0
126292,63.99,-21.611887251688167,1.0,1.0,1.0,1.0
126293,64.99,-20.613502661842503,1.0,-1.0,1.0,-1.0
126294,65.29,-20.31511807199682,-1.0,-1.0,-1.0,-1.0
126295,64.47,-21.13673348215117,1.0,-1.0,1.0,-1.0
126296,64.48,-21.128348892305496,1.0,-1.0,-1.0,-1.0
126297,65.27,-20.339964302459837,1.0,-1.0,1.0,-1.0
126298,66.73,-18.881579712614172,-1.0,-1.0,-1.0,-1.0
126299,66.19,-19.423195122768504,1.0,-1.0,-1.0,-1.0
126300,67.28,-18.334810532922827,1.0,-1.0,1.0,-1.0
126301,68.22,-17.396425943077162,-1.0,-1.0,-1.0,-1.0
126302,66.88,-18.738041353231512,1.0,-1.0,1.0,-1.0
126303,66.99,-18.62965676338584,1.0,-1.0,1.0,-1.0
126304,67.5,-18.121272173540163,1.0,-1.0,1.0,-1.0
126305,67.75,-17.872887583694503,-1.0,-1.0,-1.0,-1.0
126306,67.51,-18.11450299384883,1.0,-1.0,1.0,-1.0
126307,68.78,-16.846118404003164,1.0,-1.0,1.0,-1.0
126308,71.65,-13.977733814157489,-1.0,-1.0,-1.0,-1.0
126309,68.53,-17.099349224311837,1.0,-1.0,1.0,-1.0
126310,68.97,-16.66096463446617,1.0,-1.0,-1.0,-1.0
126311,70.75,-14.882580044620495,-1.0,-1.0,-1.0,-1.0
126312,68.09,-17.544195454774822,1.0,-1.0,-1.0,1.0
126313,69.94,-15.695810864929173,-1.0,-1.0,1.0,-1.0
126314,66.7,-18.937426275083496,-1.0,-1.0,-1.0,-1.0
126315,65.96,-19.679041685237838,-1.0,-1.0,1.0,-1.0
126316,63.5,-22.14065709539217,-1.0,1.0,-1.0,1.0
126317,62.1,-23.5422725055465,1.0,1.0,1.0,1.0
126318,66.69,-18.953887915700832,-1.0,-1.0,1.0,-1.0
126319,66.07,-19.575503325855166,1.0,-1.0,-1.0,-1.0
126320,68.15,-17.497118736009494,-1.0,-1.0,-1.0,-1.0
126321,66.91,-18.73873414616384,-1.0,-1.0,-1.0,-1.0
126322,64.88,-20.77034955631817,-1.0,-1.0,-1.0,-1.0
126323,63.78,-21.871964966472486,-1.0,-1.0,-1.0,-1.0
126324,63.19,-22.46358037662684,-1.0,-1.0,-1.0,-1.0
126325,61.44,-24.215195786781173,-1.0,-1.0,-1.0,-1.0
126326,58.67,-26.986811196935488,1.0,1.0,1.0,1.0
126327,60.09,-25.568426607089833,-1.0,-1.0,-1.0,1.0
126328,59.22,-26.44004201724417,-1.0,1.0,-1.0,1.0
126329,59.21,-26.451657427398487,1.0,1.0,1.0,1.0
126330,59.73,-25.933272837552828,1.0,1.0,1.0,1.0
126331,62.06,-23.604888247707173,-1.0,1.0,-1.0,1.0
126332,60.76,-24.9065036578615,-1.0,1.0,-1.0,1.0
126333,59.27,-26.398119068015824,1.0,1.0,1.0,1.0
126334,60.86,-24.80973447817016,1.0,1.0,1.0,1.0
126335,61.11,-24.5613498883245,-1.0,1.0,-1.0,1.0
126336,57.76,-27.912965298478827,-1.0,1.0,-1.0,1.0
126337,55.83,-29.84458070863316,1.0,1.0,1.0,1.0
126338,56.61,-29.066196118787502,1.0,1.0,1.0,1.0
126339,56.81,-28.867811528941825,1.0,1.0,-1.0,1.0
126340,59.95,-25.72942693909616,1.0,1.0,1.0,1.0
126341,60.23,-25.45104234925049,1.0,1.0,1.0,1.0
126342,61.0,-24.682657759404837,1.0,1.0,1.0,1.0
126343,63.46,-22.224273169559158,1.0,1.0,1.0,1.0
126344,64.39,-21.295888579713488,1.0,1.0,1.0,1.0
126345,64.95,-20.737503989867815,1.0,1.0,1.0,1.0
126346,65.85,-19.839119400022174,1.0,1.0,1.0,1.0
126347,66.07,-19.620734810176497,-1.0,1.0,-1.0,1.0
126348,64.11,-21.582350220330824,1.0,1.0,1.0,1.0
126349,64.33,-21.363965630485172,-1.0,1.0,-1.0,1.0
126350,63.37,-22.325581040639502,1.0,1.0,1.0,1.0
126351,64.71,-20.987196450793828,-1.0,1.0,-1.0,1.0
126352,64.4,-21.29881186094815,-1.0,1.0,-1.0,1.0
126353,60.85,-24.850427271102497,-1.0,1.0,-1.0,1.0
126354,60.07,-25.632042681256827,-1.0,1.0,-1.0,1.0
126355,59.97,-25.73365809141116,-1.0,1.0,-1.0,1.0
126356,59.18,-26.52527350156549,1.0,1.0,1.0,1.0
126357,59.81,-25.896888911719827,1.0,1.0,1.0,1.0
126358,62.18,-23.52850432187416,1.0,1.0,1.0,1.0
126359,63.17,-22.54011973202849,1.0,1.0,1.0,1.0
126360,64.72,-20.991735142182836,-1.0,1.0,-1.0,1.0
126361,64.28,-21.43335055233716,1.0,1.0,1.0,1.0
126362,66.79,-18.924965962491484,-1.0,-1.0,-1.0,-1.0
126363,66.7,-19.016581372645817,-1.0,-1.0,-1.0,-1.0
126364,66.51,-19.208196782800158,-1.0,-1.0,-1.0,-1.0
126365,63.94,-21.77981219295449,1.0,1.0,1.0,1.0
126366,64.8,-20.921427603108825,1.0,-1.0,1.0,1.0
126367,66.43,-19.293043013263144,1.0,-1.0,1.0,-1.0
126368,66.87,-18.854658423417487,1.0,1.0,1.0,1.0
126369,68.0,-17.726273833571824,1.0,1.0,-1.0,1.0
126370,69.31,-16.41788924372615,1.0,1.0,1.0,-1.0
126371,69.99,-15.7395046538805,-1.0,-1.0,-1.0,-1.0
126372,69.18,-16.55112006403482,1.0,1.0,1.0,1.0
126373,69.72,-16.012735474189157,-1.0,1.0,-1.0,1.0
126374,69.4,-16.334350884343483,1.0,1.0,1.0,1.0
126375,69.75,-15.985966294497828,1.0,1.0,1.0,1.0
126376,71.05,-14.687581704652159,-1.0,1.0,-1.0,1.0
126377,70.37,-15.369197114806482,1.0,1.0,1.0,1.0
126378,71.12,-14.620812524960813,1.0,1.0,1.0,1.0
126379,71.96,-13.782427935115164,-1.0,1.0,-1.0,1.0
126380,71.56,-14.184043345269489,1.0,1.0,1.0,1.0
126381,72.07,-13.675658755423825,-1.0,1.0,1.0,1.0
126382,71.42,-14.32727416557816,-1.0,1.0,-1.0,1.0
126383,68.71,-17.038889575732494,-1.0,1.0,-1.0,1.0
126384,67.5,-18.25050498588682,1.0,1.0,1.0,1.0
126385,68.01,-17.742120396041145,1.0,1.0,-1.0,1.0
126386,68.49,-17.2637358061955,1.0,1.0,-1.0,1.0
126387,69.74,-16.015351216349828,1.0,1.0,1.0,-1.0
126388,69.75,-16.006966626504152,-1.0,1.0,-1.0,1.0
126389,69.29,-16.468582036658475,-1.0,1.0,-1.0,1.0
126390,68.86,-16.900197446812825,-1.0,1.0,-1.0,1.0
126391,66.84,-18.921812856967147,-1.0,1.0,-1.0,1.0
126392,65.04,-20.72342826712148,-1.0,1.0,-1.0,1.0
126393,64.7,-21.065043677275824,-1.0,1.0,1.0,1.0
126394,63.95,-21.816659087430157,1.0,1.0,1.0,1.0
126395,65.9,-19.86827449758448,-1.0,1.0,-1.0,1.0
126396,64.47,-21.299889907738816,1.0,1.0,1.0,1.0
126397,65.16,-20.611505317893158,1.0,1.0,-1.0,1.0
126398,68.16,-17.613120728047488,1.0,1.0,-1.0,1.0
126399,68.54,-17.23473613820181,1.0,1.0,1.0,1.0
126400,70.08,-15.69635154835615,-1.0,1.0,-1.0,1.0
126401,69.7,-16.07796695851049,1.0,1.0,1.0,1.0
126402,70.74,-15.039582368664824,-1.0,1.0,-1.0,1.0
126403,70.64,-15.141197778819148,1.0,1.0,1.0,1.0
126404,71.26,-14.522813188973489,1.0,1.0,1.0,1.0
126405,72.24,-13.544428599127825,-1.0,1.0,1.0,1.0
126406,71.83,-13.956044009282152,1.0,1.0,1.0,1.0
126407,72.13,-13.657659419436483,-1.0,1.0,-1.0,1.0
126408,72.0,-13.789274829590823,1.0,1.0,1.0,1.0
126409,73.18,-12.610890239745144,1.0,1.0,1.0,1.0
126410,74.75,-11.042505649899482,1.0,1.0,-1.0,1.0
126411,76.39,-9.40412106005381,-1.0,1.0,-1.0,1.0
126412,76.18,-9.61573647020815,1.0,1.0,1.0,1.0
126413,76.26,-9.53735188036248,1.0,1.0,1.0,1.0
126414,79.73,-6.0689672905168095,-1.0,1.0,-1.0,1.0
126415,79.54,-6.260582700671152,1.0,1.0,1.0,1.0
126416,79.67,-6.132198110825485,1.0,1.0,1.0,1.0
126417,79.99,-5.813813520979822,-1.0,1.0,-1.0,1.0
126418,78.68,-7.125428931134138,-1.0,1.0,-1.0,1.0
126419,78.22,-7.5870443412884905,-1.0,1.0,-1.0,1.0
126420,77.27,-8.538659751442822,1.0,1.0,-1.0,1.0
126421,79.4,-6.410275161597141,-1.0,1.0,-1.0,1.0
126422,79.08,-6.731890571751478,-1.0,1.0,-1.0,1.0
126423,78.74,-7.073505981905825,1.0,1.0,1.0,1.0
126424,80.37,-5.445121392060144,-1.0,1.0,-1.0,1.0
126425,79.98,-5.8367368022144746,-1.0,1.0,-1.0,1.0
126426,79.34,-6.478352212368819,1.0,1.0,1.0,1.0
126427,80.29,-5.529967622523144,-1.0,1.0,-1.0,1.0
126428,79.91,-5.911583032677483,-1.0,1.0,-1.0,1.0
126429,79.75,-6.073198442831809,1.0,1.0,1.0,1.0
126430,80.24,-5.5848138529861595,-1.0,1.0,-1.0,1.0
126431,78.55,-7.2764292631404865,1.0,1.0,1.0,1.0
126432,80.32,-5.508044673294818,-1.0,1.0,-1.0,1.0
126433,78.89,-6.939660083449142,-1.0,1.0,-1.0,1.0
126434,78.33,-7.501275493603487,1.0,1.0,1.0,1.0
126435,79.05,-6.782890903757818,-1.0,1.0,-1.0,1.0
126436,78.65,-7.184506313912138,-1.0,1.0,-1.0,1.0
126437,78.22,-7.616121724066487,-1.0,1.0,-1.0,1.0
126438,77.74,-8.097737134220822,1.0,1.0,1.0,1.0
126439,78.6,-7.239352544375151,1.0,1.0,-1.0,1.0
126440,79.27,-6.570967954529478,1.0,1.0,1.0,1.0
126441,79.75,-6.092583364683819,1.0,1.0,1.0,1.0
126442,79.88,-5.9641987748381515,1.0,1.0,1.0,1.0
126443,83.18,-2.6658141849924704,1.0,1.0,-1.0,1.0
126444,83.54,-2.3074295951468,-1.0,1.0,-1.0,1.0
126445,83.12,-2.729045005301145,-1.0,1.0,1.0,1.0
126446,81.91,-3.9406604154554823,1.0,1.0,1.0,1.0
126447,82.46,-3.3922758256098153,-1.0,1.0,-1.0,1.0
126448,82.44,-3.4138912357641544,-1.0,1.0,-1.0,1.0
126449,81.04,-4.815506645918475,1.0,1.0,1.0,1.0
126450,81.82,-4.0371220560728185,-1.0,1.0,-1.0,1.0
126451,80.37,-5.488737466227136,1.0,1.0,1.0,1.0
126452,81.17,-4.690352876381481,1.0,1.0,1.0,1.0
