,Close,Target(1),Target(30),Prediction(1),Prediction(30)
128112,48.44,1.0,1.0,1.0,1.0
128113,48.55,1.0,1.0,1.0,1.0
128114,48.96,-1.0,1.0,-1.0,1.0
128115,48.83,1.0,1.0,1.0,1.0
128116,49.27,-1.0,1.0,-1.0,1.0
128117,49.02,1.0,1.0,1.0,1.0
128118,49.56,1.0,1.0,1.0,1.0
128119,49.66,-1.0,1.0,-1.0,1.0
128120,48.13,1.0,1.0,1.0,1.0
128121,48.33,-1.0,1.0,1.0,1.0
128122,48.31,1.0,1.0,1.0,1.0
128123,48.7,1.0,1.0,1.0,1.0
128124,48.79,-1.0,1.0,-1.0,1.0
128125,48.78,1.0,1.0,1.0,1.0
128126,48.81,1.0,1.0,1.0,1.0
128127,49.49,1.0,1.0,1.0,1.0
128128,49.75,1.0,1.0,-1.0,1.0
128129,50.32,1.0,1.0,1.0,1.0
128130,50.39,1.0,1.0,1.0,1.0
128131,50.7,-1.0,1.0,-1.0,1.0
128132,50.29,1.0,1.0,1.0,1.0
128133,50.33,1.0,1.0,1.0,1.0
128134,50.37,-1.0,1.0,-1.0,1.0
128135,49.99,1.0,1.0,1.0,1.0
128136,50.43,-1.0,1.0,-1.0,1.0
128137,50.35,1.0,1.0,1.0,1.0
128138,50.55,1.0,1.0,1.0,1.0
128139,50.85,1.0,1.0,1.0,1.0
128140,51.49,1.0,1.0,1.0,1.0
128141,51.82,-1.0,1.0,-1.0,1.0
128142,50.43,-1.0,1.0,-1.0,1.0
128143,49.94,1.0,1.0,1.0,1.0
128144,50.24,-1.0,1.0,-1.0,1.0
128145,50.2,1.0,1.0,1.0,1.0
128146,50.81,1.0,1.0,1.0,1.0
128147,51.26,1.0,1.0,1.0,1.0
128148,51.5,1.0,1.0,1.0,1.0
128149,51.52,1.0,1.0,1.0,1.0
128150,52.7,-1.0,1.0,-1.0,1.0
128151,52.43,1.0,-1.0,1.0,1.0
128152,52.79,1.0,-1.0,1.0,-1.0
128153,52.88,-1.0,-1.0,-1.0,-1.0
128154,52.67,1.0,-1.0,1.0,-1.0
128155,52.76,-1.0,-1.0,-1.0,-1.0
128156,52.69,-1.0,-1.0,1.0,-1.0
128157,52.61,-1.0,1.0,-1.0,1.0
128158,52.3,1.0,1.0,1.0,1.0
128159,52.82,-1.0,1.0,-1.0,1.0
128160,52.56,1.0,1.0,1.0,1.0
128161,52.73,1.0,1.0,1.0,1.0
128162,53.56,-1.0,-1.0,-1.0,-1.0
128163,53.3,1.0,-1.0,1.0,1.0
128164,53.44,-1.0,-1.0,-1.0,-1.0
128165,53.05,1.0,-1.0,1.0,-1.0
128166,53.4,1.0,-1.0,1.0,-1.0
128167,53.89,-1.0,-1.0,-1.0,-1.0
128168,53.35,-1.0,-1.0,-1.0,-1.0
128169,52.62,-1.0,-1.0,-1.0,-1.0
128170,52.42,1.0,-1.0,1.0,-1.0
128171,52.71,-1.0,-1.0,1.0,-1.0
128172,52.45,-1.0,-1.0,-1.0,-1.0
128173,52.2,1.0,-1.0,1.0,-1.0
128174,53.13,-1.0,-1.0,1.0,-1.0
128175,52.65,-1.0,-1.0,-1.0,-1.0
128176,52.4,1.0,-1.0,1.0,-1.0
128177,53.65,-1.0,-1.0,-1.0,-1.0
128178,53.14,1.0,-1.0,1.0,-1.0
128179,53.19,-1.0,-1.0,-1.0,-1.0
128180,52.87,-1.0,-1.0,-1.0,-1.0
128181,52.08,1.0,1.0,-1.0,1.0
128182,52.26,-1.0,1.0,-1.0,1.0
128183,50.62,-1.0,1.0,1.0,1.0
128184,50.54,1.0,1.0,1.0,1.0
128185,51.54,1.0,1.0,1.0,1.0
128186,51.63,1.0,1.0,1.0,1.0
128187,53.79,-1.0,-1.0,-1.0,-1.0
128188,53.72,-1.0,-1.0,-1.0,-1.0
128189,53.03,1.0,1.0,1.0,1.0
128190,53.31,-1.0,-1.0,1.0,-1.0
128191,52.75,1.0,-1.0,1.0,-1.0
128192,52.83,-1.0,-1.0,-1.0,-1.0
128193,49.96,-1.0,1.0,-1.0,1.0
128194,49.94,-1.0,1.0,-1.0,1.0
128195,49.15,-1.0,1.0,-1.0,1.0
128196,48.71,-1.0,1.0,-1.0,1.0
128197,48.43,1.0,1.0,1.0,1.0
128198,49.81,-1.0,1.0,-1.0,1.0
128199,49.16,-1.0,1.0,-1.0,1.0
128200,48.56,1.0,1.0,1.0,1.0
128201,49.33,1.0,1.0,1.0,1.0
128202,50.09,-1.0,1.0,1.0,1.0
128203,48.44,1.0,1.0,1.0,1.0
128204,48.49,1.0,1.0,1.0,1.0
128205,49.37,1.0,1.0,1.0,1.0
128206,49.43,1.0,1.0,1.0,1.0
128207,50.63,1.0,1.0,1.0,1.0
128208,51.26,1.0,1.0,1.0,1.0
128209,51.39,1.0,1.0,1.0,1.0
128210,52.32,-1.0,1.0,1.0,1.0
128211,52.11,1.0,1.0,1.0,1.0
128212,52.55,1.0,1.0,1.0,1.0
128213,53.08,1.0,1.0,1.0,1.0
128214,53.36,1.0,-1.0,-1.0,-1.0
128215,53.5,-1.0,1.0,-1.0,1.0
128216,52.88,-1.0,1.0,-1.0,1.0
128217,52.79,1.0,1.0,1.0,1.0
128218,53.2,1.0,1.0,1.0,1.0
128219,53.38,-1.0,1.0,-1.0,1.0
128220,51.77,-1.0,1.0,-1.0,1.0
128221,51.48,-1.0,1.0,-1.0,1.0
128222,51.2,-1.0,1.0,-1.0,1.0
128223,50.83,1.0,1.0,1.0,1.0
128224,50.86,1.0,1.0,1.0,1.0
128225,51.89,1.0,1.0,1.0,1.0
128226,52.22,1.0,1.0,1.0,1.0
128227,54.69,1.0,-1.0,-1.0,-1.0
128228,55.02,1.0,-1.0,1.0,-1.0
128229,55.88,-1.0,-1.0,-1.0,-1.0
128230,55.2,-1.0,-1.0,-1.0,-1.0
128231,55.0,-1.0,-1.0,-1.0,-1.0
128232,53.7,-1.0,1.0,-1.0,1.0
128233,53.32,1.0,1.0,1.0,1.0
128234,53.5,-1.0,-1.0,-1.0,-1.0
128235,52.47,1.0,1.0,-1.0,1.0
128236,52.91,-1.0,1.0,-1.0,1.0
128237,52.75,1.0,1.0,1.0,1.0
128238,52.82,1.0,1.0,1.0,1.0
128239,53.47,-1.0,1.0,-1.0,1.0
128240,52.97,0.0,1.0,0.0,1.0
128241,52.97,1.0,1.0,1.0,1.0
128242,53.08,1.0,1.0,1.0,1.0
128243,53.26,1.0,1.0,1.0,1.0
128244,53.32,1.0,1.0,1.0,1.0
128245,54.25,-1.0,1.0,1.0,1.0
128246,53.74,-1.0,1.0,1.0,1.0
128247,53.56,1.0,1.0,1.0,1.0
128248,54.2,-1.0,1.0,-1.0,1.0
128249,54.16,-1.0,1.0,-1.0,1.0
128250,52.43,1.0,1.0,1.0,1.0
128251,52.97,1.0,1.0,1.0,-1.0
128252,53.42,1.0,1.0,1.0,1.0
128253,53.52,1.0,1.0,1.0,1.0
128254,54.55,-1.0,1.0,-1.0,1.0
128255,54.4,-1.0,1.0,1.0,1.0
128256,53.32,1.0,1.0,1.0,1.0
128257,53.51,-1.0,1.0,-1.0,1.0
128258,53.48,-1.0,1.0,-1.0,1.0
128259,52.88,1.0,1.0,1.0,1.0
128260,53.39,1.0,1.0,1.0,1.0
128261,53.44,1.0,1.0,1.0,1.0
128262,54.34,-1.0,1.0,-1.0,1.0
128263,53.43,1.0,1.0,1.0,1.0
128264,53.47,1.0,1.0,1.0,1.0
128265,54.62,-1.0,1.0,-1.0,1.0
128266,54.53,1.0,1.0,1.0,1.0
128267,55.24,-1.0,1.0,-1.0,1.0
128268,54.2,1.0,1.0,1.0,1.0
128269,55.03,1.0,1.0,1.0,1.0
128270,55.63,-1.0,1.0,-1.0,1.0
128271,55.55,1.0,1.0,1.0,1.0
128272,56.68,1.0,1.0,1.0,1.0
128273,57.36,1.0,1.0,1.0,1.0
128274,57.71,1.0,1.0,1.0,1.0
128275,57.79,1.0,1.0,1.0,1.0
128276,57.9,1.0,1.0,1.0,1.0
128277,58.8,-1.0,1.0,-1.0,1.0
128278,58.71,-1.0,1.0,-1.0,1.0
128279,57.63,-1.0,1.0,-1.0,1.0
128280,56.85,1.0,1.0,1.0,1.0
128281,58.05,-1.0,1.0,-1.0,1.0
128282,57.57,1.0,1.0,-1.0,1.0
128283,58.42,-1.0,1.0,-1.0,1.0
128284,57.74,1.0,1.0,-1.0,1.0
128285,58.25,-1.0,1.0,-1.0,1.0
128286,58.19,-1.0,1.0,-1.0,1.0
128287,58.1,1.0,1.0,1.0,1.0
128288,59.5,-1.0,-1.0,-1.0,-1.0
128289,59.1,-1.0,-1.0,-1.0,-1.0
128290,59.01,-1.0,1.0,-1.0,1.0
128291,58.91,1.0,1.0,1.0,1.0
128292,59.18,1.0,1.0,1.0,1.0
128293,59.69,0.0,-1.0,1.0,-1.0
128294,59.69,1.0,-1.0,1.0,-1.0
128295,59.74,-1.0,-1.0,-1.0,-1.0
128296,59.67,1.0,-1.0,1.0,1.0
128297,60.4,-1.0,-1.0,-1.0,-1.0
128298,59.41,1.0,1.0,1.0,1.0
128299,60.57,-1.0,-1.0,-1.0,-1.0
128300,60.43,-1.0,-1.0,1.0,-1.0
128301,60.38,1.0,-1.0,1.0,-1.0
128302,60.72,1.0,-1.0,1.0,-1.0
128303,61.26,-1.0,-1.0,-1.0,1.0
128304,60.45,-1.0,-1.0,-1.0,-1.0
128305,59.69,-1.0,1.0,-1.0,1.0
128306,59.42,1.0,1.0,1.0,1.0
128307,60.3,1.0,1.0,1.0,1.0
128308,60.57,-1.0,1.0,-1.0,1.0
128309,60.54,1.0,1.0,1.0,1.0
128310,62.26,-1.0,-1.0,-1.0,-1.0
128311,61.88,-1.0,-1.0,-1.0,-1.0
128312,61.11,-1.0,1.0,-1.0,1.0
128313,60.24,1.0,1.0,1.0,1.0
128314,61.08,-1.0,1.0,-1.0,1.0
128315,60.16,-1.0,1.0,-1.0,1.0
128316,59.8,1.0,1.0,1.0,1.0
128317,60.07,-1.0,1.0,-1.0,1.0
128318,58.89,1.0,1.0,1.0,1.0
128319,58.99,1.0,1.0,1.0,1.0
128320,60.27,1.0,1.0,1.0,1.0
128321,60.45,-1.0,1.0,-1.0,1.0
128322,60.14,-1.0,1.0,-1.0,1.0
128323,58.77,1.0,1.0,1.0,1.0
128324,59.68,-1.0,1.0,-1.0,1.0
128325,58.91,1.0,1.0,1.0,1.0
128326,59.27,-1.0,1.0,-1.0,1.0
128327,58.52,1.0,1.0,1.0,1.0
128328,59.48,1.0,1.0,1.0,1.0
128329,59.84,-1.0,1.0,-1.0,1.0
128330,59.43,-1.0,1.0,-1.0,1.0
128331,59.06,1.0,1.0,1.0,1.0
128332,59.24,1.0,1.0,1.0,1.0
128333,59.4,1.0,1.0,1.0,1.0
128334,59.5,1.0,1.0,1.0,1.0
