,Close,Target(1),Target(30),Prediction(1),Prediction(30)
129979,12.68,-1.0,1.0,-1.0,1.0
129980,12.63,1.0,1.0,-1.0,1.0
129981,12.8,-1.0,1.0,-1.0,1.0
129982,12.53,-1.0,1.0,-1.0,1.0
129983,12.3,1.0,1.0,1.0,1.0
129984,12.77,1.0,1.0,1.0,1.0
129985,13.49,1.0,1.0,1.0,1.0
129986,13.69,-1.0,1.0,-1.0,1.0
129987,12.68,-1.0,1.0,-1.0,1.0
129988,12.34,-1.0,1.0,-1.0,1.0
129989,12.16,1.0,1.0,1.0,1.0
129990,12.28,-1.0,1.0,-1.0,1.0
129991,12.25,1.0,1.0,1.0,1.0
129992,12.73,-1.0,1.0,-1.0,1.0
129993,12.64,1.0,1.0,1.0,1.0
129994,13.22,-1.0,1.0,-1.0,1.0
129995,12.94,1.0,1.0,1.0,1.0
129996,13.27,1.0,1.0,1.0,1.0
129997,13.42,-1.0,1.0,1.0,1.0
129998,13.32,-1.0,1.0,1.0,1.0
129999,12.89,1.0,1.0,1.0,1.0
130000,13.11,1.0,1.0,1.0,1.0
130001,13.15,1.0,1.0,1.0,1.0
130002,13.2,1.0,1.0,1.0,1.0
130003,13.6,1.0,1.0,1.0,1.0
130004,13.65,-1.0,1.0,-1.0,1.0
130005,13.57,1.0,1.0,1.0,1.0
130006,13.58,1.0,1.0,1.0,1.0
130007,14.05,1.0,1.0,1.0,1.0
130008,14.12,1.0,1.0,-1.0,1.0
130009,14.15,-1.0,1.0,-1.0,1.0
130010,13.95,-1.0,1.0,-1.0,1.0
130011,13.83,1.0,1.0,1.0,1.0
130012,14.04,-1.0,1.0,-1.0,1.0
130013,13.9,1.0,1.0,1.0,1.0
130014,14.42,1.0,1.0,1.0,1.0
130015,14.93,1.0,1.0,1.0,1.0
130016,14.99,-1.0,1.0,-1.0,1.0
130017,14.73,-1.0,1.0,-1.0,1.0
130018,14.51,-1.0,1.0,1.0,1.0
130019,14.5,-1.0,1.0,-1.0,1.0
130020,14.18,1.0,1.0,1.0,1.0
130021,14.45,1.0,1.0,1.0,1.0
130022,14.95,1.0,1.0,1.0,1.0
130023,15.98,-1.0,1.0,-1.0,1.0
130024,15.71,1.0,1.0,1.0,1.0
130025,15.85,1.0,1.0,1.0,1.0
130026,16.58,-1.0,-1.0,-1.0,-1.0
130027,16.48,1.0,-1.0,1.0,-1.0
130028,16.53,-1.0,-1.0,-1.0,-1.0
130029,16.23,1.0,-1.0,-1.0,-1.0
130030,16.64,1.0,-1.0,1.0,1.0
130031,16.96,-1.0,-1.0,-1.0,-1.0
130032,16.79,1.0,-1.0,1.0,-1.0
130033,16.82,1.0,-1.0,1.0,-1.0
130034,17.35,-1.0,-1.0,-1.0,-1.0
130035,17.2,-1.0,-1.0,-1.0,1.0
130036,16.49,1.0,-1.0,1.0,-1.0
130037,16.54,1.0,-1.0,1.0,-1.0
130038,16.87,1.0,-1.0,1.0,-1.0
130039,17.11,1.0,-1.0,1.0,-1.0
130040,17.34,1.0,-1.0,1.0,-1.0
