,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
134759,80.5,-0.8959144384502054,1.0,1.0,1.0,1.0
134760,81.77,0.3531061769738386,-1.0,1.0,-1.0,1.0
134761,81.62,0.18212679239788088,-1.0,1.0,1.0,1.0
134762,81.52,0.0611474078219203,-1.0,1.0,-1.0,1.0
134763,81.33,-0.14983197675402948,1.0,1.0,1.0,1.0
134764,81.65,0.14918863867002585,-1.0,1.0,-1.0,1.0
134765,81.63,0.10820925409404936,1.0,1.0,1.0,1.0
134766,82.63,1.0872298695180973,-1.0,1.0,-1.0,-1.0
134767,82.01,0.4462504849421549,-1.0,1.0,1.0,1.0
134768,81.36,-0.22472889963381704,1.0,1.0,1.0,1.0
134769,85.25,3.644291715790232,1.0,-1.0,1.0,-1.0
134770,86.83,5.203312331214279,1.0,-1.0,1.0,-1.0
134771,88.05,6.4023329466383245,-1.0,-1.0,-1.0,-1.0
134772,87.8,6.131353562062357,-1.0,-1.0,-1.0,-1.0
134773,87.16,5.4703741774864065,-1.0,-1.0,-1.0,-1.0
134774,86.76,5.049394792910462,-1.0,-1.0,-1.0,-1.0
134775,86.51,4.77841540833451,-1.0,-1.0,-1.0,-1.0
134776,86.36,4.607436023758538,1.0,-1.0,1.0,-1.0
134777,87.24,5.4664566391825815,-1.0,-1.0,-1.0,-1.0
134778,86.27,4.475477254606631,1.0,-1.0,1.0,-1.0
134779,86.73,4.914497870030672,-1.0,1.0,-1.0,1.0
134780,86.66,4.823518485454713,-1.0,-1.0,-1.0,-1.0
134781,86.19,4.332539100878762,1.0,-1.0,1.0,-1.0
134782,87.17,5.291559716302813,1.0,-1.0,-1.0,-1.0
134783,87.18,5.280580331726854,1.0,-1.0,1.0,-1.0
134784,87.59,5.669600947150898,1.0,-1.0,1.0,-1.0
134785,88.0,6.058621562574942,-1.0,-1.0,-1.0,-1.0
134786,87.6,5.637642177998984,1.0,-1.0,1.0,-1.0
134787,88.2,6.216662793423027,-1.0,-1.0,-1.0,-1.0
134788,87.79,5.785683408847077,1.0,-1.0,1.0,-1.0
134789,88.71,6.684704024271113,-1.0,-1.0,-1.0,-1.0
134790,87.9,5.853724639695172,-1.0,-1.0,-1.0,-1.0
134791,86.81,4.742745255119203,-1.0,-1.0,-1.0,-1.0
134792,86.58,4.491765870543247,-1.0,-1.0,-1.0,-1.0
134793,86.09,3.9807864859673,1.0,-1.0,1.0,-1.0
134794,86.31,4.179807101391333,1.0,-1.0,1.0,-1.0
134795,86.39,4.238827716815378,-1.0,-1.0,-1.0,-1.0
134796,86.3,4.127848332239424,-1.0,-1.0,-1.0,-1.0
134797,85.82,3.626868947663468,1.0,1.0,1.0,1.0
134798,86.26,4.045889563087513,-1.0,-1.0,-1.0,-1.0
134799,85.04,2.8049101785115624,1.0,1.0,1.0,1.0
134800,85.5,3.2439307939356037,-1.0,1.0,-1.0,1.0
134801,84.57,2.2929514093596453,1.0,1.0,1.0,1.0
134802,84.92,2.6219720247836875,1.0,1.0,1.0,1.0
134803,85.95,3.6309926402077366,-1.0,1.0,-1.0,1.0
134804,84.91,2.5700132556317783,1.0,1.0,1.0,1.0
134805,85.8,3.4390338710558126,-1.0,-1.0,-1.0,-1.0
134806,85.52,3.1380544864798594,1.0,-1.0,1.0,-1.0
134807,86.44,4.037075101903909,-1.0,-1.0,-1.0,-1.0
134808,85.85,3.4260957173279536,1.0,-1.0,1.0,-1.0
134809,86.8,4.35511633275199,-1.0,-1.0,-1.0,-1.0
134810,86.25,3.7841369481760414,-1.0,-1.0,1.0,-1.0
134811,85.84,3.3531575636000923,-1.0,-1.0,-1.0,-1.0
134812,84.64,2.1321781790241374,-1.0,-1.0,-1.0,-1.0
134813,84.61,2.08119879444817,1.0,-1.0,1.0,-1.0
134814,84.81,2.260219409872221,-1.0,-1.0,-1.0,-1.0
134815,84.39,1.819240025296267,-1.0,-1.0,-1.0,-1.0
134816,82.54,-0.05173935927969353,1.0,-1.0,1.0,-1.0
134817,83.72,1.1072812561443468,1.0,-1.0,1.0,-1.0
134818,84.15,1.5163018715684018,1.0,-1.0,1.0,-1.0
134819,84.94,2.2853224869924422,1.0,-1.0,1.0,-1.0
