,Close,Target(1),Target(30),Prediction(1),Prediction(30)
135383,7.93,1.0,1.0,1.0,1.0
135385,8.01,1.0,1.0,1.0,1.0
135392,8.14,-1.0,-1.0,-1.0,1.0
135393,8.11,-1.0,1.0,-1.0,1.0
135395,8.15,1.0,0.0,1.0,0.0
135403,8.6,1.0,-1.0,1.0,-1.0
135407,8.48,-1.0,1.0,-1.0,1.0
135424,8.18,-1.0,1.0,-1.0,1.0
135425,8.15,1.0,1.0,1.0,1.0
135432,8.51,1.0,1.0,-1.0,1.0
135435,8.9,-1.0,-1.0,-1.0,-1.0
135440,8.59,0.0,1.0,0.0,1.0
135456,9.05,-1.0,-1.0,-1.0,-1.0
135460,8.65,-1.0,-1.0,-1.0,-1.0
135474,8.57,-1.0,-1.0,-1.0,-1.0
135480,8.48,-1.0,1.0,-1.0,1.0
135494,8.6,-1.0,-1.0,-1.0,1.0
135498,8.54,-1.0,-1.0,1.0,-1.0
135502,8.54,-1.0,1.0,-1.0,1.0
135505,8.49,1.0,1.0,-1.0,1.0
135510,8.71,-1.0,1.0,-1.0,1.0
135513,8.75,-1.0,-1.0,-1.0,-1.0
135514,8.5,-1.0,1.0,-1.0,1.0
135517,7.9,-1.0,1.0,-1.0,1.0
135520,8.05,1.0,1.0,1.0,1.0
135521,8.12,1.0,1.0,1.0,1.0
135522,8.14,1.0,1.0,1.0,1.0
135523,8.17,1.0,1.0,1.0,1.0
135535,8.68,1.0,-1.0,-1.0,-1.0
135543,8.69,-1.0,1.0,-1.0,1.0
135550,8.52,0.0,1.0,0.0,1.0
135560,8.58,1.0,1.0,1.0,1.0
135563,8.64,0.0,1.0,0.0,1.0
135568,8.87,1.0,-1.0,1.0,-1.0
135575,9.17,1.0,-1.0,1.0,-1.0
135576,9.22,1.0,-1.0,1.0,-1.0
135592,8.95,-1.0,1.0,-1.0,1.0
135594,8.64,-1.0,1.0,-1.0,-1.0
135604,8.75,-1.0,1.0,-1.0,1.0
135606,8.63,1.0,1.0,1.0,1.0
135613,8.83,1.0,1.0,-1.0,-1.0
135615,9.05,1.0,1.0,1.0,1.0
135617,8.92,1.0,1.0,-1.0,1.0
135619,9.19,-1.0,1.0,-1.0,1.0
135621,9.22,-1.0,1.0,-1.0,1.0
135622,9.17,1.0,1.0,1.0,-1.0
135624,9.35,-1.0,1.0,-1.0,1.0
135625,9.18,-1.0,1.0,-1.0,-1.0
135627,9.49,1.0,1.0,1.0,1.0
135634,9.3,1.0,1.0,1.0,-1.0
135636,9.3,-1.0,1.0,-1.0,1.0
135637,9.21,1.0,1.0,1.0,-1.0
135646,9.38,-1.0,1.0,-1.0,1.0
135647,9.32,-1.0,1.0,1.0,1.0
135649,9.2,1.0,-1.0,1.0,-1.0
135656,9.59,1.0,-1.0,-1.0,-1.0
135660,9.48,-1.0,1.0,-1.0,1.0
135664,9.86,-1.0,-1.0,-1.0,-1.0
135668,9.48,0.0,1.0,0.0,1.0
135669,9.48,1.0,1.0,-1.0,1.0
135675,9.52,0.0,1.0,0.0,1.0
135677,9.38,-1.0,1.0,-1.0,1.0
135678,9.14,1.0,1.0,1.0,1.0
135681,9.3,-1.0,1.0,1.0,1.0
135683,9.39,1.0,1.0,1.0,1.0
