,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
143284,15.29,1.6012711800400083,-1.0,1.0,-1.0,1.0
143285,15.24,1.5312597838395003,0.0,1.0,0.0,1.0
143286,15.24,1.5112483876389933,-1.0,1.0,-1.0,1.0
143287,15.22,1.4712369914384844,-1.0,1.0,-1.0,1.0
143288,15.07,1.3012255952379768,-1.0,1.0,-1.0,1.0
143289,15.06,1.271214199037468,1.0,1.0,1.0,1.0
143290,15.53,1.7212028028369577,-1.0,1.0,-1.0,1.0
143291,15.48,1.6511914066364517,-1.0,1.0,1.0,1.0
143292,15.23,1.3811800104359424,1.0,1.0,1.0,1.0
143293,15.28,1.4111686142354338,-1.0,1.0,-1.0,1.0
143294,15.14,1.2511572180349262,1.0,1.0,1.0,1.0
143295,15.94,2.0311458218344183,-1.0,1.0,-1.0,-1.0
143296,15.78,1.8511344256339088,1.0,1.0,1.0,1.0
143297,16.08,2.1311230294334003,1.0,1.0,1.0,1.0
143298,16.09,2.1211116332328928,1.0,1.0,1.0,1.0
143299,16.11,2.1211002370323837,1.0,1.0,1.0,1.0
143300,16.22,2.2110888408318754,1.0,1.0,1.0,1.0
143301,16.46,2.4310774446313683,1.0,1.0,1.0,1.0
143302,16.48,2.4310660484308606,1.0,1.0,-1.0,1.0
143303,16.55,2.4810546522303523,-1.0,1.0,-1.0,1.0
143304,16.48,2.391043256029844,1.0,1.0,1.0,1.0
143305,16.84,2.7310318598293346,1.0,1.0,1.0,1.0
143306,16.86,2.731020463628827,-1.0,1.0,-1.0,1.0
143307,16.8,2.6510090674283187,1.0,1.0,1.0,1.0
143308,16.81,2.640997671227808,1.0,1.0,1.0,1.0
143309,16.9,2.7109862750273006,-1.0,1.0,-1.0,1.0
143310,16.72,2.510974878826792,0.0,1.0,0.0,1.0
143311,16.72,2.4909634826262845,1.0,1.0,-1.0,1.0
143312,16.8,2.5509520864257773,1.0,1.0,1.0,1.0
143313,16.88,2.6109406902252683,-1.0,1.0,-1.0,1.0
143314,16.85,2.5609292940247617,1.0,1.0,1.0,1.0
143315,16.88,2.570917897824252,1.0,1.0,-1.0,-1.0
143316,17.01,2.680906501623745,1.0,1.0,-1.0,1.0
143317,17.13,2.780895105423236,-1.0,1.0,-1.0,1.0
143318,16.82,2.450883709222728,1.0,1.0,1.0,1.0
143319,16.98,2.5908723130222207,-1.0,1.0,-1.0,1.0
143320,16.94,2.5308609168217124,1.0,1.0,1.0,-1.0
143321,16.95,2.5208495206212014,1.0,1.0,1.0,1.0
143322,16.97,2.5208381244206937,1.0,1.0,1.0,1.0
143323,17.2,2.730826728220185,1.0,1.0,1.0,1.0
143324,17.3,2.810815332019679,-1.0,1.0,-1.0,1.0
143325,17.16,2.650803935819169,-1.0,-1.0,-1.0,-1.0
143326,16.84,2.310792539618662,-1.0,-1.0,-1.0,-1.0
143327,16.62,2.070781143418154,1.0,1.0,1.0,1.0
143328,16.82,2.250769747217646,-1.0,-1.0,-1.0,-1.0
143329,16.81,2.220758351017136,-1.0,-1.0,-1.0,-1.0
143330,16.74,2.130746954816626,1.0,-1.0,1.0,-1.0
143331,16.93,2.30073555861612,0.0,-1.0,1.0,-1.0
143332,16.93,2.280724162415611,-1.0,-1.0,-1.0,-1.0
143333,16.89,2.2207127662151045,1.0,-1.0,1.0,-1.0
143334,16.92,2.230701370014597,1.0,-1.0,1.0,-1.0
143335,16.94,2.230689973814089,1.0,-1.0,1.0,-1.0
143336,17.02,2.290678577613578,-1.0,-1.0,-1.0,-1.0
143337,16.95,2.2006671814130705,1.0,-1.0,1.0,-1.0
143338,16.98,2.2106557852125626,1.0,-1.0,1.0,-1.0
143339,17.1,2.3106443890120545,-1.0,-1.0,1.0,-1.0
143340,17.09,2.2806329928115456,-1.0,-1.0,-1.0,-1.0
143341,17.08,2.250621596611035,-1.0,-1.0,-1.0,-1.0
143342,17.02,2.170610200410529,-1.0,-1.0,-1.0,-1.0
143343,16.99,2.1205988042100192,1.0,-1.0,1.0,-1.0
143344,17.06,2.170587408009512,-1.0,-1.0,-1.0,-1.0
143345,17.05,2.1405760118090047,-1.0,-1.0,-1.0,-1.0
143346,17.04,2.110564615608496,1.0,-1.0,1.0,-1.0
143347,17.24,2.2905532194079856,0.0,-1.0,-1.0,-1.0
143348,17.24,2.270541823207477,-1.0,-1.0,-1.0,-1.0
143349,17.16,2.1705304270069714,1.0,-1.0,1.0,-1.0
143350,17.2,2.1905190308064637,1.0,-1.0,1.0,-1.0
143351,17.31,2.2805076346059536,1.0,-1.0,1.0,-1.0
143352,17.32,2.2704962384054457,1.0,-1.0,1.0,-1.0
143353,17.33,2.260484842204937,1.0,-1.0,1.0,-1.0
143354,17.34,2.2504734460044293,-1.0,-1.0,-1.0,-1.0
143355,16.95,1.8404620498039213,-1.0,-1.0,1.0,-1.0
143356,16.69,1.5604506536034144,1.0,-1.0,1.0,-1.0
143357,17.35,2.2004392574029072,-1.0,-1.0,-1.0,-1.0
143358,16.75,1.5804278612023968,1.0,-1.0,1.0,-1.0
143359,16.78,1.5904164650018906,-1.0,-1.0,-1.0,-1.0
143360,16.65,1.4404050688013792,-1.0,-1.0,-1.0,-1.0
143361,16.4,1.1703936726008701,1.0,-1.0,1.0,-1.0
143362,16.78,1.5303822764003652,-1.0,-1.0,-1.0,-1.0
143363,16.64,1.3703708801998555,1.0,-1.0,1.0,-1.0
143364,16.66,1.3703594839993478,-1.0,-1.0,1.0,-1.0
143365,16.22,0.9103480877988376,1.0,-1.0,1.0,-1.0
143366,16.23,0.9003366915983317,1.0,-1.0,1.0,-1.0
143367,16.38,1.0303252953978213,-1.0,-1.0,-1.0,-1.0
143368,16.14,0.7703138991973155,1.0,-1.0,1.0,-1.0
143369,16.4,1.0103025029968045,1.0,-1.0,1.0,-1.0
143370,16.41,1.000291106796297,1.0,-1.0,1.0,-1.0
143371,16.45,1.0202797105957888,1.0,-1.0,1.0,-1.0
143372,16.49,1.040268314395279,1.0,-1.0,1.0,-1.0
143373,16.8,1.330256918194774,1.0,-1.0,1.0,-1.0
143374,16.82,1.3302455219942644,-1.0,-1.0,-1.0,-1.0
143375,16.27,0.7602341257937564,1.0,1.0,1.0,1.0
