,Close,Target(1),Target(30),Prediction(1),Prediction(30)
145151,26.96,-1.0,-1.0,-1.0,-1.0
145152,26.53,-1.0,-1.0,-1.0,-1.0
145153,25.93,-1.0,-1.0,-1.0,-1.0
145154,25.51,-1.0,1.0,-1.0,1.0
145155,24.78,1.0,1.0,-1.0,1.0
145156,25.86,1.0,-1.0,1.0,-1.0
145157,26.25,-1.0,-1.0,-1.0,-1.0
145158,25.83,-1.0,-1.0,-1.0,-1.0
145159,24.18,1.0,1.0,1.0,1.0
145160,24.52,-1.0,-1.0,-1.0,-1.0
145161,24.24,1.0,-1.0,-1.0,-1.0
145162,24.51,-1.0,-1.0,-1.0,-1.0
145163,24.4,1.0,-1.0,1.0,-1.0
145164,25.13,-1.0,-1.0,-1.0,-1.0
145165,24.96,1.0,-1.0,-1.0,-1.0
145166,25.83,1.0,-1.0,1.0,-1.0
145167,26.36,1.0,-1.0,1.0,-1.0
145168,27.46,1.0,-1.0,1.0,-1.0
145169,27.59,-1.0,-1.0,-1.0,-1.0
145170,27.1,-1.0,-1.0,-1.0,-1.0
145171,26.3,1.0,-1.0,1.0,-1.0
145172,26.54,1.0,-1.0,1.0,-1.0
145173,26.73,-1.0,-1.0,-1.0,-1.0
145174,26.57,1.0,-1.0,1.0,-1.0
145175,26.68,1.0,-1.0,1.0,-1.0
145176,26.74,1.0,-1.0,1.0,-1.0
145177,26.8,-1.0,-1.0,-1.0,-1.0
145178,26.19,1.0,-1.0,1.0,-1.0
145179,26.31,-1.0,-1.0,-1.0,-1.0
145180,25.59,1.0,-1.0,1.0,-1.0
145181,25.7,-1.0,-1.0,-1.0,-1.0
145182,25.66,1.0,-1.0,1.0,-1.0
145183,25.79,-1.0,-1.0,-1.0,-1.0
145184,25.64,-1.0,-1.0,-1.0,-1.0
145185,25.42,0.0,-1.0,0.0,-1.0
145186,25.42,-1.0,-1.0,1.0,1.0
145187,25.05,-1.0,-1.0,-1.0,1.0
145188,23.79,1.0,1.0,1.0,1.0
145189,24.21,-1.0,-1.0,-1.0,-1.0
145190,23.24,1.0,1.0,1.0,1.0
145191,23.27,-1.0,-1.0,-1.0,1.0
145192,23.11,-1.0,-1.0,-1.0,-1.0
145193,22.43,-1.0,-1.0,-1.0,-1.0
145194,22.37,1.0,1.0,1.0,1.0
145195,23.28,1.0,0.0,1.0,0.0
145196,23.44,1.0,1.0,1.0,1.0
145197,23.64,1.0,-1.0,1.0,-1.0
145198,24.12,1.0,-1.0,1.0,-1.0
145199,24.58,-1.0,-1.0,-1.0,-1.0
145200,24.52,-1.0,-1.0,-1.0,-1.0
145201,24.09,1.0,-1.0,1.0,-1.0
145202,24.11,1.0,-1.0,-1.0,-1.0
145203,24.56,-1.0,-1.0,-1.0,-1.0
145204,24.33,1.0,-1.0,1.0,-1.0
145205,24.57,1.0,-1.0,1.0,-1.0
