,Close,Target(1),Target(30),Prediction(1),Prediction(30)
147018,57.46,-1.0,-1.0,-1.0,-1.0
147019,57.1,1.0,-1.0,1.0,-1.0
147020,57.46,-1.0,-1.0,-1.0,-1.0
147021,56.54,1.0,-1.0,1.0,1.0
147022,56.63,1.0,-1.0,1.0,1.0
147023,57.4,1.0,-1.0,1.0,-1.0
147024,57.42,-1.0,-1.0,-1.0,-1.0
147025,53.54,-1.0,1.0,-1.0,1.0
147026,53.25,-1.0,1.0,-1.0,1.0
147027,52.44,-1.0,1.0,-1.0,1.0
147028,52.08,1.0,1.0,1.0,1.0
147029,52.67,-1.0,1.0,-1.0,1.0
147030,51.84,1.0,1.0,1.0,1.0
147031,53.1,-1.0,1.0,-1.0,1.0
147032,52.12,1.0,1.0,1.0,1.0
147033,52.75,1.0,1.0,1.0,1.0
147034,53.0,-1.0,1.0,-1.0,1.0
147035,52.9,1.0,1.0,1.0,1.0
147036,53.5,1.0,1.0,1.0,1.0
147037,54.16,-1.0,1.0,-1.0,1.0
147038,53.56,1.0,1.0,1.0,1.0
147039,53.68,-1.0,1.0,-1.0,1.0
147040,53.49,-1.0,1.0,-1.0,1.0
147041,53.33,1.0,1.0,1.0,1.0
147042,53.56,-1.0,1.0,1.0,1.0
147043,53.21,-1.0,1.0,-1.0,1.0
147044,52.47,1.0,1.0,1.0,1.0
147045,52.67,1.0,1.0,1.0,1.0
147046,53.25,1.0,1.0,1.0,1.0
147047,53.32,1.0,1.0,1.0,1.0
147048,53.39,1.0,1.0,1.0,1.0
147049,53.67,-1.0,1.0,-1.0,1.0
147050,53.46,1.0,1.0,1.0,1.0
147051,53.87,1.0,1.0,1.0,1.0
147052,53.88,1.0,1.0,1.0,1.0
147053,55.28,1.0,1.0,1.0,1.0
147054,55.68,1.0,1.0,-1.0,1.0
147055,56.58,1.0,1.0,1.0,1.0
147056,56.6,-1.0,1.0,-1.0,1.0
147057,56.23,1.0,1.0,1.0,1.0
147058,56.43,-1.0,1.0,-1.0,1.0
147059,56.12,-1.0,1.0,-1.0,1.0
147060,55.65,-1.0,1.0,-1.0,1.0
147061,55.56,1.0,1.0,1.0,1.0
147062,56.09,1.0,1.0,-1.0,1.0
147063,56.22,-1.0,1.0,-1.0,1.0
147064,55.85,-1.0,1.0,-1.0,1.0
147065,55.66,-1.0,1.0,-1.0,1.0
147066,55.28,-1.0,1.0,-1.0,1.0
147067,55.15,1.0,1.0,1.0,1.0
147068,55.6,1.0,1.0,1.0,1.0
147069,56.45,-1.0,1.0,1.0,1.0
147070,56.44,1.0,1.0,1.0,1.0
147071,56.59,1.0,1.0,1.0,1.0
147072,57.74,1.0,-1.0,1.0,-1.0
147073,58.93,-1.0,-1.0,-1.0,-1.0
147074,58.38,1.0,-1.0,1.0,-1.0
147075,58.63,1.0,-1.0,1.0,-1.0
147076,58.9,1.0,-1.0,-1.0,1.0
147077,60.0,1.0,-1.0,1.0,-1.0
147078,61.46,1.0,-1.0,1.0,-1.0
147079,61.58,-1.0,-1.0,-1.0,-1.0
147080,61.15,-1.0,-1.0,-1.0,-1.0
147081,60.27,1.0,-1.0,1.0,-1.0
147082,60.56,1.0,-1.0,1.0,-1.0
147083,61.15,-1.0,-1.0,1.0,-1.0
147084,60.32,1.0,-1.0,1.0,-1.0
147085,61.77,-1.0,-1.0,-1.0,-1.0
147086,60.7,1.0,-1.0,1.0,-1.0
147087,60.71,-1.0,-1.0,-1.0,-1.0
147088,59.16,-1.0,-1.0,-1.0,-1.0
147089,57.83,1.0,1.0,1.0,1.0
147090,60.68,0.0,-1.0,0.0,-1.0
147091,60.68,1.0,-1.0,1.0,-1.0
147092,61.22,-1.0,-1.0,-1.0,-1.0
147093,60.6,-1.0,-1.0,1.0,-1.0
147094,59.61,1.0,-1.0,1.0,-1.0
147095,59.76,-1.0,-1.0,1.0,-1.0
147096,59.22,1.0,-1.0,1.0,-1.0
147097,59.34,-1.0,-1.0,-1.0,-1.0
147098,57.03,1.0,-1.0,1.0,-1.0
147099,58.18,-1.0,-1.0,-1.0,-1.0
147100,57.33,1.0,-1.0,1.0,-1.0
147101,57.4,-1.0,-1.0,-1.0,-1.0
147102,57.36,1.0,-1.0,1.0,-1.0
147103,58.7,-1.0,-1.0,-1.0,-1.0
147104,58.11,-1.0,-1.0,1.0,-1.0
147105,57.08,1.0,1.0,1.0,-1.0
