,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
148884,223.08,-0.9799411846968552,-1.0,1.0,-1.0,1.0
148885,222.97,-1.5821479855296443,1.0,1.0,-1.0,1.0
148886,223.53,-1.5143547863623894,-1.0,1.0,-1.0,1.0
148887,223.28,-2.256561587195137,-1.0,1.0,-1.0,1.0
148888,222.24,-3.788768388027876,-1.0,1.0,-1.0,1.0
148889,221.19,-5.330975188860664,1.0,1.0,-1.0,1.0
148890,221.48,-5.533181989693418,-1.0,1.0,-1.0,1.0
148891,221.05,-6.4553887905261425,1.0,1.0,-1.0,1.0
148892,221.12,-6.877595591358897,1.0,1.0,1.0,1.0
148893,222.81,-5.679802392191675,-1.0,1.0,-1.0,1.0
148894,222.39,-6.592009193024437,1.0,1.0,-1.0,1.0
148895,224.87,-4.604215993857167,-1.0,1.0,-1.0,1.0
148896,216.8,-13.166422794689936,-1.0,1.0,-1.0,1.0
148897,216.28,-14.178629595522692,1.0,1.0,1.0,1.0
148898,218.38,-12.570836396355446,1.0,1.0,-1.0,1.0
148899,227.37,-4.073043197188183,1.0,1.0,1.0,1.0
148900,228.64,-3.295249998020978,1.0,1.0,1.0,1.0
148901,232.29,-0.13745679885371942,-1.0,1.0,-1.0,1.0
148902,231.77,-1.1496635996864484,1.0,1.0,1.0,1.0
148903,232.78,-0.6318704005192046,1.0,1.0,1.0,1.0
148904,234.87,0.9659227986480232,1.0,1.0,1.0,1.0
148905,237.17,2.773715997815259,1.0,1.0,1.0,1.0
148906,239.87,4.981509196982529,-1.0,1.0,-1.0,1.0
148907,238.45,3.069302396149737,-1.0,1.0,-1.0,1.0
148908,237.43,1.5570955953170085,1.0,1.0,1.0,1.0
148909,239.11,2.7448887944842677,-1.0,1.0,1.0,1.0
148910,234.98,-1.8773180063485315,-1.0,1.0,-1.0,1.0
148911,234.34,-3.0095248071812652,-1.0,1.0,-1.0,1.0
148912,232.01,-5.8317316080140245,1.0,1.0,1.0,1.0
148913,236.19,-2.143938408846765,1.0,1.0,-1.0,1.0
148914,240.48,1.6538547903204517,1.0,1.0,1.0,1.0
148915,243.47,4.151647989487714,-1.0,1.0,-1.0,1.0
148916,240.69,0.8794411886549653,-1.0,1.0,-1.0,1.0
148917,237.98,-2.3227656121777898,-1.0,1.0,-1.0,1.0
148918,237.72,-3.074972413010556,1.0,1.0,1.0,1.0
148919,237.8,-3.487179213843291,-1.0,1.0,-1.0,1.0
148920,234.87,-6.909386014676045,1.0,1.0,1.0,1.0
148921,236.0,-6.271592815508826,-1.0,1.0,-1.0,1.0
148922,235.79,-6.97379961634158,1.0,1.0,1.0,1.0
148923,237.11,-6.146006417174307,-1.0,1.0,-1.0,1.0
148924,236.99,-6.758213218007087,-1.0,1.0,1.0,1.0
148925,234.79,-9.45042001883985,1.0,1.0,1.0,1.0
148926,236.82,-7.912626819672597,1.0,1.0,1.0,1.0
148927,255.76,10.535166379494656,-1.0,1.0,-1.0,1.0
148928,254.07,8.352959578661881,1.0,1.0,1.0,1.0
148929,258.06,11.850752777829143,1.0,1.0,1.0,1.0
148930,258.62,11.918545976996398,1.0,1.0,1.0,1.0
148931,260.51,13.316339176163638,-1.0,1.0,-1.0,1.0
148932,257.14,9.454132375330856,1.0,1.0,-1.0,1.0
148933,257.43,9.25192557449813,-1.0,1.0,-1.0,1.0
148934,254.83,6.1597187736653884,-1.0,1.0,-1.0,1.0
148935,252.63,3.4675119728325967,1.0,1.0,-1.0,1.0
148936,252.65,2.99530517199986,-1.0,1.0,-1.0,1.0
148937,252.24,2.093098371167116,-1.0,1.0,-1.0,1.0
148938,251.74,1.1008915703343405,1.0,1.0,1.0,1.0
148939,252.07,0.9386847695015774,-1.0,1.0,-1.0,1.0
148940,250.93,-0.6935220313311561,1.0,1.0,1.0,1.0
148941,252.31,0.19427116783609225,1.0,1.0,1.0,1.0
