,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
152880,40.24,2.0710133241982187,-1.0,1.0,-1.0,1.0
152881,40.19,2.000092082357781,1.0,1.0,1.0,1.0
152882,40.2,1.9891708405173605,-1.0,1.0,-1.0,1.0
152883,40.0,1.7682495986769309,1.0,1.0,1.0,1.0
152884,40.02,1.7673283568365008,-1.0,1.0,-1.0,1.0
152885,39.97,1.6964071149960702,1.0,1.0,1.0,1.0
152886,40.52,2.2254858731556477,-1.0,1.0,-1.0,1.0
152887,40.41,2.094564631315208,-1.0,1.0,1.0,1.0
152888,39.84,1.5036433894747887,-1.0,1.0,-1.0,1.0
152889,39.63,1.2727221476343615,-1.0,1.0,-1.0,1.0
152890,39.54,1.1618009057939247,1.0,1.0,1.0,1.0
152891,40.08,1.6808796639534975,-1.0,1.0,-1.0,1.0
152892,39.91,1.4899584221130695,1.0,1.0,1.0,1.0
152893,40.16,1.719037180272636,-1.0,1.0,-1.0,1.0
152894,39.83,1.3681159384322117,1.0,1.0,1.0,1.0
152895,40.31,1.827194696591789,1.0,1.0,1.0,1.0
152896,40.6,2.096273454751355,1.0,1.0,1.0,1.0
152897,41.22,2.6953522129109255,-1.0,1.0,-1.0,1.0
152898,40.88,2.334430971070496,1.0,1.0,1.0,1.0
152899,41.04,2.4735097292300665,-1.0,1.0,-1.0,-1.0
152900,40.94,2.3525884873896388,1.0,1.0,1.0,1.0
152901,41.48,2.8716672455492045,1.0,1.0,1.0,1.0
152902,41.56,2.930746003708784,-1.0,1.0,-1.0,1.0
152903,41.47,2.8198247618683534,1.0,1.0,1.0,1.0
152904,41.9,3.22890352002792,1.0,1.0,-1.0,1.0
152905,41.93,3.237982278187495,0.0,1.0,0.0,1.0
152906,41.93,3.2170610363470686,1.0,1.0,1.0,1.0
152907,42.08,3.346139794506634,1.0,1.0,1.0,1.0
152908,42.1,3.3452185526662106,-1.0,-1.0,-1.0,-1.0
152909,41.98,3.20429731082578,1.0,1.0,1.0,-1.0
152910,42.25,3.453376068985349,-1.0,1.0,-1.0,1.0
152911,41.79,2.9724548271449223,1.0,1.0,1.0,1.0
152912,42.04,3.2015335853044964,1.0,-1.0,1.0,-1.0
152913,42.08,3.2206123434640617,1.0,1.0,1.0,-1.0
152914,42.18,3.2996911016236368,1.0,-1.0,1.0,-1.0
152915,42.31,3.408769859783206,1.0,1.0,1.0,1.0
152916,42.32,3.3978486179427776,1.0,1.0,1.0,1.0
152917,42.38,3.436927376102353,1.0,-1.0,1.0,-1.0
152918,42.42,3.4560061342619197,1.0,-1.0,-1.0,-1.0
152919,42.48,3.495084892421488,1.0,-1.0,1.0,-1.0
152920,42.67,3.664163650581066,-1.0,-1.0,-1.0,-1.0
152921,42.17,3.143242408740633,-1.0,-1.0,-1.0,-1.0
152922,41.7,2.652321166900208,1.0,-1.0,1.0,-1.0
152923,42.22,3.1513999250597777,1.0,-1.0,-1.0,-1.0
152924,42.49,3.4004786832193474,1.0,-1.0,-1.0,-1.0
152925,42.73,3.619557441378916,-1.0,-1.0,-1.0,-1.0
152926,42.63,3.498636199538496,1.0,-1.0,1.0,-1.0
152927,42.9,3.747714957698058,-1.0,-1.0,-1.0,-1.0
152928,42.81,3.6367937158576353,-1.0,-1.0,1.0,-1.0
152929,42.46,3.265872474017208,1.0,-1.0,1.0,-1.0
152930,42.56,3.344951232176776,-1.0,-1.0,-1.0,-1.0
152931,42.28,3.0440299903363486,-1.0,-1.0,-1.0,-1.0
152932,42.14,2.883108748495921,1.0,-1.0,1.0,-1.0
152933,42.4,3.1221875066554863,-1.0,-1.0,-1.0,-1.0
152934,42.28,2.981266264815062,1.0,-1.0,1.0,-1.0
152935,42.32,3.0003450229746282,-1.0,-1.0,-1.0,-1.0
152936,42.12,2.779423781134198,0.0,-1.0,0.0,-1.0
152937,42.12,2.7585025392937723,-1.0,-1.0,-1.0,-1.0
152938,42.08,2.69758129745334,1.0,-1.0,1.0,-1.0
152939,42.27,2.8666600556129183,1.0,-1.0,1.0,-1.0
152940,42.35,2.9257388137724902,-1.0,-1.0,1.0,-1.0
152941,41.99,2.5448175719320574,-1.0,-1.0,-1.0,-1.0
152942,41.64,2.1738963300916296,1.0,-1.0,1.0,-1.0
152943,42.1,2.612975088251204,-1.0,-1.0,-1.0,-1.0
152944,41.8,2.2920538464107665,1.0,-1.0,1.0,-1.0
152945,42.5,2.9711326045703434,-1.0,-1.0,1.0,-1.0
152946,42.4,2.8502113627299157,-1.0,-1.0,-1.0,-1.0
152947,42.05,2.4792901208894804,1.0,-1.0,-1.0,-1.0
152948,42.14,2.548368879049057,-1.0,-1.0,-1.0,-1.0
152949,41.44,1.8274476372086284,-1.0,-1.0,-1.0,-1.0
152950,41.36,1.7265263953681966,-1.0,-1.0,-1.0,-1.0
152951,40.88,1.2256051535277734,-1.0,-1.0,-1.0,-1.0
152952,40.1,0.42468391168734604,1.0,1.0,1.0,-1.0
152953,41.59,1.8937626698469143,-1.0,-1.0,-1.0,-1.0
152954,41.42,1.7028414280064863,1.0,-1.0,1.0,-1.0
152955,41.78,2.0419201861660525,-1.0,-1.0,-1.0,-1.0
152956,41.56,1.8009989443256271,-1.0,-1.0,-1.0,-1.0
152957,41.38,1.600077702485201,1.0,-1.0,1.0,-1.0
152958,41.9,2.0991564606447644,-1.0,-1.0,-1.0,-1.0
152959,41.58,1.7582352188043373,-1.0,-1.0,-1.0,-1.0
152960,41.08,1.237313976963911,-1.0,-1.0,-1.0,-1.0
152961,40.15,0.28639273512347785,-1.0,-1.0,-1.0,-1.0
152962,39.8,-0.08452850671694989,-1.0,-1.0,-1.0,-1.0
152963,39.36,-0.5454497485573739,-1.0,1.0,-1.0,1.0
152964,39.16,-0.7663709903978102,-1.0,1.0,-1.0,1.0
152965,38.99,-0.9572922322382312,1.0,1.0,1.0,1.0
152966,39.38,-0.5882134740786569,-1.0,1.0,-1.0,1.0
152967,39.04,-0.9491347159190936,-1.0,1.0,-1.0,1.0
152968,38.46,-1.5500559577595183,1.0,1.0,1.0,1.0
152969,39.11,-0.920977199599946,1.0,1.0,1.0,1.0
152970,39.44,-0.6118984414403812,-1.0,1.0,-1.0,1.0
152971,38.62,-1.4528196832808078,1.0,1.0,1.0,1.0
152972,38.82,-1.2737409251212384,1.0,1.0,1.0,1.0
152973,39.38,-0.7346621669616624,-1.0,1.0,-1.0,1.0
152974,39.36,-0.7755834088020919,1.0,1.0,1.0,1.0
152975,39.74,-0.4165046506425227,-1.0,1.0,-1.0,1.0
152976,39.58,-0.5974258924829527,1.0,1.0,-1.0,1.0
152977,39.66,-0.5383471343233808,1.0,1.0,1.0,1.0
152978,40.4,0.1807316238361878,-1.0,1.0,-1.0,1.0
152979,40.32,0.07981038199576318,1.0,-1.0,1.0,-1.0
152980,40.45,0.18888914015533945,-1.0,-1.0,-1.0,-1.0
152981,40.3,0.01796789831490031,1.0,-1.0,1.0,-1.0
152982,40.58,0.27704665647447513,-1.0,-1.0,-1.0,-1.0
152983,40.47,0.14612541463404938,-1.0,-1.0,-1.0,-1.0
152984,40.16,-0.18479582720638632,0.0,-1.0,-1.0,-1.0
152985,40.16,-0.20571706904681264,-1.0,-1.0,-1.0,-1.0
152986,39.52,-0.8666383108872324,1.0,-1.0,1.0,-1.0
152987,39.62,-0.7875595527276715,-1.0,-1.0,-1.0,-1.0
152988,39.0,-1.4284807945680953,1.0,-1.0,1.0,-1.0
152989,39.38,-1.069402036408519,1.0,-1.0,1.0,-1.0
152990,39.42,-1.050323278248953,-1.0,-1.0,-1.0,-1.0
152991,39.36,-1.1312445200893821,1.0,-1.0,1.0,-1.0
152992,39.38,-1.1321657619298051,1.0,-1.0,1.0,-1.0
152993,40.49,-0.043087003770239114,1.0,-1.0,1.0,1.0
152994,40.98,0.4259917543893295,1.0,-1.0,1.0,-1.0
152995,41.08,0.5050705125488975,1.0,-1.0,1.0,-1.0
152996,41.42,0.8241492707084745,1.0,-1.0,1.0,-1.0
152997,41.58,0.9632280288680448,1.0,-1.0,1.0,-1.0
152998,41.66,1.0223067870276097,-1.0,-1.0,-1.0,-1.0
152999,41.54,0.8813855451871859,-1.0,-1.0,-1.0,-1.0
153000,41.42,0.7404643033467622,1.0,-1.0,1.0,-1.0
153001,41.56,0.8595430615063293,1.0,-1.0,1.0,-1.0
153002,41.98,1.2586218196658976,-1.0,-1.0,-1.0,-1.0
153003,41.52,0.7777005778254775,-1.0,-1.0,-1.0,-1.0
153004,41.28,0.5167793359850421,1.0,-1.0,1.0,-1.0
153005,41.74,0.9558580941446166,1.0,-1.0,1.0,-1.0
153006,41.87,1.0649368523041858,1.0,-1.0,1.0,-1.0
153007,42.3,1.4740156104637518,-1.0,-1.0,-1.0,-1.0
153008,41.93,1.0830943686233283,-1.0,-1.0,-1.0,-1.0
153009,39.06,-1.8078268732170957,1.0,-1.0,1.0,-1.0
153010,39.49,-1.3987481150575292,-1.0,-1.0,-1.0,-1.0
153011,39.12,-1.78966935689796,-1.0,-1.0,-1.0,-1.0
153012,39.07,-1.8605905987383904,-1.0,-1.0,-1.0,-1.0
153013,39.03,-1.9215118405788159,-1.0,-1.0,-1.0,1.0
153014,38.56,-2.4124330824192413,-1.0,1.0,-1.0,1.0
153015,38.25,-2.743354324259677,-1.0,1.0,-1.0,1.0
153016,38.14,-2.8742755661001027,1.0,1.0,1.0,1.0
153017,38.98,-2.0551968079405327,-1.0,1.0,-1.0,1.0
153018,38.24,-2.8161180497809615,1.0,1.0,1.0,1.0
153019,38.51,-2.5670392916213918,-1.0,1.0,1.0,1.0
153020,38.2,-2.897960533461813,-1.0,1.0,-1.0,1.0
153021,38.08,-3.0388817753022517,1.0,1.0,1.0,1.0
153022,38.22,-2.9198030171426765,1.0,1.0,1.0,1.0
153023,38.4,-2.760724258983103,-1.0,1.0,-1.0,1.0
153024,38.38,-2.8016455008235326,-1.0,-1.0,-1.0,1.0
153025,38.02,-3.1825667426639583,-1.0,1.0,-1.0,1.0
153026,37.76,-3.4634879845043898,-1.0,-1.0,-1.0,-1.0
153027,37.74,-3.504409226344819,-1.0,-1.0,-1.0,-1.0
153028,37.64,-3.6253304681852474,-1.0,-1.0,-1.0,-1.0
