,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
154747,60.17,8.632144695573764,-1.0,1.0,-1.0,1.0
154748,59.26,7.679282199109111,-1.0,1.0,-1.0,1.0
154749,59.24,7.616419702644472,1.0,1.0,1.0,1.0
154750,59.29,7.623557206179818,-1.0,1.0,1.0,1.0
154751,59.17,7.4606947097151775,1.0,1.0,1.0,1.0
154752,59.48,7.727832213250522,1.0,1.0,1.0,1.0
154753,60.26,8.46496971678588,1.0,1.0,1.0,1.0
154754,60.66,8.822107220321229,-1.0,1.0,-1.0,1.0
154755,60.35,8.46924472385659,1.0,1.0,1.0,1.0
154756,60.57,8.646382227391937,-1.0,1.0,-1.0,1.0
154757,60.27,8.303519730927299,1.0,1.0,1.0,1.0
154758,60.7,8.690657234462648,-1.0,1.0,-1.0,1.0
154759,60.24,8.187794737998004,-1.0,1.0,-1.0,1.0
154760,60.12,8.02493224153335,-1.0,1.0,-1.0,1.0
154761,59.36,7.2220697450687075,1.0,1.0,1.0,1.0
154762,59.9,7.719207248604058,1.0,1.0,1.0,1.0
154763,60.38,8.156344752139418,1.0,1.0,1.0,1.0
154764,60.9,8.633482255674764,1.0,1.0,1.0,1.0
154765,61.01,8.70061975921012,1.0,1.0,1.0,1.0
154766,61.02,8.667757262745475,-1.0,1.0,-1.0,1.0
154767,60.95,8.554894766280832,1.0,1.0,1.0,1.0
154768,61.0,8.562032269816179,1.0,1.0,1.0,1.0
154769,61.17,8.689169773351537,1.0,1.0,1.0,1.0
154770,61.31,8.786307276886888,1.0,1.0,1.0,1.0
154771,61.56,8.993444780422244,1.0,1.0,-1.0,1.0
154772,61.6,8.990582283957592,-1.0,1.0,-1.0,1.0
154773,61.38,8.727719787492951,1.0,1.0,1.0,1.0
154774,61.59,8.894857291028304,-1.0,1.0,-1.0,1.0
154775,61.5,8.761994794563655,1.0,1.0,1.0,1.0
154776,61.88,9.099132298099008,1.0,1.0,1.0,1.0
154777,62.01,9.18626980163436,1.0,1.0,-1.0,1.0
154778,62.35,9.483407305169711,1.0,1.0,1.0,1.0
154779,62.56,9.650544808705073,1.0,1.0,1.0,1.0
154780,62.89,9.937682312240419,1.0,1.0,1.0,1.0
154781,62.93,9.934819815775777,1.0,1.0,1.0,1.0
154782,63.95,10.911957319311128,1.0,1.0,-1.0,1.0
154783,64.64,11.559094822846482,-1.0,1.0,-1.0,1.0
154784,64.61,11.486232326381831,-1.0,1.0,-1.0,1.0
154785,64.43,11.263369829917195,1.0,-1.0,-1.0,-1.0
154786,64.92,11.71050733345254,1.0,-1.0,1.0,-1.0
154787,65.11,11.857644836987893,-1.0,-1.0,-1.0,-1.0
154788,64.85,11.554782340523241,-1.0,-1.0,-1.0,-1.0
154789,64.77,11.431919844058598,-1.0,-1.0,-1.0,-1.0
154790,64.56,11.179057347593954,1.0,-1.0,-1.0,-1.0
154791,64.99,11.566194851129305,-1.0,-1.0,-1.0,-1.0
154792,64.73,11.263332354664662,-1.0,-1.0,-1.0,-1.0
154793,64.14,10.630469858200016,1.0,-1.0,1.0,-1.0
154794,64.28,10.727607361735368,-1.0,-1.0,-1.0,-1.0
154795,63.97,10.37474486527072,-1.0,1.0,-1.0,1.0
154796,63.71,10.071882368806072,-1.0,1.0,-1.0,1.0
