,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
156614,35.5,6.276091975228167,-1.0,1.0,-1.0,1.0
156615,34.78,5.5426707862260365,1.0,1.0,1.0,1.0
156616,35.39,6.139249597223905,-1.0,1.0,-1.0,1.0
156617,35.2,5.935828408221782,-1.0,1.0,-1.0,1.0
156618,34.51,5.2324072192196445,1.0,1.0,-1.0,1.0
156619,35.45,6.15898603021752,-1.0,1.0,-1.0,1.0
156620,35.2,5.895564841215389,-1.0,1.0,-1.0,1.0
156621,34.54,5.222143652213255,-1.0,1.0,-1.0,1.0
156622,33.34,4.008722463211131,1.0,1.0,1.0,1.0
156623,34.03,4.685301274209,-1.0,1.0,-1.0,1.0
156624,33.42,4.0618800852068695,1.0,1.0,1.0,1.0
156625,34.05,4.678458896204738,1.0,1.0,1.0,1.0
156626,34.62,5.235037707202609,1.0,1.0,1.0,1.0
156627,35.04,5.641616518200479,-1.0,1.0,-1.0,1.0
156628,35.0,5.588195329198348,1.0,1.0,1.0,1.0
156629,35.6,6.174774140196219,-1.0,1.0,-1.0,1.0
156630,35.21,5.7713529511940935,-1.0,1.0,-1.0,1.0
156631,34.76,5.307931762191959,1.0,1.0,-1.0,1.0
156632,35.55,6.084510573189827,1.0,1.0,1.0,1.0
156633,36.16,6.6810893841877,-1.0,1.0,-1.0,1.0
156634,35.17,5.677668195185576,1.0,1.0,-1.0,1.0
156635,36.02,6.514247006183447,-1.0,1.0,-1.0,1.0
156636,35.79,6.270825817181312,1.0,1.0,-1.0,1.0
156637,36.08,6.547404628179179,-1.0,1.0,-1.0,1.0
156638,35.73,6.183983439177053,-1.0,1.0,-1.0,1.0
156639,35.67,6.110562250174925,-1.0,1.0,-1.0,1.0
156640,35.52,5.947141061172798,1.0,1.0,1.0,1.0
156641,35.74,6.153719872170669,1.0,1.0,1.0,1.0
156642,36.74,7.140298683168537,-1.0,1.0,-1.0,1.0
156643,36.29,6.676877494166405,-1.0,1.0,-1.0,1.0
156644,35.7,6.073456305164277,1.0,1.0,1.0,1.0
156645,36.49,6.8500351161621476,1.0,1.0,1.0,1.0
156646,36.59,6.936613927160021,1.0,1.0,1.0,1.0
156647,36.86,7.1931927381578875,1.0,1.0,1.0,1.0
156648,37.26,7.579771549155755,1.0,1.0,1.0,1.0
156649,37.75,8.05635036015363,1.0,1.0,1.0,1.0
156650,38.24,8.532929171151501,-1.0,1.0,-1.0,1.0
156651,37.98,8.259507982149366,1.0,1.0,-1.0,1.0
156652,38.14,8.406086793147239,-1.0,1.0,-1.0,1.0
156653,38.11,8.362665604145107,0.0,1.0,0.0,1.0
156654,38.11,8.34924441514298,1.0,1.0,1.0,1.0
156655,38.43,8.65582322614085,-1.0,1.0,-1.0,1.0
156656,38.22,8.432402037138718,-1.0,1.0,-1.0,1.0
156657,37.56,7.758980848136594,1.0,1.0,1.0,1.0
156658,37.88,8.065559659134465,-1.0,1.0,-1.0,1.0
156659,37.86,8.032138470132331,1.0,1.0,1.0,1.0
156660,38.04,8.1987172811302,-1.0,1.0,-1.0,1.0
156661,37.97,8.115296092128071,1.0,1.0,-1.0,1.0
156662,38.94,9.07187490312594,1.0,1.0,-1.0,1.0
156663,40.57,10.688453714123813,1.0,1.0,1.0,1.0
156664,40.79,10.895032525121682,1.0,-1.0,1.0,-1.0
156665,41.0,11.091611336119556,1.0,-1.0,1.0,-1.0
156666,41.56,11.63819014711743,1.0,-1.0,1.0,-1.0
156667,41.73,11.794768958115293,-1.0,-1.0,-1.0,-1.0
156668,41.34,11.39134776911317,1.0,-1.0,1.0,-1.0
156669,42.43,12.467926580111033,-1.0,-1.0,1.0,-1.0
156670,42.11,12.134505391108904,-1.0,-1.0,-1.0,-1.0
156671,40.77,10.78108420210678,1.0,-1.0,1.0,-1.0
156672,40.92,10.917663013104649,1.0,-1.0,1.0,-1.0
156673,42.22,12.204241824102516,1.0,-1.0,1.0,-1.0
156674,43.4,13.370820635100387,1.0,-1.0,1.0,-1.0
156675,44.6,14.55739944609826,-1.0,-1.0,-1.0,-1.0
156676,44.28,14.223978257096126,-1.0,-1.0,-1.0,-1.0
156677,42.62,12.550557068093994,-1.0,-1.0,-1.0,-1.0
156678,41.5,11.417135879091868,-1.0,-1.0,-1.0,-1.0
156679,41.46,11.36371469008974,1.0,-1.0,1.0,-1.0
156680,41.91,11.800293501087605,1.0,-1.0,1.0,-1.0
156681,42.0,11.876872312085483,1.0,-1.0,1.0,-1.0
156682,43.15,13.013451123083351,-1.0,-1.0,-1.0,-1.0
156683,42.08,11.93002993408122,1.0,-1.0,1.0,-1.0
156684,42.6,12.436608745079093,-1.0,-1.0,-1.0,-1.0
156685,41.43,11.253187556076961,-1.0,-1.0,-1.0,-1.0
156686,40.29,10.099766367074832,1.0,-1.0,-1.0,-1.0
156687,42.63,12.426345178072705,1.0,-1.0,1.0,-1.0
156688,43.15,12.93292398907057,1.0,-1.0,1.0,-1.0
156689,43.67,13.439502800068444,-1.0,-1.0,-1.0,-1.0
