,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
158481,8.0,1.161321117265489,-1.0,1.0,-1.0,1.0
158482,7.85,0.9949535920383524,1.0,1.0,1.0,1.0
158483,7.92,1.0485860668112172,-1.0,1.0,-1.0,1.0
158484,7.81,0.9222185415840816,1.0,1.0,-1.0,1.0
158485,7.92,1.0158510163569463,1.0,1.0,1.0,1.0
158486,7.97,1.04948349112981,1.0,1.0,1.0,1.0
158487,8.14,1.2031159659026756,-1.0,1.0,-1.0,1.0
158488,7.98,1.02674844067554,-1.0,1.0,-1.0,1.0
158489,7.76,0.790380915448404,-1.0,1.0,-1.0,1.0
158490,7.71,0.7240133902212689,-1.0,1.0,-1.0,1.0
158491,7.6,0.5976458649941323,1.0,1.0,1.0,1.0
158492,7.7,0.6812783397669975,-1.0,1.0,-1.0,1.0
158493,7.66,0.6249108145398621,0.0,1.0,0.0,1.0
158494,7.66,0.6085432893127267,1.0,1.0,-1.0,1.0
158495,7.67,0.6021757640855903,1.0,1.0,1.0,1.0
158496,7.84,0.7558082388584548,-1.0,1.0,-1.0,1.0
158497,7.83,0.7294407136313197,1.0,1.0,1.0,1.0
158498,7.86,0.7430731884041846,1.0,1.0,1.0,1.0
158499,8.0,0.8667056631770489,1.0,1.0,1.0,1.0
158500,8.1,0.9503381379499124,-1.0,1.0,-1.0,1.0
158501,8.07,0.9039706127227776,1.0,1.0,1.0,1.0
158502,8.21,1.0276030874956428,-1.0,1.0,-1.0,1.0
158503,8.07,0.8712355622685068,1.0,1.0,1.0,1.0
158504,8.22,1.004868037041371,1.0,1.0,1.0,1.0
158505,8.42,1.1885005118142349,-1.0,1.0,-1.0,1.0
158506,8.4,1.1521329865871,1.0,1.0,1.0,1.0
158507,8.48,1.2157654613599649,1.0,1.0,1.0,1.0
158508,8.58,1.299397936132829,1.0,1.0,1.0,1.0
158509,8.72,1.4230304109056933,1.0,1.0,1.0,1.0
158510,8.78,1.4666628856785566,-1.0,1.0,-1.0,1.0
158511,8.76,1.4302953604514217,0.0,1.0,0.0,1.0
158512,8.76,1.4139278352242863,1.0,1.0,1.0,1.0
158513,8.78,1.4175603099971497,-1.0,1.0,-1.0,1.0
158514,8.71,1.3311927847700158,1.0,1.0,1.0,1.0
158515,8.76,1.3648252595428794,-1.0,1.0,-1.0,1.0
158516,8.74,1.3284577343157444,1.0,1.0,1.0,1.0
158517,8.79,1.362090209088608,1.0,1.0,1.0,1.0
158518,8.84,1.3957226838614725,-1.0,1.0,-1.0,1.0
158519,8.76,1.2993551586343368,1.0,1.0,1.0,1.0
158520,8.89,1.4129876334072025,1.0,1.0,1.0,1.0
158521,9.04,1.5466201081800657,1.0,1.0,1.0,1.0
158522,9.09,1.58025258295293,1.0,1.0,1.0,-1.0
158523,9.22,1.6938850577257956,-1.0,-1.0,-1.0,-1.0
158524,9.17,1.6275175324986595,1.0,-1.0,1.0,-1.0
158525,9.25,1.6911500072715242,1.0,-1.0,1.0,-1.0
158526,9.37,1.794782482044388,1.0,-1.0,1.0,-1.0
158527,9.42,1.8284149568172523,-1.0,-1.0,-1.0,-1.0
158528,9.41,1.8020474315901172,-1.0,-1.0,-1.0,-1.0
158529,9.38,1.7556799063629829,-1.0,-1.0,-1.0,-1.0
158530,9.14,1.4993123811358462,1.0,-1.0,1.0,-1.0
158531,9.22,1.562944855908711,1.0,-1.0,1.0,-1.0
158532,9.25,1.576577330681575,1.0,-1.0,1.0,-1.0
158533,9.32,1.6302098054544398,1.0,-1.0,1.0,-1.0
