,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
160347,61.4,17.638664463410212,-1.0,1.0,-1.0,1.0
160348,57.24,13.444270814059555,1.0,1.0,1.0,1.0
160349,58.87,15.039877164708898,-1.0,1.0,-1.0,1.0
160350,58.1,14.235483515358247,-1.0,1.0,1.0,1.0
160351,57.36,13.46108986600759,1.0,1.0,1.0,1.0
160352,58.24,14.306696216656938,1.0,1.0,1.0,1.0
160353,58.64,14.672302567306282,-1.0,1.0,-1.0,1.0
160354,58.42,14.417908917955627,-1.0,1.0,-1.0,1.0
160355,53.86,9.823515268604972,1.0,1.0,1.0,1.0
160356,56.16,12.089121619254314,-1.0,1.0,-1.0,-1.0
160357,56.06,11.954727969903665,1.0,1.0,1.0,-1.0
160358,56.64,12.500334320553007,-1.0,1.0,-1.0,1.0
160359,55.27,11.095940671202355,1.0,1.0,1.0,-1.0
160360,57.01,12.801547021851695,1.0,1.0,-1.0,1.0
160361,58.21,13.967153372501045,1.0,1.0,1.0,-1.0
160362,59.43,15.152759723150387,-1.0,1.0,-1.0,1.0
160363,58.62,14.308366073799732,-1.0,1.0,-1.0,1.0
160364,58.34,13.993972424449087,1.0,1.0,-1.0,1.0
160365,58.36,13.979578775098426,-1.0,1.0,-1.0,1.0
160366,57.41,12.995185125747767,-1.0,1.0,-1.0,1.0
160367,55.31,10.860791476397116,1.0,1.0,1.0,1.0
160368,58.11,13.62639782704646,1.0,1.0,-1.0,-1.0
160369,59.09,14.572004177695812,1.0,1.0,1.0,1.0
160370,60.34,15.787610528345153,-1.0,1.0,-1.0,1.0
160371,60.21,15.623216878994498,1.0,1.0,-1.0,1.0
160372,61.89,17.268823229643846,-1.0,1.0,-1.0,1.0
160373,61.17,16.51442958029319,1.0,1.0,1.0,1.0
160374,61.5,16.810035930942533,1.0,1.0,1.0,1.0
160375,62.03,17.30564228159188,1.0,1.0,1.0,1.0
160376,62.63,17.871248632241226,-1.0,1.0,-1.0,1.0
