,Close,Target(1),Target(30),Prediction(1),Prediction(30)
165757,35.44,-1.0,-1.0,-1.0,-1.0
165764,35.76,1.0,1.0,1.0,1.0
165777,33.86,-1.0,1.0,-1.0,1.0
165779,34.0,-1.0,1.0,-1.0,1.0
165800,36.04,-1.0,1.0,-1.0,1.0
165811,37.18,-1.0,1.0,-1.0,1.0
165814,37.54,1.0,1.0,1.0,1.0
165819,37.5,1.0,-1.0,1.0,-1.0
165829,38.42,1.0,1.0,-1.0,1.0
165840,37.68,-1.0,1.0,-1.0,1.0
165844,38.04,-1.0,1.0,-1.0,1.0
165882,33.89,-1.0,-1.0,-1.0,-1.0
165942,35.48,-1.0,1.0,-1.0,1.0
165948,37.46,-1.0,1.0,-1.0,1.0
165955,38.4,1.0,1.0,1.0,1.0
165969,39.16,-1.0,1.0,-1.0,1.0
165976,37.29,-1.0,1.0,-1.0,1.0
165978,37.96,-1.0,1.0,-1.0,1.0
165988,40.62,1.0,1.0,1.0,1.0
165999,42.07,-1.0,1.0,-1.0,1.0
166005,41.58,1.0,1.0,1.0,1.0
166011,42.9,-1.0,1.0,-1.0,1.0
166022,43.25,-1.0,-1.0,-1.0,-1.0
166045,41.5,1.0,1.0,-1.0,1.0
166066,42.4,1.0,-1.0,-1.0,-1.0
166084,40.62,-1.0,-1.0,-1.0,-1.0
166089,41.8,-1.0,-1.0,-1.0,-1.0
166094,41.03,-1.0,-1.0,-1.0,-1.0
166121,37.88,-1.0,1.0,-1.0,1.0
166141,42.34,1.0,1.0,-1.0,1.0
166145,43.37,1.0,-1.0,1.0,-1.0
166155,42.91,-1.0,1.0,-1.0,1.0
166202,48.83,1.0,1.0,1.0,1.0
166203,49.0,1.0,-1.0,1.0,-1.0
166206,49.76,-1.0,1.0,1.0,-1.0
166214,48.93,-1.0,1.0,1.0,1.0
166215,48.58,1.0,1.0,1.0,1.0
166217,48.89,-1.0,1.0,-1.0,1.0
166232,49.22,-1.0,-1.0,-1.0,1.0
166234,48.63,1.0,-1.0,1.0,-1.0
166236,50.32,-1.0,-1.0,-1.0,-1.0
166245,51.06,1.0,-1.0,1.0,-1.0
166247,50.03,1.0,-1.0,1.0,-1.0
166250,51.48,1.0,-1.0,1.0,-1.0
166254,52.5,-1.0,-1.0,-1.0,-1.0
166257,52.07,1.0,-1.0,1.0,-1.0
166258,52.18,-1.0,1.0,-1.0,1.0
166262,47.67,-1.0,1.0,-1.0,1.0
166265,48.5,-1.0,1.0,-1.0,-1.0
166271,49.08,-1.0,1.0,-1.0,1.0
166281,50.28,1.0,1.0,1.0,1.0
166282,50.43,1.0,1.0,1.0,1.0
166283,50.85,-1.0,1.0,1.0,1.0
166284,50.68,1.0,1.0,1.0,1.0
166285,51.37,1.0,1.0,1.0,1.0
166286,52.3,-1.0,1.0,-1.0,1.0
166287,51.53,1.0,1.0,1.0,1.0
166288,52.67,-1.0,1.0,-1.0,1.0
166289,51.48,1.0,1.0,1.0,1.0
166290,52.02,1.0,1.0,1.0,1.0
166291,53.39,-1.0,1.0,-1.0,1.0
166292,53.19,-1.0,1.0,-1.0,1.0
166293,52.28,-1.0,1.0,-1.0,1.0
166294,51.94,1.0,1.0,1.0,1.0
166295,53.28,1.0,1.0,1.0,-1.0
166296,54.26,-1.0,-1.0,-1.0,-1.0
166297,53.67,1.0,-1.0,1.0,-1.0
166298,54.16,1.0,-1.0,1.0,-1.0
166299,55.26,-1.0,-1.0,-1.0,-1.0
166300,55.17,1.0,-1.0,1.0,-1.0
166301,56.46,-1.0,-1.0,-1.0,-1.0
166302,56.06,1.0,-1.0,1.0,-1.0
166303,57.01,-1.0,-1.0,-1.0,-1.0
166304,56.78,-1.0,-1.0,-1.0,-1.0
166305,55.95,1.0,1.0,1.0,1.0
166306,56.27,1.0,-1.0,1.0,-1.0
166307,56.64,-1.0,-1.0,-1.0,-1.0
166308,55.61,1.0,-1.0,1.0,-1.0
166309,56.15,1.0,-1.0,1.0,-1.0
166310,56.2,-1.0,-1.0,1.0,-1.0
166311,56.03,-1.0,-1.0,1.0,-1.0
166312,54.92,1.0,-1.0,1.0,-1.0
166313,55.4,-1.0,-1.0,-1.0,-1.0
166314,55.31,1.0,-1.0,1.0,-1.0
166315,55.74,1.0,-1.0,1.0,-1.0
166316,55.86,1.0,-1.0,1.0,-1.0
166317,55.87,1.0,-1.0,1.0,-1.0
166318,56.52,-1.0,-1.0,1.0,-1.0
166319,55.44,-1.0,-1.0,-1.0,-1.0
166320,55.17,-1.0,-1.0,-1.0,-1.0
166321,54.86,-1.0,-1.0,1.0,-1.0
166322,54.4,-1.0,-1.0,-1.0,-1.0
166323,53.83,-1.0,-1.0,-1.0,-1.0
166324,53.56,-1.0,-1.0,-1.0,-1.0
166325,53.53,-1.0,-1.0,-1.0,-1.0
166326,53.02,1.0,-1.0,-1.0,-1.0
166327,53.14,1.0,-1.0,-1.0,-1.0
166328,53.56,1.0,-1.0,1.0,-1.0
166329,53.99,-1.0,-1.0,-1.0,-1.0
166330,53.82,1.0,-1.0,1.0,-1.0
166331,54.01,1.0,-1.0,1.0,-1.0
166332,55.17,1.0,-1.0,1.0,-1.0
166333,55.66,-1.0,-1.0,-1.0,-1.0
166334,55.25,1.0,-1.0,1.0,-1.0
166335,56.24,-1.0,-1.0,-1.0,-1.0
166336,55.46,-1.0,-1.0,-1.0,-1.0
166337,55.29,-1.0,-1.0,-1.0,-1.0
166338,54.63,1.0,-1.0,1.0,-1.0
166339,55.36,-1.0,-1.0,-1.0,-1.0
166340,54.56,1.0,-1.0,1.0,-1.0
166341,54.74,-1.0,-1.0,1.0,-1.0
166342,54.0,-1.0,-1.0,-1.0,-1.0
166343,53.39,-1.0,-1.0,-1.0,-1.0
166344,52.28,-1.0,-1.0,-1.0,-1.0
166345,52.09,-1.0,-1.0,-1.0,-1.0
166346,51.81,-1.0,-1.0,-1.0,-1.0
166347,51.19,-1.0,-1.0,-1.0,-1.0
166348,50.45,1.0,-1.0,1.0,-1.0
