,Close,Target(1),Target(30),Prediction(1),Prediction(30)
169453,35.23,-1.0,1.0,-1.0,1.0
169708,29.67,-1.0,-1.0,-1.0,-1.0
169709,29.63,-1.0,-1.0,-1.0,-1.0
169775,31.84,-1.0,1.0,-1.0,1.0
169776,31.72,1.0,1.0,1.0,1.0
169777,32.04,1.0,1.0,1.0,1.0
169778,32.33,1.0,1.0,1.0,1.0
169779,33.11,-1.0,-1.0,-1.0,-1.0
169780,33.1,-1.0,-1.0,-1.0,-1.0
169781,32.75,1.0,1.0,1.0,1.0
169782,33.16,1.0,-1.0,-1.0,-1.0
169783,33.63,-1.0,-1.0,-1.0,-1.0
169784,33.18,1.0,-1.0,1.0,-1.0
169785,33.45,-1.0,-1.0,-1.0,-1.0
169786,33.43,-1.0,1.0,-1.0,-1.0
169787,33.06,1.0,1.0,1.0,1.0
169788,33.53,1.0,0.0,-1.0,0.0
169789,33.73,1.0,-1.0,1.0,-1.0
169790,34.26,-1.0,-1.0,-1.0,-1.0
169791,34.16,-1.0,-1.0,-1.0,-1.0
169792,33.66,1.0,-1.0,1.0,-1.0
169793,34.42,1.0,-1.0,1.0,-1.0
169794,35.17,1.0,-1.0,-1.0,-1.0
169795,35.25,-1.0,-1.0,-1.0,-1.0
169796,34.14,1.0,-1.0,1.0,-1.0
169797,34.15,1.0,1.0,1.0,1.0
169798,34.25,-1.0,1.0,-1.0,1.0
169799,34.17,-1.0,1.0,-1.0,1.0
169800,33.78,-1.0,1.0,-1.0,1.0
169801,33.77,-1.0,1.0,-1.0,1.0
169802,33.53,1.0,1.0,1.0,1.0
169803,33.8,-1.0,1.0,-1.0,1.0
169804,33.45,-1.0,1.0,-1.0,1.0
169805,33.26,-1.0,1.0,-1.0,1.0
169806,32.74,1.0,1.0,1.0,1.0
169807,32.99,1.0,1.0,1.0,1.0
169808,33.27,-1.0,1.0,-1.0,1.0
169809,33.0,-1.0,1.0,-1.0,1.0
169810,32.92,0.0,1.0,-1.0,1.0
169811,32.92,1.0,1.0,-1.0,1.0
169812,33.03,-1.0,-1.0,-1.0,-1.0
169813,32.82,1.0,-1.0,1.0,-1.0
169814,33.16,1.0,-1.0,1.0,-1.0
169815,33.35,1.0,-1.0,1.0,-1.0
169816,33.46,1.0,-1.0,1.0,-1.0
169817,33.68,-1.0,-1.0,-1.0,-1.0
169818,33.53,-1.0,-1.0,1.0,-1.0
169819,33.3,-1.0,-1.0,-1.0,-1.0
169820,32.9,-1.0,-1.0,-1.0,-1.0
169821,32.86,-1.0,-1.0,-1.0,-1.0
169822,32.83,-1.0,-1.0,-1.0,-1.0
169823,32.81,-1.0,-1.0,-1.0,-1.0
169824,32.33,1.0,-1.0,1.0,1.0
169825,33.63,1.0,-1.0,1.0,-1.0
169826,33.72,1.0,-1.0,1.0,-1.0
169827,34.28,1.0,-1.0,1.0,-1.0
169828,34.34,-1.0,-1.0,-1.0,-1.0
169829,34.33,-1.0,-1.0,-1.0,-1.0
169830,34.3,1.0,-1.0,1.0,-1.0
169831,34.78,-1.0,-1.0,-1.0,-1.0
169832,34.41,-1.0,-1.0,-1.0,-1.0
169833,34.24,-1.0,-1.0,-1.0,-1.0
169834,34.07,1.0,1.0,1.0,1.0
169835,34.55,-1.0,-1.0,-1.0,-1.0
169836,33.63,1.0,1.0,1.0,1.0
169837,33.74,-1.0,1.0,-1.0,1.0
169838,33.63,-1.0,1.0,-1.0,-1.0
169839,33.38,-1.0,1.0,-1.0,1.0
169840,33.07,-1.0,1.0,-1.0,1.0
169841,32.95,-1.0,1.0,-1.0,1.0
169842,32.92,-1.0,1.0,-1.0,1.0
169843,32.42,1.0,1.0,1.0,1.0
169844,32.92,-1.0,1.0,-1.0,1.0
169845,32.91,-1.0,1.0,-1.0,1.0
169846,32.62,-1.0,1.0,-1.0,1.0
169847,32.01,1.0,1.0,1.0,1.0
169848,32.13,-1.0,1.0,-1.0,1.0
169849,31.91,-1.0,1.0,-1.0,1.0
169850,31.68,-1.0,1.0,-1.0,1.0
169851,31.64,-1.0,1.0,-1.0,1.0
169852,31.34,1.0,1.0,1.0,1.0
169853,31.46,-1.0,1.0,-1.0,1.0
169854,30.36,0.0,1.0,1.0,1.0
169855,30.36,1.0,1.0,1.0,1.0
169856,30.89,1.0,1.0,1.0,1.0
169857,31.78,1.0,1.0,1.0,1.0
169858,32.13,1.0,1.0,1.0,1.0
169859,32.74,-1.0,1.0,-1.0,1.0
169860,32.64,1.0,1.0,1.0,1.0
169861,33.4,1.0,1.0,1.0,1.0
169862,33.59,1.0,1.0,1.0,1.0
169863,33.96,1.0,1.0,1.0,1.0
169864,34.52,0.0,1.0,0.0,-1.0
169865,34.52,-1.0,-1.0,-1.0,-1.0
169866,34.46,-1.0,-1.0,-1.0,-1.0
169867,34.42,1.0,-1.0,-1.0,-1.0
169868,36.2,1.0,-1.0,1.0,-1.0
169869,36.97,1.0,-1.0,1.0,-1.0
169870,37.54,-1.0,-1.0,-1.0,-1.0
169871,37.28,1.0,-1.0,1.0,-1.0
169872,37.5,1.0,-1.0,1.0,-1.0
169873,37.79,-1.0,-1.0,-1.0,-1.0
169874,37.1,1.0,-1.0,1.0,-1.0
169875,37.16,1.0,-1.0,1.0,-1.0
169876,37.35,-1.0,-1.0,-1.0,-1.0
169877,36.95,-1.0,-1.0,-1.0,-1.0
169878,36.81,-1.0,-1.0,-1.0,-1.0
169879,36.7,-1.0,-1.0,-1.0,-1.0
169880,36.62,-1.0,-1.0,-1.0,-1.0
169881,36.52,-1.0,-1.0,-1.0,-1.0
169882,36.15,-1.0,-1.0,-1.0,-1.0
169883,36.11,-1.0,-1.0,-1.0,-1.0
169884,35.67,1.0,-1.0,1.0,-1.0
169885,35.82,-1.0,-1.0,-1.0,-1.0
169886,35.54,1.0,-1.0,1.0,-1.0
169887,35.82,1.0,-1.0,1.0,-1.0
169888,36.14,1.0,-1.0,1.0,-1.0
169889,36.23,-1.0,-1.0,-1.0,-1.0
169890,35.94,-1.0,-1.0,-1.0,-1.0
169891,35.4,1.0,-1.0,1.0,-1.0
169892,35.77,-1.0,-1.0,-1.0,-1.0
169893,35.27,1.0,-1.0,1.0,-1.0
169894,35.39,-1.0,-1.0,-1.0,-1.0
169895,34.5,-1.0,1.0,-1.0,1.0
169896,34.43,-1.0,1.0,-1.0,1.0
169897,34.39,-1.0,-1.0,-1.0,1.0
169898,33.68,1.0,1.0,1.0,1.0
169899,33.86,-1.0,1.0,-1.0,1.0
169900,33.68,1.0,1.0,1.0,1.0
169901,33.74,1.0,1.0,-1.0,1.0
169902,34.08,1.0,1.0,1.0,1.0
169903,34.52,1.0,1.0,1.0,1.0
169904,34.81,1.0,1.0,1.0,1.0
169905,34.88,1.0,0.0,1.0,0.0
169906,34.95,1.0,-1.0,1.0,-1.0
169907,35.46,1.0,-1.0,-1.0,-1.0
169908,35.69,1.0,-1.0,1.0,-1.0
169909,36.21,-1.0,-1.0,-1.0,-1.0
169910,35.74,-1.0,-1.0,-1.0,-1.0
169911,35.46,1.0,-1.0,-1.0,-1.0
169912,35.67,-1.0,-1.0,-1.0,-1.0
169913,35.54,1.0,-1.0,1.0,-1.0
169914,35.66,-1.0,-1.0,-1.0,-1.0
169915,35.22,1.0,-1.0,1.0,-1.0
169916,35.38,-1.0,-1.0,-1.0,-1.0
169917,35.34,-1.0,-1.0,-1.0,-1.0
169918,34.66,1.0,1.0,1.0,1.0
169919,35.26,-1.0,-1.0,-1.0,-1.0
169920,35.2,-1.0,1.0,-1.0,1.0
169921,35.03,-1.0,1.0,-1.0,1.0
169922,34.75,-1.0,1.0,-1.0,1.0
169923,34.18,1.0,1.0,1.0,1.0
169924,34.63,-1.0,1.0,-1.0,1.0
169925,34.51,1.0,1.0,-1.0,1.0
169926,34.75,-1.0,1.0,-1.0,1.0
169927,34.08,1.0,1.0,1.0,1.0
169928,35.13,-1.0,1.0,-1.0,1.0
169929,34.9,1.0,1.0,1.0,1.0
169930,35.08,-1.0,1.0,-1.0,1.0
169931,35.06,1.0,1.0,-1.0,1.0
169932,35.47,-1.0,-1.0,-1.0,-1.0
169933,35.09,1.0,1.0,1.0,1.0
169934,35.28,-1.0,-1.0,-1.0,-1.0
169935,34.88,-1.0,1.0,1.0,1.0
169936,34.46,-1.0,1.0,-1.0,1.0
169937,34.36,1.0,1.0,1.0,1.0
169938,34.53,1.0,1.0,-1.0,1.0
169939,34.7,-1.0,1.0,-1.0,1.0
169940,34.28,1.0,1.0,1.0,1.0
169941,34.55,-1.0,1.0,-1.0,1.0
169942,34.25,-1.0,1.0,-1.0,1.0
169943,33.88,1.0,1.0,1.0,1.0
169944,34.21,1.0,1.0,1.0,1.0
169945,34.76,1.0,1.0,1.0,1.0
169946,35.1,-1.0,1.0,-1.0,1.0
169947,34.78,1.0,1.0,1.0,1.0
169948,35.22,0.0,1.0,0.0,1.0
