,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
170452,34.09,-22.948227673963608,1.0,1.0,1.0,1.0
170453,34.61,-22.41720967154296,1.0,1.0,1.0,1.0
170454,35.01,-22.00619166912231,-1.0,1.0,-1.0,1.0
170455,34.87,-22.13517366670165,1.0,1.0,1.0,1.0
170456,34.88,-22.114155664281,1.0,1.0,1.0,1.0
170457,35.27,-21.71313766186034,1.0,1.0,1.0,1.0
170458,35.73,-21.242119659439698,-1.0,1.0,-1.0,1.0
170459,35.49,-21.471101657019037,-1.0,1.0,-1.0,1.0
170460,34.47,-22.48008365459839,-1.0,1.0,-1.0,1.0
170461,34.32,-22.61906565217774,-1.0,1.0,-1.0,1.0
170462,34.19,-22.738047649757085,1.0,1.0,1.0,1.0
170463,34.7,-22.21702964733643,1.0,1.0,1.0,1.0
170464,34.73,-22.176011644915786,1.0,1.0,1.0,1.0
170465,35.38,-21.514993642495128,1.0,1.0,1.0,1.0
170466,35.47,-21.41397564007448,1.0,1.0,1.0,1.0
170467,36.18,-20.692957637653826,-1.0,1.0,-1.0,1.0
170468,36.05,-20.81193963523317,1.0,1.0,1.0,1.0
170469,36.44,-20.410921632812524,-1.0,1.0,-1.0,1.0
170470,36.38,-20.459903630391864,1.0,1.0,1.0,1.0
170471,36.56,-20.268885627971216,0.0,1.0,0.0,1.0
170472,36.56,-20.25786762555056,1.0,1.0,-1.0,1.0
170473,37.18,-19.626849623129907,-1.0,1.0,-1.0,1.0
170474,36.69,-20.10583162070926,-1.0,1.0,-1.0,1.0
170475,36.44,-20.344813618288605,1.0,1.0,1.0,1.0
170476,37.02,-19.753795615867947,-1.0,1.0,-1.0,1.0
170477,36.87,-19.8927776134473,-1.0,1.0,-1.0,1.0
170478,36.47,-20.28175961102665,1.0,1.0,-1.0,1.0
170479,37.18,-19.560741608605994,1.0,1.0,1.0,1.0
170480,37.69,-19.039723606185348,-1.0,1.0,-1.0,1.0
170481,37.55,-19.168705603764693,1.0,1.0,1.0,1.0
170482,38.86,-17.847687601344038,-1.0,1.0,-1.0,1.0
170483,38.58,-18.116669598923387,-1.0,1.0,-1.0,1.0
170484,38.49,-18.195651596502724,-1.0,1.0,-1.0,1.0
170485,38.27,-18.404633594082078,-1.0,1.0,-1.0,1.0
170486,38.05,-18.61361559166143,-1.0,1.0,-1.0,1.0
170487,37.82,-18.832597589240773,1.0,1.0,1.0,1.0
170488,38.23,-18.411579586820125,-1.0,1.0,-1.0,1.0
170489,38.08,-18.550561584399475,-1.0,1.0,-1.0,1.0
170490,37.85,-18.769543581978816,1.0,1.0,1.0,1.0
170491,38.34,-18.268525579558165,1.0,1.0,1.0,1.0
170492,38.35,-18.24750757713751,1.0,1.0,1.0,1.0
170493,38.65,-17.936489574716862,1.0,1.0,-1.0,1.0
170494,38.7,-17.875471572296203,1.0,-1.0,1.0,-1.0
170495,40.31,-16.25445356987555,-1.0,1.0,-1.0,1.0
170496,39.98,-16.573435567454908,-1.0,1.0,-1.0,1.0
170497,39.91,-16.632417565034253,-1.0,1.0,-1.0,1.0
170498,39.52,-17.011399562613594,1.0,1.0,1.0,1.0
170499,40.14,-16.380381560192944,1.0,-1.0,1.0,-1.0
170500,40.54,-15.969363557772295,1.0,-1.0,1.0,-1.0
170501,40.73,-15.768345555351644,-1.0,-1.0,-1.0,-1.0
170502,40.49,-15.997327552930988,-1.0,-1.0,-1.0,-1.0
170503,40.47,-16.006309550510338,1.0,-1.0,1.0,-1.0
170504,41.34,-15.125291548089685,-1.0,-1.0,-1.0,-1.0
170505,41.18,-15.274273545669034,1.0,-1.0,-1.0,-1.0
170506,41.54,-14.903255543248378,1.0,-1.0,1.0,-1.0
170507,42.61,-13.822237540827727,1.0,-1.0,1.0,1.0
170508,42.99,-13.43121953840707,-1.0,-1.0,-1.0,1.0
170509,42.31,-14.100201535986422,-1.0,-1.0,-1.0,-1.0
170510,41.88,-14.519183533565768,1.0,-1.0,1.0,-1.0
170511,42.03,-14.35816553114512,1.0,-1.0,1.0,-1.0
170512,43.04,-13.337147528724465,1.0,-1.0,1.0,-1.0
170513,43.19,-13.176129526303818,1.0,-1.0,1.0,-1.0
170514,43.62,-12.73511152388316,-1.0,-1.0,-1.0,-1.0
170515,43.46,-12.884093521462509,-1.0,-1.0,1.0,-1.0
170516,41.97,-14.363075519041855,1.0,-1.0,1.0,-1.0
170517,42.35,-13.972057516621199,1.0,-1.0,1.0,-1.0
170518,43.11,-13.201039514200554,-1.0,-1.0,-1.0,-1.0
170519,41.75,-14.550021511779894,1.0,1.0,-1.0,1.0
170520,43.03,-13.259003509359244,-1.0,1.0,-1.0,1.0
170521,41.83,-14.447985506938592,-1.0,1.0,-1.0,-1.0
170522,40.78,-15.486967504517944,-1.0,1.0,-1.0,-1.0
170523,39.12,-17.13594950209729,-1.0,1.0,-1.0,1.0
170524,38.28,-17.964931499676638,1.0,1.0,1.0,1.0
170525,41.07,-15.163913497255983,1.0,-1.0,1.0,-1.0
170526,41.45,-14.772895494835332,1.0,-1.0,1.0,-1.0
170527,42.4,-13.811877492414679,-1.0,-1.0,-1.0,-1.0
170528,41.63,-14.570859489994021,-1.0,-1.0,-1.0,-1.0
170529,40.06,-16.129841487573373,1.0,-1.0,1.0,-1.0
170530,40.2,-15.978823485152715,-1.0,-1.0,-1.0,-1.0
170531,39.26,-16.907805482732073,-1.0,-1.0,-1.0,-1.0
170532,38.83,-17.326787480311417,-1.0,-1.0,1.0,-1.0
170533,37.81,-18.335769477890764,1.0,-1.0,1.0,1.0
170534,38.43,-17.704751475470108,1.0,-1.0,1.0,-1.0
170535,38.74,-17.38373347304946,1.0,-1.0,1.0,-1.0
170536,39.09,-17.022715470628807,1.0,-1.0,1.0,-1.0
170537,39.36,-16.74169746820816,1.0,-1.0,1.0,-1.0
170538,41.95,-14.1406794657875,-1.0,-1.0,-1.0,-1.0
170539,41.11,-14.969661463366847,-1.0,-1.0,-1.0,-1.0
170540,40.27,-15.798643460946195,1.0,-1.0,-1.0,-1.0
170541,41.6,-14.457625458525538,1.0,-1.0,-1.0,-1.0
170542,41.95,-14.096607456104893,-1.0,-1.0,-1.0,-1.0
170543,39.59,-16.445589453684235,-1.0,-1.0,-1.0,-1.0
170544,39.15,-16.87457145126359,1.0,-1.0,-1.0,-1.0
170545,39.87,-16.143553448842937,1.0,-1.0,1.0,-1.0
170546,40.81,-15.192535446422285,1.0,-1.0,1.0,-1.0
170547,42.16,-13.831517444001634,1.0,-1.0,1.0,-1.0
170548,42.81,-13.17049944158098,1.0,-1.0,1.0,-1.0
170549,43.31,-12.659481439160324,1.0,-1.0,1.0,-1.0
170550,44.32,-11.638463436739675,-1.0,-1.0,-1.0,1.0
170551,43.51,-12.437445434319027,-1.0,-1.0,-1.0,-1.0
170552,43.2,-12.736427431898365,-1.0,-1.0,-1.0,-1.0
170553,43.11,-12.815409429477718,-1.0,-1.0,-1.0,-1.0
170554,42.16,-13.754391427057064,-1.0,-1.0,-1.0,-1.0
170555,40.71,-15.193373424636412,-1.0,-1.0,-1.0,-1.0
170556,40.6,-15.292355422215755,-1.0,-1.0,-1.0,-1.0
170557,39.48,-16.401337419795112,-1.0,-1.0,-1.0,-1.0
170558,39.16,-16.710319417374457,-1.0,1.0,-1.0,1.0
170559,39.03,-16.829301414953804,-1.0,1.0,-1.0,1.0
170560,37.01,-18.838283412533148,-1.0,1.0,-1.0,1.0
170561,36.55,-19.287265410112497,-1.0,1.0,-1.0,1.0
170562,36.46,-19.366247407691844,-1.0,1.0,-1.0,1.0
170563,35.77,-20.045229405271183,-1.0,1.0,-1.0,1.0
170564,34.7,-21.104211402850535,1.0,1.0,1.0,1.0
170565,36.08,-19.713193400429887,1.0,1.0,1.0,1.0
170566,36.12,-19.66217539800924,1.0,1.0,-1.0,1.0
170567,36.5,-19.271157395588578,-1.0,1.0,-1.0,1.0
170568,36.03,-19.73013939316793,1.0,1.0,1.0,1.0
170569,37.16,-18.58912139074728,-1.0,1.0,-1.0,1.0
170570,36.77,-18.968103388326625,-1.0,1.0,-1.0,1.0
170571,36.75,-18.977085385905973,-1.0,-1.0,1.0,1.0
170572,34.76,-20.95606738348533,-1.0,1.0,-1.0,1.0
170573,34.37,-21.33504938106467,1.0,1.0,1.0,1.0
170574,35.25,-20.44403137864401,-1.0,1.0,-1.0,1.0
170575,35.1,-20.583013376223363,1.0,1.0,1.0,1.0
170576,36.65,-19.021995373802714,1.0,1.0,1.0,1.0
170577,37.37,-18.290977371382066,1.0,1.0,1.0,1.0
170578,38.07,-17.579959368961404,-1.0,1.0,-1.0,1.0
170579,37.05,-18.588941366540762,-1.0,1.0,1.0,1.0
170580,36.68,-18.9479233641201,-1.0,1.0,-1.0,1.0
170581,36.45,-19.16690536169945,1.0,1.0,1.0,1.0
170582,36.97,-18.6358873592788,1.0,1.0,1.0,1.0
170583,38.43,-17.164869356858148,-1.0,1.0,-1.0,1.0
170584,37.1,-18.483851354437487,1.0,1.0,1.0,1.0
170585,39.3,-16.27283335201684,-1.0,1.0,-1.0,1.0
170586,38.73,-16.83181534959619,1.0,1.0,-1.0,1.0
170587,38.96,-16.590797347175528,1.0,1.0,1.0,1.0
170588,39.24,-16.29977934475488,-1.0,1.0,-1.0,1.0
170589,39.1,-16.428761342334226,-1.0,1.0,-1.0,1.0
170590,37.71,-17.80774333991358,1.0,1.0,1.0,1.0
170591,37.81,-17.69672533749292,-1.0,1.0,1.0,1.0
170592,37.31,-18.185707335072273,-1.0,1.0,-1.0,1.0
170593,37.24,-18.244689332651614,1.0,1.0,1.0,1.0
170594,37.88,-17.59367133023097,1.0,1.0,-1.0,1.0
170595,38.06,-17.402653327810313,-1.0,1.0,1.0,1.0
170596,37.16,-18.291635325389663,1.0,1.0,1.0,1.0
170597,37.31,-18.130617322969012,1.0,1.0,1.0,1.0
170598,37.8,-17.629599320548362,-1.0,1.0,-1.0,1.0
170599,37.28,-18.138581318127702,1.0,1.0,1.0,1.0
170600,37.85,-17.557563315707053,-1.0,1.0,1.0,1.0
170601,36.66,-18.736545313286406,1.0,1.0,1.0,1.0
170602,36.92,-18.465527310865745,-1.0,1.0,1.0,1.0
170603,35.77,-19.604509308445092,1.0,1.0,1.0,1.0
170604,35.84,-19.523491306024443,1.0,1.0,1.0,1.0
170605,37.59,-17.76247330360379,1.0,1.0,1.0,1.0
170606,38.16,-17.181455301183142,1.0,1.0,1.0,1.0
170607,39.12,-16.210437298762493,-1.0,1.0,-1.0,1.0
170608,38.78,-16.539419296341833,1.0,1.0,1.0,1.0
170609,39.29,-16.01840129392118,-1.0,1.0,-1.0,1.0
170610,39.08,-16.217383291500532,-1.0,1.0,-1.0,1.0
170611,38.95,-16.336365289079872,1.0,1.0,1.0,1.0
170612,40.03,-15.245347286659223,1.0,1.0,-1.0,1.0
170613,40.69,-14.574329284238573,1.0,1.0,1.0,1.0
170614,41.45,-13.80331128181792,1.0,1.0,1.0,1.0
170615,41.5,-13.742293279397266,1.0,1.0,1.0,1.0
170616,41.55,-13.681275276976619,1.0,1.0,1.0,1.0
170617,41.73,-13.490257274555965,1.0,1.0,1.0,1.0
170618,41.78,-13.429239272135305,-1.0,1.0,-1.0,1.0
170619,41.38,-13.818221269714654,-1.0,1.0,-1.0,1.0
170620,41.01,-14.177203267294006,1.0,1.0,1.0,-1.0
170621,42.44,-12.736185264873354,1.0,1.0,1.0,-1.0
170622,42.57,-12.595167262452698,1.0,1.0,1.0,-1.0
170623,43.71,-11.444149260032045,-1.0,1.0,-1.0,1.0
170624,43.13,-12.013131257611391,-1.0,1.0,-1.0,1.0
170625,42.96,-12.172113255190744,1.0,1.0,1.0,1.0
170626,43.12,-12.001095252770092,-1.0,1.0,-1.0,1.0
170627,42.9,-12.210077250349446,1.0,1.0,1.0,1.0
170628,43.65,-11.449059247928787,-1.0,1.0,-1.0,1.0
170629,43.48,-11.608041245508142,1.0,1.0,1.0,1.0
170630,43.9,-11.177023243087485,1.0,1.0,1.0,1.0
170631,44.37,-10.696005240666828,-1.0,1.0,-1.0,1.0
170632,43.9,-11.154987238246179,1.0,1.0,1.0,1.0
170633,44.29,-10.753969235825524,-1.0,1.0,-1.0,1.0
170634,44.23,-10.802951233404878,-1.0,1.0,-1.0,1.0
170635,44.2,-10.821933230984213,1.0,1.0,1.0,1.0
170636,44.73,-10.280915228563572,1.0,1.0,1.0,1.0
170637,44.77,-10.22989722614291,-1.0,1.0,-1.0,1.0
170638,43.52,-11.46887922372226,1.0,1.0,1.0,1.0
170639,44.15,-10.82786122130161,1.0,1.0,1.0,1.0
170640,44.42,-10.546843218880953,1.0,1.0,1.0,1.0
170641,44.55,-10.405825216460306,-1.0,1.0,-1.0,1.0
170642,44.48,-10.464807214039652,1.0,1.0,1.0,1.0
170643,49.78,-5.153789211618999,-1.0,1.0,1.0,1.0
170644,49.7,-5.222771209198342,-1.0,1.0,-1.0,1.0
170645,49.65,-5.261753206777699,1.0,1.0,1.0,1.0
170646,50.0,-4.900735204357041,1.0,1.0,1.0,1.0
170647,50.12,-4.769717201936395,-1.0,1.0,1.0,1.0
170648,49.76,-5.1186991995157385,1.0,1.0,1.0,1.0
170649,50.5,-4.367681197095088,1.0,1.0,1.0,1.0
170650,52.4,-2.4566631946744337,1.0,1.0,1.0,1.0
170651,52.92,-1.9256451922537818,1.0,1.0,1.0,1.0
170652,53.02,-1.8146271898331248,-1.0,1.0,-1.0,1.0
170653,52.25,-2.5736091874124725,1.0,1.0,1.0,1.0
170654,52.72,-2.092591184991825,-1.0,1.0,-1.0,1.0
170655,52.7,-2.101573182571165,-1.0,1.0,-1.0,1.0
170656,51.56,-3.230555180150517,1.0,1.0,1.0,1.0
170657,52.32,-2.4595371777298642,-1.0,1.0,-1.0,1.0
170658,50.84,-3.928519175309212,1.0,1.0,1.0,1.0
170659,52.52,-2.2375011728885568,1.0,1.0,1.0,1.0
170660,54.29,-0.4564831704679122,1.0,1.0,1.0,1.0
170661,54.48,-0.25546516804725883,1.0,-1.0,1.0,-1.0
170662,55.22,0.4955528343733917,-1.0,-1.0,1.0,-1.0
170663,54.57,-0.14342916320595125,1.0,-1.0,1.0,-1.0
170664,56.63,1.9275888392147067,-1.0,-1.0,-1.0,-1.0
170665,55.9,1.2086068416353513,1.0,-1.0,1.0,-1.0
170666,55.96,1.2796248440560092,1.0,-1.0,1.0,-1.0
170667,56.54,1.8706428464766558,1.0,-1.0,1.0,-1.0
170668,56.63,1.9716608488973149,1.0,-1.0,1.0,-1.0
170669,56.85,2.2026788513179625,-1.0,-1.0,-1.0,-1.0
170670,56.61,1.973696853738616,-1.0,-1.0,-1.0,-1.0
170671,55.91,1.2847148561592618,1.0,-1.0,1.0,-1.0
170672,56.09,1.4757328585799243,-1.0,-1.0,-1.0,-1.0
170673,56.07,1.4667508610005695,1.0,-1.0,1.0,-1.0
170674,57.12,2.5277688634212225,1.0,-1.0,-1.0,-1.0
