,Close,Target(1),Target(30),Prediction(1),Prediction(30)
172319,53.51,-1.0,1.0,-1.0,1.0
172320,53.16,1.0,1.0,1.0,1.0
172321,53.64,-1.0,1.0,-1.0,1.0
172322,53.3,-1.0,1.0,1.0,1.0
172323,53.19,1.0,1.0,-1.0,1.0
172324,54.04,1.0,1.0,1.0,1.0
172325,54.88,-1.0,1.0,-1.0,1.0
172326,54.75,-1.0,1.0,-1.0,1.0
172327,53.11,-1.0,1.0,-1.0,1.0
172328,52.91,-1.0,1.0,-1.0,1.0
172329,52.23,1.0,1.0,1.0,1.0
172330,53.3,-1.0,1.0,-1.0,-1.0
172331,52.9,1.0,1.0,1.0,1.0
172332,53.55,-1.0,1.0,-1.0,1.0
172333,53.06,1.0,1.0,1.0,1.0
172334,54.13,1.0,1.0,1.0,1.0
172335,54.29,1.0,1.0,1.0,1.0
172336,55.24,1.0,1.0,1.0,1.0
172337,55.47,-1.0,1.0,-1.0,1.0
172338,55.01,-1.0,1.0,-1.0,1.0
172339,54.31,1.0,1.0,1.0,1.0
172340,54.93,-1.0,1.0,-1.0,1.0
172341,54.86,1.0,1.0,1.0,1.0
172342,56.28,1.0,1.0,1.0,1.0
172343,58.39,1.0,1.0,1.0,1.0
172344,58.75,1.0,1.0,1.0,1.0
172345,58.98,1.0,1.0,1.0,1.0
172346,59.73,1.0,1.0,1.0,1.0
172347,60.04,-1.0,1.0,1.0,1.0
172348,59.49,1.0,1.0,1.0,1.0
172349,60.6,1.0,1.0,1.0,1.0
172350,60.9,1.0,1.0,1.0,1.0
172351,61.21,-1.0,1.0,-1.0,1.0
172352,60.93,-1.0,1.0,-1.0,1.0
172353,60.3,1.0,1.0,1.0,1.0
172354,60.52,1.0,1.0,1.0,1.0
172355,60.69,1.0,1.0,1.0,1.0
172356,61.16,1.0,1.0,1.0,1.0
172357,62.97,-1.0,1.0,-1.0,1.0
172358,62.59,1.0,1.0,1.0,1.0
172359,62.85,-1.0,1.0,1.0,1.0
172360,62.54,1.0,-1.0,1.0,-1.0
172361,62.67,1.0,-1.0,1.0,-1.0
172362,62.98,1.0,1.0,1.0,-1.0
172363,63.4,-1.0,1.0,-1.0,1.0
172364,63.13,-1.0,1.0,-1.0,1.0
172365,62.59,1.0,1.0,-1.0,-1.0
172366,62.87,-1.0,-1.0,-1.0,-1.0
172367,62.76,1.0,-1.0,1.0,1.0
172368,63.04,-1.0,-1.0,-1.0,-1.0
172369,62.48,1.0,-1.0,1.0,-1.0
172370,62.99,1.0,-1.0,1.0,-1.0
172371,63.51,1.0,-1.0,1.0,1.0
172372,64.2,-1.0,-1.0,-1.0,-1.0
172373,63.8,1.0,-1.0,1.0,-1.0
172374,64.27,1.0,-1.0,1.0,-1.0
172375,64.66,-1.0,-1.0,-1.0,-1.0
172376,64.2,-1.0,-1.0,-1.0,-1.0
172377,63.93,1.0,-1.0,1.0,-1.0
172378,64.62,1.0,-1.0,-1.0,-1.0
172379,65.99,1.0,-1.0,1.0,-1.0
172380,67.84,-1.0,-1.0,-1.0,-1.0
172381,65.9,1.0,-1.0,1.0,-1.0
172382,66.4,-1.0,-1.0,-1.0,-1.0
172383,64.84,1.0,-1.0,1.0,-1.0
172384,64.94,1.0,-1.0,1.0,-1.0
172385,66.27,-1.0,-1.0,-1.0,-1.0
172386,65.0,1.0,-1.0,1.0,-1.0
172387,66.6,-1.0,-1.0,-1.0,-1.0
172388,64.65,-1.0,-1.0,-1.0,-1.0
172389,64.11,-1.0,-1.0,-1.0,-1.0
172390,61.64,-1.0,-1.0,-1.0,-1.0
172391,60.15,1.0,-1.0,1.0,-1.0
172392,63.58,1.0,-1.0,1.0,-1.0
172393,63.77,1.0,-1.0,1.0,-1.0
172394,65.07,-1.0,-1.0,-1.0,-1.0
172395,63.64,-1.0,-1.0,-1.0,-1.0
172396,61.6,1.0,-1.0,1.0,-1.0
172397,61.7,-1.0,-1.0,-1.0,-1.0
172398,60.74,-1.0,-1.0,-1.0,-1.0
172399,59.39,-1.0,-1.0,-1.0,-1.0
172400,56.23,1.0,-1.0,-1.0,-1.0
172401,58.94,-1.0,-1.0,-1.0,-1.0
172402,57.97,-1.0,-1.0,-1.0,-1.0
172403,57.58,1.0,-1.0,1.0,-1.0
172404,57.6,1.0,-1.0,1.0,-1.0
172405,59.37,-1.0,-1.0,-1.0,-1.0
172406,58.34,-1.0,-1.0,-1.0,-1.0
172407,57.15,1.0,-1.0,1.0,-1.0
172408,58.63,1.0,-1.0,1.0,-1.0
172409,58.71,-1.0,-1.0,-1.0,-1.0
172410,56.04,-1.0,-1.0,-1.0,-1.0
172411,54.5,1.0,1.0,1.0,1.0
172412,55.03,-1.0,-1.0,-1.0,1.0
172413,54.81,1.0,1.0,1.0,1.0
172414,56.57,1.0,1.0,1.0,1.0
172415,57.23,-1.0,1.0,-1.0,1.0
172416,56.94,1.0,1.0,1.0,1.0
172417,58.86,1.0,-1.0,1.0,-1.0
172418,58.93,-1.0,-1.0,-1.0,-1.0
172419,58.27,1.0,-1.0,1.0,-1.0
172420,58.57,-1.0,-1.0,-1.0,-1.0
172421,58.34,-1.0,-1.0,-1.0,-1.0
172422,57.41,1.0,1.0,1.0,1.0
172423,57.55,-1.0,1.0,-1.0,1.0
172424,56.65,-1.0,1.0,-1.0,1.0
172425,56.24,1.0,1.0,-1.0,1.0
172426,56.57,-1.0,1.0,-1.0,1.0
172427,53.65,-1.0,1.0,-1.0,1.0
172428,53.13,-1.0,1.0,1.0,1.0
172429,52.68,-1.0,1.0,-1.0,1.0
172430,52.48,1.0,1.0,1.0,1.0
172431,52.5,1.0,1.0,1.0,1.0
172432,54.16,1.0,1.0,1.0,1.0
172433,55.06,-1.0,1.0,-1.0,1.0
172434,54.89,-1.0,1.0,-1.0,1.0
172435,54.38,1.0,-1.0,1.0,-1.0
172436,55.8,1.0,-1.0,1.0,1.0
172437,56.13,-1.0,-1.0,-1.0,-1.0
172438,56.06,-1.0,-1.0,-1.0,-1.0
172439,54.16,1.0,1.0,1.0,1.0
172440,54.25,1.0,1.0,1.0,1.0
172441,54.6,-1.0,-1.0,1.0,1.0
172442,54.25,1.0,1.0,1.0,1.0
172443,55.84,1.0,1.0,1.0,1.0
172444,56.76,1.0,1.0,1.0,1.0
172445,57.85,-1.0,-1.0,-1.0,-1.0
172446,57.37,-1.0,1.0,-1.0,1.0
172447,57.16,-1.0,1.0,-1.0,1.0
172448,57.01,1.0,1.0,1.0,1.0
172449,57.16,1.0,1.0,1.0,1.0
172450,58.36,-1.0,-1.0,-1.0,-1.0
172451,58.06,1.0,-1.0,1.0,-1.0
172452,58.76,-1.0,-1.0,-1.0,-1.0
172453,58.64,-1.0,-1.0,-1.0,1.0
172454,58.47,1.0,1.0,1.0,1.0
172455,58.82,-1.0,-1.0,-1.0,-1.0
172456,58.34,-1.0,-1.0,1.0,-1.0
172457,55.97,-1.0,1.0,1.0,1.0
172458,55.31,1.0,1.0,1.0,1.0
172459,55.46,-1.0,1.0,-1.0,1.0
172460,54.95,1.0,1.0,1.0,1.0
172461,56.36,1.0,1.0,1.0,1.0
172462,56.52,-1.0,1.0,-1.0,1.0
172463,55.36,-1.0,1.0,-1.0,1.0
172464,55.29,-1.0,1.0,1.0,1.0
172465,54.26,-1.0,1.0,-1.0,1.0
172466,53.0,1.0,1.0,1.0,1.0
172467,53.55,1.0,1.0,-1.0,1.0
172468,54.17,1.0,1.0,1.0,1.0
172469,55.82,-1.0,1.0,-1.0,1.0
172470,54.93,-1.0,1.0,-1.0,1.0
172471,53.93,1.0,1.0,1.0,1.0
172472,56.35,1.0,1.0,1.0,1.0
172473,57.15,1.0,1.0,1.0,1.0
172474,57.78,-1.0,1.0,-1.0,-1.0
172475,57.28,1.0,1.0,1.0,-1.0
172476,57.64,-1.0,1.0,-1.0,1.0
172477,57.23,1.0,1.0,1.0,1.0
172478,58.55,1.0,1.0,1.0,1.0
172479,59.13,-1.0,1.0,-1.0,1.0
172480,57.92,-1.0,1.0,-1.0,1.0
172481,57.82,1.0,1.0,1.0,1.0
172482,57.91,1.0,1.0,1.0,1.0
172483,58.41,1.0,1.0,1.0,1.0
172484,59.08,-1.0,1.0,-1.0,1.0
172485,58.12,-1.0,1.0,1.0,1.0
172486,57.6,-1.0,1.0,-1.0,1.0
172487,56.69,1.0,1.0,1.0,1.0
172488,57.68,-1.0,1.0,-1.0,1.0
172489,57.38,1.0,1.0,1.0,1.0
172490,57.98,1.0,1.0,1.0,1.0
172491,58.01,1.0,1.0,1.0,1.0
172492,58.25,1.0,-1.0,1.0,-1.0
172493,58.51,-1.0,-1.0,-1.0,-1.0
172494,57.69,1.0,-1.0,1.0,1.0
172495,59.2,1.0,-1.0,1.0,-1.0
172496,59.34,-1.0,-1.0,-1.0,-1.0
172497,58.91,1.0,-1.0,1.0,-1.0
172498,59.49,-1.0,-1.0,-1.0,-1.0
172499,59.22,1.0,-1.0,1.0,-1.0
172500,59.38,1.0,-1.0,1.0,-1.0
172501,60.41,-1.0,-1.0,-1.0,-1.0
172502,60.22,-1.0,-1.0,-1.0,-1.0
172503,60.18,1.0,-1.0,1.0,-1.0
172504,60.51,-1.0,-1.0,1.0,-1.0
172505,59.41,1.0,-1.0,1.0,-1.0
172506,60.37,1.0,-1.0,1.0,-1.0
172507,61.15,1.0,-1.0,1.0,-1.0
172508,61.39,-1.0,-1.0,-1.0,-1.0
172509,61.14,1.0,-1.0,1.0,-1.0
172510,61.17,-1.0,-1.0,-1.0,-1.0
172511,60.98,0.0,-1.0,0.0,-1.0
172512,60.98,-1.0,-1.0,-1.0,-1.0
172513,60.51,-1.0,-1.0,-1.0,-1.0
172514,59.64,1.0,-1.0,1.0,-1.0
172515,59.71,1.0,-1.0,1.0,-1.0
172516,59.87,1.0,-1.0,1.0,-1.0
172517,60.6,-1.0,-1.0,-1.0,-1.0
172518,60.28,1.0,-1.0,1.0,-1.0
172519,60.32,-1.0,-1.0,-1.0,-1.0
172520,59.76,-1.0,-1.0,-1.0,-1.0
172521,58.06,-1.0,1.0,-1.0,1.0
172522,57.39,-1.0,1.0,-1.0,1.0
172523,55.97,-1.0,1.0,-1.0,1.0
172524,55.69,-1.0,1.0,-1.0,1.0
172525,55.16,-1.0,1.0,-1.0,1.0
172526,54.97,1.0,1.0,1.0,1.0
172527,55.65,1.0,1.0,1.0,1.0
172528,55.75,-1.0,1.0,1.0,1.0
172529,54.87,1.0,1.0,1.0,1.0
172530,55.2,1.0,1.0,1.0,1.0
172531,56.8,-1.0,1.0,-1.0,1.0
172532,56.41,-1.0,1.0,-1.0,1.0
172533,56.4,-1.0,1.0,-1.0,1.0
172534,56.06,1.0,1.0,1.0,-1.0
172535,57.37,1.0,1.0,1.0,1.0
172536,58.34,-1.0,1.0,-1.0,1.0
172537,58.14,1.0,1.0,1.0,1.0
172538,58.3,-1.0,1.0,-1.0,1.0
172539,58.22,1.0,1.0,1.0,1.0
172540,58.24,-1.0,1.0,-1.0,1.0
172541,57.9,1.0,1.0,1.0,1.0
172542,58.19,-1.0,1.0,-1.0,1.0
172543,57.93,1.0,1.0,1.0,1.0
172544,58.24,-1.0,1.0,1.0,1.0
172545,57.54,1.0,1.0,1.0,1.0
172546,58.15,1.0,1.0,1.0,1.0
172547,58.33,-1.0,1.0,-1.0,1.0
172548,57.69,1.0,1.0,1.0,1.0
172549,57.96,1.0,1.0,1.0,1.0
172550,58.32,-1.0,1.0,-1.0,1.0
172551,58.31,-1.0,1.0,-1.0,1.0
172552,57.98,1.0,1.0,1.0,1.0
172553,58.27,-1.0,1.0,1.0,1.0
172554,58.13,1.0,1.0,1.0,1.0
172555,58.14,1.0,1.0,1.0,1.0
172556,58.26,1.0,1.0,1.0,1.0
172557,58.65,-1.0,1.0,-1.0,1.0
172558,58.59,1.0,1.0,1.0,-1.0
