,Close,Target(1),Target(30),Prediction(1),Prediction(30)
174186,36.44,-1.0,1.0,-1.0,1.0
174187,36.16,-1.0,1.0,-1.0,1.0
174188,35.83,-1.0,1.0,-1.0,1.0
174189,35.43,-1.0,1.0,-1.0,1.0
174190,35.32,-1.0,1.0,-1.0,1.0
174191,35.15,1.0,1.0,1.0,1.0
174192,35.8,-1.0,1.0,-1.0,1.0
174193,35.26,1.0,1.0,1.0,1.0
174194,36.45,-1.0,1.0,-1.0,1.0
174195,36.17,1.0,1.0,1.0,1.0
174196,36.2,1.0,1.0,1.0,1.0
174197,36.65,1.0,1.0,1.0,1.0
174198,36.97,1.0,1.0,1.0,1.0
174199,37.66,1.0,1.0,1.0,1.0
174200,38.33,-1.0,1.0,1.0,1.0
174201,38.14,1.0,1.0,1.0,1.0
174202,38.73,-1.0,1.0,-1.0,1.0
174203,38.42,1.0,1.0,1.0,1.0
174204,38.44,1.0,1.0,1.0,1.0
174205,39.18,0.0,-1.0,0.0,-1.0
174206,39.18,1.0,-1.0,1.0,-1.0
174207,40.08,1.0,-1.0,1.0,-1.0
174208,40.2,-1.0,-1.0,-1.0,-1.0
174209,40.06,1.0,-1.0,1.0,-1.0
174210,40.71,1.0,-1.0,1.0,-1.0
174211,40.96,-1.0,-1.0,-1.0,-1.0
174212,39.77,1.0,-1.0,1.0,1.0
174213,40.2,-1.0,-1.0,-1.0,-1.0
174214,38.51,1.0,-1.0,1.0,-1.0
174215,39.25,-1.0,-1.0,-1.0,-1.0
174216,39.08,1.0,-1.0,-1.0,-1.0
174217,39.75,-1.0,-1.0,-1.0,-1.0
174218,39.47,-1.0,-1.0,-1.0,-1.0
174219,38.87,1.0,1.0,1.0,1.0
174220,38.99,1.0,-1.0,1.0,1.0
174221,39.04,1.0,0.0,1.0,0.0
174222,39.64,1.0,-1.0,1.0,-1.0
174223,39.88,1.0,-1.0,1.0,1.0
174224,40.07,1.0,-1.0,1.0,-1.0
174225,41.01,-1.0,-1.0,-1.0,-1.0
174226,40.68,-1.0,-1.0,-1.0,-1.0
174227,40.25,-1.0,-1.0,1.0,1.0
174228,39.69,-1.0,-1.0,-1.0,-1.0
174229,38.02,1.0,-1.0,1.0,-1.0
174230,38.51,1.0,-1.0,1.0,-1.0
174231,38.72,1.0,-1.0,1.0,-1.0
174232,38.88,1.0,-1.0,1.0,-1.0
174233,38.97,1.0,-1.0,1.0,-1.0
174234,39.16,-1.0,-1.0,-1.0,-1.0
174235,38.39,-1.0,-1.0,-1.0,-1.0
174236,38.05,1.0,-1.0,1.0,-1.0
174237,38.25,1.0,-1.0,1.0,-1.0
174238,38.76,1.0,-1.0,1.0,-1.0
174239,39.45,-1.0,-1.0,-1.0,-1.0
174240,39.17,-1.0,-1.0,-1.0,-1.0
174241,38.8,-1.0,-1.0,-1.0,-1.0
174242,38.57,-1.0,-1.0,-1.0,-1.0
174243,38.12,-1.0,-1.0,-1.0,-1.0
174244,38.01,1.0,-1.0,1.0,-1.0
174245,39.24,-1.0,-1.0,-1.0,-1.0
174246,39.0,-1.0,-1.0,-1.0,-1.0
174247,38.65,1.0,-1.0,1.0,-1.0
174248,38.85,1.0,-1.0,1.0,-1.0
174249,39.06,-1.0,-1.0,-1.0,-1.0
174250,38.83,1.0,-1.0,1.0,-1.0
174251,39.04,1.0,-1.0,1.0,-1.0
174252,39.4,-1.0,-1.0,-1.0,-1.0
174253,38.89,0.0,-1.0,1.0,-1.0
174254,38.89,-1.0,-1.0,-1.0,-1.0
174255,37.61,1.0,1.0,1.0,1.0
174256,37.7,-1.0,1.0,-1.0,1.0
174257,37.23,-1.0,1.0,-1.0,1.0
174258,36.25,1.0,1.0,-1.0,1.0
174259,36.73,-1.0,1.0,-1.0,1.0
174260,36.58,1.0,1.0,1.0,1.0
174261,37.09,1.0,1.0,1.0,1.0
174262,37.27,-1.0,1.0,-1.0,1.0
174263,36.4,1.0,1.0,1.0,1.0
174264,36.62,-1.0,1.0,-1.0,1.0
174265,36.6,-1.0,1.0,-1.0,1.0
174266,36.29,-1.0,1.0,-1.0,1.0
174267,35.09,-1.0,1.0,-1.0,1.0
174268,34.85,1.0,1.0,1.0,1.0
174269,35.8,-1.0,1.0,-1.0,1.0
174270,35.57,-1.0,1.0,-1.0,1.0
174271,35.46,1.0,1.0,1.0,1.0
174272,37.02,-1.0,1.0,1.0,1.0
174273,36.86,-1.0,1.0,-1.0,1.0
174274,36.05,1.0,1.0,1.0,1.0
174275,37.13,1.0,1.0,1.0,1.0
174276,37.96,-1.0,1.0,-1.0,1.0
174277,37.22,-1.0,1.0,-1.0,1.0
174278,37.03,-1.0,1.0,-1.0,1.0
174279,35.7,1.0,1.0,1.0,1.0
174280,36.0,1.0,1.0,1.0,1.0
174281,36.15,1.0,1.0,1.0,1.0
174282,36.8,1.0,1.0,1.0,1.0
174283,36.92,1.0,1.0,1.0,1.0
174284,38.36,1.0,1.0,1.0,1.0
174285,38.56,1.0,1.0,1.0,1.0
174286,38.86,1.0,0.0,1.0,0.0
174287,39.8,1.0,-1.0,1.0,-1.0
174288,40.9,0.0,-1.0,0.0,-1.0
174289,40.9,-1.0,-1.0,-1.0,1.0
174290,40.26,-1.0,1.0,-1.0,1.0
174291,39.96,1.0,1.0,1.0,1.0
174292,41.57,-1.0,-1.0,-1.0,-1.0
174293,41.54,-1.0,-1.0,-1.0,-1.0
174294,40.03,-1.0,1.0,-1.0,1.0
174295,39.79,-1.0,1.0,-1.0,1.0
174296,39.38,-1.0,1.0,-1.0,1.0
174297,39.2,-1.0,1.0,-1.0,1.0
174298,39.1,1.0,1.0,1.0,-1.0
174299,39.61,-1.0,1.0,-1.0,-1.0
174300,39.56,1.0,1.0,1.0,1.0
174301,39.78,-1.0,1.0,-1.0,1.0
174302,39.56,1.0,1.0,1.0,1.0
174303,40.02,-1.0,1.0,-1.0,1.0
174304,39.83,-1.0,1.0,-1.0,1.0
174305,39.29,-1.0,1.0,1.0,-1.0
174306,38.63,-1.0,1.0,-1.0,1.0
174307,38.19,1.0,1.0,1.0,1.0
174308,38.27,-1.0,1.0,-1.0,1.0
174309,37.88,1.0,1.0,1.0,1.0
174310,38.78,1.0,1.0,1.0,1.0
174311,39.07,1.0,1.0,1.0,1.0
174312,39.88,-1.0,1.0,-1.0,1.0
174313,39.47,-1.0,1.0,-1.0,-1.0
174314,38.85,1.0,1.0,1.0,1.0
174315,38.94,-1.0,1.0,-1.0,1.0
174316,38.86,1.0,1.0,1.0,1.0
174317,39.59,1.0,1.0,1.0,1.0
174318,39.76,1.0,1.0,1.0,1.0
174319,40.68,-1.0,1.0,-1.0,1.0
174320,40.43,1.0,1.0,1.0,1.0
174321,41.19,-1.0,1.0,-1.0,1.0
174322,41.02,-1.0,1.0,-1.0,1.0
174323,40.95,-1.0,1.0,-1.0,1.0
174324,40.2,1.0,1.0,1.0,1.0
174325,40.5,-1.0,1.0,1.0,1.0
174326,40.1,1.0,1.0,-1.0,1.0
174327,40.94,1.0,1.0,1.0,1.0
174328,41.9,-1.0,1.0,-1.0,1.0
174329,41.4,-1.0,1.0,-1.0,1.0
174330,40.86,-1.0,1.0,-1.0,1.0
174331,40.81,1.0,1.0,1.0,1.0
174332,41.24,-1.0,1.0,-1.0,1.0
174333,41.17,-1.0,1.0,-1.0,1.0
174334,40.65,-1.0,1.0,-1.0,1.0
174335,40.02,-1.0,1.0,-1.0,1.0
174336,39.85,-1.0,1.0,-1.0,1.0
174337,39.83,1.0,1.0,-1.0,1.0
174338,40.34,1.0,1.0,-1.0,1.0
174339,40.81,1.0,1.0,1.0,1.0
174340,41.26,1.0,1.0,1.0,1.0
174341,44.18,-1.0,1.0,-1.0,1.0
174342,43.67,-1.0,1.0,-1.0,1.0
174343,43.66,1.0,1.0,1.0,1.0
174344,44.0,1.0,1.0,1.0,1.0
174345,44.05,1.0,1.0,1.0,1.0
174346,46.15,-1.0,1.0,-1.0,1.0
174347,45.32,1.0,1.0,1.0,1.0
174348,46.26,-1.0,1.0,-1.0,1.0
174349,46.24,1.0,1.0,1.0,1.0
174350,46.49,1.0,1.0,1.0,1.0
174351,46.52,-1.0,1.0,-1.0,1.0
174352,46.19,-1.0,1.0,-1.0,1.0
174353,45.27,-1.0,1.0,-1.0,1.0
174354,44.89,1.0,1.0,-1.0,1.0
174355,45.82,1.0,1.0,1.0,1.0
174356,46.42,-1.0,1.0,-1.0,1.0
174357,46.38,1.0,1.0,-1.0,1.0
174358,46.84,-1.0,1.0,-1.0,1.0
174359,46.22,1.0,1.0,-1.0,1.0
174360,46.91,-1.0,1.0,-1.0,1.0
174361,46.68,1.0,1.0,1.0,1.0
174362,47.5,1.0,1.0,1.0,1.0
174363,47.51,1.0,1.0,1.0,1.0
174364,48.23,1.0,1.0,-1.0,1.0
174365,48.28,1.0,1.0,1.0,1.0
174366,48.82,1.0,1.0,1.0,1.0
174367,49.36,1.0,1.0,1.0,1.0
174368,50.58,1.0,1.0,-1.0,1.0
174369,50.78,-1.0,1.0,-1.0,1.0
174370,50.5,1.0,1.0,-1.0,1.0
174371,50.82,-1.0,1.0,-1.0,1.0
174372,49.84,1.0,1.0,1.0,1.0
174373,50.82,-1.0,1.0,-1.0,1.0
174374,50.8,-1.0,1.0,-1.0,1.0
174375,50.66,-1.0,1.0,-1.0,1.0
174376,50.04,-1.0,1.0,-1.0,1.0
174377,49.6,1.0,1.0,-1.0,1.0
174378,49.93,-1.0,1.0,-1.0,1.0
174379,49.88,-1.0,1.0,-1.0,1.0
174380,49.34,1.0,1.0,1.0,1.0
174381,49.57,1.0,1.0,1.0,1.0
174382,50.48,-1.0,1.0,1.0,1.0
174383,50.05,-1.0,1.0,-1.0,1.0
174384,50.03,1.0,1.0,-1.0,1.0
174385,50.18,-1.0,1.0,-1.0,1.0
174386,49.62,-1.0,1.0,-1.0,1.0
174387,49.4,1.0,1.0,1.0,1.0
174388,49.89,-1.0,1.0,-1.0,1.0
174389,49.66,-1.0,1.0,-1.0,1.0
174390,49.52,1.0,1.0,-1.0,1.0
174391,49.79,-1.0,1.0,-1.0,1.0
174392,49.13,-1.0,1.0,1.0,1.0
174393,48.98,1.0,1.0,1.0,1.0
174394,50.48,1.0,1.0,1.0,1.0
174395,50.87,1.0,1.0,1.0,1.0
174396,52.15,-1.0,1.0,-1.0,1.0
174397,51.72,1.0,1.0,1.0,1.0
174398,53.0,-1.0,1.0,1.0,1.0
174399,52.29,-1.0,1.0,-1.0,1.0
174400,52.12,1.0,1.0,1.0,1.0
174401,53.5,1.0,1.0,1.0,1.0
174402,54.36,-1.0,1.0,-1.0,1.0
174403,53.79,-1.0,1.0,-1.0,1.0
174404,53.55,-1.0,1.0,-1.0,1.0
174405,53.5,1.0,1.0,1.0,1.0
174406,53.56,1.0,1.0,1.0,1.0
174407,56.93,1.0,-1.0,-1.0,-1.0
174408,57.67,1.0,-1.0,1.0,-1.0
174409,57.84,1.0,-1.0,1.0,-1.0
174410,58.07,1.0,-1.0,1.0,-1.0
174411,58.3,-1.0,-1.0,-1.0,-1.0
174412,58.29,1.0,-1.0,1.0,-1.0
174413,58.53,-1.0,-1.0,-1.0,-1.0
174414,58.35,-1.0,-1.0,-1.0,-1.0
174415,57.65,-1.0,1.0,-1.0,1.0
174416,57.25,-1.0,1.0,-1.0,1.0
174417,56.93,-1.0,1.0,-1.0,1.0
174418,56.66,-1.0,1.0,-1.0,1.0
174419,56.4,1.0,1.0,-1.0,1.0
174420,56.58,-1.0,1.0,-1.0,1.0
174421,56.38,1.0,1.0,1.0,1.0
174422,56.65,-1.0,1.0,-1.0,1.0
174423,56.34,1.0,1.0,1.0,1.0
174424,56.85,-1.0,1.0,-1.0,1.0
174425,56.39,-1.0,1.0,-1.0,1.0
174426,56.06,0.0,1.0,0.0,1.0
174427,56.06,1.0,1.0,1.0,1.0
174428,56.07,1.0,1.0,1.0,1.0
174429,56.6,1.0,1.0,1.0,1.0
174430,57.73,1.0,1.0,1.0,1.0
174431,57.74,-1.0,1.0,-1.0,1.0
174432,57.38,-1.0,1.0,-1.0,1.0
174433,57.35,1.0,1.0,1.0,1.0
174434,57.46,-1.0,1.0,-1.0,1.0
174435,57.39,1.0,1.0,1.0,1.0
174436,57.45,-1.0,1.0,1.0,1.0
174437,56.39,1.0,1.0,1.0,1.0
174438,57.15,1.0,1.0,-1.0,1.0
174439,57.6,1.0,1.0,1.0,1.0
174440,57.94,1.0,1.0,1.0,1.0
174441,58.18,-1.0,1.0,-1.0,1.0
174442,56.93,1.0,1.0,1.0,1.0
174443,57.34,1.0,1.0,1.0,1.0
174444,57.48,1.0,1.0,1.0,1.0
174445,57.75,1.0,1.0,1.0,1.0
174446,58.27,1.0,1.0,1.0,1.0
174447,58.65,1.0,1.0,1.0,1.0
174448,59.35,1.0,1.0,1.0,1.0
