,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
180787,22.99,5.39390571506976,-1.0,1.0,-1.0,1.0
180788,22.9,5.297179437683393,1.0,1.0,-1.0,1.0
180789,23.15,5.5404531602970275,-1.0,1.0,-1.0,1.0
180790,22.52,4.903726882910661,-1.0,1.0,-1.0,1.0
180791,22.47,4.847000605524293,1.0,1.0,-1.0,1.0
180792,22.73,5.100274328137925,1.0,1.0,1.0,1.0
180793,23.02,5.383548050751556,1.0,1.0,1.0,1.0
180794,23.07,5.426821773365191,1.0,1.0,1.0,1.0
180795,23.16,5.510095495978824,1.0,1.0,1.0,1.0
180796,23.7,6.043369218592456,-1.0,1.0,-1.0,1.0
180797,23.5,5.836642941206089,1.0,1.0,-1.0,1.0
180798,23.89,6.2199166638197205,-1.0,1.0,-1.0,1.0
180799,23.76,6.083190386433356,1.0,1.0,1.0,-1.0
180800,23.93,6.246464109046986,-1.0,1.0,-1.0,-1.0
180801,23.76,6.069737831660621,1.0,1.0,1.0,1.0
180802,24.0,6.303011554274253,1.0,1.0,-1.0,1.0
180803,24.07,6.366285276887886,1.0,1.0,1.0,1.0
180804,24.28,6.569558999501518,1.0,1.0,1.0,1.0
180805,24.36,6.6428327221151475,-1.0,1.0,-1.0,1.0
180806,24.3,6.576106444728782,-1.0,1.0,-1.0,1.0
180807,24.05,6.319380167342416,1.0,1.0,1.0,1.0
180808,24.34,6.6026538899560485,-1.0,1.0,-1.0,1.0
180809,24.33,6.5859276125696775,0.0,1.0,1.0,1.0
180810,24.33,6.579201335183309,1.0,1.0,1.0,-1.0
180811,24.6,6.842475057796947,1.0,1.0,1.0,1.0
180812,24.61,6.845748780410577,1.0,1.0,1.0,1.0
180813,24.84,7.069022503024211,1.0,1.0,1.0,1.0
180814,24.95,7.172296225637844,1.0,1.0,1.0,1.0
180815,25.21,7.425569948251475,1.0,1.0,1.0,1.0
180816,26.13,8.338843670865106,0.0,1.0,-1.0,1.0
180817,26.13,8.33211739347874,-1.0,1.0,-1.0,1.0
180818,25.87,8.065391116092375,1.0,1.0,1.0,1.0
180819,25.97,8.158664838706006,-1.0,1.0,-1.0,1.0
180820,25.88,8.06193856131964,1.0,1.0,1.0,1.0
180821,26.08,8.255212283933268,1.0,1.0,1.0,1.0
180822,26.15,8.318486006546904,1.0,1.0,1.0,1.0
180823,26.26,8.421759729160536,1.0,1.0,-1.0,1.0
180824,26.34,8.495033451774171,-1.0,1.0,-1.0,1.0
180825,26.15,8.298307174387801,1.0,1.0,1.0,1.0
180826,26.28,8.421580897001434,1.0,1.0,-1.0,1.0
180827,26.64,8.774854619615066,-1.0,-1.0,-1.0,-1.0
180828,26.45,8.578128342228698,-1.0,-1.0,-1.0,-1.0
180829,26.43,8.551402064842332,1.0,-1.0,-1.0,-1.0
180830,26.47,8.584675787455964,1.0,-1.0,1.0,-1.0
180831,26.51,8.617949510069598,1.0,1.0,1.0,1.0
180832,26.65,8.751223232683227,-1.0,-1.0,-1.0,-1.0
180833,26.03,8.124496955296863,1.0,-1.0,1.0,-1.0
180834,26.17,8.257770677910496,1.0,-1.0,1.0,-1.0
180835,26.22,8.301044400524127,1.0,-1.0,1.0,-1.0
180836,26.34,8.414318123137761,-1.0,-1.0,-1.0,-1.0
180837,26.28,8.347591845751396,1.0,-1.0,-1.0,-1.0
180838,26.6,8.660865568365027,-1.0,-1.0,-1.0,-1.0
180839,26.53,8.584139290978657,-1.0,-1.0,1.0,-1.0
180840,26.44,8.487413013592294,1.0,-1.0,1.0,-1.0
180841,26.88,8.920686736205923,1.0,-1.0,1.0,-1.0
180842,27.21,9.243960458819556,-1.0,-1.0,-1.0,-1.0
180843,26.98,9.007234181433187,1.0,-1.0,1.0,-1.0
180844,27.07,9.09050790404682,1.0,-1.0,1.0,-1.0
180845,27.18,9.193781626660453,1.0,-1.0,1.0,-1.0
180846,27.24,9.247055349274085,1.0,-1.0,1.0,-1.0
180847,27.32,9.320329071887722,1.0,-1.0,1.0,-1.0
180848,27.47,9.463602794501352,1.0,-1.0,1.0,-1.0
180849,27.57,9.556876517114985,-1.0,-1.0,-1.0,-1.0
180850,27.01,8.990150239728617,1.0,-1.0,1.0,-1.0
180851,27.04,9.013423962342248,1.0,-1.0,1.0,-1.0
180852,27.53,9.496697684955883,-1.0,-1.0,-1.0,-1.0
180853,26.93,8.889971407569515,1.0,-1.0,1.0,-1.0
180854,27.54,9.493245130183148,-1.0,-1.0,-1.0,-1.0
180855,26.56,8.506518852796777,-1.0,-1.0,-1.0,-1.0
180856,26.55,8.489792575410412,-1.0,-1.0,-1.0,-1.0
180857,25.49,7.423066298024043,-1.0,-1.0,-1.0,-1.0
180858,24.71,6.636340020637679,1.0,-1.0,1.0,-1.0
180859,26.13,8.04961374325131,-1.0,-1.0,-1.0,-1.0
180860,25.96,7.872887465864942,1.0,-1.0,1.0,-1.0
180861,26.74,8.646161188478573,-1.0,-1.0,-1.0,-1.0
180862,25.53,7.4294349110922075,-1.0,-1.0,1.0,-1.0
180863,24.94,6.832708633705843,-1.0,-1.0,-1.0,-1.0
180864,24.87,6.755982356319475,-1.0,-1.0,-1.0,-1.0
180865,24.36,6.239256078933106,-1.0,-1.0,-1.0,-1.0
180866,24.26,6.132529801546737,-1.0,-1.0,-1.0,-1.0
180867,23.31,5.175803524160369,1.0,-1.0,1.0,-1.0
180868,23.46,5.319077246774004,-1.0,-1.0,-1.0,-1.0
180869,23.37,5.222350969387636,-1.0,-1.0,-1.0,-1.0
180870,23.31,5.155624692001268,-1.0,-1.0,-1.0,-1.0
180871,22.89,4.728898414614903,1.0,-1.0,1.0,1.0
180872,23.67,5.502172137228534,-1.0,-1.0,-1.0,-1.0
180873,23.16,4.985445859842167,-1.0,-1.0,1.0,1.0
180874,23.0,4.818719582455799,1.0,1.0,-1.0,1.0
180875,23.35,5.1619933050694335,1.0,1.0,1.0,1.0
180876,23.72,5.525267027683063,-1.0,-1.0,-1.0,-1.0
180877,22.96,4.758540750296699,-1.0,-1.0,-1.0,1.0
180878,22.76,4.551814472910331,1.0,1.0,1.0,1.0
180879,22.96,4.745088195523961,-1.0,-1.0,-1.0,-1.0
180880,22.78,4.558361918137597,-1.0,1.0,-1.0,1.0
180881,22.77,4.541635640751228,1.0,1.0,1.0,1.0
180882,22.91,4.674909363364861,-1.0,1.0,-1.0,1.0
180883,22.76,4.5181830859784915,1.0,1.0,1.0,1.0
