,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
183042,25.21,14.351167024765422,-1.0,1.0,-1.0,1.0
183043,25.02,14.107722071545165,1.0,1.0,1.0,1.0
183044,25.22,14.254277118324909,-1.0,1.0,-1.0,1.0
183045,24.96,13.940832165104654,1.0,1.0,1.0,1.0
183046,25.11,14.0373872118844,1.0,1.0,1.0,1.0
183047,25.22,14.093942258664146,1.0,1.0,-1.0,1.0
183048,25.44,14.260497305443893,-1.0,1.0,-1.0,1.0
183049,25.31,14.077052352223635,-1.0,1.0,-1.0,1.0
183050,24.81,13.523607399003382,1.0,1.0,-1.0,1.0
183051,24.83,13.490162445783124,-1.0,1.0,-1.0,1.0
183052,24.49,13.096717492562869,1.0,1.0,1.0,1.0
183053,24.68,13.233272539342618,-1.0,1.0,-1.0,1.0
183054,24.44,12.939827586122364,1.0,1.0,1.0,1.0
183055,24.62,13.06638263290211,-1.0,1.0,-1.0,1.0
183056,24.6,12.992937679681857,-1.0,1.0,-1.0,1.0
183057,23.75,12.089492726461598,1.0,1.0,1.0,1.0
183058,23.85,12.136047773241346,1.0,1.0,1.0,1.0
183059,24.12,12.35260282002109,1.0,1.0,1.0,1.0
183060,24.49,12.669157866800836,1.0,1.0,1.0,1.0
183061,24.53,12.65571291358058,-1.0,1.0,-1.0,1.0
183062,24.2,12.272267960360324,1.0,1.0,1.0,1.0
183063,24.65,12.668823007140071,1.0,1.0,1.0,1.0
183064,24.83,12.795378053919814,-1.0,1.0,-1.0,1.0
183065,24.79,12.701933100699561,1.0,1.0,-1.0,1.0
183066,25.09,12.948488147479305,-1.0,1.0,-1.0,1.0
183067,24.86,12.66504319425905,1.0,1.0,1.0,1.0
183068,25.07,12.821598241038794,1.0,1.0,1.0,1.0
183069,25.28,12.978153287818543,1.0,1.0,1.0,1.0
183070,25.53,13.174708334598286,1.0,1.0,1.0,1.0
183071,26.01,13.601263381378036,1.0,1.0,1.0,1.0
183072,26.15,13.687818428157776,1.0,1.0,1.0,1.0
183073,26.42,13.904373474937525,1.0,1.0,1.0,1.0
183074,26.66,14.090928521717267,1.0,1.0,1.0,1.0
183075,26.67,14.047483568497016,1.0,1.0,1.0,1.0
183076,26.78,14.104038615276759,1.0,1.0,1.0,-1.0
183077,27.11,14.380593662056505,1.0,1.0,1.0,-1.0
183078,27.51,14.72714870883625,1.0,-1.0,1.0,-1.0
183079,27.79,14.953703755615996,1.0,-1.0,1.0,-1.0
183080,28.13,15.240258802395736,1.0,-1.0,1.0,-1.0
183081,28.45,15.506813849175485,1.0,-1.0,1.0,-1.0
183082,28.58,15.583368895955227,-1.0,-1.0,-1.0,-1.0
183083,28.32,15.269923942734973,-1.0,-1.0,-1.0,-1.0
183084,28.22,15.11647898951472,-1.0,-1.0,-1.0,-1.0
