,Close,Target(1),Target(30),Prediction(1),Prediction(30)
184908,34.77,0.0,-1.0,0.0,-1.0
184909,34.77,-1.0,-1.0,-1.0,1.0
184910,34.5,-1.0,1.0,-1.0,1.0
184911,34.11,-1.0,1.0,-1.0,1.0
184912,34.01,1.0,1.0,-1.0,1.0
184913,34.27,-1.0,1.0,-1.0,1.0
184914,34.16,1.0,1.0,1.0,1.0
184915,34.47,-1.0,1.0,-1.0,1.0
184916,33.63,1.0,1.0,-1.0,1.0
184917,33.81,1.0,1.0,1.0,1.0
184918,34.35,1.0,1.0,1.0,1.0
184919,34.74,1.0,1.0,1.0,1.0
184920,35.01,1.0,-1.0,1.0,1.0
184921,35.26,-1.0,1.0,-1.0,1.0
184922,34.57,1.0,1.0,1.0,1.0
184923,35.14,-1.0,1.0,-1.0,-1.0
184924,35.1,1.0,1.0,1.0,1.0
184925,35.81,-1.0,1.0,-1.0,1.0
184926,35.1,1.0,1.0,1.0,1.0
184927,35.12,-1.0,1.0,-1.0,1.0
184928,35.07,1.0,1.0,1.0,1.0
184929,35.28,-1.0,1.0,-1.0,-1.0
184930,34.65,-1.0,1.0,-1.0,1.0
184931,34.27,1.0,1.0,1.0,1.0
184932,34.68,1.0,1.0,1.0,1.0
184933,34.77,-1.0,1.0,-1.0,1.0
184934,34.58,-1.0,1.0,-1.0,1.0
184935,34.15,-1.0,1.0,-1.0,1.0
184936,33.38,1.0,1.0,1.0,1.0
184937,33.57,1.0,1.0,1.0,1.0
184938,34.02,1.0,1.0,1.0,1.0
184939,34.18,1.0,1.0,1.0,1.0
184940,34.73,-1.0,-1.0,-1.0,-1.0
184941,34.62,1.0,-1.0,1.0,-1.0
184942,34.79,1.0,-1.0,1.0,-1.0
184943,34.85,1.0,-1.0,1.0,-1.0
184944,35.07,-1.0,-1.0,-1.0,-1.0
184945,35.03,-1.0,-1.0,-1.0,-1.0
184946,34.86,1.0,-1.0,1.0,-1.0
184947,35.18,1.0,-1.0,1.0,-1.0
184948,35.34,-1.0,-1.0,-1.0,-1.0
184949,35.12,-1.0,-1.0,-1.0,1.0
184950,34.91,1.0,-1.0,1.0,1.0
184951,35.4,1.0,-1.0,1.0,-1.0
184952,35.52,-1.0,-1.0,-1.0,1.0
184953,35.41,1.0,-1.0,1.0,-1.0
184954,35.46,1.0,-1.0,1.0,-1.0
184955,35.88,1.0,-1.0,1.0,-1.0
184956,36.2,-1.0,-1.0,-1.0,-1.0
184957,35.96,-1.0,-1.0,-1.0,-1.0
184958,35.83,-1.0,-1.0,-1.0,-1.0
184959,35.75,1.0,-1.0,1.0,-1.0
184960,36.02,1.0,-1.0,1.0,-1.0
184961,36.11,-1.0,-1.0,-1.0,-1.0
184962,36.1,1.0,-1.0,1.0,-1.0
184963,36.21,1.0,-1.0,1.0,-1.0
184964,36.34,-1.0,-1.0,1.0,-1.0
184965,36.06,1.0,-1.0,1.0,-1.0
184966,36.2,1.0,-1.0,1.0,-1.0
184967,36.51,-1.0,-1.0,-1.0,-1.0
184968,36.2,-1.0,-1.0,-1.0,-1.0
184969,35.01,-1.0,-1.0,-1.0,1.0
184970,34.33,-1.0,-1.0,-1.0,-1.0
184971,33.96,-1.0,-1.0,-1.0,1.0
184972,33.67,1.0,1.0,1.0,1.0
184973,33.76,1.0,1.0,1.0,1.0
